Orthogroup	Prar	Praq
OG0000000	Prar.g_00713	Praq.g_01956
OG0000000	Prar.g_00729	Praq.g_00026
OG0000000	Prar.g_00730	Praq.g_01392
OG0000001	Prar.g_00918	Praq.g_00168
OG0000001	Prar.g_01508	Praq.g_00807
OG0000002	Prar.g_01203	Praq.g_01393
OG0000002	Prar.g_01202	Praq.g_01394
OG0000002	Prar.g_00926	Praq.g_00160
OG0000003	Prar.g_00593	Praq.g_01242
OG0000004	Prar.g_00973	Praq.g_00115
OG0000004	Prar.g_00727	Praq.g_00028
OG0000005	Prar.g_01623	Praq.g_00607
OG0000005	Prar.g_01630	Praq.g_00614
OG0000006	Prar.g_00991	Praq.g_00097
OG0000006	Prar.g_01006	Praq.g_00081
OG0000006	Prar.g_01643	Praq.g_00628
OG0000006	Prar.g_01313	Praq.g_01283
OG0000007	Prar.g_01160	Praq.g_00046
OG0000007	Prar.g_01002	Praq.g_00085
OG0000007	Prar.g_00445	Praq.g_01159
OG0000007	Prar.g_01173	Praq.g_00059
OG0000008	Prar.g_01328	Praq.g_01105
OG0000008	Prar.g_01143	Praq.g_00497
OG0000009	Prar.g_01009	Praq.g_00861
OG0000010	Prar.g_01663	Praq.g_00649
OG0000010	Prar.g_00078	Praq.g_01753
OG0000011	Prar.g_00436	Praq.g_01168
OG0000012	Prar.g_00435	Praq.g_01169
OG0000013	Prar.g_00737	Praq.g_00017
OG0000013	Prar.g_00223	Praq.g_01898
OG0000014	Prar.g_00281	Praq.g_01696
OG0000015	Prar.g_00468	Praq.g_01137
OG0000015	Prar.g_00257	Praq.g_01672
OG0000016	Prar.g_01179	Praq.g_00065
OG0000017	Prar.g_00520	Praq.g_00521
OG0000018	Prar.g_01428	Praq.g_01004
OG0000019	Prar.g_00443	Praq.g_01161
OG0000020	Prar.g_00915	Praq.g_00171
OG0000021	Prar.g_00589	Praq.g_01246
OG0000021	Prar.g_00827	Praq.g_00314
OG0000022	Prar.g_00086	Praq.g_01761
OG0000023	Prar.g_00425	Praq.g_01179
OG0000024	Prar.g_00979	Praq.g_00109
OG0000025	Prar.g_01634	Praq.g_00618
OG0000026	Prar.g_00971	Praq.g_00117
OG0000027	Prar.g_01502	Praq.g_00801
OG0000028	Prar.g_01185	Praq.g_00071
OG0000028	Prar.g_00996	Praq.g_00092
OG0000029	Prar.g_01664	Praq.g_00650
OG0000030	Prar.g_01665	Praq.g_00651
OG0000031	Prar.g_00660	Praq.g_00770
OG0000032	Prar.g_00004	Praq.g_01237
OG0000032	Prar.g_00005	Praq.g_01236
OG0000032	Prar.g_01189	Praq.g_00075
OG0000033	Prar.g_00761	Praq.g_00381
OG0000033	Prar.g_01626	Praq.g_00610
OG0000034	Prar.g_00339	Praq.g_00294
OG0000035	Prar.g_00736	Praq.g_00018
OG0000035	Prar.g_01170	Praq.g_00056
OG0000036	Prar.g_01187	Praq.g_00073
OG0000036	Prar.g_01315	Praq.g_01281
OG0000038	Prar.g_00879	Praq.g_00209
OG0000040	Prar.g_00978	Praq.g_00110
OG0000041	Prar.g_01453	Praq.g_00979
OG0000042	Prar.g_00704	Praq.g_00718
OG0000043	Prar.g_01943	Praq.g_01657
OG0000043	Prar.g_01761	Praq.g_01475
OG0000045	Prar.g_01414	Praq.g_01018
OG0000046	Prar.g_01649	Praq.g_00635
OG0000047	Prar.g_01263	Praq.g_01333
OG0000049	Prar.g_00870	Praq.g_00218
OG0000049	Prar.g_00362	Praq.g_00271
OG0000050	Prar.g_00161	Praq.g_01836
OG0000051	Prar.g_00420	Praq.g_01184
OG0000052	Prar.g_00476	Praq.g_01129
OG0000053	Prar.g_01599	Praq.g_00583
OG0000055	Prar.g_00592	Praq.g_01243
OG0000055	Prar.g_00653	Praq.g_00763
OG0000056	Prar.g_00007	Praq.g_01234
OG0000057	Prar.g_00170	Praq.g_01845
OG0000057	Prar.g_01569	Praq.g_00554
OG0000058	Prar.g_00431	Praq.g_01173
OG0000059	Prar.g_01369	Praq.g_01063
OG0000060	Prar.g_01612	Praq.g_00596
OG0000061	Prar.g_01644	Praq.g_00629
OG0000062	Prar.g_01706	Praq.g_01420
OG0000063	Prar.g_01307	Praq.g_01289
OG0000065	Prar.g_00090	Praq.g_01765
OG0000066	Prar.g_00525	Praq.g_00526
OG0000067	Prar.g_01528	Praq.g_00827
OG0000068	Prar.g_01628	Praq.g_00612
OG0000068	Prar.g_01562	Praq.g_00548
OG0000068	Prar.g_01558	Praq.g_00857
OG0000068	Prar.g_01004	Praq.g_00083
OG0000069	Prar.g_01298	Praq.g_01298
OG0000070	Prar.g_01904	Praq.g_01619
OG0000071	Prar.g_01003	Praq.g_00084
OG0000072	Prar.g_00955	Praq.g_00133
OG0000073	Prar.g_00934	Praq.g_00154
OG0000074	Prar.g_00880	Praq.g_00208
OG0000075	Prar.g_01027	Praq.g_00879
OG0000076	Prar.g_00886	Praq.g_00202
OG0000077	Prar.g_00027	Praq.g_00437
OG0000078	Prar.g_00265	Praq.g_01680
OG0000079	Prar.g_00444	Praq.g_01160
OG0000080	Prar.g_01499	Praq.g_00798
OG0000081	Prar.g_01521	Praq.g_00820
OG0000082	Prar.g_01691	Praq.g_00677
OG0000083	Prar.g_01755	Praq.g_01469
OG0000084	Prar.g_01833	Praq.g_01548
OG0000085	Prar.g_01953	Praq.g_01667
OG0000086	Prar.g_01296	Praq.g_01300
OG0000088	Prar.g_00998	Praq.g_00089
OG0000089	Prar.g_00997	Praq.g_00091
OG0000090	Prar.g_00872	Praq.g_00216
OG0000091	Prar.g_00839	Praq.g_00302
OG0000092	Prar.g_01166	Praq.g_00052
OG0000093	Prar.g_01090	Praq.g_00927
OG0000094	Prar.g_01030	Praq.g_00882
OG0000095	Prar.g_00627	Praq.g_00737
OG0000096	Prar.g_00696	Praq.g_00710
OG0000097	Prar.g_00072	Praq.g_00392
OG0000098	Prar.g_00035	Praq.g_00429
OG0000099	Prar.g_00015	Praq.g_01226
OG0000100	Prar.g_00581	Praq.g_01254
OG0000101	Prar.g_00570	Praq.g_01265
OG0000102	Prar.g_00215	Praq.g_01890
OG0000103	Prar.g_00207	Praq.g_01882
OG0000104	Prar.g_00189	Praq.g_01864
OG0000105	Prar.g_00157	Praq.g_01832
OG0000106	Prar.g_00143	Praq.g_01818
OG0000107	Prar.g_00135	Praq.g_01810
OG0000108	Prar.g_00125	Praq.g_01800
OG0000109	Prar.g_00088	Praq.g_01763
OG0000110	Prar.g_00076	Praq.g_01751
OG0000111	Prar.g_00313	Praq.g_01729
OG0000112	Prar.g_00303	Praq.g_01718
OG0000113	Prar.g_00290	Praq.g_01705
OG0000114	Prar.g_00262	Praq.g_01677
OG0000115	Prar.g_00524	Praq.g_00525
OG0000116	Prar.g_00526	Praq.g_00527
OG0000117	Prar.g_00530	Praq.g_00531
OG0000118	Prar.g_01330	Praq.g_01103
OG0000119	Prar.g_01362	Praq.g_01070
OG0000120	Prar.g_01363	Praq.g_01069
OG0000121	Prar.g_01373	Praq.g_01059
OG0000122	Prar.g_01382	Praq.g_01050
OG0000123	Prar.g_01413	Praq.g_01019
OG0000124	Prar.g_01481	Praq.g_00780
OG0000125	Prar.g_01482	Praq.g_00781
OG0000126	Prar.g_01483	Praq.g_00782
OG0000127	Prar.g_01516	Praq.g_00815
OG0000128	Prar.g_01601	Praq.g_00585
OG0000129	Prar.g_01621	Praq.g_00605
OG0000130	Prar.g_01668	Praq.g_00654
OG0000131	Prar.g_01682	Praq.g_00668
OG0000132	Prar.g_01717	Praq.g_01431
OG0000133	Prar.g_01792	Praq.g_01506
OG0000134	Prar.g_01801	Praq.g_01516
OG0000135	Prar.g_01837	Praq.g_01552
OG0000136	Prar.g_01901	Praq.g_01616
OG0000137	Prar.g_01293	Praq.g_01303
OG0000138	Prar.g_01268	Praq.g_01328
OG0000139	Prar.g_01257	Praq.g_01339
OG0000140	Prar.g_01206	Praq.g_01390
OG0000141	Prar.g_00376	Praq.g_00257
OG0000142	Prar.g_00943	Praq.g_00145
OG0000143	Prar.g_00911	Praq.g_00175
OG0000144	Prar.g_00352	Praq.g_00281
OG0000145	Prar.g_00338	Praq.g_00295
OG0000146	Prar.g_00810	Praq.g_00331
OG0000147	Prar.g_00770	Praq.g_00371
OG0000148	Prar.g_00769	Praq.g_00372
OG0000149	Prar.g_01145	Praq.g_01954, Praq.g_00499
OG0000150	Prar.g_01959	Praq.g_00461
OG0000151	Prar.g_01956, Prar.g_00595	Praq.g_00458
OG0000152	Prar.g_01119	Praq.g_00956
OG0000153	Prar.g_01068	Praq.g_00920
OG0000154	Prar.g_01032	Praq.g_00884
OG0000155	Prar.g_01015	Praq.g_00867
OG0000156	Prar.g_00638	Praq.g_00748
OG0000157	Prar.g_00669	Praq.g_00683
OG0000158	Prar.g_00055	Praq.g_00409
OG0000160	Prar.g_00037	Praq.g_00427
OG0000161	Prar.g_00036	Praq.g_00428
OG0000162	Prar.g_00034	Praq.g_00430
OG0000163	Prar.g_00033	Praq.g_00431
OG0000164	Prar.g_00032	Praq.g_00432
OG0000165	Prar.g_00031	Praq.g_00433
OG0000166	Prar.g_00030	Praq.g_00434
OG0000167	Prar.g_00029	Praq.g_00435
OG0000168	Prar.g_00028	Praq.g_00436
OG0000169	Prar.g_00026	Praq.g_00438
OG0000170	Prar.g_00024	Praq.g_01217
OG0000171	Prar.g_00023	Praq.g_01218
OG0000172	Prar.g_00022	Praq.g_01219
OG0000173	Prar.g_00021	Praq.g_01220
OG0000174	Prar.g_00020	Praq.g_01221
OG0000175	Prar.g_00019	Praq.g_01222
OG0000176	Prar.g_00018	Praq.g_01223
OG0000177	Prar.g_00017	Praq.g_01224
OG0000178	Prar.g_00016	Praq.g_01225
OG0000179	Prar.g_00014	Praq.g_01227
OG0000180	Prar.g_00013	Praq.g_01228
OG0000181	Prar.g_00012	Praq.g_01229
OG0000182	Prar.g_00011	Praq.g_01230
OG0000183	Prar.g_00010	Praq.g_01231
OG0000184	Prar.g_00009	Praq.g_01232
OG0000185	Prar.g_00006	Praq.g_01235
OG0000186	Prar.g_00002	Praq.g_01239
OG0000187	Prar.g_00001	Praq.g_01240
OG0000188	Prar.g_00594	Praq.g_01241
OG0000189	Prar.g_00580	Praq.g_01255
OG0000190	Prar.g_00578	Praq.g_01257
OG0000191	Prar.g_00577	Praq.g_01258
OG0000192	Prar.g_00576	Praq.g_01259
OG0000193	Prar.g_00574	Praq.g_01261
OG0000194	Prar.g_00573	Praq.g_01262
OG0000195	Prar.g_00572	Praq.g_01263
OG0000196	Prar.g_00571	Praq.g_01264
OG0000197	Prar.g_00569	Praq.g_01266
OG0000198	Prar.g_00568	Praq.g_01267
OG0000199	Prar.g_00567	Praq.g_01268
OG0000200	Prar.g_00554	Praq.g_01939
OG0000201	Prar.g_00553	Praq.g_01938
OG0000202	Prar.g_00552	Praq.g_01937
OG0000203	Prar.g_00549	Praq.g_01934
OG0000204	Prar.g_00548	Praq.g_01933
OG0000205	Prar.g_00255	Praq.g_01930
OG0000206	Prar.g_00253	Praq.g_01928
OG0000207	Prar.g_00251	Praq.g_01926
OG0000208	Prar.g_00250	Praq.g_01925
OG0000209	Prar.g_00249	Praq.g_01924
OG0000210	Prar.g_00248	Praq.g_01923
OG0000211	Prar.g_00247	Praq.g_01922
OG0000212	Prar.g_00246	Praq.g_01921
OG0000213	Prar.g_00245	Praq.g_01920
OG0000214	Prar.g_00244	Praq.g_01919
OG0000215	Prar.g_00243	Praq.g_01918
OG0000216	Prar.g_00242	Praq.g_01917
OG0000217	Prar.g_00240	Praq.g_01915
OG0000218	Prar.g_00239	Praq.g_01914
OG0000219	Prar.g_00238	Praq.g_01913
OG0000220	Prar.g_00237	Praq.g_01912
OG0000221	Prar.g_00234	Praq.g_01909
OG0000222	Prar.g_00233	Praq.g_01908
OG0000223	Prar.g_00232	Praq.g_01907
OG0000224	Prar.g_00231	Praq.g_01906
OG0000225	Prar.g_00230	Praq.g_01905
OG0000226	Prar.g_00229	Praq.g_01904
OG0000227	Prar.g_00228	Praq.g_01903
OG0000228	Prar.g_00227	Praq.g_01902
OG0000229	Prar.g_00226	Praq.g_01901
OG0000230	Prar.g_00225	Praq.g_01900
OG0000231	Prar.g_00224	Praq.g_01899
OG0000232	Prar.g_00222	Praq.g_01897
OG0000233	Prar.g_00221	Praq.g_01896
OG0000234	Prar.g_00220	Praq.g_01895
OG0000235	Prar.g_00219	Praq.g_01894
OG0000236	Prar.g_00218	Praq.g_01893
OG0000237	Prar.g_00217	Praq.g_01892
OG0000238	Prar.g_00216	Praq.g_01891
OG0000239	Prar.g_00214	Praq.g_01889
OG0000240	Prar.g_00213	Praq.g_01888
OG0000241	Prar.g_00212	Praq.g_01887
OG0000242	Prar.g_00211	Praq.g_01886
OG0000243	Prar.g_00208	Praq.g_01883
OG0000244	Prar.g_00206	Praq.g_01881
OG0000245	Prar.g_00205	Praq.g_01880
OG0000246	Prar.g_00204	Praq.g_01879
OG0000247	Prar.g_00201	Praq.g_01876
OG0000248	Prar.g_00199	Praq.g_01874
OG0000249	Prar.g_00198	Praq.g_01873
OG0000250	Prar.g_00197	Praq.g_01872
OG0000251	Prar.g_00196	Praq.g_01871
OG0000252	Prar.g_00195	Praq.g_01870
OG0000253	Prar.g_00194	Praq.g_01869
OG0000254	Prar.g_00192	Praq.g_01867
OG0000255	Prar.g_00191	Praq.g_01866
OG0000256	Prar.g_00188	Praq.g_01863
OG0000257	Prar.g_00186	Praq.g_01861
OG0000258	Prar.g_00182	Praq.g_01857
OG0000259	Prar.g_00181	Praq.g_01856
OG0000260	Prar.g_00180	Praq.g_01855
OG0000261	Prar.g_00179	Praq.g_01854
OG0000262	Prar.g_00178	Praq.g_01853
OG0000263	Prar.g_00176	Praq.g_01851
OG0000264	Prar.g_00175	Praq.g_01850
OG0000265	Prar.g_00174	Praq.g_01849
OG0000266	Prar.g_00173	Praq.g_01848
OG0000267	Prar.g_00172	Praq.g_01847
OG0000268	Prar.g_00171	Praq.g_01846
OG0000269	Prar.g_00169	Praq.g_01844
OG0000270	Prar.g_00168	Praq.g_01843
OG0000271	Prar.g_00167	Praq.g_01842
OG0000272	Prar.g_00166	Praq.g_01841
OG0000273	Prar.g_00165	Praq.g_01840
