Orthogroup	Praz	Prak
OG0000000	Praz.g_01146	Prak.g_00908, Prak.g_00913
OG0000000	Praz.g_01652	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494
OG0000002	Praz.g_01154	Prak.g_01302
OG0000002	Praz.g_01939, Praz.g_01940	Prak.g_00755
OG0000003	Praz.g_01200	Prak.g_01210
OG0000004	Praz.g_01583, Praz.g_01576, Praz.g_01201	Prak.g_01251
OG0000005	Praz.g_00894	Prak.g_01562
OG0000006	Praz.g_01831	Prak.g_00458
OG0000006	Praz.g_00877	Prak.g_01645
OG0000007	Praz.g_01241	Prak.g_01544
OG0000009	Praz.g_01532	Prak.g_01196
OG0000009	Praz.g_00609	Prak.g_00266
OG0000010	Praz.g_00045, Praz.g_01215	Prak.g_00702
OG0000011	Praz.g_01921	Prak.g_00385
OG0000012	Praz.g_01732	Prak.g_00559, Prak.g_00566
OG0000013	Praz.g_01551	Prak.g_01584, Prak.g_01630
OG0000014	Praz.g_01858, Praz.g_01197	Prak.g_01521, Prak.g_01564
OG0000015	Praz.g_00792	Prak.g_01573, Prak.g_01606
OG0000016	Praz.g_01143	Prak.g_01226, Prak.g_01488
OG0000018	Praz.g_00601	Prak.g_00258
OG0000019	Praz.g_00896	Prak.g_00831
OG0000020	Praz.g_00800	Prak.g_01264, Prak.g_00289
OG0000021	Praz.g_01530	Prak.g_01627
OG0000023	Praz.g_01230	Prak.g_01486
OG0000024	Praz.g_00663	Prak.g_00325
OG0000025	Praz.g_00769	Prak.g_00741
OG0000028	Praz.g_01041	Prak.g_01391
OG0000029	Praz.g_00928	Prak.g_00416
OG0000032	Praz.g_01116	Prak.g_01350
OG0000033	Praz.g_00378	Prak.g_00013, Prak.g_01230
OG0000034	Praz.g_01103	Prak.g_01369
OG0000035	Praz.g_01422	Prak.g_00709
OG0000036	Praz.g_01744	Prak.g_01634, Prak.g_00546
OG0000037	Praz.g_01707	Prak.g_01506, Prak.g_00584
OG0000038	Praz.g_01556	Prak.g_01482
OG0000039	Praz.g_00526	Prak.g_00178
OG0000040	Praz.g_00814	Prak.g_00721
OG0000042	Praz.g_01607	Prak.g_00837
OG0000043	Praz.g_01527	Prak.g_00937
OG0000045	Praz.g_01096	Prak.g_01351
OG0000046	Praz.g_00884	Prak.g_01637, Prak.g_01516
OG0000047	Praz.g_00205	Prak.g_01842
OG0000048	Praz.g_00198	Prak.g_01850
