Orthogroup	Praz	Pran
OG0000000	Praz.g_01652	Pran.g_01500
OG0000001	Praz.g_00694	Pran.g_00001
OG0000001	Praz.g_00922	Pran.g_00001
OG0000001	Praz.g_00694	Pran.g_00602
OG0000001	Praz.g_00922	Pran.g_00602
OG0000003	Praz.g_01200	Pran.g_00894
OG0000004	Praz.g_01583	Pran.g_00576
OG0000004	Praz.g_01576	Pran.g_01436
OG0000004	Praz.g_01201	Pran.g_00895
OG0000005	Praz.g_00894	Pran.g_01423
OG0000005	Praz.g_00921	Pran.g_00601
OG0000006	Praz.g_01831	Pran.g_01681
OG0000006	Praz.g_00877	Pran.g_00970
OG0000007	Praz.g_01658	Pran.g_01506
OG0000008	Praz.g_00790	Pran.g_01811
OG0000008	Praz.g_01269	Pran.g_00586
OG0000008	Praz.g_00767	Pran.g_00526
OG0000009	Praz.g_01532	Pran.g_01363
OG0000009	Praz.g_00609	Pran.g_01943
OG0000010	Praz.g_00045	Pran.g_00114
OG0000011	Praz.g_00687	Pran.g_01864
OG0000012	Praz.g_01732	Pran.g_01580
OG0000013	Praz.g_01551	Pran.g_01394
OG0000015	Praz.g_00792	Pran.g_01813
OG0000016	Praz.g_01143	Pran.g_00845
OG0000017	Praz.g_01021	Pran.g_00713
OG0000018	Praz.g_00601	Pran.g_01951
OG0000019	Praz.g_00810, Praz.g_00896	Pran.g_01829
OG0000021	Praz.g_01530	Pran.g_01361
OG0000022	Praz.g_01198	Pran.g_00582
OG0000023	Praz.g_01230	Pran.g_00615
OG0000024	Praz.g_00663	Pran.g_01888
OG0000025	Praz.g_00769	Pran.g_00936, Pran.g_01789
OG0000026	Praz.g_00398	Pran.g_00391
OG0000027	Praz.g_01580, Praz.g_00954	Pran.g_01464
OG0000028	Praz.g_01041	Pran.g_00733
OG0000029	Praz.g_00928	Pran.g_00614
OG0000030	Praz.g_00404	Pran.g_01952
OG0000031	Praz.g_01204	Pran.g_00898
OG0000032	Praz.g_01116	Pran.g_00753
OG0000033	Praz.g_00378	Pran.g_00620
OG0000034	Praz.g_01103	Pran.g_00777
OG0000035	Praz.g_01422	Pran.g_00415
OG0000035	Praz.g_00104	Pran.g_00145
OG0000036	Praz.g_01744	Pran.g_01593
OG0000037	Praz.g_01707	Pran.g_01555
OG0000038	Praz.g_01556	Pran.g_01401
OG0000039	Praz.g_00526	Pran.g_00266
OG0000040	Praz.g_00814	Pran.g_01834
OG0000042	Praz.g_01607	Pran.g_01460
OG0000043	Praz.g_01527	Pran.g_01358
OG0000045	Praz.g_01096	Pran.g_00807
OG0000046	Praz.g_00884	Pran.g_00963
OG0000047	Praz.g_00205	Pran.g_01160
OG0000048	Praz.g_00198	Pran.g_01167
OG0000050	Praz.g_00396	Pran.g_00393, Pran.g_00930
OG0000051	Praz.g_00517	Pran.g_00275
OG0000052	Praz.g_00804	Pran.g_01824
OG0000053	Praz.g_01789	Pran.g_01639
OG0000054	Praz.g_01561	Pran.g_01408, Pran.g_01379
OG0000055	Praz.g_01490	Pran.g_01321
OG0000056	Praz.g_00038	Pran.g_00935, Pran.g_00108
OG0000057	Praz.g_00597	Pran.g_00195
OG0000058	Praz.g_01853	Pran.g_01703
OG0000059	Praz.g_01632	Pran.g_01480
OG0000060	Praz.g_01578	Pran.g_00905
OG0000061	Praz.g_01330	Pran.g_00507
OG0000062	Praz.g_00025	Pran.g_00093
OG0000063	Praz.g_01237	Pran.g_01466
OG0000064	Praz.g_00901	Pran.g_01463
OG0000065	Praz.g_01180	Pran.g_00938, Pran.g_00876
OG0000066	Praz.g_01118	Pran.g_00752
OG0000067	Praz.g_01240	Pran.g_01384
OG0000068	Praz.g_00263	Pran.g_01105
OG0000071	Praz.g_00376	Pran.g_01268
OG0000072	Praz.g_00679	Pran.g_01872
OG0000073	Praz.g_01661	Pran.g_01509
OG0000074	Praz.g_01639	Pran.g_01487
OG0000075	Praz.g_01505	Pran.g_01336
OG0000076	Praz.g_00066	Pran.g_00568, Pran.g_00903
OG0000078	Praz.g_01098	Pran.g_00806
OG0000079	Praz.g_00963	Pran.g_00655
OG0000080	Praz.g_00913	Pran.g_00575, Pran.g_00912
OG0000081	Praz.g_00232	Pran.g_01135
OG0000082	Praz.g_00142	Pran.g_01222
OG0000083	Praz.g_00368	Pran.g_01260
OG0000084	Praz.g_00371	Pran.g_01263
OG0000085	Praz.g_00388	Pran.g_00401
OG0000086	Praz.g_01911	Pran.g_00386
OG0000087	Praz.g_00415	Pran.g_00376
OG0000088	Praz.g_00473	Pran.g_00320
OG0000089	Praz.g_00481	Pran.g_00312
OG0000090	Praz.g_00499	Pran.g_00295
OG0000091	Praz.g_00529	Pran.g_00263
OG0000092	Praz.g_00530	Pran.g_00262
OG0000093	Praz.g_00544	Pran.g_00248
OG0000094	Praz.g_00562	Pran.g_00230
OG0000095	Praz.g_00567	Pran.g_00225
OG0000096	Praz.g_00611	Pran.g_01941
OG0000097	Praz.g_00632	Pran.g_01920
OG0000098	Praz.g_00642	Pran.g_01910
OG0000099	Praz.g_00651	Pran.g_01900
OG0000100	Praz.g_00654	Pran.g_01897
OG0000101	Praz.g_00817	Pran.g_01838
OG0000102	Praz.g_00791	Pran.g_01812
OG0000103	Praz.g_01852	Pran.g_01702
OG0000104	Praz.g_01848	Pran.g_01698
OG0000105	Praz.g_01829	Pran.g_01679
OG0000106	Praz.g_01796	Pran.g_01646
OG0000107	Praz.g_01795	Pran.g_01645
OG0000108	Praz.g_01785	Pran.g_01635
OG0000109	Praz.g_01776	Pran.g_01626
OG0000110	Praz.g_01760	Pran.g_01609
OG0000111	Praz.g_01679	Pran.g_01527
OG0000112	Praz.g_01678	Pran.g_01526
OG0000113	Praz.g_01585	Pran.g_01438
OG0000114	Praz.g_01514	Pran.g_01345
OG0000115	Praz.g_01350	Pran.g_00487
