Orthogroup	Prbc	Prae
OG0000000	Prbc.g_02163, Prbc.g_00103	Prae.g_01310
OG0000000	Prbc.g_02165	Prae.g_01580
OG0000000	Prbc.g_00525	Prae.g_01222, Prae.g_01579
OG0000001	Prbc.g_00588	Prae.g_01353
OG0000002	Prbc.g_01920	Prae.g_01361
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Prae.g_00652
OG0000004	Prbc.g_01381	Prae.g_00669
OG0000004	Prbc.g_00339	Prae.g_00235
OG0000005	Prbc.g_00098	Prae.g_01636
OG0000005	Prbc.g_00788	Prae.g_01535
OG0000006	Prbc.g_02202	Prae.g_00244
OG0000007	Prbc.g_01556	Prae.g_00471
OG0000007	Prbc.g_00832	Prae.g_01623
OG0000009	Prbc.g_01344	Prae.g_01270
OG0000010	Prbc.g_01533	Prae.g_00448
OG0000010	Prbc.g_02115	Prae.g_01048
OG0000011	Prbc.g_00164	Prae.g_01291
OG0000011	Prbc.g_00066	Prae.g_00398
OG0000011	Prbc.g_00136	Prae.g_01245
OG0000012	Prbc.g_02155	Prae.g_00597
OG0000013	Prbc.g_01219	Prae.g_00328
OG0000014	Prbc.g_01198	Prae.g_00307
OG0000014	Prbc.g_00680	Prae.g_01401
OG0000015	Prbc.g_00599	Prae.g_00769, Prae.g_01235
OG0000016	Prbc.g_01083	Prae.g_00013
OG0000017	Prbc.g_01674, Prbc.g_01681	Prae.g_00572
OG0000018	Prbc.g_01887	Prae.g_00833
OG0000018	Prbc.g_01468	Prae.g_01144
OG0000019	Prbc.g_01836	Prae.g_00786
OG0000021	Prbc.g_00924, Prbc.g_02189	Prae.g_01600, Prae.g_00364
OG0000022	Prbc.g_01288	Prae.g_01125
OG0000022	Prbc.g_00166	Prae.g_00764
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prae.g_00359
OG0000024	Prbc.g_00598	Prae.g_00748
OG0000024	Prbc.g_01755	Prae.g_00649
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prae.g_00332
OG0000026	Prbc.g_01101	Prae.g_00031, Prae.g_01056
OG0000027	Prbc.g_00072	Prae.g_00444, Prae.g_01311
OG0000030	Prbc.g_00199	Prae.g_01825
OG0000031	Prbc.g_01228	Prae.g_01402, Prae.g_01391
OG0000033	Prbc.g_00402	Prae.g_01396, Prae.g_00172
OG0000034	Prbc.g_00575	Prae.g_01339
OG0000035	Prbc.g_00709	Prae.g_01459
OG0000037	Prbc.g_00464	Prae.g_00108
OG0000038	Prbc.g_00995	Prae.g_01865
OG0000039	Prbc.g_01768	Prae.g_00660
OG0000040	Prbc.g_00811	Prae.g_01597
OG0000041	Prbc.g_00877	Prae.g_01669
OG0000042	Prbc.g_00203	Prae.g_01822
OG0000047	Prbc.g_01227	Prae.g_00331
OG0000048	Prbc.g_01165	Prae.g_00374
OG0000050	Prbc.g_00513	Prae.g_01077
OG0000051	Prbc.g_00095	Prae.g_01602
OG0000053	Prbc.g_00728	Prae.g_01479
OG0000054	Prbc.g_01683	Prae.g_00580
OG0000055	Prbc.g_01822, Prbc.g_00907	Prae.g_00787
OG0000057	Prbc.g_00055, Prbc.g_01780	Prae.g_00672
OG0000058	Prbc.g_01928	Prae.g_01406
OG0000059	Prbc.g_00958	Prae.g_01710
OG0000061	Prbc.g_01446	Prae.g_01163
OG0000062	Prbc.g_00790	Prae.g_01537
OG0000063	Prbc.g_00932	Prae.g_00033
OG0000065	Prbc.g_00466	Prae.g_00106
OG0000066	Prbc.g_01618	Prae.g_00514
OG0000067	Prbc.g_01858	Prae.g_00806
OG0000068	Prbc.g_00657	Prae.g_01368
OG0000069	Prbc.g_02181, Prbc.g_00752	Prae.g_01573
OG0000070	Prbc.g_01511	Prae.g_00424
OG0000071	Prbc.g_00566	Prae.g_01329
OG0000072	Prbc.g_00400	Prae.g_00174
OG0000073	Prbc.g_01579	Prae.g_00473
OG0000074	Prbc.g_01763, Prbc.g_01960, Prbc.g_02148	Prae.g_00656
OG0000075	Prbc.g_00236	Prae.g_01791
OG0000076	Prbc.g_00211	Prae.g_01815
OG0000077	Prbc.g_00495	Prae.g_00078
OG0000078	Prbc.g_00330	Prae.g_00242
OG0000079	Prbc.g_01148	Prae.g_00255
OG0000081	Prbc.g_01610	Prae.g_00505
OG0000082	Prbc.g_00891	Prae.g_00559
OG0000083	Prbc.g_02193, Prbc.g_01233	Prae.g_00742, Prae.g_01297, Prae.g_00735
OG0000084	Prbc.g_00705	Prae.g_01455
OG0000085	Prbc.g_00826	Prae.g_01616
OG0000086	Prbc.g_00485	Prae.g_00088
OG0000087	Prbc.g_00432	Prae.g_00139
OG0000088	Prbc.g_00405	Prae.g_00169
OG0000089	Prbc.g_01268	Prae.g_00355
OG0000090	Prbc.g_01612	Prae.g_00508
OG0000091	Prbc.g_01719	Prae.g_00616
OG0000093	Prbc.g_01843	Prae.g_00933
OG0000094	Prbc.g_01935	Prae.g_01021
OG0000095	Prbc.g_02113	Prae.g_01040
OG0000096	Prbc.g_01323	Prae.g_01110, Prae.g_01283
OG0000097	Prbc.g_01400	Prae.g_01204
OG0000098	Prbc.g_00585	Prae.g_01350
OG0000099	Prbc.g_01229	Prae.g_01390
OG0000100	Prbc.g_00785	Prae.g_01533
OG0000101	Prbc.g_00284	Prae.g_01758
OG0000102	Prbc.g_00206	Prae.g_01820
OG0000103	Prbc.g_01053	Prae.g_01899
OG0000104	Prbc.g_01065	Prae.g_01907
OG0000105	Prbc.g_01167	Prae.g_01440
OG0000106	Prbc.g_00134, Prbc.g_00641	Prae.g_00370
OG0000107	Prbc.g_00934	Prae.g_00385
OG0000108	Prbc.g_01540	Prae.g_00454
OG0000109	Prbc.g_01553	Prae.g_00468
OG0000110	Prbc.g_01654	Prae.g_00549
OG0000111	Prbc.g_01781	Prae.g_00673
OG0000112	Prbc.g_02028	Prae.g_00770
OG0000113	Prbc.g_01882, Prbc.g_00153	Prae.g_00828
OG0000114	Prbc.g_01977	Prae.g_00908
OG0000115	Prbc.g_00801	Prae.g_01102
OG0000116	Prbc.g_01457	Prae.g_01153
OG0000117	Prbc.g_00102	Prae.g_01263
OG0000118	Prbc.g_00577	Prae.g_01341
OG0000119	Prbc.g_00650	Prae.g_01364
OG0000120	Prbc.g_01753	Prae.g_01389
OG0000121	Prbc.g_00711	Prae.g_01461
OG0000122	Prbc.g_00750	Prae.g_01499
OG0000123	Prbc.g_00277	Prae.g_01766
OG0000124	Prbc.g_00193	Prae.g_01831
OG0000125	Prbc.g_00997	Prae.g_01867
OG0000126	Prbc.g_01063	Prae.g_01906
OG0000128	Prbc.g_01081	Prae.g_00011
OG0000129	Prbc.g_01122	Prae.g_00046
OG0000130	Prbc.g_00504	Prae.g_00069
OG0000131	Prbc.g_00426	Prae.g_00148
OG0000132	Prbc.g_00407	Prae.g_00167
OG0000133	Prbc.g_01214	Prae.g_00323
OG0000134	Prbc.g_01270	Prae.g_00356
OG0000135	Prbc.g_02198, Prbc.g_02183	Prae.g_00382
OG0000136	Prbc.g_01502	Prae.g_00415
OG0000137	Prbc.g_01534	Prae.g_00449
OG0000138	Prbc.g_01554	Prae.g_00469
OG0000139	Prbc.g_01616	Prae.g_00512
OG0000140	Prbc.g_01617	Prae.g_00513
OG0000141	Prbc.g_01684	Prae.g_00581
OG0000142	Prbc.g_01712	Prae.g_00609
OG0000143	Prbc.g_01716	Prae.g_00613
OG0000144	Prbc.g_01729	Prae.g_00626
OG0000145	Prbc.g_02142	Prae.g_00766
OG0000146	Prbc.g_02027	Prae.g_00771
OG0000147	Prbc.g_02026	Prae.g_00772
OG0000148	Prbc.g_01876	Prae.g_00822
OG0000149	Prbc.g_01908	Prae.g_00852
OG0000150	Prbc.g_01916	Prae.g_00860
OG0000151	Prbc.g_01988	Prae.g_00918
OG0000152	Prbc.g_02036	Prae.g_00964
OG0000153	Prbc.g_02054	Prae.g_00983
OG0000154	Prbc.g_02083	Prae.g_01014
OG0000155	Prbc.g_01424	Prae.g_01183
OG0000156	Prbc.g_00555	Prae.g_01317
OG0000157	Prbc.g_00556	Prae.g_01318
OG0000158	Prbc.g_00228	Prae.g_01426
OG0000160	Prbc.g_00710	Prae.g_01460
OG0000161	Prbc.g_00716	Prae.g_01466
OG0000162	Prbc.g_00722	Prae.g_01472
OG0000163	Prbc.g_00758	Prae.g_01506
