Orthogroup	Prbc	Prbm
OG0000000	Prbc.g_02163	Prbm.g_01115
OG0000000	Prbc.g_00103	Prbm.g_00437
OG0000000	Prbc.g_00103	Prbm.g_01228
OG0000000	Prbc.g_00103	Prbm.g_01312
OG0000000	Prbc.g_00103	Prbm.g_01381
OG0000000	Prbc.g_00609	Prbm.g_01140
OG0000000	Prbc.g_00812	Prbm.g_01814
OG0000000	Prbc.g_02164	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406
OG0000000	Prbc.g_00806	Prbm.g_01808
OG0000000	Prbc.g_02165	Prbm.g_01117
OG0000000	Prbc.g_00618	Prbm.g_01119
OG0000000	Prbc.g_00618	Prbm.g_01404
OG0000000	Prbc.g_00618	Prbm.g_01810
OG0000000	Prbc.g_02167	Prbm.g_01119
OG0000000	Prbc.g_02167	Prbm.g_01404
OG0000000	Prbc.g_02167	Prbm.g_01810
OG0000000	Prbc.g_00608	Prbm.g_01141
OG0000001	Prbc.g_00892	Prbm.g_01906
OG0000001	Prbc.g_00588	Prbm.g_01633
OG0000001	Prbc.g_01530, Prbc.g_00925	Prbm.g_00496, Prbm.g_01940
OG0000002	Prbc.g_01920	Prbm.g_00874
OG0000002	Prbc.g_01475	Prbm.g_01578
OG0000002	Prbc.g_01474	Prbm.g_01577
OG0000002	Prbc.g_01479	Prbm.g_01582
OG0000002	Prbc.g_01473	Prbm.g_01576
OG0000002	Prbc.g_01478	Prbm.g_01581
OG0000002	Prbc.g_01759	Prbm.g_00712
OG0000004	Prbc.g_01381	Prbm.g_01483
OG0000004	Prbc.g_00339	Prbm.g_00291
OG0000005	Prbc.g_00788	Prbm.g_01790
OG0000006	Prbc.g_02202	Prbm.g_00302
OG0000007	Prbc.g_01556	Prbm.g_00522
OG0000007	Prbc.g_00832	Prbm.g_01841
OG0000008	Prbc.g_00893	Prbm.g_01907
OG0000008	Prbc.g_00894	Prbm.g_01908
OG0000009	Prbc.g_01344	Prbm.g_01235, Prbm.g_01400
OG0000010	Prbc.g_01533	Prbm.g_00499
OG0000010	Prbc.g_02115	Prbm.g_01066
OG0000011	Prbc.g_00164	Prbm.g_01202
OG0000011	Prbc.g_00136	Prbm.g_01174
OG0000011	Prbc.g_00616	Prbm.g_01134
OG0000012	Prbc.g_02155	Prbm.g_01106
OG0000013	Prbc.g_01219	Prbm.g_00382
OG0000014	Prbc.g_01198	Prbm.g_00362
OG0000014	Prbc.g_00680	Prbm.g_02126
OG0000015	Prbc.g_00599	Prbm.g_01427, Prbm.g_01149
OG0000016	Prbc.g_01083	Prbm.g_00013
OG0000016	Prbc.g_00929	Prbm.g_01944
OG0000017	Prbc.g_01674	Prbm.g_00628
OG0000017	Prbc.g_01681	Prbm.g_00635
OG0000018	Prbc.g_01887	Prbm.g_00843
OG0000018	Prbc.g_01468	Prbm.g_01571
OG0000019	Prbc.g_01836	Prbm.g_00792
OG0000020	Prbc.g_00116	Prbm.g_01156
OG0000020	Prbc.g_02114	Prbm.g_01065
OG0000021	Prbc.g_00924	Prbm.g_01939
OG0000022	Prbc.g_01288	Prbm.g_01324
OG0000022	Prbc.g_00166	Prbm.g_01204
OG0000023	Prbc.g_00006	Prbm.g_01444, Prbm.g_01297
OG0000024	Prbc.g_00598	Prbm.g_01151
OG0000024	Prbc.g_01755	Prbm.g_00709
OG0000025	Prbc.g_01894	Prbm.g_00849
OG0000026	Prbc.g_01101	Prbm.g_00031
OG0000028	Prbc.g_00653	Prbm.g_01656
OG0000030	Prbc.g_00199	Prbm.g_02105
OG0000031	Prbc.g_01228	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Prbc.g_00746	Prbm.g_01747
OG0000033	Prbc.g_00402	Prbm.g_00228
OG0000034	Prbc.g_00575	Prbm.g_01620
OG0000035	Prbc.g_00709	Prbm.g_01710
OG0000037	Prbc.g_00464	Prbm.g_00166
OG0000038	Prbc.g_00995	Prbm.g_02174
OG0000039	Prbc.g_01768	Prbm.g_00723
OG0000040	Prbc.g_00909	Prbm.g_01923
OG0000040	Prbc.g_00811	Prbm.g_01813
OG0000041	Prbc.g_00877	Prbm.g_01886
OG0000042	Prbc.g_00203	Prbm.g_02102
OG0000043	Prbc.g_00135	Prbm.g_01173
OG0000043	Prbc.g_01953	Prbm.g_00906
OG0000044	Prbc.g_00533	Prbm.g_00478
OG0000045	Prbc.g_02137	Prbm.g_01088
OG0000046	Prbc.g_01220	Prbm.g_00383
OG0000047	Prbc.g_01227	Prbm.g_00390
OG0000047	Prbc.g_01273	Prbm.g_00428
OG0000048	Prbc.g_01165	Prbm.g_00329
OG0000050	Prbc.g_01383	Prbm.g_01485
OG0000050	Prbc.g_00513	Prbm.g_00118
OG0000051	Prbc.g_00088	Prbm.g_01267
OG0000051	Prbc.g_00095	Prbm.g_01276
OG0000052	Prbc.g_00518, Prbc.g_00517	Prbm.g_00114
OG0000053	Prbc.g_00728	Prbm.g_01729
OG0000054	Prbc.g_01683	Prbm.g_00637
OG0000055	Prbc.g_01822	Prbm.g_00778
OG0000055	Prbc.g_00907	Prbm.g_01921
OG0000056	Prbc.g_00532	Prbm.g_00477
OG0000057	Prbc.g_01780	Prbm.g_00735
OG0000058	Prbc.g_01928	Prbm.g_00881
OG0000059	Prbc.g_00958	Prbm.g_01973
OG0000061	Prbc.g_01446	Prbm.g_01549
OG0000062	Prbc.g_00790	Prbm.g_01792
OG0000063	Prbc.g_00932	Prbm.g_01947
OG0000065	Prbc.g_00466	Prbm.g_00164
OG0000066	Prbc.g_01618	Prbm.g_00572
OG0000067	Prbc.g_01858	Prbm.g_00814
OG0000068	Prbc.g_00657	Prbm.g_01660
OG0000069	Prbc.g_02181	Prbm.g_01387
OG0000069	Prbc.g_00752	Prbm.g_01753
OG0000070	Prbc.g_01511	Prbm.g_00460
OG0000071	Prbc.g_00566	Prbm.g_00468, Prbm.g_01611
OG0000072	Prbc.g_00400	Prbm.g_00230
OG0000073	Prbc.g_01579	Prbm.g_00533
OG0000074	Prbc.g_01763	Prbm.g_00717
OG0000074	Prbc.g_01960	Prbm.g_00912
OG0000074	Prbc.g_02148	Prbm.g_01099
OG0000075	Prbc.g_00236	Prbm.g_02069
OG0000076	Prbc.g_00211	Prbm.g_02094
OG0000077	Prbc.g_00495	Prbm.g_00135
OG0000078	Prbc.g_00330	Prbm.g_00300
OG0000079	Prbc.g_01148	Prbm.g_00311
OG0000081	Prbc.g_01610	Prbm.g_00564
OG0000082	Prbc.g_00891	Prbm.g_01900
OG0000083	Prbc.g_02193	Prbm.g_01988
OG0000083	Prbc.g_01233	Prbm.g_00081
OG0000084	Prbc.g_00705	Prbm.g_01706
OG0000085	Prbc.g_00826	Prbm.g_01834
OG0000086	Prbc.g_00485	Prbm.g_00145
OG0000087	Prbc.g_00432	Prbm.g_00198
OG0000088	Prbc.g_00405	Prbm.g_00225
OG0000089	Prbc.g_01268	Prbm.g_00423
OG0000090	Prbc.g_01612	Prbm.g_00566
OG0000091	Prbc.g_01719	Prbm.g_00673
OG0000092	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263	Prbm.g_00934
OG0000093	Prbc.g_01843	Prbm.g_00799
OG0000094	Prbc.g_01935	Prbm.g_00888
OG0000095	Prbc.g_02113	Prbm.g_01064
OG0000096	Prbc.g_01323	Prbm.g_01359
OG0000097	Prbc.g_01400	Prbm.g_01502
OG0000098	Prbc.g_00585	Prbm.g_01630
OG0000099	Prbc.g_01229	Prbm.g_00394
OG0000100	Prbc.g_00785	Prbm.g_01787
OG0000101	Prbc.g_00284	Prbm.g_02033
OG0000102	Prbc.g_00206	Prbm.g_02099
OG0000103	Prbc.g_01053	Prbm.g_02218
OG0000104	Prbc.g_01065	Prbm.g_02229
OG0000105	Prbc.g_01167	Prbm.g_00331
OG0000106	Prbc.g_00134	Prbm.g_01172
OG0000106	Prbc.g_00641	Prbm.g_01237
OG0000107	Prbc.g_00934	Prbm.g_01949
OG0000108	Prbc.g_01540	Prbm.g_00506
OG0000109	Prbc.g_01553	Prbm.g_00519
OG0000110	Prbc.g_01654	Prbm.g_00607
OG0000111	Prbc.g_01781	Prbm.g_00736
OG0000112	Prbc.g_02028	Prbm.g_00980
OG0000113	Prbc.g_01882	Prbm.g_00838
OG0000113	Prbc.g_00153	Prbm.g_01191
OG0000114	Prbc.g_01977	Prbm.g_00929
OG0000115	Prbc.g_00801	Prbm.g_01803
OG0000116	Prbc.g_01457	Prbm.g_01560
OG0000117	Prbc.g_00102	Prbm.g_01522
OG0000118	Prbc.g_00577	Prbm.g_01622
OG0000119	Prbc.g_00650	Prbm.g_01653
OG0000120	Prbc.g_01753	Prbm.g_00707
OG0000121	Prbc.g_00711	Prbm.g_01712
OG0000122	Prbc.g_00750	Prbm.g_01751
OG0000123	Prbc.g_00277	Prbm.g_02040
OG0000124	Prbc.g_00193	Prbm.g_02111
OG0000125	Prbc.g_00997	Prbm.g_02176
OG0000126	Prbc.g_01063	Prbm.g_02228
OG0000127	Prbc.g_01352, Prbc.g_00621	Prbm.g_01460
OG0000127	Prbc.g_00002	Prbm.g_01293
OG0000127	Prbc.g_00016	Prbm.g_01292
OG0000128	Prbc.g_01081	Prbm.g_00011
OG0000129	Prbc.g_01122	Prbm.g_00053
OG0000130	Prbc.g_00504	Prbm.g_00126
OG0000131	Prbc.g_00426	Prbm.g_00204
OG0000132	Prbc.g_00407	Prbm.g_00223
OG0000133	Prbc.g_01214	Prbm.g_00377
OG0000134	Prbc.g_01270	Prbm.g_00425
OG0000135	Prbc.g_02198, Prbc.g_02183	Prbm.g_01389
OG0000136	Prbc.g_01502	Prbm.g_00451
OG0000137	Prbc.g_01534	Prbm.g_00500
OG0000138	Prbc.g_01554	Prbm.g_00520
OG0000139	Prbc.g_01616	Prbm.g_00570
OG0000140	Prbc.g_01617	Prbm.g_00571
OG0000141	Prbc.g_01684	Prbm.g_00638
OG0000142	Prbc.g_01712	Prbm.g_00666
OG0000143	Prbc.g_01716	Prbm.g_00670
OG0000144	Prbc.g_01729	Prbm.g_00683
OG0000145	Prbc.g_02142	Prbm.g_01094
OG0000146	Prbc.g_02027	Prbm.g_00979
OG0000147	Prbc.g_02026	Prbm.g_00978
OG0000148	Prbc.g_01876	Prbm.g_00832
OG0000149	Prbc.g_01908	Prbm.g_00862
OG0000150	Prbc.g_01916	Prbm.g_00870
OG0000151	Prbc.g_01988	Prbm.g_00940
OG0000152	Prbc.g_02036	Prbm.g_00988
OG0000153	Prbc.g_02054	Prbm.g_01006
OG0000154	Prbc.g_02083	Prbm.g_01035
OG0000155	Prbc.g_01424	Prbm.g_01527
OG0000156	Prbc.g_00555	Prbm.g_01600
OG0000157	Prbc.g_00556	Prbm.g_01601
OG0000158	Prbc.g_00228	Prbm.g_02077
OG0000160	Prbc.g_00710	Prbm.g_01711
OG0000161	Prbc.g_00716	Prbm.g_01717
OG0000162	Prbc.g_00722	Prbm.g_01723
OG0000163	Prbc.g_00758	Prbm.g_01759
OG0000164	Prbc.g_00854	Prbm.g_01863
OG0000165	Prbc.g_00862	Prbm.g_01871
OG0000166	Prbc.g_00321	Prbm.g_01996
OG0000167	Prbc.g_00238	Prbm.g_02067
OG0000168	Prbc.g_00227	Prbm.g_02078
OG0000169	Prbc.g_00217	Prbm.g_02088
OG0000170	Prbc.g_00215	Prbm.g_02090
OG0000171	Prbc.g_00194	Prbm.g_02110
OG0000172	Prbc.g_00967	Prbm.g_02146
OG0000173	Prbc.g_00982	Prbm.g_02161
OG0000174	Prbc.g_01013	Prbm.g_02192
OG0000175	Prbc.g_01044	Prbm.g_02209
OG0000176	Prbc.g_01074	Prbm.g_00004
OG0000177	Prbc.g_01075	Prbm.g_00005
OG0000178	Prbc.g_01076	Prbm.g_00006
OG0000179	Prbc.g_01086	Prbm.g_00016
OG0000180	Prbc.g_01087	Prbm.g_00017
OG0000181	Prbc.g_01088	Prbm.g_00018
OG0000182	Prbc.g_01089	Prbm.g_00019
OG0000183	Prbc.g_01093	Prbm.g_00023
OG0000184	Prbc.g_01124	Prbm.g_00055
OG0000185	Prbc.g_01127	Prbm.g_00058
OG0000186	Prbc.g_00509	Prbm.g_00121
OG0000187	Prbc.g_00508	Prbm.g_00122
OG0000188	Prbc.g_00491	Prbm.g_00139
OG0000189	Prbc.g_00477	Prbm.g_00153
OG0000190	Prbc.g_00476	Prbm.g_00154
OG0000191	Prbc.g_00453	Prbm.g_00177
OG0000192	Prbc.g_00449	Prbm.g_00181
OG0000193	Prbc.g_00425	Prbm.g_00205
OG0000194	Prbc.g_00422	Prbm.g_00208
OG0000195	Prbc.g_00420	Prbm.g_00210
OG0000196	Prbc.g_00410	Prbm.g_00220
