Orthogroup	Prbc	Syal
OG0000000	Prbc.g_02163, Prbc.g_00103	Syal.g_01111, Syal.g_01832
OG0000001	Prbc.g_00588	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prbc.g_01381	Syal.g_01809
OG0000004	Prbc.g_00339	Syal.g_02718, Syal.g_00691
OG0000005	Prbc.g_00098	Syal.g_00606
OG0000005	Prbc.g_00788	Syal.g_00565
OG0000006	Prbc.g_02202	Syal.g_02611, Syal.g_00674
OG0000007	Prbc.g_01556	Syal.g_02918
OG0000007	Prbc.g_00832	Syal.g_00587
OG0000008	Prbc.g_00893	Syal.g_02512
OG0000008	Prbc.g_00894	Syal.g_01783
OG0000009	Prbc.g_01344	Syal.g_02089
OG0000010	Prbc.g_02115	Syal.g_00464
OG0000011	Prbc.g_00136, Prbc.g_00616	Syal.g_00702
OG0000013	Prbc.g_01219	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbc.g_01198	Syal.g_01305
OG0000014	Prbc.g_00680	Syal.g_01393
OG0000015	Prbc.g_00599	Syal.g_02210, Syal.g_01183
OG0000016	Prbc.g_01083	Syal.g_00111
OG0000016	Prbc.g_00929	Syal.g_01734
OG0000018	Prbc.g_01468	Syal.g_00410
OG0000019	Prbc.g_01836	Syal.g_01209
OG0000022	Prbc.g_01288	Syal.g_02587
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbc.g_00598, Prbc.g_01755	Syal.g_02597
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syal.g_02459
OG0000026	Prbc.g_01101	Syal.g_00132
OG0000027	Prbc.g_00072	Syal.g_02543
OG0000028	Prbc.g_00653	Syal.g_01319
OG0000030	Prbc.g_00199	Syal.g_01511, Syal.g_01512
OG0000031	Prbc.g_01228	Syal.g_01404, Syal.g_01432
OG0000032	Prbc.g_00746	Syal.g_00428
OG0000033	Prbc.g_00402	Syal.g_00912
OG0000034	Prbc.g_00575	Syal.g_00881, Syal.g_01586
OG0000035	Prbc.g_00709	Syal.g_00370, Syal.g_00020
OG0000037	Prbc.g_00464	Syal.g_00601, Syal.g_00824
OG0000038	Prbc.g_00995	Syal.g_01071, Syal.g_01073
OG0000039	Prbc.g_01768	Syal.g_01097
OG0000040	Prbc.g_00909, Prbc.g_00811	Syal.g_01187
OG0000041	Prbc.g_00877	Syal.g_00649
OG0000042	Prbc.g_00203	Syal.g_01705, Syal.g_01508
OG0000043	Prbc.g_00135	Syal.g_01110
OG0000043	Prbc.g_01953	Syal.g_02547
OG0000044	Prbc.g_00533	Syal.g_01853, Syal.g_01847
OG0000046	Prbc.g_01220	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prbc.g_01227, Prbc.g_01273	Syal.g_01568
OG0000048	Prbc.g_01165	Syal.g_01250
OG0000050	Prbc.g_00513	Syal.g_01549
OG0000052	Prbc.g_00518, Prbc.g_00517	Syal.g_01338
OG0000053	Prbc.g_00728	Syal.g_00406
OG0000054	Prbc.g_01683	Syal.g_02739, Syal.g_02098
OG0000056	Prbc.g_00011	Syal.g_02054
OG0000057	Prbc.g_00055, Prbc.g_01780	Syal.g_01812
OG0000058	Prbc.g_01928	Syal.g_01326
OG0000059	Prbc.g_00958	Syal.g_00225
OG0000061	Prbc.g_01446	Syal.g_01653
OG0000062	Prbc.g_00790	Syal.g_00567
