Orthogroup	Prbc	Prbh
OG0000000	Prbc.g_02163, Prbc.g_00103	Prbh.g_01853
OG0000000	Prbc.g_00609, Prbc.g_00812	Prbh.g_01901, Prbh.g_01319
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165	Prbh.g_01903
OG0000000	Prbc.g_00618	Prbh.g_01902
OG0000000	Prbc.g_02167	Prbh.g_01902
OG0000000	Prbc.g_00608	Prbh.g_01858
OG0000001	Prbc.g_00588	Prbh.g_00001
OG0000001	Prbc.g_01530, Prbc.g_00925	Prbh.g_00863
OG0000002	Prbc.g_01920	Prbh.g_01016
OG0000002	Prbc.g_01475	Prbh.g_01313
OG0000002	Prbc.g_01474	Prbh.g_00006, Prbh.g_01311
OG0000002	Prbc.g_01479, Prbc.g_01473	Prbh.g_01317
OG0000002	Prbc.g_01478	Prbh.g_00199
OG0000002	Prbc.g_01759	Prbh.g_00912
OG0000004	Prbc.g_01381	Prbh.g_00933
OG0000004	Prbc.g_00339	Prbh.g_00548
OG0000005	Prbc.g_00788	Prbh.g_00182
OG0000006	Prbc.g_02202	Prbh.g_00538
OG0000007	Prbc.g_01556	Prbh.g_00334
OG0000007	Prbc.g_00832	Prbh.g_01782
OG0000008	Prbc.g_00893	Prbh.g_01406
OG0000008	Prbc.g_00894	Prbh.g_01405
OG0000009	Prbc.g_01344	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Prbc.g_01533	Prbh.g_00357
OG0000010	Prbc.g_02115	Prbh.g_00848, Prbh.g_01143
OG0000011	Prbc.g_00136	Prbh.g_01835
OG0000013	Prbc.g_01219	Prbh.g_00452
OG0000014	Prbc.g_01198	Prbh.g_00472
OG0000015	Prbc.g_00599	Prbh.g_00840, Prbh.g_01869
OG0000016	Prbc.g_00929	Prbh.g_01336
OG0000018	Prbc.g_01887	Prbh.g_00981
OG0000018	Prbc.g_01468	Prbh.g_01305
OG0000019	Prbc.g_01836	Prbh.g_01307
OG0000020	Prbc.g_00054	Prbh.g_01819
OG0000020	Prbc.g_00116	Prbh.g_01898
OG0000021	Prbc.g_00924	Prbh.g_00203
OG0000021	Prbc.g_02189	Prbh.g_00938
OG0000022	Prbc.g_00166	Prbh.g_00190
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prbh.g_00833
OG0000024	Prbc.g_00598	Prbh.g_01147
OG0000024	Prbc.g_01755	Prbh.g_00909
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prbh.g_00988
OG0000026	Prbc.g_01101	Prbh.g_00749
OG0000028	Prbc.g_00653	Prbh.g_00404
OG0000030	Prbc.g_00199	Prbh.g_01570
OG0000031	Prbc.g_01228	Prbh.g_00064
OG0000032	Prbc.g_00746	Prbh.g_00138
OG0000033	Prbc.g_00402	Prbh.g_00613
OG0000034	Prbc.g_00575	Prbh.g_01383
