Orthogroup	Prbc	Syah
OG0000001	Prbc.g_00588	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Syah.g_01829
OG0000004	Prbc.g_01381	Syah.g_02017
OG0000004	Prbc.g_00339	Syah.g_01967, Syah.g_00901
OG0000005	Prbc.g_00098	Syah.g_02403
OG0000005	Prbc.g_00788	Syah.g_02363
OG0000006	Prbc.g_02202	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prbc.g_01556	Syah.g_01016
OG0000007	Prbc.g_00832	Syah.g_02384
OG0000008	Prbc.g_00893	Syah.g_01994
OG0000008	Prbc.g_00894	Syah.g_01993
OG0000009	Prbc.g_01344	Syah.g_02457
OG0000010	Prbc.g_02115	Syah.g_01220
OG0000011	Prbc.g_00136, Prbc.g_00616	Syah.g_01991
OG0000013	Prbc.g_01219	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Prbc.g_01198	Syah.g_00127
OG0000014	Prbc.g_00680	Syah.g_00223, Syah.g_00323
OG0000015	Prbc.g_00599	Syah.g_01511, Syah.g_01510
OG0000016	Prbc.g_01083	Syah.g_00359
OG0000016	Prbc.g_00929	Syah.g_01402, Syah.g_01859
OG0000018	Prbc.g_01468	Syah.g_01264
OG0000019	Prbc.g_01836	Syah.g_00669
OG0000022	Prbc.g_01288	Syah.g_01881
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prbc.g_00598, Prbc.g_01755	Syah.g_01990
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syah.g_02082
OG0000026	Prbc.g_01101	Syah.g_00340
OG0000027	Prbc.g_00072	Syah.g_01541
OG0000028	Prbc.g_00653	Syah.g_00141
OG0000030	Prbc.g_00199	Syah.g_00264, Syah.g_00265
OG0000031	Prbc.g_01228	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000032	Prbc.g_00746	Syah.g_01246
OG0000033	Prbc.g_00402	Syah.g_00078, Syah.g_00211
OG0000034	Prbc.g_00575	Syah.g_00048, Syah.g_02213
OG0000035	Prbc.g_00709	Syah.g_01293
OG0000037	Prbc.g_00464	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prbc.g_00995	Syah.g_00508, Syah.g_00506
OG0000039	Prbc.g_01768	Syah.g_02074
OG0000040	Prbc.g_00909, Prbc.g_00811	Syah.g_01908
OG0000041	Prbc.g_00877	Syah.g_02271, Syah.g_02039
OG0000042	Prbc.g_00203	Syah.g_00261
OG0000043	Prbc.g_00135	Syah.g_02119
OG0000043	Prbc.g_01953	Syah.g_01546
OG0000044	Prbc.g_00533	Syah.g_02454, Syah.g_02072, Syah.g_01194
OG0000046	Prbc.g_01220	Syah.g_00823, Syah.g_00830, Syah.g_00816
OG0000047	Prbc.g_01227, Prbc.g_01273	Syah.g_00847
OG0000048	Prbc.g_01165	Syah.g_00637
OG0000050	Prbc.g_00513	Syah.g_00941
OG0000052	Prbc.g_00518, Prbc.g_00517	Syah.g_00171
OG0000053	Prbc.g_00728	Syah.g_01267
OG0000054	Prbc.g_01683	Syah.g_01982, Syah.g_01862
OG0000055	Prbc.g_00907	Syah.g_01878
