Orthogroup	Prbc	Prbj
OG0000000	Prbc.g_02163, Prbc.g_00103	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbc.g_02165	Prbj.g_00164
OG0000001	Prbc.g_00588	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Prbc.g_01920	Prbj.g_02517
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Prbj.g_00030
OG0000004	Prbc.g_01381	Prbj.g_00754
OG0000004	Prbc.g_00339	Prbj.g_01777
OG0000005	Prbc.g_00788	Prbj.g_00883
OG0000006	Prbc.g_02202	Prbj.g_02699
OG0000007	Prbc.g_01556	Prbj.g_01610
OG0000007	Prbc.g_00832	Prbj.g_00857
OG0000008	Prbc.g_00893	Prbj.g_00929
OG0000008	Prbc.g_00894	Prbj.g_00928
OG0000010	Prbc.g_02115	Prbj.g_00129
OG0000011	Prbc.g_00164	Prbj.g_00897
OG0000013	Prbc.g_01219	Prbj.g_00359
OG0000014	Prbc.g_01198	Prbj.g_01442
OG0000015	Prbc.g_00599	Prbj.g_02502
OG0000018	Prbc.g_01468	Prbj.g_00641
OG0000019	Prbc.g_01836	Prbj.g_00025, Prbj.g_01349
OG0000020	Prbc.g_00116	Prbj.g_00214, Prbj.g_02701
OG0000020	Prbc.g_02114	Prbj.g_00046
OG0000021	Prbc.g_00924	Prbj.g_01121
OG0000021	Prbc.g_02189	Prbj.g_01774
OG0000022	Prbc.g_01288	Prbj.g_00050
OG0000022	Prbc.g_00166	Prbj.g_01572
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prbj.g_02392
OG0000024	Prbc.g_00598, Prbc.g_01755	Prbj.g_00773
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prbj.g_02475
OG0000026	Prbc.g_01101	Prbj.g_01204
OG0000030	Prbc.g_00199	Prbj.g_01288, Prbj.g_01287
OG0000031	Prbc.g_01228	Prbj.g_01522, Prbj.g_01527
OG0000032	Prbc.g_00746	Prbj.g_00659
OG0000033	Prbc.g_00402	Prbj.g_00518
OG0000034	Prbc.g_00575	Prbj.g_01740
OG0000035	Prbc.g_00709	Prbj.g_01056
OG0000037	Prbc.g_00464	Prbj.g_00624
OG0000038	Prbc.g_00995	Prbj.g_01959, Prbj.g_01961
OG0000039	Prbc.g_01768	Prbj.g_00429, Prbj.g_00278
OG0000041	Prbc.g_00877	Prbj.g_00450
OG0000042	Prbc.g_00203	Prbj.g_01808, Prbj.g_00001
OG0000044	Prbc.g_00533	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000045	Prbc.g_02137	Prbj.g_00563
OG0000046	Prbc.g_01220	Prbj.g_00358
OG0000047	Prbc.g_01227	Prbj.g_00666
OG0000047	Prbc.g_01273	Prbj.g_02509
OG0000048	Prbc.g_01165	Prbj.g_01393
OG0000051	Prbc.g_00088	Prbj.g_00705
OG0000052	Prbc.g_00518, Prbc.g_00517	Prbj.g_01487
OG0000053	Prbc.g_00728	Prbj.g_00638
OG0000054	Prbc.g_01683	Prbj.g_01758
OG0000056	Prbc.g_00011	Prbj.g_02533, Prbj.g_00371, Prbj.g_01125
OG0000057	Prbc.g_00055, Prbc.g_01780	Prbj.g_00758
OG0000058	Prbc.g_01928	Prbj.g_01467
OG0000059	Prbc.g_00958	Prbj.g_01029
OG0000061	Prbc.g_01446	Prbj.g_00971
OG0000062	Prbc.g_00790	Prbj.g_00881
OG0000063	Prbc.g_00932	Prbj.g_01208
OG0000065	Prbc.g_00466	Prbj.g_00620
OG0000066	Prbc.g_01618	Prbj.g_02141
OG0000067	Prbc.g_01858	Prbj.g_02412
OG0000068	Prbc.g_00657	Prbj.g_01639
OG0000070	Prbc.g_01511	Prbj.g_00118
OG0000071	Prbc.g_00566	Prbj.g_01728
OG0000072	Prbc.g_00400	Prbj.g_00516
OG0000073	Prbc.g_01579	Prbj.g_01608
OG0000075	Prbc.g_00236	Prbj.g_01502
OG0000076	Prbc.g_00211	Prbj.g_01598
OG0000077	Prbc.g_00495	Prbj.g_01900
OG0000078	Prbc.g_00330	Prbj.g_02614
OG0000079	Prbc.g_01148	Prbj.g_01353
OG0000081	Prbc.g_01610	Prbj.g_00799, Prbj.g_00765
OG0000082	Prbc.g_00891	Prbj.g_01789
OG0000084	Prbc.g_00705	Prbj.g_01052
OG0000085	Prbc.g_00826	Prbj.g_00869
OG0000086	Prbc.g_00485	Prbj.g_00589
OG0000087	Prbc.g_00432	Prbj.g_01547
OG0000088	Prbc.g_00405	Prbj.g_00521, Prbj.g_00912
OG0000089	Prbc.g_01268	Prbj.g_00064
OG0000090	Prbc.g_01612	Prbj.g_02127
OG0000091	Prbc.g_01719	Prbj.g_02581
OG0000093	Prbc.g_01843	Prbj.g_02388
OG0000094	Prbc.g_01935	Prbj.g_01985
OG0000095	Prbc.g_02113	Prbj.g_01838
OG0000097	Prbc.g_01400	Prbj.g_02152
OG0000098	Prbc.g_00585	Prbj.g_00669
OG0000099	Prbc.g_01229	Prbj.g_01464
OG0000100	Prbc.g_00785	Prbj.g_00185, Prbj.g_02442
OG0000101	Prbc.g_00284	Prbj.g_00415, Prbj.g_00981
OG0000102	Prbc.g_00206	Prbj.g_01819
OG0000103	Prbc.g_01053	Prbj.g_02055
OG0000104	Prbc.g_01065	Prbj.g_02069
OG0000105	Prbc.g_01167	Prbj.g_01397
OG0000106	Prbc.g_00134, Prbc.g_00641	Prbj.g_00875
OG0000107	Prbc.g_00934	Prbj.g_02659
OG0000108	Prbc.g_01540	Prbj.g_01630
OG0000109	Prbc.g_01553	Prbj.g_01614
OG0000110	Prbc.g_01654	Prbj.g_01801
OG0000111	Prbc.g_01781	Prbj.g_00759
OG0000112	Prbc.g_02028	Prbj.g_02276
OG0000113	Prbc.g_01882, Prbc.g_00153	Prbj.g_02437
OG0000114	Prbc.g_01977	Prbj.g_02340
OG0000115	Prbc.g_00801	Prbj.g_00634
OG0000116	Prbc.g_01457	Prbj.g_00956
OG0000117	Prbc.g_00102	Prbj.g_01915
OG0000118	Prbc.g_00577	Prbj.g_01742
OG0000119	Prbc.g_00650	Prbj.g_00740, Prbj.g_00778
OG0000120	Prbc.g_01753	Prbj.g_01465
OG0000121	Prbc.g_00711	Prbj.g_01064, Prbj.g_01058
OG0000122	Prbc.g_00750	Prbj.g_02627
OG0000123	Prbc.g_00277	Prbj.g_00406
OG0000124	Prbc.g_00193	Prbj.g_01281
OG0000125	Prbc.g_00997	Prbj.g_01963
OG0000126	Prbc.g_01063	Prbj.g_02067
OG0000127	Prbc.g_01352, Prbc.g_00621	Prbj.g_02148, Prbj.g_00896
OG0000127	Prbc.g_00002, Prbc.g_00016	Prbj.g_00210
OG0000128	Prbc.g_01081	Prbj.g_02085
OG0000129	Prbc.g_01122	Prbj.g_01951
OG0000130	Prbc.g_00504	Prbj.g_00564
OG0000131	Prbc.g_00426	Prbj.g_00543
OG0000132	Prbc.g_00407	Prbj.g_00523
OG0000133	Prbc.g_01214	Prbj.g_01460
OG0000134	Prbc.g_01270	Prbj.g_00067
OG0000135	Prbc.g_02198, Prbc.g_02183	Prbj.g_02004
OG0000136	Prbc.g_01502	Prbj.g_00105
OG0000137	Prbc.g_01534	Prbj.g_00128
OG0000138	Prbc.g_01554	Prbj.g_01613
OG0000139	Prbc.g_01616	Prbj.g_02133
OG0000140	Prbc.g_01617	Prbj.g_02139
OG0000141	Prbc.g_01684	Prbj.g_01757
OG0000142	Prbc.g_01712	Prbj.g_02573
OG0000143	Prbc.g_01716	Prbj.g_02577
OG0000144	Prbc.g_01729	Prbj.g_00793
OG0000145	Prbc.g_02142	Prbj.g_01607
OG0000146	Prbc.g_02027	Prbj.g_02277
OG0000147	Prbc.g_02026	Prbj.g_02278
OG0000148	Prbc.g_01876	Prbj.g_02431
OG0000149	Prbc.g_01908	Prbj.g_02488
