Orthogroup	Prbc	Prar
OG0000000	Prbc.g_02163, Prbc.g_00103	Prar.g_00971
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806	Prar.g_00713
OG0000000	Prbc.g_02165	Prar.g_00729
OG0000000	Prbc.g_00525	Prar.g_00730, Prar.g_01204
OG0000001	Prbc.g_00588	Prar.g_00926
OG0000002	Prbc.g_01920	Prar.g_00918
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Prar.g_01508
OG0000004	Prbc.g_01381	Prar.g_01525
OG0000004	Prbc.g_00339	Prar.g_00095
OG0000005	Prbc.g_00098	Prar.g_01130
OG0000005	Prbc.g_00788	Prar.g_00771
OG0000006	Prbc.g_02202	Prar.g_00086
OG0000007	Prbc.g_01556	Prar.g_01328
OG0000007	Prbc.g_00832	Prar.g_01143
OG0000008	Prbc.g_00893	Prar.g_01185
OG0000010	Prbc.g_01533	Prar.g_00524
OG0000010	Prbc.g_02115	Prar.g_01567, Prar.g_01912
OG0000011	Prbc.g_00164	Prar.g_00978
OG0000011	Prbc.g_00136	Prar.g_00988
OG0000012	Prbc.g_02155	Prar.g_01453
OG0000013	Prbc.g_01219	Prar.g_00260
OG0000014	Prbc.g_01198	Prar.g_00281
OG0000015	Prbc.g_00599	Prar.g_01179
OG0000016	Prbc.g_01083	Prar.g_00025
OG0000017	Prbc.g_01674, Prbc.g_01681	Prar.g_01428
OG0000018	Prbc.g_01887	Prar.g_01711
OG0000018	Prbc.g_01468	Prar.g_01282
OG0000019	Prbc.g_01836	Prar.g_01663
OG0000020	Prbc.g_00054	Prar.g_01187
OG0000020	Prbc.g_00116	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prbc.g_00924, Prbc.g_02189	Prar.g_00425
OG0000022	Prbc.g_01288	Prar.g_01300
OG0000022	Prbc.g_00166	Prar.g_01649
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prar.g_00420
