Orthogroup	Prbc	Syao
OG0000001	Prbc.g_00588	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prbc.g_01381	Syao.g_02374
OG0000004	Prbc.g_00339	Syao.g_01271, Syao.g_01007
OG0000005	Prbc.g_00098	Syao.g_01680
OG0000005	Prbc.g_00788	Syao.g_01578
OG0000006	Prbc.g_02202	Syao.g_00919, Syao.g_01518
OG0000007	Prbc.g_01556	Syao.g_00105
OG0000007	Prbc.g_00832	Syao.g_01554
OG0000008	Prbc.g_00894	Syao.g_01321
OG0000010	Prbc.g_02115	Syao.g_02683
OG0000011	Prbc.g_00136, Prbc.g_00616	Syao.g_01282
OG0000012	Prbc.g_02155	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prbc.g_01219	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prbc.g_01198	Syao.g_02027
OG0000014	Prbc.g_00680	Syao.g_01136
OG0000015	Prbc.g_00599	Syao.g_02339, Syao.g_00302
OG0000016	Prbc.g_01083	Syao.g_01955
OG0000017	Prbc.g_01681	Syao.g_00997
OG0000018	Prbc.g_01468	Syao.g_00071
OG0000019	Prbc.g_01836	Syao.g_02108
OG0000021	Prbc.g_00924, Prbc.g_02189	Syao.g_01002
OG0000022	Prbc.g_01288	Syao.g_01218
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syao.g_01266
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syao.g_00436, Syao.g_00437
OG0000026	Prbc.g_01101	Syao.g_02234
OG0000027	Prbc.g_00072	Syao.g_01286, Syao.g_00202
OG0000028	Prbc.g_00653	Syao.g_02012
OG0000030	Prbc.g_00199	Syao.g_02189, Syao.g_02188
OG0000031	Prbc.g_01228	Syao.g_02008, Syao.g_01083
OG0000032	Prbc.g_00746	Syao.g_00090
OG0000033	Prbc.g_00402	Syao.g_02507
OG0000035	Prbc.g_00709	Syao.g_01483, Syao.g_01486
OG0000037	Prbc.g_00464	Syao.g_00374
OG0000038	Prbc.g_00995	Syao.g_02440, Syao.g_02442
OG0000039	Prbc.g_01768	Syao.g_00704
OG0000041	Prbc.g_00877	Syao.g_00509, Syao.g_01637
OG0000042	Prbc.g_00203	Syao.g_00019, Syao.g_01941
OG0000045	Prbc.g_02137	Syao.g_01214
OG0000046	Prbc.g_01220	Syao.g_01909, Syao.g_01845
OG0000047	Prbc.g_01273	Syao.g_01899
OG0000048	Prbc.g_01165	Syao.g_02077
OG0000052	Prbc.g_00518, Prbc.g_00517	Syao.g_01972
OG0000053	Prbc.g_00728	Syao.g_00067
OG0000054	Prbc.g_01683	Syao.g_00295, Syao.g_00625
OG0000055	Prbc.g_00907	Syao.g_00498
OG0000057	Prbc.g_00055, Prbc.g_01780	Syao.g_00377
OG0000058	Prbc.g_01928	Syao.g_01978, Syao.g_01080
OG0000059	Prbc.g_00958	Syao.g_01801
OG0000061	Prbc.g_01446	Syao.g_00123
OG0000062	Prbc.g_00790	Syao.g_01576
OG0000063	Prbc.g_00932	Syao.g_02230
OG0000065	Prbc.g_00466	Syao.g_02600
OG0000066	Prbc.g_01618	Syao.g_01422
OG0000067	Prbc.g_01858	Syao.g_00756
OG0000068	Prbc.g_00657	Syao.g_00868, Syao.g_00036
OG0000069	Prbc.g_02181, Prbc.g_00752	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prbc.g_01511	Syao.g_00330
OG0000071	Prbc.g_00566	Syao.g_01433
OG0000072	Prbc.g_00400	Syao.g_02509, Syao.g_01749
OG0000073	Prbc.g_01579	Syao.g_00103
OG0000075	Prbc.g_00236	Syao.g_02257
OG0000076	Prbc.g_00211	Syao.g_01949
OG0000077	Prbc.g_00495	Syao.g_02629
OG0000078	Prbc.g_00330	Syao.g_01709
OG0000079	Prbc.g_01148	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000080	Prbc.g_00679	Syao.g_02269
OG0000082	Prbc.g_00891	Syao.g_01035
OG0000084	Prbc.g_00705	Syao.g_01509, Syao.g_02606
OG0000085	Prbc.g_00826	Syao.g_01569
OG0000086	Prbc.g_00485	Syao.g_02653, Syao.g_01240
OG0000087	Prbc.g_00432	Syao.g_02555
OG0000088	Prbc.g_00405	Syao.g_02503
OG0000089	Prbc.g_01268	Syao.g_01716
OG0000090	Prbc.g_01612	Syao.g_01412
OG0000091	Prbc.g_01719	Syao.g_00902
OG0000092	Prbc.g_01982	Syao.g_00656
OG0000093	Prbc.g_01843	Syao.g_00739
OG0000094	Prbc.g_01935	Syao.g_00458
OG0000095	Prbc.g_02113	Syao.g_00331
OG0000097	Prbc.g_01400	Syao.g_00973
OG0000098	Prbc.g_00585	Syao.g_01374
OG0000099	Prbc.g_01229	Syao.g_02019
OG0000100	Prbc.g_00785	Syao.g_00787
OG0000101	Prbc.g_00284	Syao.g_01840
OG0000102	Prbc.g_00206	Syao.g_01945
OG0000103	Prbc.g_01053	Syao.g_02340
OG0000104	Prbc.g_01065	Syao.g_02157
OG0000105	Prbc.g_01167	Syao.g_02071, Syao.g_02072
OG0000106	Prbc.g_00134, Prbc.g_00641	Syao.g_01385
OG0000107	Prbc.g_00934	Syao.g_01935
OG0000108	Prbc.g_01540	Syao.g_00028
OG0000109	Prbc.g_01553	Syao.g_00110
OG0000110	Prbc.g_01654	Syao.g_01051
OG0000111	Prbc.g_01781	Syao.g_00378
OG0000112	Prbc.g_02028	Syao.g_00683, Syao.g_00303
OG0000113	Prbc.g_01882, Prbc.g_00153	Syao.g_00782
OG0000114	Prbc.g_01977	Syao.g_00965
OG0000115	Prbc.g_00801	Syao.g_01464, Syao.g_00065
OG0000116	Prbc.g_01457	Syao.g_00137
OG0000117	Prbc.g_00102	Syao.g_00169
OG0000118	Prbc.g_00577	Syao.g_01475
OG0000120	Prbc.g_01753	Syao.g_02009
OG0000121	Prbc.g_00711	Syao.g_01489
OG0000122	Prbc.g_00750	Syao.g_01247
OG0000123	Prbc.g_00277	Syao.g_01832
OG0000124	Prbc.g_00193	Syao.g_02179
OG0000125	Prbc.g_00997	Syao.g_02444
OG0000126	Prbc.g_01063	Syao.g_02198
OG0000127	Prbc.g_00002, Prbc.g_00016	Syao.g_01312
OG0000127	Prbc.g_01367	Syao.g_02375
OG0000128	Prbc.g_01081	Syao.g_02149
OG0000129	Prbc.g_01122	Syao.g_02434
OG0000130	Prbc.g_00504	Syao.g_02617
