Orthogroup	Prbc	Prag
OG0000000	Prbc.g_02163, Prbc.g_00103	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Prbc.g_02165	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prbc.g_00525	Prag.g_00722, Prag.g_01213, Prag.g_01607, Prag.g_01650
OG0000001	Prbc.g_00892	Prag.g_01654
OG0000001	Prbc.g_00588	Prag.g_01374
OG0000002	Prbc.g_01920	Prag.g_01382
OG0000002	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Prag.g_00656
OG0000004	Prbc.g_01381	Prag.g_00673
OG0000004	Prbc.g_00339	Prag.g_00225
OG0000005	Prbc.g_00098	Prag.g_01682
OG0000005	Prbc.g_00788	Prag.g_01566
OG0000006	Prbc.g_02202	Prag.g_00234, Prag.g_01231
OG0000007	Prbc.g_01556	Prag.g_00476
OG0000007	Prbc.g_00832	Prag.g_01669
OG0000008	Prbc.g_00893	Prag.g_01655
OG0000008	Prbc.g_00894	Prag.g_01656
OG0000010	Prbc.g_01533	Prag.g_00453
OG0000010	Prbc.g_02115	Prag.g_01043
OG0000011	Prbc.g_00164	Prag.g_01326
OG0000012	Prbc.g_02155	Prag.g_00601
OG0000013	Prbc.g_01219	Prag.g_00318
OG0000014	Prbc.g_01198	Prag.g_00297
OG0000015	Prbc.g_00599	Prag.g_00765
OG0000016	Prbc.g_01083	Prag.g_00013
OG0000016	Prbc.g_00929	Prag.g_01638
OG0000017	Prbc.g_01674, Prbc.g_01681	Prag.g_00576
OG0000018	Prbc.g_01887	Prag.g_00833
OG0000018	Prbc.g_01468	Prag.g_01134
OG0000019	Prbc.g_01836	Prag.g_00786
OG0000020	Prbc.g_00116	Prag.g_01637
OG0000021	Prbc.g_00924, Prbc.g_02189	Prag.g_01633, Prag.g_00359
OG0000022	Prbc.g_01288	Prag.g_01116
OG0000022	Prbc.g_00166	Prag.g_00757
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prag.g_00354
OG0000024	Prbc.g_00598	Prag.g_00740
OG0000024	Prbc.g_01755	Prag.g_00653
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prag.g_00322
OG0000026	Prbc.g_01101	Prag.g_00031, Prag.g_01050
OG0000027	Prbc.g_00072	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Prbc.g_00653	Prag.g_01270
OG0000030	Prbc.g_00199	Prag.g_01871
OG0000031	Prbc.g_01228	Prag.g_01446
OG0000033	Prbc.g_00402	Prag.g_00162
OG0000034	Prbc.g_00575	Prag.g_01365
OG0000035	Prbc.g_00709	Prag.g_01490, Prag.g_01488
OG0000037	Prbc.g_00464	Prag.g_00102
OG0000038	Prbc.g_00995	Prag.g_01911
OG0000039	Prbc.g_01768	Prag.g_00664
OG0000040	Prbc.g_00811	Prag.g_01630
OG0000041	Prbc.g_00877	Prag.g_01716
OG0000042	Prbc.g_00203	Prag.g_01868
OG0000047	Prbc.g_01227	Prag.g_00321
OG0000048	Prbc.g_01165	Prag.g_01658, Prag.g_00368
OG0000050	Prbc.g_00513	Prag.g_01071
OG0000051	Prbc.g_00095	Prag.g_01645
OG0000053	Prbc.g_00728	Prag.g_01510
OG0000054	Prbc.g_01683	Prag.g_00584
OG0000055	Prbc.g_01822, Prbc.g_00907	Prag.g_00787
OG0000057	Prbc.g_00055, Prbc.g_01780	Prag.g_00676
OG0000059	Prbc.g_00958	Prag.g_01755
OG0000061	Prbc.g_01446	Prag.g_01153
OG0000062	Prbc.g_00790	Prag.g_01568
OG0000063	Prbc.g_00932	Prag.g_00033
OG0000065	Prbc.g_00466	Prag.g_00100
OG0000066	Prbc.g_01618	Prag.g_00518
OG0000067	Prbc.g_01858	Prag.g_00806
OG0000068	Prbc.g_00657	Prag.g_01389
OG0000069	Prbc.g_02181, Prbc.g_00752	Prag.g_01601
OG0000070	Prbc.g_01511	Prag.g_00429
OG0000071	Prbc.g_00566	Prag.g_01355
OG0000072	Prbc.g_00400	Prag.g_00164
OG0000073	Prbc.g_01579	Prag.g_00478
OG0000074	Prbc.g_01763, Prbc.g_01960, Prbc.g_02148	Prag.g_00660
OG0000075	Prbc.g_00236	Prag.g_01836
OG0000076	Prbc.g_00211	Prag.g_01861
OG0000077	Prbc.g_00495	Prag.g_00072
OG0000078	Prbc.g_00330	Prag.g_00232
OG0000081	Prbc.g_01610	Prag.g_00510
OG0000082	Prbc.g_00891	Prag.g_00563
OG0000083	Prbc.g_02193, Prbc.g_01233	Prag.g_00734, Prag.g_01332, Prag.g_00726
OG0000084	Prbc.g_00705	Prag.g_01484
OG0000085	Prbc.g_00826	Prag.g_01662
OG0000086	Prbc.g_00485	Prag.g_00082
OG0000087	Prbc.g_00432	Prag.g_00132
OG0000088	Prbc.g_00405	Prag.g_00159
OG0000089	Prbc.g_01268	Prag.g_00350
OG0000090	Prbc.g_01612	Prag.g_00512
OG0000091	Prbc.g_01719	Prag.g_00620
OG0000093	Prbc.g_01843	Prag.g_00932
OG0000094	Prbc.g_01935	Prag.g_01017
OG0000095	Prbc.g_02113	Prag.g_01036
OG0000096	Prbc.g_01323	Prag.g_01636, Prag.g_01103, Prag.g_01319
OG0000097	Prbc.g_01400	Prag.g_01194
OG0000098	Prbc.g_00585	Prag.g_01371
OG0000099	Prbc.g_01229	Prag.g_01424
OG0000100	Prbc.g_00785	Prag.g_01564
OG0000101	Prbc.g_00284	Prag.g_01804
OG0000102	Prbc.g_00206	Prag.g_01866
OG0000103	Prbc.g_01053	Prag.g_01945
OG0000104	Prbc.g_01065	Prag.g_01953
OG0000105	Prbc.g_01167	Prag.g_00265
OG0000106	Prbc.g_00134, Prbc.g_00641	Prag.g_00364
OG0000107	Prbc.g_00934	Prag.g_00378
OG0000108	Prbc.g_01540	Prag.g_00459
OG0000109	Prbc.g_01553	Prag.g_00473
OG0000110	Prbc.g_01654	Prag.g_00553
OG0000111	Prbc.g_01781	Prag.g_00677
OG0000112	Prbc.g_02028	Prag.g_00771
OG0000113	Prbc.g_01882, Prbc.g_00153	Prag.g_00828
OG0000114	Prbc.g_01977	Prag.g_00906
OG0000115	Prbc.g_00801	Prag.g_01097
OG0000116	Prbc.g_01457	Prag.g_01143
OG0000117	Prbc.g_00102	Prag.g_01298
OG0000118	Prbc.g_00577	Prag.g_01367
OG0000119	Prbc.g_00650	Prag.g_01385
OG0000120	Prbc.g_01753	Prag.g_01423
OG0000121	Prbc.g_00711	Prag.g_01492
OG0000122	Prbc.g_00750	Prag.g_01530
OG0000123	Prbc.g_00277	Prag.g_01811
OG0000124	Prbc.g_00193	Prag.g_01877
OG0000125	Prbc.g_00997	Prag.g_01913
OG0000126	Prbc.g_01063	Prag.g_01952
OG0000128	Prbc.g_01081	Prag.g_00011
OG0000129	Prbc.g_01122	Prag.g_00044
OG0000130	Prbc.g_00504	Prag.g_00063
OG0000131	Prbc.g_00426	Prag.g_00138
OG0000132	Prbc.g_00407	Prag.g_00157
OG0000133	Prbc.g_01214	Prag.g_00313
OG0000134	Prbc.g_01270	Prag.g_00351
OG0000135	Prbc.g_02198, Prbc.g_02183	Prag.g_00375
OG0000136	Prbc.g_01502	Prag.g_00420
OG0000137	Prbc.g_01534	Prag.g_00454
OG0000138	Prbc.g_01554	Prag.g_00474
OG0000139	Prbc.g_01616	Prag.g_00516
OG0000140	Prbc.g_01617	Prag.g_00517
OG0000141	Prbc.g_01684	Prag.g_00585
OG0000142	Prbc.g_01712	Prag.g_00613
OG0000143	Prbc.g_01716	Prag.g_00617
OG0000144	Prbc.g_01729	Prag.g_00630
OG0000145	Prbc.g_02142	Prag.g_00758
OG0000146	Prbc.g_02027	Prag.g_00772
OG0000147	Prbc.g_02026	Prag.g_00773
OG0000148	Prbc.g_01876	Prag.g_00822
OG0000149	Prbc.g_01908	Prag.g_00851
OG0000150	Prbc.g_01916	Prag.g_00859
OG0000151	Prbc.g_01988	Prag.g_00916
OG0000152	Prbc.g_02036	Prag.g_00964
OG0000153	Prbc.g_02054	Prag.g_00983
OG0000154	Prbc.g_02083	Prag.g_01010
OG0000155	Prbc.g_01424	Prag.g_01173
OG0000156	Prbc.g_00555	Prag.g_01342
OG0000157	Prbc.g_00556	Prag.g_01343
OG0000158	Prbc.g_00228	Prag.g_01425
OG0000160	Prbc.g_00710	Prag.g_01491
OG0000161	Prbc.g_00716	Prag.g_01497
OG0000162	Prbc.g_00722	Prag.g_01503
OG0000163	Prbc.g_00758	Prag.g_01537
OG0000164	Prbc.g_00854	Prag.g_01693
OG0000165	Prbc.g_00862	Prag.g_01700
OG0000166	Prbc.g_00321	Prag.g_01768
OG0000167	Prbc.g_00238	Prag.g_01834
OG0000168	Prbc.g_00227	Prag.g_01844
OG0000169	Prbc.g_00217	Prag.g_01854
OG0000170	Prbc.g_00215	Prag.g_01856
OG0000171	Prbc.g_00194	Prag.g_01876
OG0000172	Prbc.g_00967	Prag.g_01884
OG0000173	Prbc.g_00982	Prag.g_01899
OG0000174	Prbc.g_01013	Prag.g_01927
OG0000175	Prbc.g_01044	Prag.g_01937
OG0000176	Prbc.g_01074	Prag.g_00004
OG0000177	Prbc.g_01075	Prag.g_00005
OG0000178	Prbc.g_01076	Prag.g_00006
OG0000179	Prbc.g_01086	Prag.g_00016
OG0000180	Prbc.g_01087	Prag.g_00017
OG0000181	Prbc.g_01088	Prag.g_00018
OG0000182	Prbc.g_01089	Prag.g_00019
OG0000183	Prbc.g_01093	Prag.g_00023
OG0000184	Prbc.g_01124	Prag.g_00046
OG0000185	Prbc.g_01127	Prag.g_00049
OG0000186	Prbc.g_00509	Prag.g_00058
OG0000187	Prbc.g_00508	Prag.g_00059
OG0000188	Prbc.g_00491	Prag.g_00076
OG0000189	Prbc.g_00477	Prag.g_00089
OG0000190	Prbc.g_00476	Prag.g_00090
OG0000191	Prbc.g_00453	Prag.g_00110
OG0000192	Prbc.g_00449	Prag.g_00114
OG0000193	Prbc.g_00425	Prag.g_00139
OG0000194	Prbc.g_00422	Prag.g_00142
OG0000195	Prbc.g_00420	Prag.g_00144
OG0000196	Prbc.g_00410	Prag.g_00154
OG0000197	Prbc.g_00409	Prag.g_00155
OG0000198	Prbc.g_00408	Prag.g_00156
OG0000199	Prbc.g_00401	Prag.g_00163
OG0000200	Prbc.g_00388	Prag.g_00177
OG0000201	Prbc.g_00379	Prag.g_00185
OG0000202	Prbc.g_00378	Prag.g_00186
OG0000203	Prbc.g_00377	Prag.g_00187
OG0000204	Prbc.g_00376	Prag.g_00188
OG0000205	Prbc.g_00369	Prag.g_00195
OG0000206	Prbc.g_00365	Prag.g_00200
OG0000207	Prbc.g_00363	Prag.g_00202
OG0000208	Prbc.g_00362	Prag.g_00203
OG0000209	Prbc.g_00352	Prag.g_00212
OG0000210	Prbc.g_00351	Prag.g_00213
OG0000211	Prbc.g_00337	Prag.g_00226
OG0000212	Prbc.g_00329	Prag.g_00233
OG0000213	Prbc.g_01153	Prag.g_00249
OG0000214	Prbc.g_01161	Prag.g_00258
OG0000215	Prbc.g_01185	Prag.g_00283
OG0000216	Prbc.g_01186	Prag.g_00285
OG0000217	Prbc.g_01189	Prag.g_00288
OG0000218	Prbc.g_01191	Prag.g_00290
OG0000219	Prbc.g_01192	Prag.g_00291
OG0000220	Prbc.g_01193	Prag.g_00292
OG0000221	Prbc.g_01194	Prag.g_00293
OG0000222	Prbc.g_01202	Prag.g_00301
OG0000223	Prbc.g_01215	Prag.g_00314
OG0000224	Prbc.g_01217	Prag.g_00316
OG0000225	Prbc.g_01257	Prag.g_00340
OG0000226	Prbc.g_01261	Prag.g_00344
OG0000227	Prbc.g_01263	Prag.g_00346
OG0000228	Prbc.g_01267	Prag.g_00349
OG0000229	Prbc.g_01497	Prag.g_00415
OG0000230	Prbc.g_01499	Prag.g_00417
OG0000231	Prbc.g_01510	Prag.g_00428
OG0000232	Prbc.g_01518	Prag.g_00437
OG0000233	Prbc.g_01526	Prag.g_00442
OG0000234	Prbc.g_01535	Prag.g_00455
OG0000235	Prbc.g_01539	Prag.g_00458
OG0000236	Prbc.g_01552	Prag.g_00472
OG0000237	Prbc.g_01586	Prag.g_00485
OG0000238	Prbc.g_01592	Prag.g_00491
OG0000239	Prbc.g_01604	Prag.g_00504
OG0000240	Prbc.g_01605	Prag.g_00505
OG0000241	Prbc.g_01609	Prag.g_00509
OG0000242	Prbc.g_01611	Prag.g_00511
OG0000243	Prbc.g_01622	Prag.g_00522
OG0000244	Prbc.g_01626	Prag.g_00525
OG0000245	Prbc.g_01628	Prag.g_00527
OG0000246	Prbc.g_01632	Prag.g_00531
OG0000247	Prbc.g_01642	Prag.g_00541
OG0000248	Prbc.g_01644	Prag.g_00543
OG0000249	Prbc.g_01646	Prag.g_00545
OG0000250	Prbc.g_01651	Prag.g_00550
OG0000251	Prbc.g_01667	Prag.g_00569
OG0000252	Prbc.g_01669	Prag.g_00572
OG0000253	Prbc.g_01671	Prag.g_00573
OG0000254	Prbc.g_01688	Prag.g_00589
OG0000255	Prbc.g_01694	Prag.g_00595
OG0000256	Prbc.g_01704	Prag.g_00605
OG0000257	Prbc.g_01707	Prag.g_00608
OG0000258	Prbc.g_01720	Prag.g_00621
OG0000259	Prbc.g_01737	Prag.g_00638
OG0000260	Prbc.g_01740	Prag.g_00641
OG0000261	Prbc.g_01743	Prag.g_00643
OG0000262	Prbc.g_01748	Prag.g_00647
OG0000263	Prbc.g_01762	Prag.g_00659
OG0000264	Prbc.g_01773	Prag.g_00669
OG0000265	Prbc.g_01787	Prag.g_00692
OG0000266	Prbc.g_01797	Prag.g_00702
OG0000267	Prbc.g_01810	Prag.g_00713
OG0000268	Prbc.g_01811	Prag.g_00714
OG0000269	Prbc.g_01853	Prag.g_00801
OG0000270	Prbc.g_01856	Prag.g_00804
OG0000271	Prbc.g_01864	Prag.g_00812
OG0000272	Prbc.g_01865	Prag.g_00813
OG0000273	Prbc.g_01890	Prag.g_00835
OG0000274	Prbc.g_01891	Prag.g_00836
OG0000275	Prbc.g_01893	Prag.g_00838
OG0000276	Prbc.g_01899	Prag.g_00843
OG0000277	Prbc.g_01900	Prag.g_00844
OG0000278	Prbc.g_01904	Prag.g_00847
OG0000279	Prbc.g_01911	Prag.g_00854
OG0000280	Prbc.g_00068	Prag.g_00855
OG0000281	Prbc.g_01917	Prag.g_00860
OG0000282	Prbc.g_01979	Prag.g_00908
OG0000283	Prbc.g_02010	Prag.g_00941
OG0000284	Prbc.g_02015	Prag.g_00946
OG0000285	Prbc.g_02020	Prag.g_00951
OG0000286	Prbc.g_02035	Prag.g_00963
OG0000287	Prbc.g_02190	Prag.g_00980
OG0000288	Prbc.g_02082	Prag.g_01009
OG0000289	Prbc.g_02094	Prag.g_01020
OG0000290	Prbc.g_02110	Prag.g_01033
OG0000291	Prbc.g_02112	Prag.g_01035
OG0000292	Prbc.g_00173	Prag.g_01085
OG0000293	Prbc.g_01456	Prag.g_01144
OG0000294	Prbc.g_01455	Prag.g_01145
OG0000295	Prbc.g_01431	Prag.g_01165
OG0000296	Prbc.g_01429	Prag.g_01167
OG0000297	Prbc.g_01421	Prag.g_01175
OG0000298	Prbc.g_01420	Prag.g_01176
OG0000299	Prbc.g_01401	Prag.g_01193
OG0000300	Prbc.g_01398	Prag.g_01196
OG0000301	Prbc.g_01397	Prag.g_01197
OG0000302	Prbc.g_01395	Prag.g_01199
OG0000303	Prbc.g_01390	Prag.g_01206
OG0000304	Prbc.g_01387	Prag.g_01210
OG0000305	Prbc.g_00810	Prag.g_01381
OG0000306	Prbc.g_01921	Prag.g_01384
OG0000307	Prbc.g_00666	Prag.g_01398
OG0000308	Prbc.g_00667	Prag.g_01399
OG0000309	Prbc.g_00671	Prag.g_01403
OG0000310	Prbc.g_00693	Prag.g_01473
OG0000311	Prbc.g_00695	Prag.g_01475
OG0000312	Prbc.g_00698	Prag.g_01478
OG0000313	Prbc.g_00713	Prag.g_01494
OG0000314	Prbc.g_00734	Prag.g_01516
OG0000315	Prbc.g_00744	Prag.g_01527
OG0000316	Prbc.g_00768	Prag.g_01547
OG0000317	Prbc.g_00830	Prag.g_01667
OG0000318	Prbc.g_00833	Prag.g_01670
OG0000319	Prbc.g_00844	Prag.g_01683
OG0000320	Prbc.g_00846	Prag.g_01685
OG0000321	Prbc.g_00847	Prag.g_01686
OG0000322	Prbc.g_00848	Prag.g_01687
OG0000323	Prbc.g_00857	Prag.g_01696
OG0000324	Prbc.g_00884	Prag.g_01723
OG0000325	Prbc.g_00935	Prag.g_01733
OG0000326	Prbc.g_00941	Prag.g_01739
OG0000327	Prbc.g_00326	Prag.g_01763
OG0000328	Prbc.g_00325	Prag.g_01764
OG0000329	Prbc.g_00308	Prag.g_01781
OG0000330	Prbc.g_00307	Prag.g_01782
OG0000331	Prbc.g_00306	Prag.g_01783
