Orthogroup	Praf	Pral
OG0000000	Praf.g_01631	Pral.g_01549, Pral.g_01554
OG0000000	Praf.g_00948	Pral.g_01764, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Pral.g_01236
OG0000003	Praf.g_00814	Pral.g_00040, Pral.g_01332
OG0000004	Praf.g_01014, Praf.g_02005	Pral.g_01898
OG0000006	Praf.g_00614	Pral.g_00593
OG0000006	Praf.g_00480	Pral.g_00107
OG0000007	Praf.g_01223	Pral.g_00020
OG0000007	Praf.g_01224	Pral.g_00021
OG0000009	Praf.g_02214	Pral.g_01344, Pral.g_00790
OG0000011	Praf.g_01898	Pral.g_00672
OG0000012	Praf.g_00760	Pral.g_00484
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Pral.g_01813
OG0000016	Praf.g_01108	Pral.g_01861
OG0000016	Praf.g_01143	Pral.g_01063
OG0000017	Praf.g_01828	Pral.g_01139, Pral.g_00066
OG0000018	Praf.g_00396, Praf.g_01719	Pral.g_00797
OG0000019	Praf.g_00746	Pral.g_01738
OG0000020	Praf.g_02267	Pral.g_00768
OG0000024	Praf.g_02319	Pral.g_00732
OG0000024	Praf.g_00112	Pral.g_01261
OG0000025	Praf.g_01105	Pral.g_01829
OG0000026	Praf.g_00041	Pral.g_00435
OG0000028	Praf.g_01794	Pral.g_01161
OG0000031	Praf.g_01022	Pral.g_00095
OG0000032	Praf.g_00113	Pral.g_01193
OG0000034	Praf.g_02366	Pral.g_00987
OG0000036	Praf.g_00731	Pral.g_00057
OG0000037	Praf.g_01668	Pral.g_00015
OG0000038	Praf.g_00965, Praf.g_00201	Pral.g_00044
OG0000039	Praf.g_02454	Pral.g_00878
OG0000042	Praf.g_01238, Praf.g_01302	Pral.g_01729
OG0000043	Praf.g_00943, Praf.g_00941	Pral.g_01665
OG0000044	Praf.g_00854	Pral.g_01367
OG0000045	Praf.g_02345	Pral.g_01202
OG0000046	Praf.g_00491	Pral.g_00099
OG0000047	Praf.g_00178	Pral.g_00305
OG0000048	Praf.g_00920, Praf.g_00164	Pral.g_00313
OG0000050	Praf.g_00037	Pral.g_01012
OG0000051	Praf.g_02445	Pral.g_00887
OG0000052	Praf.g_00496	Pral.g_01859
OG0000053	Praf.g_00672	Pral.g_00551
OG0000054	Praf.g_00348	Pral.g_00043
OG0000055	Praf.g_01556	Pral.g_01511
OG0000056	Praf.g_02587	Pral.g_00019
OG0000057	Praf.g_00386	Pral.g_00803
OG0000058	Praf.g_01907	Pral.g_00617
OG0000059	Praf.g_01125	Pral.g_01740
OG0000062	Praf.g_01034, Praf.g_02690	Pral.g_00056
OG0000063	Praf.g_00919	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000065	Praf.g_00796	Pral.g_01281
OG0000066	Praf.g_02343	Pral.g_00702
OG0000068	Praf.g_02119	Pral.g_00243
OG0000069	Praf.g_01851	Pral.g_01121
OG0000070	Praf.g_02620, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01881, Praf.g_01964, Praf.g_01879, Praf.g_01191, Praf.g_02084, Praf.g_01648	Pral.g_01041
OG0000071	Praf.g_00012	Pral.g_00421
OG0000072	Praf.g_02336	Pral.g_00717
OG0000073	Praf.g_01748	Pral.g_01471
OG0000074	Praf.g_01218, Praf.g_01219	Pral.g_01750
OG0000075	Praf.g_01537	Pral.g_01495
OG0000076	Praf.g_01274	Pral.g_01561
OG0000078	Praf.g_02342	Pral.g_01201
OG0000079	Praf.g_00501	Pral.g_01073
OG0000080	Praf.g_00549	Pral.g_00065
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Pral.g_00277
OG0000082	Praf.g_02699	Pral.g_00370
OG0000083	Praf.g_00003	Pral.g_00413
OG0000084	Praf.g_00006	Pral.g_00416
OG0000085	Praf.g_00028	Pral.g_01021
OG0000087	Praf.g_00333, Praf.g_02602	Pral.g_00993
OG0000088	Praf.g_00224	Pral.g_00932
OG0000089	Praf.g_00212	Pral.g_00923
OG0000090	Praf.g_02420	Pral.g_00906
OG0000091	Praf.g_02457	Pral.g_00874
OG0000092	Praf.g_02468	Pral.g_00873
OG0000093	Praf.g_02711, Praf.g_02492	Pral.g_00860
OG0000094	Praf.g_02708, Praf.g_02521	Pral.g_00842
OG0000095	Praf.g_02532	Pral.g_00837
OG0000096	Praf.g_02217	Pral.g_00788
OG0000097	Praf.g_02271	Pral.g_00765
OG0000098	Praf.g_02284	Pral.g_00754
OG0000099	Praf.g_02296	Pral.g_00744
OG0000100	Praf.g_02300	Pral.g_00741
OG0000101	Praf.g_02012	Pral.g_00674
OG0000102	Praf.g_02715, Praf.g_02705	Pral.g_01034
OG0000103	Praf.g_01905	Pral.g_00616
OG0000104	Praf.g_00595	Pral.g_00611
OG0000105	Praf.g_00616	Pral.g_00591
OG0000106	Praf.g_00658	Pral.g_00558
OG0000107	Praf.g_00660	Pral.g_00557
OG0000108	Praf.g_00681	Pral.g_00547
OG0000109	Praf.g_00692	Pral.g_00538
OG0000110	Praf.g_00711	Pral.g_00520
OG0000111	Praf.g_01720	Pral.g_01452
OG0000112	Praf.g_01035, Praf.g_01721	Pral.g_01453
OG0000113	Praf.g_00144, Praf.g_01435	Pral.g_01705
OG0000114	Praf.g_01528	Pral.g_01486
OG0000115	Praf.g_01392	Pral.g_01627
OG0000116	Praf.g_01383, Praf.g_01384	Pral.g_01623
OG0000117	Praf.g_01277	Pral.g_01564
OG0000118	Praf.g_02776	Pral.g_01316
OG0000119	Praf.g_02692	Pral.g_00075
OG0000120	Praf.g_00861	Pral.g_01373
OG0000121	Praf.g_00922	Pral.g_01400
OG0000122	Praf.g_00901	Pral.g_01420
OG0000123	Praf.g_00938	Pral.g_00455
OG0000124	Praf.g_01285	Pral.g_01064
OG0000125	Praf.g_00779	Pral.g_01269
OG0000126	Praf.g_00585, Praf.g_00583	Pral.g_01222
OG0000127	Praf.g_01778, Praf.g_01776	Pral.g_01179
OG0000128	Praf.g_01795	Pral.g_01160
OG0000129	Praf.g_01848	Pral.g_01123
OG0000130	Praf.g_00485	Pral.g_00104
OG0000131	Praf.g_00437	Pral.g_00143
OG0000132	Praf.g_00434	Pral.g_00146
OG0000133	Praf.g_02162	Pral.g_00201
OG0000134	Praf.g_02125	Pral.g_00237
OG0000135	Praf.g_02123	Pral.g_00239
OG0000136	Praf.g_02396	Pral.g_00289
OG0000137	Praf.g_00152	Pral.g_00323
OG0000138	Praf.g_02664	Pral.g_00358
OG0000139	Praf.g_02757	Pral.g_00390
OG0000140	Praf.g_00001	Pral.g_00411
OG0000141	Praf.g_00002	Pral.g_00412
OG0000142	Praf.g_00004	Pral.g_00414
OG0000143	Praf.g_00005	Pral.g_00415
OG0000144	Praf.g_00007	Pral.g_00417
OG0000145	Praf.g_00009	Pral.g_00418
OG0000146	Praf.g_00010	Pral.g_00419
OG0000147	Praf.g_00011	Pral.g_00420
OG0000148	Praf.g_00013	Pral.g_00422
OG0000149	Praf.g_00015	Pral.g_01030
OG0000150	Praf.g_00016	Pral.g_01029
OG0000151	Praf.g_00021	Pral.g_01028
OG0000152	Praf.g_00022	Pral.g_01027
OG0000153	Praf.g_00023	Pral.g_01026
OG0000154	Praf.g_00024	Pral.g_01025
OG0000155	Praf.g_00025	Pral.g_01024
OG0000156	Praf.g_00026	Pral.g_01023
OG0000157	Praf.g_00027	Pral.g_01022
OG0000158	Praf.g_00029	Pral.g_01020
OG0000159	Praf.g_00030	Pral.g_01019
OG0000160	Praf.g_00031	Pral.g_01018
OG0000161	Praf.g_00032	Pral.g_01017
OG0000162	Praf.g_00033	Pral.g_01016
OG0000163	Praf.g_00035	Pral.g_01014
OG0000164	Praf.g_00040	Pral.g_01011
OG0000165	Praf.g_00045	Pral.g_01009
OG0000166	Praf.g_00046	Pral.g_01008
OG0000167	Praf.g_00047	Pral.g_01007
OG0000168	Praf.g_00050	Pral.g_01005
OG0000169	Praf.g_00052	Pral.g_01003
OG0000170	Praf.g_02654	Pral.g_01001
OG0000171	Praf.g_02652	Pral.g_01000
OG0000172	Praf.g_02618	Pral.g_00999
OG0000173	Praf.g_02611	Pral.g_00996
OG0000174	Praf.g_02605	Pral.g_00995
OG0000175	Praf.g_02603	Pral.g_00994
OG0000176	Praf.g_02601	Pral.g_00992
OG0000177	Praf.g_02597	Pral.g_00991
OG0000178	Praf.g_02596	Pral.g_00990
OG0000179	Praf.g_00328	Pral.g_00984
OG0000180	Praf.g_00326	Pral.g_00983
OG0000181	Praf.g_00325	Pral.g_00982
OG0000182	Praf.g_00321	Pral.g_00978
OG0000183	Praf.g_00320	Pral.g_00977
OG0000184	Praf.g_00316	Pral.g_00974
