Orthogroup	Praf	Prax
OG0000000	Praf.g_01631	Prax.g_01870
OG0000000	Praf.g_00948	Prax.g_00964
OG0000001	Praf.g_00815, Praf.g_01039, Praf.g_01042	Prax.g_01920
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Prax.g_01878
OG0000003	Praf.g_00814	Prax.g_00494, Prax.g_01919
OG0000004	Praf.g_01014, Praf.g_02005	Prax.g_00444, Prax.g_00437, Prax.g_01924
OG0000006	Praf.g_00614	Prax.g_00704
OG0000006	Praf.g_00480	Prax.g_01559
OG0000007	Praf.g_01224	Prax.g_00970
OG0000009	Praf.g_02214	Prax.g_00393, Prax.g_00926
OG0000011	Praf.g_01864	Prax.g_00843
OG0000012	Praf.g_00760, Praf.g_00752	Prax.g_00057
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prax.g_00523
OG0000016	Praf.g_01108, Praf.g_01143	Prax.g_01867
OG0000018	Praf.g_00396, Praf.g_01719	Prax.g_01972
OG0000019	Praf.g_00746	Prax.g_01587
OG0000020	Praf.g_02267	Prax.g_00799, Prax.g_00173, Prax.g_00512
OG0000024	Praf.g_02319, Praf.g_00112	Prax.g_00869
OG0000025	Praf.g_01105	Prax.g_00448
OG0000026	Praf.g_00041	Prax.g_00280
OG0000028	Praf.g_01794	Prax.g_01733
OG0000030	Praf.g_01757	Prax.g_01976
OG0000031	Praf.g_01022	Prax.g_01927
OG0000032	Praf.g_02400, Praf.g_00113, Praf.g_00101	Prax.g_01831
OG0000036	Praf.g_00731	Prax.g_00045
OG0000037	Praf.g_01668	Prax.g_00082
OG0000038	Praf.g_00965, Praf.g_00201	Prax.g_00415
OG0000039	Praf.g_01239, Praf.g_02454	Prax.g_01052
OG0000042	Praf.g_01238, Praf.g_01302	Prax.g_00485
OG0000043	Praf.g_00943, Praf.g_00941	Prax.g_00388
OG0000045	Praf.g_02345	Prax.g_01823
OG0000046	Praf.g_00491	Prax.g_01566
OG0000047	Praf.g_00178	Prax.g_01394
OG0000048	Praf.g_00920, Praf.g_00164	Prax.g_01401
OG0000050	Praf.g_00037	Prax.g_00458
OG0000051	Praf.g_02445	Prax.g_01061
OG0000052	Praf.g_00496	Prax.g_00803
OG0000053	Praf.g_00672	Prax.g_00662
OG0000054	Praf.g_00348	Prax.g_00421
OG0000055	Praf.g_01556	Prax.g_00351
OG0000056	Praf.g_02587	Prax.g_00148
OG0000057	Praf.g_00386	Prax.g_01581
OG0000058	Praf.g_01907	Prax.g_00727
OG0000059	Praf.g_01125	Prax.g_00944
OG0000062	Praf.g_01034, Praf.g_02690	Prax.g_00161
OG0000063	Praf.g_00919	Prax.g_01959
OG0000065	Praf.g_00796	Prax.g_01899
OG0000066	Praf.g_02343	Prax.g_01832
OG0000068	Praf.g_02119	Prax.g_01338
OG0000069	Praf.g_02346, Praf.g_01851	Prax.g_01838
OG0000071	Praf.g_00012	Prax.g_01974
OG0000072	Praf.g_02336	Prax.g_01783
OG0000073	Praf.g_01012, Praf.g_01748	Prax.g_00973
OG0000074	Praf.g_01218, Praf.g_01219	Prax.g_00951
OG0000075	Praf.g_01537	Prax.g_00366
OG0000076	Praf.g_01274	Prax.g_01204
OG0000078	Praf.g_02342	Prax.g_01825
OG0000079	Praf.g_00501	Prax.g_01650
OG0000080	Praf.g_00549	Prax.g_01600
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prax.g_01368
OG0000082	Praf.g_02699	Prax.g_01456
OG0000083	Praf.g_00003	Prax.g_01493
OG0000084	Praf.g_00006	Prax.g_01496
OG0000085	Praf.g_00028	Prax.g_00290
OG0000087	Praf.g_00333, Praf.g_02602	Prax.g_00624
OG0000088	Praf.g_00224	Prax.g_01106
OG0000089	Praf.g_00212	Prax.g_01097
OG0000090	Praf.g_02420	Prax.g_01079
OG0000091	Praf.g_02457	Prax.g_01049
OG0000092	Praf.g_02468	Prax.g_01048
OG0000093	Praf.g_02711, Praf.g_02492	Prax.g_01034
OG0000094	Praf.g_02708, Praf.g_02521	Prax.g_01016
OG0000095	Praf.g_02532	Prax.g_01011
OG0000096	Praf.g_02217	Prax.g_00924
OG0000097	Praf.g_02271	Prax.g_00901
OG0000098	Praf.g_02284	Prax.g_00891
OG0000099	Praf.g_02296	Prax.g_00881
OG0000100	Praf.g_02300	Prax.g_00878
OG0000101	Praf.g_02012	Prax.g_00816
OG0000102	Praf.g_02715, Praf.g_02705	Prax.g_00792
OG0000103	Praf.g_01905	Prax.g_00726
OG0000104	Praf.g_00595	Prax.g_00722
OG0000105	Praf.g_00143, Praf.g_00616	Prax.g_00702
OG0000106	Praf.g_00658	Prax.g_00669
OG0000107	Praf.g_00660	Prax.g_00668
OG0000108	Praf.g_00681	Prax.g_00004
OG0000109	Praf.g_00692	Prax.g_00013
OG0000110	Praf.g_00711	Prax.g_00029
OG0000111	Praf.g_01036, Praf.g_01720	Prax.g_00110
OG0000112	Praf.g_01035, Praf.g_01721	Prax.g_00111
OG0000113	Praf.g_00144, Praf.g_01435	Prax.g_00463
OG0000114	Praf.g_01528	Prax.g_00375
OG0000115	Praf.g_01392	Prax.g_01129
OG0000116	Praf.g_01383, Praf.g_01384	Prax.g_01133
OG0000117	Praf.g_01277	Prax.g_01201
OG0000118	Praf.g_02776	Prax.g_01254
OG0000119	Praf.g_02692	Prax.g_00164
OG0000120	Praf.g_00861	Prax.g_00206
OG0000121	Praf.g_00922	Prax.g_00225
OG0000122	Praf.g_00901	Prax.g_00244
OG0000123	Praf.g_00938	Prax.g_00257
OG0000124	Praf.g_01285	Prax.g_01789
OG0000125	Praf.g_00779	Prax.g_01887
OG0000126	Praf.g_00585, Praf.g_00583	Prax.g_01863
OG0000127	Praf.g_01778, Praf.g_01776	Prax.g_01746
OG0000128	Praf.g_01795	Prax.g_01727
OG0000129	Praf.g_01848	Prax.g_01691
OG0000130	Praf.g_00485	Prax.g_01561
OG0000131	Praf.g_00437	Prax.g_01523
OG0000132	Praf.g_00434	Prax.g_01520
OG0000133	Praf.g_02162	Prax.g_01297
OG0000134	Praf.g_02125	Prax.g_01333
OG0000135	Praf.g_02123	Prax.g_01335
OG0000136	Praf.g_02396	Prax.g_01379
OG0000137	Praf.g_00152	Prax.g_01411
OG0000138	Praf.g_02664	Prax.g_01447
OG0000139	Praf.g_02757	Prax.g_01473
OG0000140	Praf.g_00001	Prax.g_01491
OG0000141	Praf.g_00002	Prax.g_01492
OG0000142	Praf.g_00004	Prax.g_01494
OG0000143	Praf.g_00005	Prax.g_01495
OG0000144	Praf.g_00007	Prax.g_01497
OG0000145	Praf.g_00009	Prax.g_01498
OG0000146	Praf.g_00010	Prax.g_01499
OG0000147	Praf.g_00011	Prax.g_01975
OG0000148	Praf.g_00013	Prax.g_01973
OG0000149	Praf.g_00015	Prax.g_00299
OG0000150	Praf.g_00016	Prax.g_00298
OG0000151	Praf.g_00021	Prax.g_00297
OG0000152	Praf.g_00022	Prax.g_00296
OG0000153	Praf.g_00023	Prax.g_00295
OG0000154	Praf.g_00024	Prax.g_00294
OG0000155	Praf.g_00025	Prax.g_00293
OG0000156	Praf.g_00026	Prax.g_00292
OG0000157	Praf.g_00027	Prax.g_00291
OG0000158	Praf.g_00029	Prax.g_00289
OG0000159	Praf.g_00030	Prax.g_00288
OG0000160	Praf.g_00031	Prax.g_00287
OG0000161	Praf.g_00032	Prax.g_00286
OG0000162	Praf.g_00033	Prax.g_00285
OG0000163	Praf.g_00035	Prax.g_00284
OG0000164	Praf.g_00040	Prax.g_00281
OG0000165	Praf.g_00045	Prax.g_00278
OG0000166	Praf.g_00046	Prax.g_00277
OG0000167	Praf.g_00047	Prax.g_00276
OG0000168	Praf.g_00050	Prax.g_00273
OG0000169	Praf.g_00052	Prax.g_00271
OG0000170	Praf.g_02654	Prax.g_00270
OG0000171	Praf.g_02652	Prax.g_00269
OG0000172	Praf.g_02618	Prax.g_00261
OG0000173	Praf.g_02611	Prax.g_00621
OG0000174	Praf.g_02605	Prax.g_00622
OG0000175	Praf.g_02603	Prax.g_00623
OG0000176	Praf.g_02601	Prax.g_00625
OG0000177	Praf.g_02597	Prax.g_00626
OG0000178	Praf.g_02596	Prax.g_00627
OG0000179	Praf.g_00328	Prax.g_00635
OG0000180	Praf.g_00326	Prax.g_00636
OG0000181	Praf.g_00325	Prax.g_00637
OG0000182	Praf.g_00321	Prax.g_00640
OG0000183	Praf.g_00320	Prax.g_00641
OG0000184	Praf.g_00316	Prax.g_00644
OG0000185	Praf.g_00310	Prax.g_00648
OG0000186	Praf.g_00309	Prax.g_00649
OG0000187	Praf.g_00962	Prax.g_00650
OG0000188	Praf.g_00308	Prax.g_00651
OG0000189	Praf.g_00304	Prax.g_00652
OG0000190	Praf.g_00303	Prax.g_00653
OG0000191	Praf.g_00302	Prax.g_00654
OG0000192	Praf.g_00301	Prax.g_00655
