Orthogroup	Praf	Prbi
OG0000000	Praf.g_01631	Prbi.g_01432
OG0000000	Praf.g_00948	Prbi.g_00681
OG0000001	Praf.g_00815, Praf.g_01039, Praf.g_01042	Prbi.g_01370
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Prbi.g_01424
OG0000003	Praf.g_00814	Prbi.g_01371
OG0000004	Praf.g_01014, Praf.g_02005	Prbi.g_00775, Prbi.g_00782
OG0000006	Praf.g_00614	Prbi.g_00500
OG0000006	Praf.g_00480	Prbi.g_01787
OG0000007	Praf.g_01223	Prbi.g_01764, Prbi.g_01536
OG0000007	Praf.g_01224	Prbi.g_00675, Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Praf.g_02214	Prbi.g_00827, Prbi.g_00273
OG0000011	Praf.g_01864	Prbi.g_00354
OG0000012	Praf.g_00760, Praf.g_00752	Prbi.g_00600
OG0000016	Praf.g_01108, Praf.g_01143	Prbi.g_01435
OG0000018	Praf.g_00396, Praf.g_01719	Prbi.g_00265
OG0000019	Praf.g_00746	Prbi.g_01742
OG0000020	Praf.g_02267	Prbi.g_00398
OG0000024	Praf.g_02319, Praf.g_00112	Prbi.g_00330
OG0000025	Praf.g_01105	Prbi.g_01122
OG0000026	Praf.g_00041	Prbi.g_00033
OG0000028	Praf.g_01794	Prbi.g_01589
OG0000031	Praf.g_01022	Prbi.g_01364, Prbi.g_01281
OG0000032	Praf.g_00101	Prbi.g_01467
OG0000033	Praf.g_00014, Praf.g_00906	Prbi.g_00013
OG0000036	Praf.g_00731	Prbi.g_00587
OG0000037	Praf.g_01668	Prbi.g_00625
OG0000038	Praf.g_00965, Praf.g_00201	Prbi.g_00805
OG0000039	Praf.g_01239, Praf.g_02454	Prbi.g_00190
OG0000042	Praf.g_01238, Praf.g_01302	Prbi.g_00745
OG0000043	Praf.g_00943, Praf.g_00941	Prbi.g_00832
