Orthogroup	Praf	Praz
OG0000000	Praf.g_01631	Praz.g_01146
OG0000000	Praf.g_00948	Praz.g_01652
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Praz.g_01154
OG0000003	Praf.g_00814	Praz.g_01200
OG0000004	Praf.g_01014, Praf.g_02005	Praz.g_01583, Praz.g_01576, Praz.g_01201
OG0000006	Praf.g_00614	Praz.g_01831
OG0000006	Praf.g_00480	Praz.g_00877
OG0000007	Praf.g_01223	Praz.g_01241
OG0000007	Praf.g_01224	Praz.g_01658
OG0000009	Praf.g_02214	Praz.g_01532, Praz.g_00609
OG0000011	Praf.g_01898	Praz.g_01921
OG0000011	Praf.g_01864	Praz.g_00687
OG0000012	Praf.g_00760, Praf.g_00752	Praz.g_01732
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Praz.g_01551
OG0000016	Praf.g_01108, Praf.g_01143	Praz.g_01143
OG0000018	Praf.g_00396, Praf.g_01719	Praz.g_00601
OG0000019	Praf.g_00746	Praz.g_00896
OG0000020	Praf.g_02267	Praz.g_00800
OG0000024	Praf.g_02319, Praf.g_00112	Praz.g_00663
OG0000025	Praf.g_01105	Praz.g_00769
OG0000026	Praf.g_00041	Praz.g_00398
OG0000028	Praf.g_01794	Praz.g_01041
OG0000030	Praf.g_01757	Praz.g_00404
OG0000031	Praf.g_01022	Praz.g_01204
OG0000032	Praf.g_02400, Praf.g_00113, Praf.g_00101	Praz.g_01116
OG0000033	Praf.g_00014, Praf.g_00906	Praz.g_00378
OG0000036	Praf.g_00731	Praz.g_01744
OG0000037	Praf.g_01668	Praz.g_01707
OG0000038	Praf.g_00965, Praf.g_00201	Praz.g_01556
OG0000039	Praf.g_01239, Praf.g_02454	Praz.g_00526
OG0000042	Praf.g_01238, Praf.g_01302	Praz.g_01607
OG0000043	Praf.g_00943, Praf.g_00941	Praz.g_01527
OG0000045	Praf.g_02345	Praz.g_01096
OG0000046	Praf.g_00491	Praz.g_00884
OG0000047	Praf.g_00178	Praz.g_00205
OG0000048	Praf.g_00920, Praf.g_00164	Praz.g_00198
OG0000050	Praf.g_00037	Praz.g_00396
OG0000051	Praf.g_02445	Praz.g_00517
OG0000052	Praf.g_00496	Praz.g_00804
OG0000053	Praf.g_00672	Praz.g_01789
OG0000054	Praf.g_00348	Praz.g_01561
OG0000055	Praf.g_01556	Praz.g_01490
OG0000056	Praf.g_02587	Praz.g_00038
OG0000058	Praf.g_01907	Praz.g_01853
OG0000059	Praf.g_01125	Praz.g_01632
OG0000062	Praf.g_01034, Praf.g_02690	Praz.g_00025
OG0000063	Praf.g_00919	Praz.g_01237
OG0000065	Praf.g_00796	Praz.g_01180
OG0000066	Praf.g_02343	Praz.g_01118
OG0000068	Praf.g_02119	Praz.g_00263
OG0000069	Praf.g_02346, Praf.g_01851	Praz.g_01092
OG0000070	Praf.g_02620, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01881, Praf.g_01964, Praf.g_01879, Praf.g_01191, Praf.g_02084, Praf.g_01648	Praz.g_01253
OG0000071	Praf.g_00012	Praz.g_00376
OG0000072	Praf.g_02336	Praz.g_00679
OG0000073	Praf.g_01012, Praf.g_01748	Praz.g_01661
OG0000074	Praf.g_01218, Praf.g_01219	Praz.g_01639
OG0000075	Praf.g_01537	Praz.g_01505
OG0000076	Praf.g_01274	Praz.g_00066
OG0000078	Praf.g_02342	Praz.g_01098
OG0000079	Praf.g_00501	Praz.g_00963
OG0000080	Praf.g_00549	Praz.g_00913
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Praz.g_00232
OG0000082	Praf.g_02699	Praz.g_00142
OG0000083	Praf.g_00003	Praz.g_00368
OG0000084	Praf.g_00006	Praz.g_00371
OG0000085	Praf.g_00028	Praz.g_00388
OG0000087	Praf.g_00333, Praf.g_02602	Praz.g_00415
OG0000088	Praf.g_00224	Praz.g_00473
OG0000089	Praf.g_00212	Praz.g_00481
OG0000090	Praf.g_02420	Praz.g_00499
OG0000091	Praf.g_02457	Praz.g_00529
OG0000092	Praf.g_02468	Praz.g_00530
OG0000093	Praf.g_02711, Praf.g_02492	Praz.g_00544
OG0000094	Praf.g_02708, Praf.g_02521	Praz.g_00562
OG0000095	Praf.g_02532	Praz.g_00567
OG0000096	Praf.g_02217	Praz.g_00611
OG0000097	Praf.g_02271	Praz.g_00632
OG0000098	Praf.g_02284	Praz.g_00642
OG0000099	Praf.g_02296	Praz.g_00651
OG0000100	Praf.g_02300	Praz.g_00654
OG0000101	Praf.g_02012	Praz.g_00817
OG0000102	Praf.g_02715, Praf.g_02705	Praz.g_00791
OG0000103	Praf.g_01905	Praz.g_01852
OG0000104	Praf.g_00595	Praz.g_01848
OG0000105	Praf.g_00143, Praf.g_00616	Praz.g_01829
OG0000106	Praf.g_00658	Praz.g_01796
OG0000107	Praf.g_00660	Praz.g_01795
OG0000108	Praf.g_00681	Praz.g_01785
OG0000109	Praf.g_00692	Praz.g_01776
OG0000110	Praf.g_00711	Praz.g_01760
OG0000111	Praf.g_01036, Praf.g_01720	Praz.g_01679
OG0000112	Praf.g_01035, Praf.g_01721	Praz.g_01678
OG0000113	Praf.g_00144, Praf.g_01435	Praz.g_01585
OG0000114	Praf.g_01528	Praz.g_01514
OG0000115	Praf.g_01392	Praz.g_01350
OG0000116	Praf.g_01383, Praf.g_01384	Praz.g_01346
OG0000117	Praf.g_01277	Praz.g_01279, Praz.g_00063
OG0000118	Praf.g_02776	Praz.g_00114
OG0000119	Praf.g_02692	Praz.g_00022
OG0000120	Praf.g_00861	Praz.g_00748
OG0000121	Praf.g_00922	Praz.g_00729
OG0000122	Praf.g_00901	Praz.g_00710
OG0000123	Praf.g_00938	Praz.g_00697
OG0000124	Praf.g_01285	Praz.g_01936
OG0000125	Praf.g_00779	Praz.g_01168
OG0000126	Praf.g_00585, Praf.g_00583	Praz.g_01139
OG0000127	Praf.g_01778, Praf.g_01776	Praz.g_01054
OG0000128	Praf.g_01795	Praz.g_01040
OG0000129	Praf.g_01848	Praz.g_01004
OG0000130	Praf.g_00485	Praz.g_00879
OG0000131	Praf.g_00437	Praz.g_00841
OG0000132	Praf.g_00434	Praz.g_00838
OG0000133	Praf.g_02162	Praz.g_00304
OG0000134	Praf.g_02125	Praz.g_00268
OG0000135	Praf.g_02123	Praz.g_00266
OG0000136	Praf.g_02396	Praz.g_00221
OG0000137	Praf.g_00152	Praz.g_00188
OG0000138	Praf.g_02664	Praz.g_00152
OG0000139	Praf.g_02757	Praz.g_00125
OG0000140	Praf.g_00001	Praz.g_00366
OG0000141	Praf.g_00002	Praz.g_00367
OG0000142	Praf.g_00004	Praz.g_00369
OG0000143	Praf.g_00005	Praz.g_00370
OG0000144	Praf.g_00007	Praz.g_00372
OG0000145	Praf.g_00009	Praz.g_00373
OG0000146	Praf.g_00010	Praz.g_00374
OG0000147	Praf.g_00011	Praz.g_00375
OG0000148	Praf.g_00013	Praz.g_00377
OG0000149	Praf.g_00015	Praz.g_00379
OG0000150	Praf.g_00016	Praz.g_00380
OG0000151	Praf.g_00021	Praz.g_00381
OG0000152	Praf.g_00022	Praz.g_00382
OG0000153	Praf.g_00023	Praz.g_00383
