Orthogroup	Praf	Prac
OG0000000	Praf.g_01631	Prac.g_00210
OG0000000	Praf.g_00948	Prac.g_00693
OG0000001	Praf.g_00815, Praf.g_01039, Praf.g_01042, Praf.g_00813	Prac.g_00293
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Prac.g_00202
OG0000003	Praf.g_00814	Prac.g_00157
OG0000004	Praf.g_01014, Praf.g_02005	Prac.g_01536, Prac.g_01529
OG0000006	Praf.g_00614	Prac.g_00874
OG0000006	Praf.g_00480	Prac.g_00625
OG0000007	Praf.g_01223	Prac.g_00904
OG0000007	Praf.g_01224	Prac.g_00699
OG0000009	Praf.g_02214	Prac.g_01496, Prac.g_01681
OG0000011	Praf.g_01898	Prac.g_01127
OG0000011	Praf.g_01864	Prac.g_01601
OG0000012	Praf.g_00760, Praf.g_00752	Prac.g_00773
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prac.g_00898
OG0000016	Praf.g_01108, Praf.g_01143	Prac.g_00213
OG0000017	Praf.g_01828	Prac.g_01901
OG0000018	Praf.g_00396, Praf.g_01719	Prac.g_01689
OG0000019	Praf.g_00746	Prac.g_01169
OG0000020	Praf.g_02267	Prac.g_01159
OG0000024	Praf.g_02319, Praf.g_00112	Prac.g_01625
OG0000025	Praf.g_01105	Prac.g_01220
OG0000026	Praf.g_00041	Prac.g_01914, Prac.g_01913, Prac.g_00908
OG0000028	Praf.g_01794	Prac.g_00411
OG0000030	Praf.g_01757	Prac.g_01905
OG0000032	Praf.g_02400, Praf.g_00113, Praf.g_00101	Prac.g_00249
OG0000033	Praf.g_00014, Praf.g_00906	Prac.g_01934
OG0000036	Praf.g_00731	Prac.g_00788
OG0000037	Praf.g_01668	Prac.g_00748
OG0000038	Praf.g_00965, Praf.g_00201	Prac.g_01510
OG0000039	Praf.g_01239, Praf.g_02454	Prac.g_01764
OG0000042	Praf.g_01238, Praf.g_01302	Prac.g_01560
OG0000043	Praf.g_00943, Praf.g_00941	Prac.g_01491
OG0000044	Praf.g_00854	Prac.g_00985
OG0000045	Praf.g_02345	Prac.g_00258, Prac.g_00434
OG0000046	Praf.g_00491	Prac.g_00632
OG0000047	Praf.g_00178	Prac.g_00041, Prac.g_01904
OG0000048	Praf.g_00920, Praf.g_00164	Prac.g_00048
OG0000050	Praf.g_00037	Prac.g_01916
OG0000051	Praf.g_02445	Prac.g_01773, Prac.g_01590
OG0000052	Praf.g_00496	Prac.g_01163
OG0000053	Praf.g_00672	Prac.g_00833
OG0000054	Praf.g_00348	Prac.g_01515
OG0000055	Praf.g_01556	Prac.g_01453
OG0000056	Praf.g_02587	Prac.g_01029
OG0000057	Praf.g_00386	Prac.g_01693
OG0000058	Praf.g_01907	Prac.g_01069
