Orthogroup	Praf	Prbf
OG0000000	Praf.g_01631	Prbf.g_01182, Prbf.g_01177
OG0000000	Praf.g_00948	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Prbf.g_00068
OG0000003	Praf.g_00814	Prbf.g_00880
OG0000004	Praf.g_01014, Praf.g_02005	Prbf.g_00052
OG0000006	Praf.g_00614	Prbf.g_01780
OG0000006	Praf.g_00480	Prbf.g_00693
OG0000007	Praf.g_01223	Prbf.g_00793
OG0000007	Praf.g_01224	Prbf.g_00792
OG0000009	Praf.g_02214	Prbf.g_00894, Prbf.g_01588
OG0000011	Praf.g_01898	Prbf.g_01707
OG0000012	Praf.g_00752	Prbf.g_01887
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbf.g_00754, Prbf.g_00708
OG0000016	Praf.g_01108	Prbf.g_00864
OG0000016	Praf.g_01143	Prbf.g_00254
OG0000017	Praf.g_01828	Prbf.g_00178, Prbf.g_00748
OG0000018	Praf.g_00396, Praf.g_01719	Prbf.g_01580
OG0000019	Praf.g_00746	Prbf.g_01259
OG0000020	Praf.g_02267	Prbf.g_00039, Prbf.g_01611
OG0000024	Praf.g_02319	Prbf.g_01647
OG0000025	Praf.g_01105	Prbf.g_00845
OG0000026	Praf.g_00041	Prbf.g_00808
OG0000028	Praf.g_01794	Prbf.g_00157
OG0000031	Praf.g_01022	Prbf.g_00340
OG0000032	Praf.g_00113, Praf.g_00101	Prbf.g_00116
OG0000033	Praf.g_00906	Prbf.g_00860
OG0000034	Praf.g_02366	Prbf.g_01380
OG0000036	Praf.g_00731	Prbf.g_00704, Prbf.g_01867
OG0000037	Praf.g_01668	Prbf.g_00272, Prbf.g_01905
OG0000038	Praf.g_00965, Praf.g_00201	Prbf.g_00248
OG0000039	Praf.g_01239, Praf.g_02454	Prbf.g_01500
OG0000042	Praf.g_01238, Praf.g_01302	Prbf.g_01253
OG0000043	Praf.g_00943, Praf.g_00941	Prbf.g_01153
OG0000044	Praf.g_00854	Prbf.g_00918
OG0000045	Praf.g_02345	Prbf.g_00117
OG0000046	Praf.g_00491	Prbf.g_00701, Prbf.g_00822
OG0000047	Praf.g_00178	Prbf.g_00496
OG0000048	Praf.g_00920, Praf.g_00164	Prbf.g_00487
OG0000050	Praf.g_00037	Prbf.g_01354
OG0000051	Praf.g_02445	Prbf.g_01491
OG0000052	Praf.g_00496	Prbf.g_00320
OG0000053	Praf.g_00672	Prbf.g_01820, Prbf.g_00781
OG0000054	Praf.g_00348	Prbf.g_01922
OG0000055	Praf.g_01556	Prbf.g_01222
OG0000056	Praf.g_02587	Prbf.g_00862
OG0000057	Praf.g_00386	Prbf.g_01575
OG0000058	Praf.g_01907	Prbf.g_01758
OG0000059	Praf.g_01125	Prbf.g_01261
OG0000062	Praf.g_01034, Praf.g_02690	Prbf.g_00788
OG0000063	Praf.g_00919	Prbf.g_00945
OG0000065	Praf.g_00796	Prbf.g_00026
OG0000066	Praf.g_02343	Prbf.g_00115
OG0000068	Praf.g_02119	Prbf.g_00558
OG0000069	Praf.g_01851	Prbf.g_00196
OG0000071	Praf.g_00012	Prbf.g_00382
OG0000072	Praf.g_02336	Prbf.g_01661
OG0000073	Praf.g_01748	Prbf.g_01018
OG0000074	Praf.g_01218, Praf.g_01219	Prbf.g_01271
OG0000075	Praf.g_01537	Prbf.g_01238
OG0000076	Praf.g_01274	Prbf.g_01170
OG0000078	Praf.g_02342	Prbf.g_00118
OG0000079	Praf.g_00501	Prbf.g_00242
OG0000080	Praf.g_00549	Prbf.g_00346
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prbf.g_00524
OG0000082	Praf.g_02699	Prbf.g_00351
OG0000083	Praf.g_00003	Prbf.g_00390
OG0000084	Praf.g_00006	Prbf.g_00387
OG0000085	Praf.g_00028	Prbf.g_01345
OG0000087	Praf.g_00333, Praf.g_02602	Prbf.g_01374
OG0000088	Praf.g_00224	Prbf.g_01443
OG0000089	Praf.g_00212	Prbf.g_01452
OG0000090	Praf.g_02420	Prbf.g_01469
OG0000091	Praf.g_02457	Prbf.g_01503
OG0000092	Praf.g_02468	Prbf.g_01504
OG0000093	Praf.g_02711, Praf.g_02492	Prbf.g_01518
OG0000094	Praf.g_02521	Prbf.g_01537
OG0000095	Praf.g_02532	Prbf.g_01542
OG0000096	Praf.g_02217	Prbf.g_01590
OG0000097	Praf.g_02271	Prbf.g_01614
OG0000098	Praf.g_02284	Prbf.g_01625
OG0000099	Praf.g_02296	Prbf.g_01635
OG0000100	Praf.g_02300	Prbf.g_01638
OG0000101	Praf.g_02012	Prbf.g_01703
OG0000102	Praf.g_02715, Praf.g_02705	Prbf.g_00044
OG0000103	Praf.g_01905	Prbf.g_01759
OG0000104	Praf.g_00595	Prbf.g_01763
OG0000105	Praf.g_00143, Praf.g_00616	Prbf.g_01783
OG0000106	Praf.g_00658	Prbf.g_01813
OG0000107	Praf.g_00660	Prbf.g_01814
OG0000108	Praf.g_00681	Prbf.g_01824
OG0000109	Praf.g_00692	Prbf.g_01833
OG0000110	Praf.g_00711	Prbf.g_01850
OG0000111	Praf.g_01036, Praf.g_01720	Prbf.g_00999
