Orthogroup	Praf	Prar
OG0000000	Praf.g_01631	Prar.g_00918
OG0000000	Praf.g_00948	Prar.g_01508
OG0000001	Praf.g_00815, Praf.g_01039, Praf.g_01042, Praf.g_00813	Prar.g_00730
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Prar.g_00926
OG0000003	Praf.g_00814	Prar.g_00973
OG0000004	Praf.g_01014, Praf.g_02005	Prar.g_01623, Prar.g_01630
OG0000006	Praf.g_00614	Prar.g_01328
OG0000006	Praf.g_00480	Prar.g_01143
OG0000007	Praf.g_01223	Prar.g_01185
OG0000007	Praf.g_01224	Prar.g_01502
OG0000009	Praf.g_02214	Prar.g_01663, Prar.g_00078
OG0000011	Praf.g_01898	Prar.g_00468
OG0000011	Praf.g_01864	Prar.g_00257
OG0000012	Praf.g_00760, Praf.g_00752	Prar.g_01428
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prar.g_01179
OG0000016	Praf.g_01108, Praf.g_01143	Prar.g_00915
OG0000017	Praf.g_01828	Prar.g_00589
OG0000018	Praf.g_00396, Praf.g_01719	Prar.g_00086
OG0000019	Praf.g_00746	Prar.g_00425
OG0000020	Praf.g_02267	Prar.g_00435
OG0000024	Praf.g_02319, Praf.g_00112	Prar.g_00281
OG0000025	Praf.g_01105	Prar.g_01940
OG0000026	Praf.g_00041	Prar.g_00005, Prar.g_00004, Prar.g_01189
OG0000028	Praf.g_01794	Prar.g_00339
OG0000030	Praf.g_01757	Prar.g_00593
OG0000032	Praf.g_02400, Praf.g_00113, Praf.g_00101	Prar.g_00879
OG0000033	Praf.g_00014, Praf.g_00906	Prar.g_00025
OG0000036	Praf.g_00731	Prar.g_01414
OG0000037	Praf.g_01668	Prar.g_01453
OG0000038	Praf.g_00965, Praf.g_00201	Prar.g_01649
OG0000039	Praf.g_01239, Praf.g_02454	Prar.g_00161
OG0000042	Praf.g_01238, Praf.g_01302	Prar.g_01599
OG0000043	Praf.g_00943, Praf.g_00941	Prar.g_01668
