HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N43.HOG0000000	OG0000001	n64																																															Syag.g_00575													
N43.HOG0000001	OG0000001	n73																																																									Syaq.g_01436			
N43.HOG0000002	OG0000001	n78																																															Syag.g_01942										Syaq.g_00118, Syaq.g_01435, Syaq.g_00115			
N43.HOG0000003	OG0000001	n97																																															Syag.g_01943										Syaq.g_01434			
N43.HOG0000004	OG0000001	n146																																																									Syaq.g_02178			
N43.HOG0000005	OG0000001	n147																																																									Syaq.g_02413			
N43.HOG0000006	OG0000003	n3																																																									Syaq.g_01566			
N43.HOG0000007	OG0000003	n7																																																									Syaq.g_00887			
N43.HOG0000008	OG0000003	n10																																															Syag.g_01565													
N43.HOG0000009	OG0000003	n11																																															Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561													
N43.HOG0000010	OG0000003	n20																																															Syag.g_01569													
N43.HOG0000011	OG0000003	n22																																															Syag.g_01572													
N43.HOG0000012	OG0000003	n24																																															Syag.g_00066, Syag.g_01564, Syag.g_00932													
N43.HOG0000013	OG0000003	n41																																															Syag.g_00691													
N43.HOG0000014	OG0000003	n47																																															Syag.g_01261, Syag.g_00931, Syag.g_01260													
N43.HOG0000015	OG0000003	n114																																															Syag.g_02658													
N43.HOG0000016	OG0000004	n1																																															Syag.g_00988										Syaq.g_02603			
N43.HOG0000017	OG0000004	n88																																															Syag.g_00370										Syaq.g_02042			
N43.HOG0000018	OG0000004	n108																																															Syag.g_01790										Syaq.g_01567			
N43.HOG0000019	OG0000005	n1																																															Syag.g_01708										Syaq.g_01658			
N43.HOG0000020	OG0000005	n46																																															Syag.g_01667										Syaq.g_01692			
N43.HOG0000021	OG0000005	n83																																																									Syaq.g_00236			
N43.HOG0000022	OG0000006	n25																																															Syag.g_00435										Syaq.g_02108			
N43.HOG0000023	OG0000006	n44																																																									Syaq.g_02558			
N43.HOG0000024	OG0000006	n48																																															Syag.g_01772, Syag.g_02678, Syag.g_02687										Syaq.g_00696, Syaq.g_01590			
N43.HOG0000025	OG0000007	n1																																															Syag.g_01507										Syaq.g_01793			
N43.HOG0000026	OG0000007	n56																																															Syag.g_01687										Syaq.g_01673			
N43.HOG0000027	OG0000008	n2																																															Syag.g_00496										Syaq.g_02162			
N43.HOG0000028	OG0000008	n46																																															Syag.g_01017										Syaq.g_02575			
N43.HOG0000029	OG0000009	n2																																															Syag.g_00220, Syag.g_00231													
N43.HOG0000030	OG0000009	n56																																															Syag.g_01883										Syaq.g_01489			
N43.HOG0000031	OG0000010	n23																																															Syag.g_01355										Syaq.g_00443			
N43.HOG0000032	OG0000011	n86																																															Syag.g_01299													
N43.HOG0000033	OG0000012	n20																																															Syag.g_00377										Syaq.g_02059			
N43.HOG0000034	OG0000012	n61																																															Syag.g_00995, Syag.g_00686, Syag.g_01105													
N43.HOG0000035	OG0000012	n73																																																									Syaq.g_00077			
N43.HOG0000036	OG0000013	n34																																																									Syaq.g_00569, Syaq.g_00572, Syaq.g_02023			
N43.HOG0000037	OG0000013	n39																																															Syag.g_02811													
N43.HOG0000038	OG0000013	n52																																															Syag.g_02820													
N43.HOG0000039	OG0000013	n62																																															Syag.g_02806													
N43.HOG0000040	OG0000014	n2																																															Syag.g_02559										Syaq.g_00862			
N43.HOG0000041	OG0000014	n60																																																									Syaq.g_00907			
N43.HOG0000042	OG0000014	n69																																																									Syaq.g_00933			
N43.HOG0000043	OG0000014	n73																																															Syag.g_02487													
N43.HOG0000044	OG0000015	n43																																															Syag.g_02252										Syaq.g_00121, Syaq.g_01171			
N43.HOG0000045	OG0000015	n63																																															Syag.g_00596										Syaq.g_02255			
N43.HOG0000046	OG0000016	n2																																															Syag.g_02286										Syaq.g_01136			
N43.HOG0000047	OG0000016	n52																																															Syag.g_01066										Syaq.g_00169			
N43.HOG0000048	OG0000017	n5																																															Syag.g_00336										Syaq.g_01992			
N43.HOG0000049	OG0000017	n21																																															Syag.g_00344										Syaq.g_01999			
N43.HOG0000050	OG0000018	n29																																															Syag.g_01387										Syaq.g_00401			
N43.HOG0000051	OG0000019	n53																																															Syag.g_02663										Syaq.g_00717			
N43.HOG0000052	OG0000020	n2																																															Syag.g_00085													
N43.HOG0000053	OG0000021	n7																																															Syag.g_00229													
N43.HOG0000054	OG0000022	n1																																															Syag.g_00458										Syaq.g_02126			
N43.HOG0000055	OG0000023	n68																																															Syag.g_00261													
N43.HOG0000056	OG0000023	n71																																															Syag.g_00234													
N43.HOG0000057	OG0000024	n61																																															Syag.g_00455													
N43.HOG0000058	OG0000025	n0																																															Syag.g_00718										Syaq.g_02381			
N43.HOG0000059	OG0000026	n0																																															Syag.g_02309										Syaq.g_01114			
N43.HOG0000060	OG0000027	n10																																															Syag.g_00950													
N43.HOG0000061	OG0000027	n16																																															Syag.g_00165													
N43.HOG0000062	OG0000028	n1																																															Syag.g_02540										Syaq.g_00878			
N43.HOG0000063	OG0000029	n1																																															Syag.g_00195													
N43.HOG0000064	OG0000030	n29																																															Syag.g_02375										Syaq.g_01047			
N43.HOG0000065	OG0000030	n51																																															Syag.g_02374										Syaq.g_01048			
N43.HOG0000066	OG0000031	n5																																															Syag.g_02510										Syaq.g_01009			
N43.HOG0000067	OG0000031	n51																																															Syag.g_02486													
N43.HOG0000068	OG0000032	n1																																															Syag.g_01366										Syaq.g_00421			
N43.HOG0000069	OG0000032	n41																																															Syag.g_02480													
N43.HOG0000070	OG0000032	n65																																																									Syaq.g_00909			
N43.HOG0000071	OG0000033	n0																																															Syag.g_01978										Syaq.g_01399			
N43.HOG0000072	OG0000034	n0																																															Syag.g_01225, Syag.g_01947										Syaq.g_00312, Syaq.g_01431			
N43.HOG0000073	OG0000035	n25																																															Syag.g_01420										Syaq.g_00372			
N43.HOG0000074	OG0000035	n27																																															Syag.g_01421										Syaq.g_00371			
N43.HOG0000075	OG0000036	n5																																															Syag.g_01809													
N43.HOG0000076	OG0000036	n15																																															Syag.g_00928													
N43.HOG0000077	OG0000036	n23																																															Syag.g_01031, Syag.g_00063													
N43.HOG0000078	OG0000036	n26																																															Syag.g_01274													
N43.HOG0000079	OG0000037	n32																																															Syag.g_00173													
N43.HOG0000080	OG0000038	n7																																															Syag.g_02130										Syaq.g_01260			
N43.HOG0000081	OG0000038	n29																																															Syag.g_02132										Syaq.g_01258			
N43.HOG0000082	OG0000039	n27																																															Syag.g_01325										Syaq.g_01601			
N43.HOG0000083	OG0000039	n34																																															Syag.g_02155										Syaq.g_01241			
N43.HOG0000084	OG0000040	n36																																															Syag.g_02215													
N43.HOG0000085	OG0000041	n55																																															Syag.g_00962										Syaq.g_02688			
N43.HOG0000086	OG0000041	n66																																																									Syaq.g_01612			
N43.HOG0000087	OG0000042	n0																																															Syag.g_01094, Syag.g_02378										Syaq.g_00200, Syaq.g_01044			
N43.HOG0000088	OG0000043	n31																																																									Syaq.g_01920			
N43.HOG0000089	OG0000044	n29																																																									Syaq.g_00107			
N43.HOG0000090	OG0000044	n55																																															Syag.g_00945										Syaq.g_02701			
N43.HOG0000091	OG0000045	n2																																															Syag.g_00223													
N43.HOG0000092	OG0000045	n33																																															Syag.g_00225													
N43.HOG0000093	OG0000046	n15																																															Syag.g_02812													
N43.HOG0000094	OG0000046	n27																																															Syag.g_02819													
N43.HOG0000095	OG0000046	n38																																															Syag.g_02805										Syaq.g_00570, Syaq.g_00573			
N43.HOG0000096	OG0000047	n54																																															Syag.g_00768													
N43.HOG0000097	OG0000048	n0																																															Syag.g_02611										Syaq.g_00749			
N43.HOG0000098	OG0000051	n33																																															Syag.g_01026													
N43.HOG0000099	OG0000051	n56																																															Syag.g_00214													
N43.HOG0000100	OG0000052	n7																																															Syag.g_02491													
N43.HOG0000101	OG0000052	n22																																																									Syaq.g_00935			
N43.HOG0000102	OG0000052	n27																																															Syag.g_02451										Syaq.g_00969			
N43.HOG0000103	OG0000053	n0																																															Syag.g_01391										Syaq.g_00397			
N43.HOG0000104	OG0000054	n0																																															Syag.g_00350										Syaq.g_02005			
N43.HOG0000105	OG0000055	n32																																															Syag.g_01799													
N43.HOG0000106	OG0000055	n49																																															Syag.g_00946										Syaq.g_02700			
N43.HOG0000107	OG0000057	n36																																																									Syaq.g_02541, Syaq.g_02605			
N43.HOG0000108	OG0000058	n23																																															Syag.g_02477										Syaq.g_00944			
N43.HOG0000109	OG0000059	n10																																															Syag.g_02721										Syaq.g_00657			
N43.HOG0000110	OG0000060	n17																																															Syag.g_01338										Syaq.g_00456			
N43.HOG0000111	OG0000060	n26																																															Syag.g_01530										Syaq.g_01770			
N43.HOG0000112	OG0000060	n46																																															Syag.g_02045													
N43.HOG0000113	OG0000060	n52																																															Syag.g_01095										Syaq.g_00201			
N43.HOG0000114	OG0000061	n11																																															Syag.g_01141										Syaq.g_00249			
N43.HOG0000115	OG0000062	n10																																															Syag.g_01669										Syaq.g_01690			
N43.HOG0000116	OG0000063	n0																																															Syag.g_02313										Syaq.g_01110			
N43.HOG0000117	OG0000064	n7																																															Syag.g_00076													
N43.HOG0000118	OG0000064	n32																																															Syag.g_00487										Syaq.g_02138			
N43.HOG0000119	OG0000064	n50																																															Syag.g_01589													
N43.HOG0000120	OG0000065	n38																																															Syag.g_01885										Syaq.g_01487			
N43.HOG0000121	OG0000065	n51																																															Syag.g_00182										Syaq.g_01908			
N43.HOG0000122	OG0000066	n56																																															Syag.g_01443										Syaq.g_01851			
N43.HOG0000123	OG0000067	n24																																															Syag.g_00667										Syaq.g_02340			
N43.HOG0000124	OG0000067	n33																																																									Syaq.g_02560			
N43.HOG0000125	OG0000068	n0																																															Syag.g_01537										Syaq.g_01763			
N43.HOG0000126	OG0000070	n0																																															Syag.g_00049										Syaq.g_00484			
N43.HOG0000127	OG0000071	n19																																															Syag.g_01192										Syaq.g_00297			
N43.HOG0000128	OG0000072	n12																																															Syag.g_01980										Syaq.g_01397			
N43.HOG0000129	OG0000072	n30																																															Syag.g_02859													
N43.HOG0000130	OG0000073	n25																																															Syag.g_01505										Syaq.g_01795			
N43.HOG0000131	OG0000075	n0																																															Syag.g_02434										Syaq.g_00986			
N43.HOG0000132	OG0000076	n0																																															Syag.g_02393										Syaq.g_01028			
N43.HOG0000133	OG0000077	n5																																															Syag.g_01831													
N43.HOG0000134	OG0000078	n33																																															Syag.g_01778										Syaq.g_01585			
N43.HOG0000135	OG0000079	n31																																															Syag.g_02659													
N43.HOG0000136	OG0000079	n45																																															Syag.g_02652													
N43.HOG0000137	OG0000079	n46																																																									Syaq.g_00721			
N43.HOG0000138	OG0000080	n3																																															Syag.g_02499													
N43.HOG0000139	OG0000080	n18																																															Syag.g_00124													
N43.HOG0000140	OG0000080	n20																																															Syag.g_02500													
N43.HOG0000141	OG0000081	n0																																															Syag.g_00167										Syaq.g_01893			
N43.HOG0000142	OG0000082	n0																																															Syag.g_00318										Syaq.g_01975			
