HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N1.HOG0000000	OG0000000	n1	Praa.g_01300	Prab.g_00915, Prab.g_01617	Prac.g_00159	Prad.g_00352	Prae.g_01310		Prag.g_01647, Prag.g_00719, Prag.g_01335		Prai.g_00905, Prai.g_01772					Pran.g_00582	Prao.g_01294		Praq.g_00117	Prar.g_00971	Pras.g_00184		Prau.g_01352	Prav.g_01736, Prav.g_01415	Praw.g_00493, Praw.g_01782, Praw.g_00961	Prax.g_01917	Pray.g_01888	Praz.g_01198	Prba.g_01174			Prbd.g_01833					Prbi.g_01373																									
N1.HOG0000001	OG0000000	n69																			Pras.g_00136		Prau.g_01300																																							
N1.HOG0000002	OG0000000	n74	Praa.g_01235		Prac.g_00277	Prad.g_01982					Prai.g_01612								Praq.g_01956	Prar.g_00713	Pras.g_00493		Prau.g_01665				Pray.g_01576	Praz.g_00894	Prba.g_00243			Prbd.g_01914																														
N1.HOG0000003	OG0000000	n97	Praa.g_01598, Praa.g_01244	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prac.g_00292	Prad.g_00392	Prae.g_01580		Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348		Prai.g_01592					Pran.g_01423, Pran.g_00931, Pran.g_00601	Prao.g_01515		Praq.g_00026	Prar.g_00729	Pras.g_00470		Prau.g_01648	Prav.g_01695, Prav.g_00973	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974	Prax.g_01608, Prax.g_00496	Pray.g_01603	Praz.g_00921	Prba.g_00269			Prbd.g_01568					Prbi.g_01709																									
N1.HOG0000004	OG0000000	n149				Prad.g_01297																																																								
N1.HOG0000005	OG0000000	n170			Prac.g_00293															Prar.g_00730																																										
N1.HOG0000006	OG0000000	n173		Prab.g_00918, Prab.g_01620												Pran.g_00579	Prao.g_01514															Prbd.g_01569																														
N1.HOG0000007	OG0000000	n176		Prab.g_01278, Prab.g_01597	Prac.g_00926	Prad.g_00393, Prad.g_01435	Prae.g_01222, Prae.g_01579		Prag.g_00722, Prag.g_01213, Prag.g_01607, Prag.g_01650		Prai.g_00908, Prai.g_01234, Prai.g_01591, Prai.g_01775					Pran.g_00001, Pran.g_00602	Prao.g_01029		Praq.g_00025, Praq.g_01392	Prar.g_01204	Pras.g_00117, Pras.g_00469		Prau.g_01266, Prau.g_01647	Prav.g_01694, Prav.g_01821	Praw.g_01779, Praw.g_00294, Praw.g_00454, Praw.g_00496	Prax.g_00259, Prax.g_01609	Pray.g_00003, Pray.g_01604	Praz.g_00694, Praz.g_00922	Prba.g_00003, Prba.g_00270			Prbd.g_00528					Prbi.g_01268, Prbi.g_01708																									
N1.HOG0000008	OG0000000	n179	Praa.g_01297	Prab.g_01606		Prad.g_00372, Prad.g_00349	Prae.g_01300		Prag.g_01626							Pran.g_00593	Prao.g_01528, Prao.g_01297							Prav.g_01730, Prav.g_01715	Praw.g_00472	Prax.g_01920						Prbd.g_01836					Prbi.g_01370																									
N1.HOG0000009	OG0000000	n198			Prac.g_00157														Praq.g_00115	Prar.g_00973																																										
N1.HOG0000010	OG0000000	n200		Prab.g_00917, Prab.g_01619							Prai.g_00907, Prai.g_01774					Pran.g_00580																																														
N1.HOG0000011	OG0000000	n204	Praa.g_01298	Prab.g_01308	Prac.g_00290	Prad.g_00350	Prae.g_01308		Prag.g_01333		Prai.g_01314					Pran.g_00894	Prao.g_01296		Praq.g_00028	Prar.g_00727	Pras.g_00182		Prau.g_01350	Prav.g_01413	Praw.g_00959	Prax.g_01919	Pray.g_01890	Praz.g_01200	Prba.g_01172			Prbd.g_01835					Prbi.g_01371																									
N1.HOG0000012	OG0000000	n218	Praa.g_01599			Prad.g_00389	Prae.g_01581		Prag.g_01649, Prag.g_01610		Prai.g_01596						Prao.g_01518				Pras.g_00471		Prau.g_01650	Prav.g_01698	Praw.g_00495, Praw.g_00457	Prax.g_01606	Pray.g_01602	Praz.g_00920	Prba.g_00268			Prbd.g_01567					Prbi.g_01710																									
N1.HOG0000013	OG0000001	n2							Prag.g_01654															Prav.g_01748	Praw.g_00500												Prbi.g_01542, Prbi.g_01763																									
N1.HOG0000014	OG0000001	n11	Praa.g_01351		Prac.g_00202	Prad.g_00609	Prae.g_01353		Prag.g_01374		Prai.g_01235, Prai.g_01356						Prao.g_01254		Praq.g_00160	Prar.g_00926	Pras.g_00235		Prau.g_01394	Prav.g_01458	Praw.g_01000	Prax.g_01878	Pray.g_01844	Praz.g_01154	Prba.g_00211			Prbd.g_01779					Prbi.g_01424																									
N1.HOG0000015	OG0000001	n167	Praa.g_01220, Praa.g_01222	Prab.g_00788	Prac.g_00924, Prac.g_00925	Prad.g_01434, Prad.g_01994	Prae.g_01236, Prae.g_01223, Prae.g_01224		Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651		Prai.g_01236					Pran.g_01395	Prao.g_01852, Prao.g_01529		Praq.g_01394, Praq.g_01393	Prar.g_01202, Prar.g_01203	Pras.g_00118, Pras.g_00120, Pras.g_00541		Prau.g_01267, Prau.g_01269	Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Praw.g_01739, Praw.g_01951, Praw.g_00497	Prax.g_00522	Pray.g_00247, Pray.g_00246	Praz.g_01939, Praz.g_01940	Prba.g_01081, Prba.g_01080			Prbd.g_01930					Prbi.g_01270																									
N1.HOG0000016	OG0000002	n8	Praa.g_01359		Prac.g_00210	Prad.g_00601	Prae.g_01361		Prag.g_01382		Prai.g_01363						Prao.g_01246		Praq.g_00168	Prar.g_00918	Pras.g_00243		Prau.g_01402	Prav.g_01466	Praw.g_01009	Prax.g_01870	Pray.g_01836	Praz.g_01146	Prba.g_00203			Prbd.g_01771					Prbi.g_01432																									
N1.HOG0000017	OG0000002	n42	Praa.g_00678	Prab.g_00683	Prac.g_00693	Prad.g_01252	Prae.g_00652		Prag.g_00656		Prai.g_00707					Pran.g_01500	Prao.g_00116		Praq.g_00807	Prar.g_01508	Pras.g_01554		Prau.g_00718	Prav.g_01276	Praw.g_01844	Prax.g_00964	Pray.g_01085	Praz.g_01652	Prba.g_01639			Prbd.g_00566					Prbi.g_00681																									
