HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N17.HOG0000000	OG0000000	n1												Pral.g_01331								Prat.g_00680, Prat.g_01191																																								
N17.HOG0000001	OG0000000	n56												Pral.g_00040								Prat.g_01190																																								
N17.HOG0000002	OG0000000	n61												Pral.g_01332																																																
N17.HOG0000003	OG0000000	n97																				Prat.g_01549																																								
N17.HOG0000004	OG0000000	n142												Pral.g_00037																																																
N17.HOG0000005	OG0000000	n153												Pral.g_00038, Pral.g_01333																																																
N17.HOG0000006	OG0000000	n156																				Prat.g_01189																																								
N17.HOG0000007	OG0000000	n164																				Prat.g_01547																																								
N17.HOG0000008	OG0000001	n11												Pral.g_01236								Prat.g_01285, Prat.g_01286																																								
N17.HOG0000009	OG0000001	n168												Pral.g_01671								Prat.g_00851																																								
N17.HOG0000010	OG0000001	n183												Pral.g_01296																																																
N17.HOG0000011	OG0000002	n14												Pral.g_01549								Prat.g_00977																																								
N17.HOG0000012	OG0000002	n23												Pral.g_01554																																																
N17.HOG0000013	OG0000002	n51												Pral.g_01340								Prat.g_01184																																								
N17.HOG0000014	OG0000002	n63												Pral.g_00430								Prat.g_01487																																								
N17.HOG0000015	OG0000002	n68												Pral.g_01342								Prat.g_01182																																								
N17.HOG0000016	OG0000002	n73												Pral.g_01337								Prat.g_01187																																								
N17.HOG0000017	OG0000002	n82												Pral.g_01052								Prat.g_01462																																								
N17.HOG0000018	OG0000002	n90												Pral.g_01764								Prat.g_00751																																								
N17.HOG0000019	OG0000004	n1												Pral.g_01743								Prat.g_00772																																								
N17.HOG0000020	OG0000004	n53												Pral.g_00809								Prat.g_00236																																								
N17.HOG0000021	OG0000005	n41												Pral.g_01075								Prat.g_01440																																								
N17.HOG0000022	OG0000006	n0												Pral.g_00797								Prat.g_00248																																								
