HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N40.HOG0000000	OG0000001	n67																																																										Syar.g_00069		Syat.g_02910, Syat.g_02911
N40.HOG0000001	OG0000001	n97																																																										Syar.g_00070		Syat.g_02908, Syat.g_02909
N40.HOG0000002	OG0000001	n141																																																												Syat.g_01540
N40.HOG0000003	OG0000001	n159																																																										Syar.g_02229		Syat.g_00878
N40.HOG0000004	OG0000003	n3																																																										Syar.g_00836		
N40.HOG0000005	OG0000004	n1																																																										Syar.g_02051		
N40.HOG0000006	OG0000004	n108																																																										Syar.g_00842		
N40.HOG0000007	OG0000005	n1																																																										Syar.g_02952		Syat.g_03065
N40.HOG0000008	OG0000005	n46																																																										Syar.g_02909		Syat.g_03105
N40.HOG0000009	OG0000005	n83																																																										Syar.g_01752		Syat.g_01038
N40.HOG0000010	OG0000006	n25																																																										Syar.g_02439		Syat.g_00371
N40.HOG0000011	OG0000006	n48																																																										Syar.g_00151, Syar.g_02056, Syar.g_03013		Syat.g_01439, Syat.g_01865
N40.HOG0000012	OG0000007	n1																																																										Syar.g_01491		Syat.g_03191
N40.HOG0000013	OG0000007	n56																																																										Syar.g_02929		Syat.g_03124
N40.HOG0000014	OG0000008	n2																																																										Syar.g_02097		Syat.g_02626
N40.HOG0000015	OG0000008	n46																																																										Syar.g_02098		Syat.g_02627
N40.HOG0000016	OG0000008	n86																																																										Syar.g_00419, Syar.g_02048		
N40.HOG0000017	OG0000009	n56																																																										Syar.g_03116		Syat.g_01567
N40.HOG0000018	OG0000010	n23																																																										Syar.g_01272		Syat.g_01372
N40.HOG0000019	OG0000012	n80																																																												Syat.g_03313
N40.HOG0000020	OG0000012	n84																																																										Syar.g_00690		Syat.g_02642
N40.HOG0000021	OG0000012	n88																																																										Syar.g_02860		Syat.g_02987, Syat.g_00139, Syat.g_00143
N40.HOG0000022	OG0000013	n37																																																										Syar.g_03281		
N40.HOG0000023	OG0000013	n65																																																												Syat.g_01625
N40.HOG0000024	OG0000013	n72																																																												Syat.g_01016
N40.HOG0000025	OG0000013	n73																																																										Syar.g_02032, Syar.g_01103, Syar.g_01106		Syat.g_01027
N40.HOG0000026	OG0000014	n2																																																										Syar.g_00825		Syat.g_02104
N40.HOG0000027	OG0000014	n66																																																												Syat.g_03196
N40.HOG0000028	OG0000014	n73																																																										Syar.g_02736		Syat.g_02250
N40.HOG0000029	OG0000015	n43																																																										Syar.g_00451		
N40.HOG0000030	OG0000015	n57																																																										Syar.g_00180		Syat.g_00775, Syat.g_01677
N40.HOG0000031	OG0000016	n2																																																												Syat.g_02329
N40.HOG0000032	OG0000016	n53																																																												Syat.g_00909
N40.HOG0000033	OG0000016	n72																																																												Syat.g_00222, Syat.g_00832
N40.HOG0000034	OG0000017	n5																																																										Syar.g_03181		
N40.HOG0000035	OG0000017	n12																																																										Syar.g_02188		Syat.g_00015
N40.HOG0000036	OG0000017	n21																																																										Syar.g_02180		
N40.HOG0000037	OG0000018	n29																																																										Syar.g_01409		Syat.g_01334
N40.HOG0000038	OG0000019	n53																																																										Syar.g_00163		Syat.g_01876
N40.HOG0000039	OG0000022	n1																																																										Syar.g_00835		Syat.g_00210
N40.HOG0000040	OG0000024	n61																																																												Syat.g_03394
N40.HOG0000041	OG0000025	n0																																																										Syar.g_01811		Syat.g_00719
N40.HOG0000042	OG0000026	n0																																																										Syar.g_00505		Syat.g_02306
N40.HOG0000043	OG0000027	n7																																																										Syar.g_02055		Syat.g_00850
N40.HOG0000044	OG0000027	n29																																																										Syar.g_02835		
N40.HOG0000045	OG0000028	n1																																																										Syar.g_00718		Syat.g_02126
N40.HOG0000046	OG0000030	n29																																																												Syat.g_00307
N40.HOG0000047	OG0000030	n51																																																												Syat.g_00308
N40.HOG0000048	OG0000031	n5																																																										Syar.g_00714		Syat.g_02131
N40.HOG0000049	OG0000031	n48																																																												Syat.g_03199
N40.HOG0000050	OG0000031	n49																																																												Syat.g_02243
N40.HOG0000051	OG0000032	n1																																																										Syar.g_01390		Syat.g_01354
N40.HOG0000052	OG0000032	n34																																																										Syar.g_02465		Syat.g_00349
N40.HOG0000053	OG0000032	n41																																																										Syar.g_00543		Syat.g_02237
N40.HOG0000054	OG0000033	n0																																																										Syar.g_00105		Syat.g_02858
N40.HOG0000055	OG0000034	n0																																																										Syar.g_00074, Syar.g_02790		Syat.g_01165, Syat.g_02902
N40.HOG0000056	OG0000035	n43																																																										Syar.g_02809		Syat.g_01227
N40.HOG0000057	OG0000035	n45																																																												Syat.g_01226
N40.HOG0000058	OG0000037	n42																																																												Syat.g_00849, Syat.g_00187
N40.HOG0000059	OG0000037	n45																																																										Syar.g_02562		
N40.HOG0000060	OG0000037	n50																																																										Syar.g_01310		
N40.HOG0000061	OG0000037	n51																																																										Syar.g_02856		
