HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N35.HOG0000000	OG0000001	n46																																											Syac.g_02154	Syad.g_00628	Syae.g_02061	Syaf.g_01640		Syah.g_00726	Syai.g_01716	Syaj.g_02674			Syam.g_00946							
N35.HOG0000001	OG0000001	n73																																									Syaa.g_02435			Syad.g_02863, Syad.g_02862						Syaj.g_01948, Syaj.g_01947										
N35.HOG0000002	OG0000001	n78																																									Syaa.g_02438, Syaa.g_02437, Syaa.g_02436			Syad.g_02864	Syae.g_01416	Syaf.g_00846		Syah.g_01516	Syai.g_01197, Syai.g_02594	Syaj.g_01949, Syaj.g_01952			Syam.g_02177							
N35.HOG0000003	OG0000001	n97																																									Syaa.g_02439		Syac.g_00341, Syac.g_00340	Syad.g_02865	Syae.g_01417	Syaf.g_00845		Syah.g_00040, Syah.g_00041	Syai.g_00891, Syai.g_02595	Syaj.g_01950			Syam.g_02178							
N35.HOG0000004	OG0000001	n141																																									Syaa.g_02329		Syac.g_02169	Syad.g_01238, Syad.g_00611	Syae.g_02055	Syaf.g_01634		Syah.g_00710	Syai.g_01729	Syaj.g_02660			Syam.g_00929							
N35.HOG0000005	OG0000002	n1																																											Syac.g_01084	Syad.g_00619				Syah.g_01829	Syai.g_01728	Syaj.g_02667			Syam.g_00931							
N35.HOG0000006	OG0000003	n28																																												Syad.g_01931, Syad.g_01926, Syad.g_02599																
N35.HOG0000007	OG0000003	n34																																												Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996																
N35.HOG0000008	OG0000003	n114																																												Syad.g_01327, Syad.g_01331																
N35.HOG0000009	OG0000004	n1																																									Syaa.g_00892		Syac.g_00898	Syad.g_01304	Syae.g_00779	Syaf.g_01455		Syah.g_02017	Syai.g_01994	Syaj.g_00441			Syam.g_00787							
N35.HOG0000010	OG0000004	n88																																									Syaa.g_01667		Syac.g_00948	Syad.g_02184	Syae.g_00042	Syaf.g_02351		Syah.g_01967	Syai.g_01062	Syaj.g_01314			Syam.g_01499							
N35.HOG0000011	OG0000004	n108																																									Syaa.g_02116		Syac.g_01975	Syad.g_00810	Syae.g_02231	Syaf.g_02794		Syah.g_00901	Syai.g_00530	Syaj.g_02853			Syam.g_00501							
N35.HOG0000012	OG0000005	n1																																									Syaa.g_00534		Syac.g_00527	Syad.g_02639	Syae.g_01179	Syaf.g_01017		Syah.g_02403	Syai.g_02393	Syaj.g_01736			Syam.g_02004							
N35.HOG0000013	OG0000005	n44																																												Syad.g_01265						Syaj.g_00404										
N35.HOG0000014	OG0000005	n46																																									Syaa.g_00573		Syac.g_00569	Syad.g_02596	Syae.g_01143	Syaf.g_01057		Syah.g_02363	Syai.g_02356	Syaj.g_01698			Syam.g_01970							
N35.HOG0000015	OG0000005	n83																																									Syaa.g_01449		Syac.g_01087	Syad.g_02028	Syae.g_00257	Syaf.g_01352, Syaf.g_01732		Syah.g_01827	Syai.g_02068, Syai.g_01611	Syaj.g_01155			Syam.g_00715, Syam.g_01029							
N35.HOG0000016	OG0000006	n25																																									Syaa.g_01611		Syac.g_01002	Syad.g_02130	Syae.g_00096	Syaf.g_02288		Syah.g_01912	Syai.g_01126				Syam.g_01446							
N35.HOG0000017	OG0000006	n48																																									Syaa.g_01043, Syaa.g_02353, Syaa.g_02099		Syac.g_01958, Syac.g_01961, Syac.g_02194	Syad.g_00588, Syad.g_00829	Syae.g_02030, Syae.g_02248	Syaf.g_00179, Syaf.g_02778		Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syai.g_00317, Syai.g_00547	Syaj.g_02635			Syam.g_00286, Syam.g_00518							
N35.HOG0000018	OG0000007	n1																																									Syaa.g_02032		Syac.g_01885	Syad.g_00923	Syae.g_02328	Syaf.g_02702		Syah.g_01016	Syai.g_00657	Syaj.g_00091			Syam.g_00602							
N35.HOG0000019	OG0000007	n56																																									Syaa.g_00551		Syac.g_00544	Syad.g_02623	Syae.g_01163	Syaf.g_01033		Syah.g_02384	Syai.g_02378	Syaj.g_01721			Syam.g_01990							
N35.HOG0000020	OG0000008	n2																																									Syaa.g_00918		Syac.g_00921		Syae.g_00753	Syaf.g_01479		Syah.g_01994	Syai.g_01956	Syaj.g_00496			Syam.g_00810							
N35.HOG0000021	OG0000008	n46																																									Syaa.g_00919		Syac.g_00922	Syad.g_01371	Syae.g_00752	Syaf.g_01480		Syah.g_01993	Syai.g_01955	Syaj.g_00497			Syam.g_00811							
N35.HOG0000022	OG0000009	n51																																												Syad.g_01952	Syae.g_00561					Syaj.g_01069										
N35.HOG0000023	OG0000009	n53																																												Syad.g_00868	Syae.g_00171															
N35.HOG0000024	OG0000009	n54																																																	Syai.g_01626											
N35.HOG0000025	OG0000009	n56																																									Syaa.g_02378		Syac.g_01004, Syac.g_00398	Syad.g_02799	Syae.g_00100, Syae.g_01361	Syaf.g_00905		Syah.g_01910, Syah.g_02535	Syai.g_02541	Syaj.g_01885			Syam.g_02119							
N35.HOG0000026	OG0000010	n23																																									Syaa.g_01843		Syac.g_01701	Syad.g_02354	Syae.g_02529	Syaf.g_02499		Syah.g_01220	Syai.g_00864	Syaj.g_01445			Syam.g_01669							
N35.HOG0000027	OG0000011	n1																																												Syad.g_02006	Syae.g_00268	Syaf.g_01532			Syai.g_01894, Syai.g_00582	Syaj.g_01133										
N35.HOG0000028	OG0000011	n52																																												Syad.g_02680						Syaj.g_01780										
N35.HOG0000029	OG0000011	n86																																									Syaa.g_00921		Syac.g_00924		Syae.g_00750	Syaf.g_01483		Syah.g_01991	Syai.g_01952				Syam.g_00814							
N35.HOG0000030	OG0000012	n20																																									Syaa.g_01660		Syac.g_00955	Syad.g_02176	Syae.g_00049			Syah.g_01960	Syai.g_01068	Syaj.g_01306			Syam.g_01492							
N35.HOG0000031	OG0000012	n39																																												Syad.g_01702						Syaj.g_00003, Syaj.g_01793, Syaj.g_00831										
N35.HOG0000032	OG0000012	n49																																												Syad.g_01579, Syad.g_01008						Syaj.g_00172										
N35.HOG0000033	OG0000012	n52																																											Syac.g_00758			Syaf.g_01353, Syaf.g_01833, Syaf.g_01462		Syah.g_02169	Syai.g_01987				Syam.g_00794							
N35.HOG0000034	OG0000012	n61																																													Syae.g_02397															
N35.HOG0000035	OG0000012	n66																																									Syaa.g_02304				Syae.g_02562															
N35.HOG0000036	OG0000012	n69																																														Syaf.g_01693			Syai.g_01529, Syai.g_01650				Syam.g_00994							
N35.HOG0000037	OG0000012	n72																																											Syac.g_01577					Syah.g_01340												
N35.HOG0000038	OG0000013	n39																																									Syaa.g_02212		Syac.g_02056	Syad.g_00729	Syae.g_02160	Syaf.g_00056		Syah.g_00822	Syai.g_00442	Syaj.g_02774			Syam.g_00409							
N35.HOG0000039	OG0000013	n52																																									Syaa.g_02204		Syac.g_02046	Syad.g_00737	Syae.g_02169	Syaf.g_00044		Syah.g_00831	Syai.g_00450	Syaj.g_02782			Syam.g_00421							
N35.HOG0000040	OG0000013	n62																																									Syaa.g_02217		Syac.g_02062	Syad.g_00724	Syae.g_02155	Syaf.g_00061		Syah.g_00817	Syai.g_00436	Syaj.g_02769			Syam.g_00404							
N35.HOG0000041	OG0000014	n2																																									Syaa.g_00222		Syac.g_00253	Syad.g_00480	Syae.g_01930	Syaf.g_00280		Syah.g_00127	Syai.g_00220	Syaj.g_02522			Syam.g_00191							
N35.HOG0000042	OG0000014	n60																																											Syac.g_00100																	
N35.HOG0000043	OG0000014	n66																																												Syad.g_00297				Syah.g_00223												
N35.HOG0000044	OG0000014	n69																																												Syad.g_00260																
N35.HOG0000045	OG0000014	n73																																									Syaa.g_00481				Syae.g_01850			Syah.g_00323		Syaj.g_02344										
N35.HOG0000046	OG0000015	n43																																									Syaa.g_02739			Syad.g_00142	Syae.g_01693					Syaj.g_02242										
N35.HOG0000047	OG0000015	n68																																									Syaa.g_01079			Syad.g_01600, Syad.g_01601	Syae.g_00590	Syaf.g_02120		Syah.g_01511	Syai.g_01246	Syaj.g_00725			Syam.g_01218							
N35.HOG0000048	OG0000015	n76																																									Syaa.g_01989		Syac.g_01408			Syaf.g_02121		Syah.g_01510	Syai.g_01245	Syaj.g_02659			Syam.g_01362							
N35.HOG0000049	OG0000016	n2																																									Syaa.g_00014		Syac.g_00014	Syad.g_00176	Syae.g_01726	Syaf.g_00484		Syah.g_00359	Syai.g_00014	Syaj.g_02276			Syam.g_00014							
N35.HOG0000050	OG0000016	n52																																									Syaa.g_00981		Syac.g_01505	Syad.g_01460	Syae.g_00681	Syaf.g_01576		Syah.g_01402	Syai.g_01785	Syaj.g_00590			Syam.g_00876							
N35.HOG0000051	OG0000016	n76																																									Syaa.g_01481		Syac.g_01053	Syad.g_02065	Syae.g_00233	Syaf.g_01713		Syah.g_01859	Syai.g_01632	Syaj.g_01191			Syam.g_01011							
N35.HOG0000052	OG0000017	n5																																									Syaa.g_01890		Syac.g_01749	Syad.g_01084	Syae.g_02462	Syaf.g_02561		Syah.g_01152	Syai.g_00801	Syaj.g_00248			Syam.g_01715							
N35.HOG0000053	OG0000017	n21																																									Syaa.g_01883		Syac.g_01742	Syad.g_01091	Syae.g_02469	Syaf.g_02554		Syah.g_01159	Syai.g_00808	Syaj.g_00255			Syam.g_01708							
N35.HOG0000054	OG0000018	n29																																									Syaa.g_01801		Syac.g_01660	Syad.g_02306	Syae.g_02625	Syaf.g_02451		Syah.g_01264	Syai.g_00915	Syaj.g_01413			Syam.g_01640							
N35.HOG0000055	OG0000019	n53																																									Syaa.g_00307		Syac.g_02207	Syad.g_00569	Syae.g_02015	Syaf.g_00193		Syah.g_00669	Syai.g_00304	Syaj.g_02613			Syam.g_00274							
N35.HOG0000056	OG0000020	n2																																												Syad.g_00845		Syaf.g_02187			Syai.g_00476											
N35.HOG0000057	OG0000021	n4																																													Syae.g_01261	Syaf.g_01726				Syaj.g_00982										
N35.HOG0000058	OG0000021	n10																																												Syad.g_01835	Syae.g_00481															
N35.HOG0000059	OG0000021	n11																																									Syaa.g_02627			Syad.g_00874		Syaf.g_02773			Syai.g_00556	Syaj.g_00042			Syam.g_00523							
N35.HOG0000060	OG0000022	n1																																									Syaa.g_01571		Syac.g_01031	Syad.g_02090	Syae.g_00144	Syaf.g_02256		Syah.g_01881	Syai.g_01159	Syaj.g_01220			Syam.g_01418							
N35.HOG0000061	OG0000023	n42																																									Syaa.g_01529			Syad.g_01701						Syaj.g_00829										
N35.HOG0000062	OG0000023	n45																																									Syaa.g_01216		Syac.g_00760	Syad.g_02337	Syae.g_00439	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731		Syah.g_01330, Syah.g_02167	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022				Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075							
N35.HOG0000063	OG0000023	n64																																												Syad.g_01583	Syae.g_00930	Syaf.g_01995		Syah.g_00930	Syai.g_02318	Syaj.g_01791			Syam.g_01943							
N35.HOG0000064	OG0000024	n61																																									Syaa.g_00922		Syac.g_00925	Syad.g_01374		Syaf.g_01484		Syah.g_01990	Syai.g_01951	Syaj.g_00500			Syam.g_00815							
N35.HOG0000065	OG0000025	n0																																									Syaa.g_00839		Syac.g_00847	Syad.g_01241	Syae.g_00833	Syaf.g_01385		Syah.g_02082	Syai.g_02044	Syaj.g_00383			Syam.g_00740							
N35.HOG0000066	OG0000026	n0																																									Syaa.g_00038		Syac.g_00034	Syad.g_00198	Syae.g_01748	Syaf.g_00461		Syah.g_00340	Syai.g_00038	Syaj.g_02298			Syam.g_00035							
N35.HOG0000067	OG0000027	n10																																									Syaa.g_01605				Syae.g_00103	Syaf.g_02284			Syai.g_01128				Syam.g_01442							
N35.HOG0000068	OG0000027	n16																																									Syaa.g_00854		Syac.g_01095	Syad.g_01257	Syae.g_00814	Syaf.g_01688		Syah.g_01541	Syai.g_01654	Syaj.g_00396			Syam.g_00989							
N35.HOG0000069	OG0000027	n29																																											Syac.g_01009																	
N35.HOG0000070	OG0000028	n1																																									Syaa.g_00205		Syac.g_00237	Syad.g_00463	Syae.g_01916	Syaf.g_00297		Syah.g_00141	Syai.g_00205	Syaj.g_02506			Syam.g_00176							
N35.HOG0000071	OG0000029	n1																																									Syaa.g_01578		Syac.g_01942	Syad.g_02099	Syae.g_00136	Syaf.g_01761		Syah.g_01292	Syai.g_01035, Syai.g_01584	Syaj.g_01229			Syam.g_01390, Syam.g_01055							
N35.HOG0000072	OG0000030	n29																																									Syaa.g_00099		Syac.g_00143	Syad.g_00328	Syae.g_01817	Syaf.g_00406		Syah.g_00264	Syai.g_00096	Syaj.g_02396			Syam.g_00104							
N35.HOG0000073	OG0000030	n51																																									Syaa.g_00098		Syac.g_00142	Syad.g_00327	Syae.g_01816	Syaf.g_00407		Syah.g_00265	Syai.g_00095	Syaj.g_02395			Syam.g_00103							
N35.HOG0000074	OG0000031	n5																																									Syaa.g_00200		Syac.g_00232	Syad.g_00458	Syae.g_01911	Syaf.g_00314		Syah.g_00146	Syai.g_00197	Syaj.g_02501			Syam.g_00171							
N35.HOG0000075	OG0000031	n48																																												Syad.g_00294																
N35.HOG0000076	OG0000031	n49																																																					Syam.g_00086							
N35.HOG0000077	OG0000031	n51																																									Syaa.g_00480							Syah.g_00322												
N35.HOG0000078	OG0000032	n1																																									Syaa.g_01818		Syac.g_01677	Syad.g_02326	Syae.g_02607	Syaf.g_02471		Syah.g_01246	Syai.g_00895	Syaj.g_01432			Syam.g_01660							
N35.HOG0000079	OG0000032	n41																																																					Syam.g_00079							
N35.HOG0000080	OG0000033	n0																																									Syaa.g_02478		Syac.g_00304	Syad.g_02903	Syae.g_01453	Syaf.g_00807		Syah.g_00078	Syai.g_02634	Syaj.g_01990			Syam.g_02217							
N35.HOG0000081	OG0000034	n0																																									Syaa.g_00722, Syaa.g_02444		Syac.g_00334, Syac.g_00715	Syad.g_02420, Syad.g_02872	Syae.g_00975, Syae.g_01424	Syaf.g_01241, Syaf.g_00837		Syah.g_00048, Syah.g_02213	Syai.g_02192, Syai.g_02604	Syaj.g_01959			Syam.g_02185, Syam.g_01843, Syam.g_02187							
N35.HOG0000082	OG0000035	n0																																									Syaa.g_01773		Syac.g_01630	Syad.g_02275	Syae.g_02653	Syaf.g_02412		Syah.g_01293	Syai.g_00955	Syaj.g_01378			Syam.g_01612							
N35.HOG0000083	OG0000036	n5																																																Syah.g_00962												
N35.HOG0000084	OG0000036	n14																																											Syac.g_01722, Syac.g_01536	Syad.g_02714, Syad.g_02715				Syah.g_00949	Syai.g_01848											
N35.HOG0000085	OG0000036	n30																																														Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828														
N35.HOG0000086	OG0000036	n34																																														Syaf.g_01127														
N35.HOG0000087	OG0000036	n35																																																Syah.g_00964												
N35.HOG0000088	OG0000037	n32																																												Syad.g_02805		Syaf.g_00899		Syah.g_02541	Syai.g_02544	Syaj.g_01891			Syam.g_02125							
N35.HOG0000089	OG0000037	n55																																																Syah.g_00956, Syah.g_01365												
N35.HOG0000090	OG0000037	n57																																											Syac.g_01077						Syai.g_02815	Syaj.g_02902										
N35.HOG0000091	OG0000038	n7																																									Syaa.g_02596		Syac.g_02357	Syad.g_03038	Syae.g_01571	Syaf.g_00642		Syah.g_00508	Syai.g_02780	Syaj.g_02115			Syam.g_02317							
N35.HOG0000092	OG0000038	n29																																											Syac.g_02358					Syah.g_00506												
N35.HOG0000093	OG0000039	n15																																									Syaa.g_00846		Syac.g_00856	Syad.g_01249	Syae.g_00822	Syaf.g_01395		Syah.g_02074	Syai.g_02034	Syaj.g_00392			Syam.g_00749							
N35.HOG0000094	OG0000039	n34																																											Syac.g_02378	Syad.g_01111	Syae.g_02495					Syaj.g_00275										
N35.HOG0000095	OG0000040	n1																																									Syaa.g_01606		Syac.g_01006					Syah.g_01908												
N35.HOG0000096	OG0000040	n36																																									Syaa.g_02690		Syac.g_02437	Syad.g_00104	Syae.g_01653	Syaf.g_00558		Syah.g_00431	Syai.g_02876	Syaj.g_02208			Syam.g_02390							
N35.HOG0000097	OG0000041	n37																																									Syaa.g_00660		Syac.g_00655	Syad.g_02498	Syae.g_01042	Syaf.g_01171		Syah.g_02271	Syai.g_02265	Syaj.g_01602			Syam.g_01899							
N35.HOG0000098	OG0000041	n55																																									Syaa.g_00869		Syac.g_00876	Syad.g_01281	Syae.g_00802	Syaf.g_01414		Syah.g_02039	Syai.g_02016	Syaj.g_00418			Syam.g_00765							
N35.HOG0000099	OG0000042	n0																																									Syaa.g_00103		Syac.g_00146	Syad.g_00333	Syae.g_01821	Syaf.g_00403		Syah.g_00261	Syai.g_00099	Syaj.g_02399			Syam.g_00107							
N35.HOG0000100	OG0000043	n11																																											Syac.g_00808					Syah.g_02119		Syaj.g_01085										
N35.HOG0000101	OG0000043	n31																																									Syaa.g_01437		Syac.g_01100	Syad.g_02119	Syae.g_00117	Syaf.g_01747		Syah.g_01546	Syai.g_01599	Syaj.g_01247			Syam.g_01041							
N35.HOG0000102	OG0000044	n18																																												Syad.g_02214						Syaj.g_01344										
N35.HOG0000103	OG0000044	n22																																									Syaa.g_01737		Syac.g_00477					Syah.g_02454												
N35.HOG0000104	OG0000044	n25																																														Syaf.g_01358, Syaf.g_01992														
N35.HOG0000105	OG0000044	n29																																									Syaa.g_00363												Syam.g_02052							
