HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N41.HOG0000000	OG0000001	n99																																																								Syap.g_00785			Syas.g_00966, Syas.g_00967	
N41.HOG0000001	OG0000001	n101																																																								Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615			Syas.g_00093, Syas.g_02373	
N41.HOG0000002	OG0000001	n159																																																								Syap.g_00399				
N41.HOG0000003	OG0000003	n3																																																								Syap.g_00679			Syas.g_01418	
N41.HOG0000004	OG0000003	n47																																																											Syas.g_00054	
N41.HOG0000005	OG0000004	n1																																																											Syas.g_00176	
N41.HOG0000006	OG0000004	n90																																																											Syas.g_00509	
N41.HOG0000007	OG0000004	n91																																																											Syas.g_00174, Syas.g_00311	
N41.HOG0000008	OG0000004	n108																																																								Syap.g_01987			Syas.g_00072	
N41.HOG0000009	OG0000005	n1																																																								Syap.g_01773			Syas.g_02665	
N41.HOG0000010	OG0000005	n42																																																											Syas.g_01048	
N41.HOG0000011	OG0000005	n46																																																								Syap.g_01218			Syas.g_02704	
N41.HOG0000012	OG0000006	n25																																																								Syap.g_02770				
N41.HOG0000013	OG0000006	n44																																																											Syas.g_00942	
N41.HOG0000014	OG0000006	n48																																																											Syas.g_01684, Syas.g_02565	
N41.HOG0000015	OG0000007	n1																																																								Syap.g_00275			Syas.g_01232	
N41.HOG0000016	OG0000007	n56																																																								Syap.g_02785, Syap.g_00621			Syas.g_02681	
N41.HOG0000017	OG0000008	n2																																																											Syas.g_00886	
N41.HOG0000018	OG0000008	n46																																																											Syas.g_00887	
N41.HOG0000019	OG0000009	n56																																																								Syap.g_02081			Syas.g_01450	
N41.HOG0000020	OG0000010	n23																																																								Syap.g_02757			Syas.g_01334	
N41.HOG0000021	OG0000012	n80																																																											Syas.g_00111	
N41.HOG0000022	OG0000012	n84																																																											Syas.g_00827	
N41.HOG0000023	OG0000013	n37																																																								Syap.g_01397				
N41.HOG0000024	OG0000013	n65																																																								Syap.g_00586, Syap.g_00580, Syap.g_00583			Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	
N41.HOG0000025	OG0000013	n73																																																								Syap.g_00972				
N41.HOG0000026	OG0000014	n2																																																								Syap.g_01675			Syas.g_01816	
N41.HOG0000027	OG0000014	n73																																																								Syap.g_00813				
N41.HOG0000028	OG0000015	n43																																																								Syap.g_02606			Syas.g_02007	
N41.HOG0000029	OG0000015	n57																																																								Syap.g_00786			Syas.g_00968	
