Orthogroup	Prao	Praj
OG0000000	Prao.g_01515	Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prao.g_01514, Prao.g_01029	Praj.g_01080, Praj.g_01100, Praj.g_01359, Praj.g_01307, Praj.g_01732
OG0000001	Prao.g_01246	Praj.g_00832
OG0000001	Prao.g_00116	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487
OG0000002	Prao.g_01529, Prao.g_01852	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000002	Prao.g_01254	Praj.g_01549
OG0000003	Prao.g_01345	Praj.g_02047, Praj.g_02048
OG0000003	Prao.g_01259	Praj.g_01508
OG0000004	Prao.g_01296, Prao.g_01518	Praj.g_01099, Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737
OG0000005	Prao.g_00679	Praj.g_00411, Praj.g_01121, Praj.g_00734
OG0000006	Prao.g_01316, Prao.g_00691, Prao.g_01142	Praj.g_01249
OG0000008	Prao.g_00603	Praj.g_00489
OG0000008	Prao.g_01552	Praj.g_01768
OG0000010	Prao.g_00720	Praj.g_00743, Praj.g_00747
OG0000011	Prao.g_00690	Praj.g_01745
OG0000014	Prao.g_01213	Praj.g_00341, Praj.g_01609
OG0000015	Prao.g_00466	Praj.g_00370
OG0000016	Prao.g_00703	Praj.g_01113
OG0000017	Prao.g_01293, Prao.g_00576	Praj.g_01331
OG0000018	Prao.g_00036	Praj.g_00585
OG0000019	Prao.g_00515	Praj.g_01148
OG0000020	Prao.g_01243	Praj.g_01568
OG0000021	Prao.g_01417	Praj.g_01651
OG0000022	Prao.g_00379	Praj.g_01281, Praj.g_00282, Praj.g_01505
OG0000023	Prao.g_01346, Prao.g_00500	Praj.g_00084
OG0000024	Prao.g_01308	Praj.g_01165, Praj.g_01141, Praj.g_01151
OG0000025	Prao.g_00683	Praj.g_01134, Praj.g_00666
OG0000026	Prao.g_01294	Praj.g_01076, Praj.g_01356, Praj.g_00419, Praj.g_01201, Praj.g_01308, Praj.g_01271
OG0000028	Prao.g_01323	Praj.g_01123
OG0000029	Prao.g_00721	Praj.g_00733, Praj.g_01842
OG0000030	Prao.g_00722	Praj.g_00976, Praj.g_01335, Praj.g_00975, Praj.g_01051, Praj.g_01316
OG0000031	Prao.g_01750	Praj.g_02020
OG0000032	Prao.g_00179	Praj.g_01867
OG0000033	Prao.g_01483, Prao.g_00675	Praj.g_01070, Praj.g_01084
OG0000034	Prao.g_01397	Praj.g_01632
OG0000035	Prao.g_01508	Praj.g_01276, Praj.g_01675
OG0000036	Prao.g_01145	Praj.g_01025
OG0000038	Prao.g_01355, Prao.g_01364	Praj.g_00371
OG0000040	Prao.g_01307	Praj.g_01187
OG0000040	Prao.g_00529	Praj.g_01323
OG0000041	Prao.g_00062	Praj.g_01066
OG0000043	Prao.g_00831	Praj.g_01395
OG0000045	Prao.g_00024	Praj.g_01827
OG0000046	Prao.g_00699	Praj.g_01189
OG0000047	Prao.g_01089	Praj.g_01461
OG0000048	Prao.g_01358	Praj.g_00095
OG0000049	Prao.g_01191	Praj.g_00839
OG0000050	Prao.g_00304	Praj.g_00206
