Orthogroup	Prao	Prbd
OG0000000	Prao.g_01515	Prbd.g_01568
OG0000000	Prao.g_01514	Prbd.g_01569
OG0000000	Prao.g_01029	Prbd.g_00528
OG0000000	Prao.g_01528, Prao.g_01297	Prbd.g_01836
OG0000001	Prao.g_01246	Prbd.g_01771
OG0000001	Prao.g_00116	Prbd.g_00566
OG0000002	Prao.g_01852	Prbd.g_01930
OG0000002	Prao.g_01254	Prbd.g_01779
OG0000004	Prao.g_01296	Prbd.g_01835
OG0000004	Prao.g_01518	Prbd.g_01567
OG0000005	Prao.g_00673	Prbd.g_00031
OG0000005	Prao.g_00679	Prbd.g_00038
OG0000005	Prao.g_01301	Prbd.g_01855
OG0000006	Prao.g_01316	Prbd.g_01870
OG0000006	Prao.g_00691	Prbd.g_00053
OG0000006	Prao.g_01142	Prbd.g_00409
OG0000007	Prao.g_01333	Prbd.g_01894
OG0000007	Prao.g_00517	Prbd.g_00854
OG0000008	Prao.g_00603	Prbd.g_00745
OG0000008	Prao.g_01552	Prbd.g_01525
OG0000010	Prao.g_00720	Prbd.g_00082
OG0000010	Prao.g_00387	Prbd.g_00990
OG0000011	Prao.g_00510	Prbd.g_00863
OG0000011	Prao.g_00690	Prbd.g_00052
OG0000012	Prao.g_00509	Prbd.g_00864
OG0000013	Prao.g_01507	Prbd.g_01576
OG0000015	Prao.g_00466	Prbd.g_00909
OG0000016	Prao.g_00703	Prbd.g_00065
OG0000017	Prao.g_01293	Prbd.g_01832
OG0000017	Prao.g_00576	Prbd.g_00772
OG0000018	Prao.g_00036	Prbd.g_00646
OG0000019	Prao.g_00515	Prbd.g_00856
OG0000020	Prao.g_01243	Prbd.g_01768
OG0000021	Prao.g_01417	Prbd.g_01669
OG0000022	Prao.g_00379	Prbd.g_00998
OG0000023	Prao.g_01346	Prbd.g_01546
OG0000023	Prao.g_00500	Prbd.g_00874
OG0000024	Prao.g_01308	Prbd.g_01860
OG0000025	Prao.g_00683	Prbd.g_00045
OG0000026	Prao.g_01294	Prbd.g_01833
OG0000027	Prao.g_00111	Prbd.g_00572
OG0000028	Prao.g_01323	Prbd.g_01879
OG0000029	Prao.g_00721	Prbd.g_00083
OG0000030	Prao.g_00722	Prbd.g_00084
OG0000031	Prao.g_01750	Prbd.g_01328
OG0000032	Prao.g_00179	Prbd.g_01204
OG0000033	Prao.g_01483	Prbd.g_01601
OG0000033	Prao.g_00675	Prbd.g_00034
OG0000034	Prao.g_01397	Prbd.g_01689
OG0000035	Prao.g_01508	Prbd.g_01575
OG0000036	Prao.g_01145	Prbd.g_00406
OG0000039	Prao.g_00160	Prbd.g_01224
