Orthogroup	Prao	Prba
OG0000000	Prao.g_01515	Prba.g_00269
OG0000000	Prao.g_01029	Prba.g_00270
OG0000001	Prao.g_01246	Prba.g_00203
OG0000001	Prao.g_00116	Prba.g_01639
OG0000002	Prao.g_01852	Prba.g_01081, Prba.g_01080
OG0000002	Prao.g_01254	Prba.g_00211
OG0000003	Prao.g_00015	Prba.g_01832
OG0000004	Prao.g_01296	Prba.g_01172
OG0000004	Prao.g_01518	Prba.g_00268
OG0000005	Prao.g_00673	Prba.g_01570
OG0000005	Prao.g_00679	Prba.g_01563
OG0000005	Prao.g_01301	Prba.g_01171
OG0000006	Prao.g_01316	Prba.g_01157
OG0000006	Prao.g_00691	Prba.g_01550
OG0000006	Prao.g_01142	Prba.g_00734
OG0000007	Prao.g_01333	Prba.g_01115, Prba.g_00901
OG0000007	Prao.g_00517	Prba.g_00878
OG0000008	Prao.g_00603	Prba.g_00964
OG0000008	Prao.g_01552	Prba.g_00226
OG0000010	Prao.g_00720	Prba.g_01519
OG0000010	Prao.g_00387	Prba.g_00468
OG0000011	Prao.g_00510	Prba.g_00869
OG0000011	Prao.g_00690	Prba.g_01551
OG0000012	Prao.g_00509	Prba.g_00868
OG0000013	Prao.g_01507	Prba.g_00276
OG0000014	Prao.g_01213	Prba.g_00159
OG0000015	Prao.g_00466	Prba.g_00546
OG0000017	Prao.g_01293	Prba.g_01175
OG0000017	Prao.g_00576	Prba.g_00991
OG0000018	Prao.g_00036	Prba.g_01719
OG0000019	Prao.g_00515	Prba.g_00876
OG0000020	Prao.g_01243	Prba.g_00200
OG0000021	Prao.g_01417	Prba.g_00693
OG0000022	Prao.g_00379	Prba.g_00460
OG0000023	Prao.g_01346	Prba.g_00245
OG0000023	Prao.g_00500	Prba.g_00858
OG0000024	Prao.g_01308	Prba.g_01164
OG0000025	Prao.g_00683	Prba.g_01558
OG0000026	Prao.g_01294	Prba.g_01174
OG0000027	Prao.g_00111	Prba.g_01645
OG0000028	Prao.g_01323	Prba.g_01150
OG0000029	Prao.g_00721	Prba.g_01518
OG0000030	Prao.g_00722	Prba.g_01517
OG0000031	Prao.g_01750	Prba.g_00775
OG0000032	Prao.g_00179	Prba.g_01826
OG0000033	Prao.g_01483	Prba.g_00301
OG0000033	Prao.g_00675	Prba.g_01567
OG0000034	Prao.g_01397	Prba.g_00713
OG0000035	Prao.g_01508	Prba.g_00275
OG0000036	Prao.g_01145	Prba.g_00737
OG0000037	Prao.g_01304	Prba.g_01168
OG0000038	Prao.g_01355, Prao.g_01364	Prba.g_00173
OG0000039	Prao.g_00160	Prba.g_01806
OG0000040	Prao.g_01307	Prba.g_01165
OG0000040	Prao.g_00529	Prba.g_00900
OG0000041	Prao.g_00062	Prba.g_01694
OG0000042	Prao.g_01796	Prba.g_00821
OG0000043	Prao.g_01015	Prba.g_01226
OG0000043	Prao.g_00831	Prba.g_01409
OG0000045	Prao.g_00024	Prba.g_01731
OG0000046	Prao.g_00699	Prba.g_01543
OG0000047	Prao.g_01089	Prba.g_00064
OG0000049	Prao.g_01191	Prba.g_00153
OG0000050	Prao.g_00304	Prba.g_00622
OG0000051	Prao.g_00494	Prba.g_00854
OG0000052	Prao.g_00532	Prba.g_01041
OG0000053	Prao.g_00648	Prba.g_01594
OG0000054	Prao.g_01545	Prba.g_00233
OG0000055	Prao.g_01743	Prba.g_00768
OG0000056	Prao.g_00177	Prba.g_01824
OG0000057	Prao.g_00295	Prba.g_01945
OG0000058	Prao.g_00505	Prba.g_00864
OG0000060	Prao.g_00661	Prba.g_01581
OG0000061	Prao.g_00693	Prba.g_01548
OG0000062	Prao.g_00763	Prba.g_01477
OG0000063	Prao.g_01135	Prba.g_00727
OG0000065	Prao.g_00375	Prba.g_00456
OG0000066	Prao.g_00581	Prba.g_00986
OG0000067	Prao.g_00136	Prba.g_01619
OG0000068	Prao.g_00677	Prba.g_01565
OG0000069	Prao.g_01124	Prba.g_00099
OG0000069	Prao.g_00922	Prba.g_01317
OG0000070	Prao.g_00974	Prba.g_01264
OG0000071	Prao.g_01332	Prba.g_01135
OG0000072	Prao.g_01276	Prba.g_01192
OG0000074	Prao.g_01215	Prba.g_00175
OG0000075	Prao.g_01687	Prba.g_00429
OG0000076	Prao.g_01362, Prao.g_01201	Prba.g_00149
OG0000077	Prao.g_00158	Prba.g_01804
OG0000078	Prao.g_00458	Prba.g_00538
OG0000079	Prao.g_00516	Prba.g_00877
OG0000080	Prao.g_00108	Prba.g_01648
OG0000081	Prao.g_00129	Prba.g_01626
OG0000082	Prao.g_00748	Prba.g_01492
OG0000083	Prao.g_00812	Prba.g_01427
OG0000084	Prao.g_00902	Prba.g_01337
OG0000085	Prao.g_01025	Prba.g_01216
OG0000086	Prao.g_01122	Prba.g_00097
OG0000088	Prao.g_01329	Prba.g_01140
OG0000089	Prao.g_01327	Prba.g_01145
OG0000090	Prao.g_01214	Prba.g_00155
OG0000091	Prao.g_01405	Prba.g_00705
OG0000092	Prao.g_01522	Prba.g_00261
OG0000093	Prao.g_01639	Prba.g_00381
OG0000094	Prao.g_01684	Prba.g_00426
OG0000095	Prao.g_01717	Prba.g_01069
OG0000096	Prao.g_01788	Prba.g_00813
OG0000097	Prao.g_01806	Prba.g_00831
OG0000098	Prao.g_01844	Prba.g_01796
OG0000099	Prao.g_00170	Prba.g_01816
OG0000100	Prao.g_00185	Prba.g_01833
OG0000101	Prao.g_00195	Prba.g_01843
OG0000102	Prao.g_00251	Prba.g_01901
OG0000103	Prao.g_00260	Prba.g_01909
OG0000104	Prao.g_00277	Prba.g_01927
OG0000105	Prao.g_00308	Prba.g_00626
OG0000106	Prao.g_00322	Prba.g_00640
OG0000107	Prao.g_00330	Prba.g_00648
OG0000108	Prao.g_00340	Prba.g_00658
OG0000109	Prao.g_00377	Prba.g_00458
OG0000110	Prao.g_00389	Prba.g_00470
OG0000111	Prao.g_01378	Prba.g_00491
OG0000112	Prao.g_00421	Prba.g_00501
OG0000113	Prao.g_00434	Prba.g_00513
OG0000114	Prao.g_00461	Prba.g_00541
OG0000115	Prao.g_00580	Prba.g_00987
OG0000116	Prao.g_00582	Prba.g_00985
OG0000117	Prao.g_00586	Prba.g_00981
OG0000118	Prao.g_00605	Prba.g_00962
OG0000119	Prao.g_01859	Prba.g_00929
OG0000120	Prao.g_01858	Prba.g_00928
OG0000121	Prao.g_01162	Prba.g_01772
OG0000122	Prao.g_01171	Prba.g_01763
OG0000123	Prao.g_00023	Prba.g_01732
OG0000124	Prao.g_00090	Prba.g_01666
OG0000125	Prao.g_00091	Prba.g_01665
OG0000126	Prao.g_00092	Prba.g_01664
OG0000127	Prao.g_00124	Prba.g_01631
OG0000128	Prao.g_00650	Prba.g_01592
OG0000129	Prao.g_00670	Prba.g_01572
OG0000130	Prao.g_00725	Prba.g_01514
OG0000131	Prao.g_00739	Prba.g_01501
OG0000132	Prao.g_00775	Prba.g_01465
OG0000133	Prao.g_00861	Prba.g_01379
OG0000134	Prao.g_00870	Prba.g_01369
OG0000135	Prao.g_00906	Prba.g_01333
OG0000136	Prao.g_00971	Prba.g_01267
OG0000137	Prao.g_01119	Prba.g_00094
OG0000138	Prao.g_01094	Prba.g_00069
OG0000139	Prao.g_01083	Prba.g_00057
OG0000140	Prao.g_01032	Prba.g_00006
OG0000141	Prao.g_00014	Prba.g_01084
OG0000142	Prao.g_01264	Prba.g_01204
OG0000143	Prao.g_01239	Prba.g_00196
OG0000144	Prao.g_01384	Prba.g_00110
OG0000145	Prao.g_01398	Prba.g_00712
OG0000146	Prao.g_01433	Prba.g_00676, Prba.g_00351
OG0000147	Prao.g_01473	Prba.g_00311
OG0000148	Prao.g_01474	Prba.g_00310
OG0000149	Prao.g_01550	Prba.g_00228
OG0000150	Prao.g_01588	Prba.g_00584
OG0000151	Prao.g_01591	Prba.g_00581
OG0000152	Prao.g_01610	Prba.g_00352
OG0000153	Prao.g_01646	Prba.g_00388
OG0000154	Prao.g_01682	Prba.g_00424
OG0000155	Prao.g_01700	Prba.g_01051
OG0000156	Prao.g_01728	Prba.g_00752
OG0000157	Prao.g_01760	Prba.g_00785
OG0000158	Prao.g_01823	Prba.g_01776, Prba.g_00848
OG0000160	Prao.g_01842	Prba.g_01794
OG0000161	Prao.g_01843	Prba.g_01795
OG0000162	Prao.g_01845	Prba.g_01797
OG0000163	Prao.g_01846	Prba.g_01798
OG0000164	Prao.g_01847	Prba.g_01799
OG0000165	Prao.g_01848	Prba.g_01800
OG0000166	Prao.g_01849	Prba.g_01801
OG0000167	Prao.g_01850	Prba.g_01802
OG0000168	Prao.g_00157	Prba.g_01803
OG0000169	Prao.g_00159	Prba.g_01805
OG0000170	Prao.g_00161	Prba.g_01807
OG0000171	Prao.g_00162	Prba.g_01808
OG0000172	Prao.g_00163	Prba.g_01809
OG0000173	Prao.g_00164	Prba.g_01810
OG0000174	Prao.g_00165	Prba.g_01811
OG0000175	Prao.g_00166	Prba.g_01812
OG0000176	Prao.g_00167	Prba.g_01813
OG0000177	Prao.g_00168	Prba.g_01814
OG0000178	Prao.g_00169	Prba.g_01815
OG0000179	Prao.g_00171	Prba.g_01817
OG0000180	Prao.g_00172	Prba.g_01818
OG0000181	Prao.g_00173	Prba.g_01819
OG0000182	Prao.g_00174	Prba.g_01820
OG0000183	Prao.g_00175	Prba.g_01821
OG0000184	Prao.g_00176	Prba.g_01822
OG0000185	Prao.g_00178	Prba.g_01825
OG0000186	Prao.g_00181	Prba.g_01828
OG0000187	Prao.g_00182	Prba.g_01829
OG0000188	Prao.g_00183	Prba.g_01830
OG0000189	Prao.g_00186	Prba.g_01834
OG0000190	Prao.g_00188	Prba.g_01836
OG0000191	Prao.g_00189	Prba.g_01837
OG0000192	Prao.g_00190	Prba.g_01838
OG0000193	Prao.g_00191	Prba.g_01839
OG0000194	Prao.g_00192	Prba.g_01840
OG0000195	Prao.g_00193	Prba.g_01841
OG0000196	Prao.g_00194	Prba.g_01842
OG0000197	Prao.g_00196	Prba.g_01844
OG0000198	Prao.g_00197	Prba.g_01845
OG0000199	Prao.g_00198	Prba.g_01846
OG0000200	Prao.g_00203	Prba.g_01852
OG0000201	Prao.g_00204	Prba.g_01853
OG0000202	Prao.g_00205	Prba.g_01854
OG0000203	Prao.g_00208	Prba.g_01857
OG0000204	Prao.g_00209	Prba.g_01858
OG0000205	Prao.g_00212	Prba.g_01861
OG0000206	Prao.g_00214	Prba.g_01863
OG0000207	Prao.g_00216	Prba.g_01865
OG0000208	Prao.g_00217	Prba.g_01866
OG0000209	Prao.g_00218	Prba.g_01867
OG0000210	Prao.g_00219	Prba.g_01868
OG0000211	Prao.g_00220	Prba.g_01869
OG0000212	Prao.g_00221	Prba.g_01870
OG0000213	Prao.g_00222	Prba.g_01871
OG0000214	Prao.g_00223	Prba.g_01872
OG0000215	Prao.g_00224	Prba.g_01873
OG0000216	Prao.g_00225	Prba.g_01874
OG0000217	Prao.g_00227	Prba.g_01876
OG0000218	Prao.g_00228	Prba.g_01877
OG0000219	Prao.g_00229	Prba.g_01878
OG0000220	Prao.g_00230	Prba.g_01879
OG0000221	Prao.g_00233	Prba.g_01882
OG0000222	Prao.g_00234	Prba.g_01883
OG0000223	Prao.g_00235	Prba.g_01884
OG0000224	Prao.g_00236	Prba.g_01885
OG0000225	Prao.g_00237	Prba.g_01886
OG0000226	Prao.g_00238	Prba.g_01887
OG0000227	Prao.g_00239	Prba.g_01888
OG0000228	Prao.g_00240	Prba.g_01889
OG0000229	Prao.g_00241	Prba.g_01890
OG0000230	Prao.g_00242	Prba.g_01891
OG0000231	Prao.g_00243	Prba.g_01892
OG0000232	Prao.g_00244	Prba.g_01894
OG0000233	Prao.g_00245	Prba.g_01895
OG0000234	Prao.g_00246	Prba.g_01896
OG0000235	Prao.g_00247	Prba.g_01897
OG0000236	Prao.g_00248	Prba.g_01898
OG0000237	Prao.g_00249	Prba.g_01899
OG0000238	Prao.g_00250	Prba.g_01900
OG0000239	Prao.g_00252	Prba.g_01902
OG0000240	Prao.g_00254	Prba.g_01903
OG0000241	Prao.g_00255	Prba.g_01904
OG0000242	Prao.g_00256	Prba.g_01905
OG0000243	Prao.g_00259	Prba.g_01908
OG0000244	Prao.g_00261	Prba.g_01910
OG0000245	Prao.g_00262	Prba.g_01911
OG0000246	Prao.g_00263	Prba.g_01912
OG0000247	Prao.g_00266	Prba.g_01915
OG0000248	Prao.g_00268	Prba.g_01917
OG0000249	Prao.g_00269	Prba.g_01918
OG0000250	Prao.g_00270	Prba.g_01919
OG0000251	Prao.g_00271	Prba.g_01920
OG0000252	Prao.g_00272	Prba.g_01921
OG0000253	Prao.g_00273	Prba.g_01922
OG0000254	Prao.g_00274	Prba.g_01924
OG0000255	Prao.g_00275	Prba.g_01925
OG0000256	Prao.g_00278	Prba.g_01928
OG0000257	Prao.g_00280	Prba.g_01930
OG0000258	Prao.g_00283	Prba.g_01933
OG0000259	Prao.g_00284	Prba.g_01934
OG0000260	Prao.g_00285	Prba.g_01935
OG0000261	Prao.g_00286	Prba.g_01936
OG0000262	Prao.g_00287	Prba.g_01937
OG0000263	Prao.g_00289	Prba.g_01939
OG0000264	Prao.g_00290	Prba.g_01940
OG0000265	Prao.g_00291	Prba.g_01941
OG0000266	Prao.g_00292	Prba.g_01942
OG0000267	Prao.g_00293	Prba.g_01943
OG0000268	Prao.g_00294	Prba.g_01944
OG0000269	Prao.g_00296	Prba.g_01946
OG0000270	Prao.g_00297	Prba.g_01947
