Orthogroup	Prau	Pray
OG0000000	Prau.g_01402	Pray.g_01836
OG0000000	Prau.g_00718	Pray.g_01085
OG0000001	Prau.g_01266	Pray.g_00003
OG0000001	Prau.g_01266	Pray.g_01604
OG0000001	Prau.g_01647	Pray.g_00003
OG0000001	Prau.g_01647	Pray.g_01604
OG0000002	Prau.g_01394	Pray.g_01844
OG0000003	Prau.g_01650	Pray.g_01602
OG0000003	Prau.g_01350	Pray.g_01890
OG0000004	Prau.g_00785	Pray.g_00277
OG0000004	Prau.g_00792	Pray.g_00284
OG0000005	Prau.g_01665	Pray.g_01576
OG0000005	Prau.g_01648	Pray.g_01603
OG0000006	Prau.g_00538	Pray.g_00988, Pray.g_00987
OG0000006	Prau.g_01732	Pray.g_01559
OG0000007	Prau.g_00781	Pray.g_01931
OG0000007	Prau.g_00712	Pray.g_01091
OG0000008	Prau.g_00387	Pray.g_00862
OG0000008	Prau.g_01319	Pray.g_00885
OG0000009	Prau.g_00834	Pray.g_00328
OG0000009	Prau.g_00251	Pray.g_00730
OG0000010	Prau.g_01156	Pray.g_00117
OG0000010	Prau.g_01331	Pray.g_01905
OG0000011	Prau.g_00414	Pray.g_00897
OG0000011	Prau.g_00332	Pray.g_00808
OG0000012	Prau.g_00636	Pray.g_01165
OG0000013	Prau.g_00817	Pray.g_00309
OG0000014	Prau.g_01353	Pray.g_01887
OG0000015	Prau.g_00385	Pray.g_00860
OG0000016	Prau.g_01405	Pray.g_01833
OG0000017	Prau.g_01551	Pray.g_01702
OG0000018	Prau.g_00243, Prau.g_01316	Pray.g_00722
OG0000019	Prau.g_01680	Pray.g_01578
OG0000020	Prau.g_00377	Pray.g_00852
OG0000021	Prau.g_00836	Pray.g_00330
OG0000022	Prau.g_01352	Pray.g_01888
OG0000023	Prau.g_01324	Pray.g_01920
OG0000024	Prau.g_00308	Pray.g_00784
OG0000025	Prau.g_01123	Pray.g_00619
OG0000026	Prau.g_00032	Pray.g_01495
OG0000027	Prau.g_00788	Pray.g_00280
OG0000027	Prau.g_01618	Pray.g_01635
OG0000028	Prau.g_01528, Prau.g_01531	Pray.g_01722
OG0000029	Prau.g_01642	Pray.g_01609
OG0000030	Prau.g_01268	Pray.g_00245, Pray.g_01501
OG0000031	Prau.g_01347	Pray.g_01894
OG0000032	Prau.g_01431, Prau.g_01469	Pray.g_01806
OG0000033	Prau.g_00013	Pray.g_01475
OG0000034	Prau.g_01489	Pray.g_01793
OG0000035	Prau.g_01126	Pray.g_00622
OG0000036	Prau.g_00624	Pray.g_01177
OG0000037	Prau.g_00663	Pray.g_01140
OG0000038	Prau.g_00814	Pray.g_00304
OG0000039	Prau.g_00167	Pray.g_00647
OG0000040	Prau.g_00362	Pray.g_00838
OG0000041	Prau.g_00432	Pray.g_00910
OG0000042	Prau.g_00755	Pray.g_01040
OG0000043	Prau.g_00839	Pray.g_00333
OG0000044	Prau.g_01206	Pray.g_00064
