Orthogroup	Prau	Prbf
OG0000000	Prau.g_01402	Prbf.g_01182, Prbf.g_01177
OG0000000	Prau.g_00718	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260
OG0000002	Prau.g_01394	Prbf.g_00068
OG0000002	Prau.g_01267, Prau.g_01269	Prbf.g_00831
OG0000003	Prau.g_01300, Prau.g_01350	Prbf.g_00880
OG0000004	Prau.g_00785, Prau.g_00792	Prbf.g_00052
OG0000005	Prau.g_01665	Prbf.g_00776
OG0000006	Prau.g_00538	Prbf.g_01780
OG0000006	Prau.g_01732	Prbf.g_00693
OG0000007	Prau.g_00781	Prbf.g_00793
OG0000009	Prau.g_00834	Prbf.g_00894
OG0000009	Prau.g_00251	Prbf.g_01588
OG0000010	Prau.g_01156, Prau.g_01331	Prbf.g_00306
OG0000011	Prau.g_00414	Prbf.g_01707
OG0000012	Prau.g_00636	Prbf.g_01880, Prbf.g_01887
OG0000013	Prau.g_00817	Prbf.g_00754, Prbf.g_00708
OG0000014	Prau.g_01353	Prbf.g_00817, Prbf.g_00774
OG0000015	Prau.g_00385, Prau.g_01284	Prbf.g_00765, Prbf.g_00732
OG0000016	Prau.g_01405	Prbf.g_00864, Prbf.g_00254
OG0000017	Prau.g_00040	Prbf.g_00178, Prbf.g_00748
OG0000018	Prau.g_00243, Prau.g_01316	Prbf.g_01580
OG0000019	Prau.g_01680	Prbf.g_01259
OG0000020	Prau.g_00377	Prbf.g_00039, Prbf.g_01611
OG0000021	Prau.g_00836	Prbf.g_00711
OG0000023	Prau.g_01324	Prbf.g_00252
OG0000024	Prau.g_00308	Prbf.g_01647
OG0000026	Prau.g_01295	Prbf.g_00808
OG0000028	Prau.g_01528	Prbf.g_00157
OG0000029	Prau.g_01642, Prau.g_01285	Prbf.g_01738
OG0000032	Prau.g_01431, Prau.g_01469	Prbf.g_00116
OG0000033	Prau.g_00013	Prbf.g_00860
OG0000034	Prau.g_01489	Prbf.g_00135
OG0000036	Prau.g_00624	Prbf.g_00704, Prbf.g_01867
OG0000037	Prau.g_00663	Prbf.g_00272, Prbf.g_01905
OG0000038	Prau.g_00814	Prbf.g_00248
OG0000039	Prau.g_00167	Prbf.g_01500
OG0000040	Prau.g_00362	Prbf.g_00287
OG0000041	Prau.g_00458	Prbf.g_00729, Prbf.g_00735
OG0000042	Prau.g_00755	Prbf.g_01253
OG0000043	Prau.g_00839	Prbf.g_01153
OG0000045	Prau.g_01432, Prau.g_01460	Prbf.g_00117
OG0000046	Prau.g_01725	Prbf.g_00701, Prbf.g_00822
OG0000047	Prau.g_01925, Prau.g_00037	Prbf.g_00496
OG0000048	Prau.g_01932	Prbf.g_00487
OG0000050	Prau.g_00030	Prbf.g_01354
OG0000051	Prau.g_00158	Prbf.g_01491
OG0000052	Prau.g_00373	Prbf.g_00320
OG0000053	Prau.g_00579	Prbf.g_01820, Prbf.g_00781
OG0000054	Prau.g_00808	Prbf.g_01922
OG0000055	Prau.g_00876	Prbf.g_01222
OG0000056	Prau.g_01162	Prbf.g_00862
OG0000057	Prau.g_00238, Prau.g_00784	Prbf.g_01575
OG0000058	Prau.g_00516	Prbf.g_01758
OG0000059	Prau.g_00738	Prbf.g_01261
OG0000062	Prau.g_01174	Prbf.g_00788
OG0000063	Prau.g_01318	Prbf.g_00945
OG0000065	Prau.g_01371	Prbf.g_00026
OG0000066	Prau.g_01430	Prbf.g_00115
OG0000068	Prau.g_01869	Prbf.g_00558
OG0000069	Prau.g_01446	Prbf.g_00196
OG0000071	Prau.g_00011	Prbf.g_00382
OG0000073	Prau.g_00709	Prbf.g_01018
OG0000074	Prau.g_00731	Prbf.g_01271
OG0000075	Prau.g_00861	Prbf.g_01238
OG0000076	Prau.g_01089	Prbf.g_01170
OG0000077	Prau.g_01666	Prbf.g_00777
OG0000078	Prau.g_01435, Prau.g_01434, Prau.g_01491	Prbf.g_00118
OG0000079	Prau.g_01609	Prbf.g_00242
OG0000080	Prau.g_01658	Prbf.g_00346
OG0000081	Prau.g_01899	Prbf.g_00524
OG0000082	Prau.g_01297	Prbf.g_00351
OG0000083	Prau.g_00003	Prbf.g_00390
OG0000084	Prau.g_00006	Prbf.g_00387
OG0000085	Prau.g_00023	Prbf.g_01345
OG0000087	Prau.g_00057	Prbf.g_01374
OG0000088	Prau.g_00114	Prbf.g_01443
OG0000089	Prau.g_00122	Prbf.g_01452
OG0000090	Prau.g_00140	Prbf.g_01469
OG0000091	Prau.g_00170	Prbf.g_01503
OG0000092	Prau.g_00171	Prbf.g_01504
OG0000093	Prau.g_00185	Prbf.g_01518
OG0000094	Prau.g_00203	Prbf.g_01537
OG0000095	Prau.g_00208	Prbf.g_01542
OG0000096	Prau.g_00253	Prbf.g_01590
OG0000097	Prau.g_00276	Prbf.g_01614
OG0000099	Prau.g_00296	Prbf.g_01635
OG0000100	Prau.g_00299	Prbf.g_01638
OG0000101	Prau.g_00359	Prbf.g_01703
OG0000102	Prau.g_00386	Prbf.g_00044
OG0000103	Prau.g_00517	Prbf.g_01759
OG0000104	Prau.g_00521	Prbf.g_01763
OG0000105	Prau.g_00540	Prbf.g_01783
OG0000106	Prau.g_00572	Prbf.g_01813
OG0000107	Prau.g_00573	Prbf.g_01814
OG0000108	Prau.g_00583	Prbf.g_01824
OG0000109	Prau.g_00592	Prbf.g_01833
OG0000110	Prau.g_00608	Prbf.g_01850
OG0000111	Prau.g_00691	Prbf.g_00999
OG0000112	Prau.g_00692	Prbf.g_01000
OG0000113	Prau.g_00777	Prbf.g_01050
OG0000114	Prau.g_00852	Prbf.g_01247
OG0000115	Prau.g_01015	Prbf.g_01117
OG0000116	Prau.g_01019	Prbf.g_01113
OG0000117	Prau.g_01086	Prbf.g_01167
OG0000118	Prau.g_01136	Prbf.g_00873
OG0000119	Prau.g_01177	Prbf.g_00785
OG0000120	Prau.g_01212	Prbf.g_00924
OG0000121	Prau.g_01231	Prbf.g_00947
OG0000122	Prau.g_01250	Prbf.g_00967
