Orthogroup	Prau	Praq
OG0000000	Prau.g_01402	Praq.g_00168
OG0000000	Prau.g_00718	Praq.g_00807
OG0000001	Prau.g_01266	Praq.g_00025
OG0000001	Prau.g_01647	Praq.g_00025
OG0000001	Prau.g_01266	Praq.g_01392
OG0000001	Prau.g_01647	Praq.g_01392
OG0000002	Prau.g_01394	Praq.g_00160
OG0000002	Prau.g_01267, Prau.g_01269	Praq.g_01393
OG0000003	Prau.g_01300, Prau.g_01350	Praq.g_00115
OG0000004	Prau.g_00785	Praq.g_00607
OG0000004	Prau.g_00792	Praq.g_00614
OG0000005	Prau.g_01665	Praq.g_01956
OG0000005	Prau.g_01648	Praq.g_00026
OG0000006	Prau.g_00538	Praq.g_01105
OG0000006	Prau.g_01732	Praq.g_00497
OG0000007	Prau.g_00781	Praq.g_00071
OG0000007	Prau.g_00712	Praq.g_00801
OG0000008	Prau.g_00387	Praq.g_01159
OG0000008	Prau.g_01319	Praq.g_00085
OG0000008	Prau.g_01303	Praq.g_00046
OG0000009	Prau.g_00834	Praq.g_00649
OG0000009	Prau.g_00251	Praq.g_01753
OG0000010	Prau.g_01156	Praq.g_01283
OG0000010	Prau.g_01331	Praq.g_00097
OG0000011	Prau.g_00414	Praq.g_01137
OG0000011	Prau.g_00332	Praq.g_01672
OG0000012	Prau.g_00636	Praq.g_01004
OG0000013	Prau.g_00817	Praq.g_00065
OG0000014	Prau.g_01353	Praq.g_00521
OG0000015	Prau.g_00385, Prau.g_01284	Praq.g_01161
OG0000016	Prau.g_01405	Praq.g_00171
OG0000017	Prau.g_01551	Praq.g_00314
OG0000017	Prau.g_00040	Praq.g_01246
OG0000018	Prau.g_00243, Prau.g_01316	Praq.g_01761
OG0000019	Prau.g_00367, Prau.g_01680	Praq.g_01179
OG0000020	Prau.g_00377	Praq.g_01169
OG0000021	Prau.g_00836	Praq.g_00651
OG0000022	Prau.g_01352	Praq.g_00117
OG0000023	Prau.g_01641, Prau.g_01324	Praq.g_00017
OG0000024	Prau.g_00308, Prau.g_01470	Praq.g_01696
OG0000025	Prau.g_01123	Praq.g_01654
OG0000026	Prau.g_00032	Praq.g_01237
OG0000026	Prau.g_01295	Praq.g_00075
OG0000027	Prau.g_00788	Praq.g_00610
OG0000027	Prau.g_01618	Praq.g_00381
OG0000028	Prau.g_01528, Prau.g_01531	Praq.g_00294
OG0000029	Prau.g_01642	Praq.g_00018
OG0000029	Prau.g_01285	Praq.g_00056
OG0000030	Prau.g_01268	Praq.g_01242
OG0000032	Prau.g_01431, Prau.g_01469	Praq.g_00209
OG0000035	Prau.g_01126	Praq.g_01657
OG0000036	Prau.g_00624	Praq.g_01018
OG0000037	Prau.g_00663	Praq.g_00979
OG0000038	Prau.g_00814	Praq.g_00635
OG0000039	Prau.g_00167	Praq.g_01836
OG0000040	Prau.g_00362	Praq.g_01184
OG0000041	Prau.g_00432, Prau.g_00458	Praq.g_01129
OG0000042	Prau.g_00755	Praq.g_00583
OG0000043	Prau.g_00839	Praq.g_00654
OG0000044	Prau.g_01206	Praq.g_01333
