Orthogroup	Prau	Prbm
OG0000000	Prau.g_01402	Prbm.g_00874
OG0000000	Prau.g_00718	Prbm.g_00712, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581
OG0000002	Prau.g_01394	Prbm.g_01633
OG0000002	Prau.g_01267, Prau.g_01269	Prbm.g_00496, Prbm.g_01940
OG0000003	Prau.g_01300, Prau.g_01350	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Prau.g_00785, Prau.g_00792	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000005	Prau.g_01665	Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_01808, Prbm.g_01407, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_00436
OG0000006	Prau.g_00538	Prbm.g_00522
OG0000006	Prau.g_01732	Prbm.g_01841
OG0000007	Prau.g_00781	Prbm.g_01907
OG0000008	Prau.g_00387	Prbm.g_00463
OG0000009	Prau.g_00834	Prbm.g_00792
OG0000010	Prau.g_01156, Prau.g_01331	Prbm.g_01359
OG0000011	Prau.g_00414	Prbm.g_00428
OG0000011	Prau.g_00332	Prbm.g_00390
OG0000012	Prau.g_00636	Prbm.g_00628, Prbm.g_00635
OG0000013	Prau.g_00817	Prbm.g_01427, Prbm.g_01149
OG0000015	Prau.g_00385, Prau.g_01284	Prbm.g_01415, Prbm.g_01164
OG0000016	Prau.g_01405	Prbm.g_01653
OG0000017	Prau.g_01551, Prau.g_00040	Prbm.g_01729
OG0000018	Prau.g_00243, Prau.g_01316	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000020	Prau.g_00377	Prbm.g_00329
OG0000021	Prau.g_00836	Prbm.g_01091, Prbm.g_01262, Prbm.g_01017, Prbm.g_01016
OG0000022	Prau.g_01352	Prbm.g_01115, Prbm.g_01408, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000024	Prau.g_00308	Prbm.g_00362, Prbm.g_02126
OG0000026	Prau.g_00032, Prau.g_01295	Prbm.g_01947
OG0000027	Prau.g_01618	Prbm.g_01124, Prbm.g_01110, Prbm.g_01445, Prbm.g_01461
OG0000028	Prau.g_01528	Prbm.g_01710
OG0000029	Prau.g_01642, Prau.g_01285	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000030	Prau.g_01268	Prbm.g_00528
OG0000031	Prau.g_01275, Prau.g_01681	Prbm.g_01276
OG0000032	Prau.g_01431, Prau.g_01469	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Prau.g_00013	Prbm.g_00013, Prbm.g_01944
OG0000036	Prau.g_00624	Prbm.g_01900
OG0000037	Prau.g_00663	Prbm.g_01106
OG0000038	Prau.g_00814	Prbm.g_01204
OG0000039	Prau.g_00167	Prbm.g_00225
OG0000040	Prau.g_00362	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000041	Prau.g_00458	Prbm.g_01351
OG0000042	Prau.g_00755	Prbm.g_00742
OG0000043	Prau.g_00839	Prbm.g_00950
OG0000045	Prau.g_01432, Prau.g_01460	Prbm.g_00881
OG0000046	Prau.g_01725	Prbm.g_01834
OG0000047	Prau.g_01925, Prau.g_00037	Prbm.g_02094
OG0000048	Prau.g_01932	Prbm.g_02102
OG0000050	Prau.g_00030	Prbm.g_00031
OG0000051	Prau.g_00158	Prbm.g_00216
OG0000052	Prau.g_00373	Prbm.g_01172, Prbm.g_01237
OG0000053	Prau.g_00579	Prbm.g_00572
OG0000054	Prau.g_00808	Prbm.g_00047
OG0000055	Prau.g_00876	Prbm.g_00838, Prbm.g_01191
OG0000056	Prau.g_01162, Prau.g_00749	Prbm.g_00048
OG0000057	Prau.g_00238, Prau.g_00784	Prbm.g_00297
OG0000058	Prau.g_00516	Prbm.g_00500
OG0000059	Prau.g_00738	Prbm.g_00735
OG0000060	Prau.g_00790, Prau.g_01703	Prbm.g_01186
OG0000061	Prau.g_01172, Prau.g_01035	Prbm.g_01648
OG0000062	Prau.g_01174	Prbm.g_01910
OG0000063	Prau.g_01318	Prbm.g_01522
OG0000065	Prau.g_01371	Prbm.g_00468, Prbm.g_01611
OG0000066	Prau.g_01430	Prbm.g_00707
OG0000067	Prau.g_01307	Prbm.g_01174
OG0000068	Prau.g_01869	Prbm.g_02033
OG0000069	Prau.g_01446	Prbm.g_01747
OG0000071	Prau.g_00011	Prbm.g_00011
OG0000073	Prau.g_00709	Prbm.g_00702
OG0000074	Prau.g_00731	Prbm.g_00728
OG0000075	Prau.g_00861	Prbm.g_00821
OG0000076	Prau.g_01089	Prbm.g_01064
OG0000077	Prau.g_01666	Prbm.g_00434, Prbm.g_01118, Prbm.g_01230, Prbm.g_01383, Prbm.g_01809, Prbm.g_01405
OG0000078	Prau.g_01435, Prau.g_01434, Prau.g_01491	Prbm.g_00394
OG0000079	Prau.g_01609	Prbm.g_01792
OG0000080	Prau.g_01658	Prbm.g_01182
