Orthogroup	Prau	Pram
OG0000000	Prau.g_01402	Pram.g_00873, Pram.g_00879
OG0000000	Prau.g_00718	Pram.g_00768, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278
OG0000002	Prau.g_01394	Pram.g_01954, Pram.g_01953
OG0000002	Prau.g_01267, Prau.g_01269	Pram.g_00719
OG0000003	Prau.g_01300, Prau.g_01350	Pram.g_01513, Pram.g_01176
OG0000004	Prau.g_00785, Prau.g_00792	Pram.g_01207
OG0000005	Prau.g_01665	Pram.g_01511
OG0000006	Prau.g_00538	Pram.g_00433
OG0000006	Prau.g_01732	Pram.g_01632
OG0000007	Prau.g_00781	Pram.g_01263
OG0000009	Prau.g_00834	Pram.g_01164
OG0000009	Prau.g_00251	Pram.g_00237
OG0000010	Prau.g_01156, Prau.g_01331	Pram.g_01505, Pram.g_00621
OG0000011	Prau.g_00414	Pram.g_00359
OG0000012	Prau.g_00636	Pram.g_00535, Pram.g_00542
OG0000013	Prau.g_00817	Pram.g_00696, Pram.g_01545
OG0000015	Prau.g_00385, Prau.g_01284	Pram.g_01597, Pram.g_00618, Pram.g_00662
OG0000016	Prau.g_01405	Pram.g_01283
OG0000017	Prau.g_00040	Pram.g_01357, Pram.g_01580
OG0000018	Prau.g_00243, Prau.g_01316	Pram.g_00229
OG0000019	Prau.g_01680	Pram.g_00794
OG0000020	Prau.g_00377	Pram.g_00259
OG0000021	Prau.g_00836	Pram.g_00644, Pram.g_01544
OG0000022	Prau.g_01352	Pram.g_01561
OG0000023	Prau.g_01324	Pram.g_01284
OG0000024	Prau.g_00308	Pram.g_00295
OG0000026	Prau.g_01295	Pram.g_01258
OG0000028	Prau.g_01528	Pram.g_01378, Pram.g_01381
OG0000029	Prau.g_01642, Prau.g_01285	Pram.g_00391
OG0000033	Prau.g_00013	Pram.g_01193
OG0000034	Prau.g_01448	Pram.g_01436
OG0000036	Prau.g_00624	Pram.g_01559
OG0000037	Prau.g_00663	Pram.g_00561
OG0000038	Prau.g_00814	Pram.g_01287
OG0000039	Prau.g_00167	Pram.g_00151
OG0000040	Prau.g_00362	Pram.g_00689
OG0000041	Prau.g_00458	Pram.g_01587
OG0000042	Prau.g_00755	Pram.g_00801
OG0000043	Prau.g_00839	Pram.g_00905
OG0000046	Prau.g_01725	Pram.g_01265
OG0000047	Prau.g_01925, Prau.g_00037	Pram.g_01833
OG0000048	Prau.g_01932	Pram.g_01841
OG0000050	Prau.g_00030	Pram.g_00018
OG0000051	Prau.g_00158	Pram.g_00142
OG0000052	Prau.g_00373	Pram.g_00677
OG0000053	Prau.g_00579	Pram.g_01558
OG0000054	Prau.g_00808	Pram.g_01517
OG0000055	Prau.g_00876	Pram.g_00832
OG0000056	Prau.g_01162	Pram.g_01191
OG0000057	Prau.g_00238, Prau.g_00784	Pram.g_00224
OG0000058	Prau.g_00516	Pram.g_00411
OG0000059	Prau.g_00738	Pram.g_00792
OG0000060	Prau.g_00790, Prau.g_01703	Pram.g_00631
OG0000062	Prau.g_01174	Pram.g_01546
OG0000063	Prau.g_01318	Pram.g_01112
OG0000065	Prau.g_01371	Pram.g_01230
OG0000066	Prau.g_01430	Pram.g_01446
OG0000067	Prau.g_01335, Prau.g_01307	Pram.g_01579
OG0000068	Prau.g_01869	Pram.g_01770
OG0000069	Prau.g_01446	Pram.g_01339
OG0000071	Prau.g_00011	Pram.g_01949
OG0000073	Prau.g_00709	Pram.g_01039
OG0000074	Prau.g_00731	Pram.g_00782
OG0000075	Prau.g_00861	Pram.g_00816
OG0000076	Prau.g_01089	Pram.g_00888
OG0000077	Prau.g_01666	Pram.g_01510
OG0000078	Prau.g_01435, Prau.g_01434, Prau.g_01491	Pram.g_01445
OG0000079	Prau.g_01609	Pram.g_01293
OG0000080	Prau.g_01658	Pram.g_01554
OG0000081	Prau.g_01899	Pram.g_01805
OG0000082	Prau.g_01297	Pram.g_01898
OG0000083	Prau.g_00003	Pram.g_01941
OG0000084	Prau.g_00006	Pram.g_01944
OG0000085	Prau.g_00023	Pram.g_00010
OG0000086	Prau.g_00429, Prau.g_00422	Pram.g_01588
OG0000087	Prau.g_00057	Pram.g_00036
OG0000088	Prau.g_00114	Pram.g_00099
OG0000089	Prau.g_00122	Pram.g_00108
OG0000090	Prau.g_00140	Pram.g_00125
OG0000091	Prau.g_00170	Pram.g_00154
OG0000092	Prau.g_00171	Pram.g_00155
OG0000093	Prau.g_00185	Pram.g_00168
OG0000094	Prau.g_00203	Pram.g_00187
OG0000095	Prau.g_00208	Pram.g_00192
OG0000096	Prau.g_00253	Pram.g_00239
OG0000097	Prau.g_00276	Pram.g_00262
OG0000099	Prau.g_00296	Pram.g_00283
OG0000100	Prau.g_00299	Pram.g_00286
OG0000101	Prau.g_00359	Pram.g_00354
OG0000102	Prau.g_00386	Pram.g_01589
OG0000103	Prau.g_00517	Pram.g_00412
OG0000104	Prau.g_00521	Pram.g_00416
OG0000105	Prau.g_00540	Pram.g_00437
OG0000106	Prau.g_00572	Pram.g_00470
OG0000107	Prau.g_00573	Pram.g_00471
OG0000108	Prau.g_00583	Pram.g_00480
OG0000109	Prau.g_00592	Pram.g_00489
OG0000110	Prau.g_00608	Pram.g_00507
OG0000111	Prau.g_00691	Pram.g_01059
OG0000112	Prau.g_00692	Pram.g_01058
OG0000113	Prau.g_00777	Pram.g_01006
OG0000114	Prau.g_00852	Pram.g_00807
OG0000115	Prau.g_01015	Pram.g_00943
OG0000116	Prau.g_01019	Pram.g_00947
OG0000117	Prau.g_01086	Pram.g_00891
OG0000118	Prau.g_01136	Pram.g_01185
OG0000119	Prau.g_01177	Pram.g_01549
OG0000120	Prau.g_01212	Pram.g_01133
OG0000121	Prau.g_01231	Pram.g_01110
OG0000122	Prau.g_01250	Pram.g_01090
OG0000123	Prau.g_01263	Pram.g_00571
OG0000124	Prau.g_01496, Prau.g_01271	Pram.g_01254
OG0000125	Prau.g_01383	Pram.g_01242
OG0000126	Prau.g_01409	Pram.g_01468
OG0000127	Prau.g_01515	Pram.g_01393
OG0000128	Prau.g_01532	Pram.g_01377
OG0000129	Prau.g_01568	Pram.g_01341
OG0000130	Prau.g_01730	Pram.g_01629
OG0000131	Prau.g_01768	Pram.g_01669
OG0000132	Prau.g_01771	Pram.g_01672
OG0000133	Prau.g_01828	Pram.g_01728
OG0000134	Prau.g_01864	Pram.g_01764
OG0000135	Prau.g_01866	Pram.g_01766
OG0000136	Prau.g_01910	Pram.g_01817
OG0000137	Prau.g_01942	Pram.g_01851
OG0000138	Prau.g_01978	Pram.g_01886
OG0000139	Prau.g_02004	Pram.g_01917
OG0000140	Prau.g_00001	Pram.g_01939
OG0000141	Prau.g_00002	Pram.g_01940
OG0000142	Prau.g_00004	Pram.g_01942
OG0000143	Prau.g_00005	Pram.g_01943
OG0000144	Prau.g_00007	Pram.g_01945
OG0000145	Prau.g_00008	Pram.g_01946
OG0000146	Prau.g_00009	Pram.g_01947
OG0000147	Prau.g_00010	Pram.g_01948
OG0000148	Prau.g_00012	Pram.g_01950
OG0000149	Prau.g_00014	Pram.g_00001
OG0000150	Prau.g_00015	Pram.g_00002
OG0000151	Prau.g_00016	Pram.g_00003
OG0000152	Prau.g_00017	Pram.g_00004
OG0000153	Prau.g_00018	Pram.g_00005
OG0000154	Prau.g_00019	Pram.g_00006
OG0000155	Prau.g_00020	Pram.g_00007
OG0000156	Prau.g_00021	Pram.g_00008
OG0000157	Prau.g_00022	Pram.g_00009
OG0000158	Prau.g_00024	Pram.g_00011
OG0000159	Prau.g_00025	Pram.g_00012
OG0000160	Prau.g_00026	Pram.g_00013
OG0000161	Prau.g_00027	Pram.g_00014
OG0000162	Prau.g_00028	Pram.g_00015
OG0000163	Prau.g_00029	Pram.g_00016
OG0000164	Prau.g_00031	Pram.g_00019
OG0000165	Prau.g_00034	Pram.g_00021
OG0000166	Prau.g_00035	Pram.g_00022
OG0000167	Prau.g_00036	Pram.g_00023
OG0000168	Prau.g_00047	Pram.g_00024
OG0000169	Prau.g_00049	Pram.g_00026
OG0000170	Prau.g_00050	Pram.g_00028
OG0000171	Prau.g_00051	Pram.g_00029
OG0000172	Prau.g_00053	Pram.g_00030
OG0000173	Prau.g_00054	Pram.g_00033
OG0000174	Prau.g_00055	Pram.g_00034
OG0000175	Prau.g_00056	Pram.g_00035
OG0000176	Prau.g_00058	Pram.g_00037
OG0000177	Prau.g_00059	Pram.g_00038
OG0000178	Prau.g_00060	Pram.g_00039
OG0000179	Prau.g_00066	Pram.g_00048
OG0000180	Prau.g_00067	Pram.g_00049
OG0000181	Prau.g_00068	Pram.g_00050
OG0000182	Prau.g_00071	Pram.g_00054
OG0000183	Prau.g_00072	Pram.g_00055
OG0000184	Prau.g_00074	Pram.g_00058
OG0000185	Prau.g_00078	Pram.g_00062
OG0000186	Prau.g_00079	Pram.g_00063
OG0000187	Prau.g_00080	Pram.g_01536
OG0000188	Prau.g_00081	Pram.g_00064
OG0000189	Prau.g_00082	Pram.g_00065
OG0000190	Prau.g_00083	Pram.g_00066
OG0000191	Prau.g_00084	Pram.g_00067
OG0000192	Prau.g_00085	Pram.g_00068
OG0000193	Prau.g_00086	Pram.g_00069
OG0000194	Prau.g_00087	Pram.g_00070
OG0000195	Prau.g_00089	Pram.g_00072
OG0000196	Prau.g_00090	Pram.g_00073
OG0000197	Prau.g_00091	Pram.g_00074
OG0000198	Prau.g_00092	Pram.g_00075
OG0000199	Prau.g_00095	Pram.g_00078
OG0000200	Prau.g_00096	Pram.g_00079
OG0000201	Prau.g_00097	Pram.g_00080
OG0000202	Prau.g_00098	Pram.g_00081
OG0000203	Prau.g_00099	Pram.g_00082
OG0000204	Prau.g_00100	Pram.g_00083
OG0000205	Prau.g_00101	Pram.g_00085
OG0000206	Prau.g_00102	Pram.g_00086
OG0000207	Prau.g_00103	Pram.g_00087
OG0000208	Prau.g_00104	Pram.g_00088
OG0000209	Prau.g_00105	Pram.g_00089
OG0000210	Prau.g_00107	Pram.g_00090
OG0000211	Prau.g_00108	Pram.g_00091
OG0000212	Prau.g_00109	Pram.g_00092
OG0000213	Prau.g_00110	Pram.g_00093
OG0000214	Prau.g_00112	Pram.g_00097
OG0000215	Prau.g_00113	Pram.g_00098
OG0000216	Prau.g_00115	Pram.g_00100
OG0000217	Prau.g_00116	Pram.g_00101
OG0000218	Prau.g_00117	Pram.g_00102
OG0000219	Prau.g_00118	Pram.g_00103
OG0000220	Prau.g_00121	Pram.g_00106
OG0000221	Prau.g_00123	Pram.g_00109
OG0000222	Prau.g_00124	Pram.g_00110
OG0000223	Prau.g_00125	Pram.g_00111
OG0000224	Prau.g_00128	Pram.g_00113
OG0000225	Prau.g_00130	Pram.g_00115
OG0000226	Prau.g_00131	Pram.g_00117
OG0000227	Prau.g_00132	Pram.g_00118
OG0000228	Prau.g_00133	Pram.g_00119
OG0000229	Prau.g_00134	Pram.g_00120
OG0000230	Prau.g_00135	Pram.g_00121
OG0000231	Prau.g_00137	Pram.g_01001
OG0000232	Prau.g_00138	Pram.g_00123
OG0000233	Prau.g_00141	Pram.g_00126
OG0000234	Prau.g_00143	Pram.g_00128
