Orthogroup	Syai	Prax
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prax.g_01878
OG0000002	Syai.g_01728	Prax.g_01870, Prax.g_00964
OG0000004	Syai.g_01994	Prax.g_00947
OG0000004	Syai.g_01062, Syai.g_00530	Prax.g_00986
OG0000005	Syai.g_02393	Prax.g_01546
OG0000005	Syai.g_02356	Prax.g_01652
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prax.g_01972
OG0000007	Syai.g_00657	Prax.g_00704
OG0000007	Syai.g_02378	Prax.g_01559
OG0000009	Syai.g_01626	Prax.g_01950, Prax.g_01617
OG0000010	Syai.g_00864	Prax.g_01212
OG0000011	Syai.g_01894, Syai.g_00582	Prax.g_01930, Prax.g_00460
OG0000011	Syai.g_01952	Prax.g_00454
OG0000012	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650	Prax.g_00082
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prax.g_00846
OG0000014	Syai.g_00220	Prax.g_00869
OG0000015	Syai.g_01246, Syai.g_01245	Prax.g_00523, Prax.g_00410
OG0000017	Syai.g_00801, Syai.g_00808	Prax.g_00057
OG0000018	Syai.g_00915	Prax.g_00181
OG0000019	Syai.g_00304	Prax.g_00926, Prax.g_00393
OG0000020	Syai.g_00476	Prax.g_00138
OG0000021	Syai.g_00556	Prax.g_01587, Prax.g_00808
OG0000022	Syai.g_01159	Prax.g_00157
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prax.g_00813
OG0000024	Syai.g_01951	Prax.g_00432, Prax.g_00967
OG0000025	Syai.g_02044	Prax.g_00842, Prax.g_00338
OG0000026	Syai.g_00038	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Syai.g_01128, Syai.g_01654	Prax.g_01916
OG0000028	Syai.g_00205	Prax.g_00855
OG0000029	Syai.g_01035, Syai.g_01584	Prax.g_00425, Prax.g_00798
OG0000030	Syai.g_00096, Syai.g_00095	Prax.g_01404
OG0000031	Syai.g_00197	Prax.g_01831
OG0000034	Syai.g_02192, Syai.g_02604	Prax.g_01889
OG0000035	Syai.g_00955	Prax.g_01728, Prax.g_01733
OG0000037	Syai.g_02544, Syai.g_02815	Prax.g_01110
OG0000038	Syai.g_02780	Prax.g_01445
OG0000039	Syai.g_02034	Prax.g_00956
OG0000040	Syai.g_02876	Prax.g_00180
OG0000041	Syai.g_02265, Syai.g_02016	Prax.g_01512
OG0000042	Syai.g_00099	Prax.g_01401
OG0000045	Syai.g_02432	Prax.g_00802
OG0000047	Syai.g_00462	Prax.g_00843
OG0000048	Syai.g_00272	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000050	Syai.g_01893	Prax.g_00448, Prax.g_00508
OG0000050	Syai.g_01332	Prax.g_01240
OG0000051	Syai.g_01773	Prax.g_01927
OG0000053	Syai.g_00930	Prax.g_01708
OG0000054	Syai.g_01040	Prax.g_00065
OG0000055	Syai.g_02029	Prax.g_00392
OG0000057	Syai.g_01997	Prax.g_00944
OG0000059	Syai.g_00351	Prax.g_01286
OG0000060	Syai.g_00635, Syai.g_01758	Prax.g_00517
