Orthogroup	Syai	Prbj
OG0000001	Syai.g_02595	Prbj.g_01549, Prbj.g_02662
OG0000002	Syai.g_01728	Prbj.g_02517, Prbj.g_00030
OG0000004	Syai.g_01994	Prbj.g_00754
OG0000004	Syai.g_01062, Syai.g_00530	Prbj.g_01777
OG0000005	Syai.g_02356	Prbj.g_00883
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prbj.g_02699
OG0000007	Syai.g_00657	Prbj.g_01610
OG0000007	Syai.g_02378	Prbj.g_00857
OG0000008	Syai.g_01956	Prbj.g_00929
OG0000008	Syai.g_01955	Prbj.g_00928
OG0000009	Syai.g_02541	Prbj.g_01300, Prbj.g_00618
OG0000010	Syai.g_00864	Prbj.g_00129
OG0000011	Syai.g_01894, Syai.g_00582	Prbj.g_00897
OG0000012	Syai.g_01068	Prbj.g_02552
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prbj.g_00359
OG0000014	Syai.g_00220	Prbj.g_01442
OG0000015	Syai.g_01246, Syai.g_01245	Prbj.g_02502
OG0000017	Syai.g_00801	Prbj.g_01769
OG0000017	Syai.g_00808	Prbj.g_01761
OG0000018	Syai.g_00915	Prbj.g_00641
OG0000019	Syai.g_00304	Prbj.g_00025, Prbj.g_01349
OG0000020	Syai.g_00476	Prbj.g_00214, Prbj.g_02701
OG0000021	Syai.g_00556	Prbj.g_01121, Prbj.g_01774
OG0000022	Syai.g_01159	Prbj.g_00050
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbj.g_02392
OG0000024	Syai.g_01951	Prbj.g_00773
OG0000025	Syai.g_02044	Prbj.g_02475
OG0000026	Syai.g_00038	Prbj.g_01204
OG0000028	Syai.g_00205	Prbj.g_01457
OG0000029	Syai.g_01035, Syai.g_01584	Prbj.g_00378
OG0000030	Syai.g_00096	Prbj.g_01288
OG0000030	Syai.g_00095	Prbj.g_01287
OG0000031	Syai.g_00197	Prbj.g_01522, Prbj.g_01527
OG0000032	Syai.g_00895	Prbj.g_00659
OG0000033	Syai.g_02634	Prbj.g_00518
OG0000034	Syai.g_02192, Syai.g_02604	Prbj.g_01740
OG0000035	Syai.g_00955	Prbj.g_01056
OG0000036	Syai.g_01848	Prbj.g_01099
OG0000037	Syai.g_02544, Syai.g_02815	Prbj.g_00624
OG0000038	Syai.g_02780	Prbj.g_01959
OG0000041	Syai.g_02265, Syai.g_02016	Prbj.g_00450
OG0000042	Syai.g_00099	Prbj.g_01808, Prbj.g_00001
OG0000046	Syai.g_00443, Syai.g_00449, Syai.g_00435	Prbj.g_00358
OG0000047	Syai.g_00462	Prbj.g_00666, Prbj.g_02509
OG0000048	Syai.g_00272	Prbj.g_01393
OG0000052	Syai.g_00176	Prbj.g_01487
OG0000053	Syai.g_00930	Prbj.g_00638
OG0000054	Syai.g_01040	Prbj.g_01758
OG0000057	Syai.g_01997	Prbj.g_00758
OG0000058	Syai.g_00195	Prbj.g_01467
OG0000059	Syai.g_00351	Prbj.g_01029
OG0000060	Syai.g_00635	Prbj.g_01633
OG0000061	Syai.g_02144	Prbj.g_00971
OG0000062	Syai.g_02358	Prbj.g_00881
OG0000063	Syai.g_00042	Prbj.g_01208
OG0000066	Syai.g_01709, Syai.g_00719	Prbj.g_02141
OG0000067	Syai.g_01321	Prbj.g_02412
OG0000068	Syai.g_00628	Prbj.g_01639
OG0000070	Syai.g_02196	Prbj.g_00118
OG0000071	Syai.g_02179	Prbj.g_01728
OG0000072	Syai.g_02636	Prbj.g_00516
OG0000073	Syai.g_00659	Prbj.g_01608
OG0000075	Syai.g_00161	Prbj.g_01502
OG0000076	Syai.g_00111	Prbj.g_01598
OG0000077	Syai.g_02486	Prbj.g_01900
OG0000078	Syai.g_00543	Prbj.g_02614
OG0000081	Syai.g_02292	Prbj.g_00799
OG0000082	Syai.g_00781	Prbj.g_01789
OG0000084	Syai.g_01196, Syai.g_00958	Prbj.g_01052
OG0000085	Syai.g_02365	Prbj.g_00869
OG0000086	Syai.g_02507	Prbj.g_00589
OG0000087	Syai.g_02592	Prbj.g_01547
OG0000088	Syai.g_02630	Prbj.g_00521, Prbj.g_00912
OG0000089	Syai.g_00517	Prbj.g_00064
OG0000090	Syai.g_00707	Prbj.g_02127
OG0000091	Syai.g_01112	Prbj.g_02581
OG0000093	Syai.g_01306	Prbj.g_02388
OG0000094	Syai.g_01424	Prbj.g_01985
OG0000095	Syai.g_02007	Prbj.g_01838
OG0000097	Syai.g_01787	Prbj.g_02152
OG0000098	Syai.g_01718	Prbj.g_00669
OG0000099	Syai.g_00199	Prbj.g_01464
OG0000100	Syai.g_01372	Prbj.g_00185, Prbj.g_02442
OG0000101	Syai.g_00404	Prbj.g_00981
OG0000102	Syai.g_00106	Prbj.g_01819
OG0000103	Syai.g_02912	Prbj.g_02055
OG0000104	Syai.g_02929	Prbj.g_02069
OG0000105	Syai.g_00267	Prbj.g_01397
OG0000106	Syai.g_01601	Prbj.g_00875
OG0000107	Syai.g_00319	Prbj.g_02659
OG0000108	Syai.g_00638	Prbj.g_01630
OG0000109	Syai.g_00653	Prbj.g_01614
OG0000110	Syai.g_00878, Syai.g_00766	Prbj.g_01801
OG0000111	Syai.g_01998	Prbj.g_00759
OG0000112	Syai.g_01512	Prbj.g_02276
OG0000113	Syai.g_01367	Prbj.g_02437
OG0000114	Syai.g_01261	Prbj.g_02340
OG0000115	Syai.g_00932	Prbj.g_00634
OG0000116	Syai.g_02156	Prbj.g_00956
OG0000117	Syai.g_01756	Prbj.g_01915
OG0000118	Syai.g_00818	Prbj.g_01742
OG0000119	Syai.g_02127	Prbj.g_00740, Prbj.g_00778
OG0000120	Syai.g_00198	Prbj.g_01465
OG0000121	Syai.g_00951	Prbj.g_01064, Prbj.g_01058
OG0000122	Syai.g_01143	Prbj.g_02627
OG0000123	Syai.g_00411	Prbj.g_00406
OG0000124	Syai.g_00089	Prbj.g_01281
OG0000125	Syai.g_02782	Prbj.g_01963
OG0000126	Syai.g_02927	Prbj.g_02067
OG0000127	Syai.g_01872, Syai.g_01906, Syai.g_01855	Prbj.g_02148, Prbj.g_00896
OG0000128	Syai.g_00012	Prbj.g_02085
OG0000129	Syai.g_02771	Prbj.g_01951
OG0000130	Syai.g_02474	Prbj.g_00564
OG0000131	Syai.g_02608	Prbj.g_00543
OG0000132	Syai.g_02628	Prbj.g_00523
OG0000133	Syai.g_01507	Prbj.g_01460
OG0000134	Syai.g_00520	Prbj.g_00067
OG0000135	Syai.g_02826	Prbj.g_02004
OG0000136	Syai.g_02217	Prbj.g_00105
OG0000137	Syai.g_00865	Prbj.g_00128
OG0000138	Syai.g_00654	Prbj.g_01613
OG0000139	Syai.g_00714	Prbj.g_02133
OG0000140	Syai.g_00716	Prbj.g_02139
OG0000141	Syai.g_01041	Prbj.g_01757
OG0000142	Syai.g_01104	Prbj.g_02573
OG0000143	Syai.g_01108	Prbj.g_02577
OG0000144	Syai.g_01608	Prbj.g_00793
OG0000145	Syai.g_00660	Prbj.g_01607
OG0000146	Syai.g_01513	Prbj.g_02277
OG0000147	Syai.g_01514	Prbj.g_02278
OG0000148	Syai.g_01361	Prbj.g_02431
OG0000149	Syai.g_02059	Prbj.g_02488
OG0000150	Syai.g_00717	Prbj.g_02511
OG0000151	Syai.g_01280	Prbj.g_02361
OG0000152	Syai.g_01503	Prbj.g_02268
OG0000153	Syai.g_01461	Prbj.g_02241
OG0000154	Syai.g_01434	Prbj.g_02213
OG0000155	Syai.g_02109	Prbj.g_00312
OG0000156	Syai.g_02162	Prbj.g_00163
OG0000157	Syai.g_02163	Prbj.g_00162
OG0000158	Syai.g_00135	Prbj.g_01514
OG0000160	Syai.g_00952	Prbj.g_01057
OG0000161	Syai.g_00946	Prbj.g_01071
OG0000162	Syai.g_00939	Prbj.g_01077
OG0000163	Syai.g_02300	Prbj.g_01688
OG0000164	Syai.g_02411	Prbj.g_00476
OG0000165	Syai.g_02244	Prbj.g_00467
OG0000166	Syai.g_00364	Prbj.g_01019
OG0000167	Syai.g_00164	Prbj.g_01500
OG0000168	Syai.g_00134	Prbj.g_01515
OG0000169	Syai.g_00123	Prbj.g_01581
OG0000170	Syai.g_00116	Prbj.g_01593
OG0000171	Syai.g_00090	Prbj.g_01282
OG0000172	Syai.g_00083	Prbj.g_01248
OG0000173	Syai.g_00064	Prbj.g_01227
OG0000174	Syai.g_02828	Prbj.g_02006
OG0000175	Syai.g_02901	Prbj.g_02044
OG0000176	Syai.g_00004	Prbj.g_02077
OG0000177	Syai.g_00005	Prbj.g_02078
OG0000178	Syai.g_00006	Prbj.g_02079
OG0000179	Syai.g_00023	Prbj.g_01188
OG0000180	Syai.g_00024	Prbj.g_01189
OG0000181	Syai.g_00025	Prbj.g_01190
OG0000182	Syai.g_00026	Prbj.g_01191
OG0000183	Syai.g_00030	Prbj.g_01195
OG0000184	Syai.g_02756	Prbj.g_01943
OG0000186	Syai.g_02469	Prbj.g_00558
OG0000187	Syai.g_02471	Prbj.g_00560
OG0000188	Syai.g_00696, Syai.g_02494	Prbj.g_00581
OG0000189	Syai.g_02530	Prbj.g_00607
OG0000190	Syai.g_02532	Prbj.g_00609
OG0000191	Syai.g_02562	Prbj.g_01557
OG0000192	Syai.g_02569	Prbj.g_01566
OG0000193	Syai.g_02609	Prbj.g_00542
OG0000194	Syai.g_02612	Prbj.g_00539
OG0000195	Syai.g_02614	Prbj.g_00537
OG0000196	Syai.g_02625	Prbj.g_00526
OG0000197	Syai.g_02626	Prbj.g_00525
OG0000198	Syai.g_02627	Prbj.g_00524
OG0000199	Syai.g_02635	Prbj.g_00517
OG0000200	Syai.g_02651	Prbj.g_01138
OG0000201	Syai.g_02667	Prbj.g_01157
OG0000202	Syai.g_02668	Prbj.g_01158
OG0000203	Syai.g_02669	Prbj.g_01159
OG0000204	Syai.g_02670	Prbj.g_01160
OG0000205	Syai.g_02677	Prbj.g_01167
OG0000206	Syai.g_02684	Prbj.g_00288
OG0000207	Syai.g_02686	Prbj.g_00234
OG0000208	Syai.g_02687	Prbj.g_00235
OG0000209	Syai.g_02699	Prbj.g_00262
OG0000210	Syai.g_02700	Prbj.g_00263
OG0000211	Syai.g_00533	Prbj.g_00177
OG0000212	Syai.g_00544	Prbj.g_02615
OG0000213	Syai.g_00292	Prbj.g_01362
OG0000214	Syai.g_00276	Prbj.g_01389
OG0000215	Syai.g_00245	Prbj.g_01419
OG0000216	Syai.g_00241	Prbj.g_01422
OG0000217	Syai.g_00237	Prbj.g_01426
OG0000218	Syai.g_00235	Prbj.g_01430
OG0000219	Syai.g_00234	Prbj.g_01431
OG0000220	Syai.g_00233	Prbj.g_01432
OG0000221	Syai.g_00227	Prbj.g_01437
OG0000222	Syai.g_00215	Prbj.g_01446
OG0000223	Syai.g_00194	Prbj.g_01469
OG0000224	Syai.g_00186	Prbj.g_01480
OG0000225	Syai.g_00502	Prbj.g_00323
OG0000226	Syai.g_00506	Prbj.g_00319
OG0000227	Syai.g_00508	Prbj.g_00317
OG0000228	Syai.g_00516	Prbj.g_00063
OG0000229	Syai.g_02228	Prbj.g_00100
OG0000230	Syai.g_02226	Prbj.g_00102
OG0000231	Syai.g_02208	Prbj.g_00117
OG0000232	Syai.g_00846	Prbj.g_01888
OG0000233	Syai.g_00855	Prbj.g_00148
OG0000234	Syai.g_00866	Prbj.g_00127
OG0000235	Syai.g_00637	Prbj.g_01631
OG0000236	Syai.g_00652	Prbj.g_01615
OG0000237	Syai.g_00669	Prbj.g_02094
OG0000238	Syai.g_00674	Prbj.g_02098
OG0000239	Syai.g_00691	Prbj.g_02114
OG0000240	Syai.g_00692	Prbj.g_02115
OG0000241	Syai.g_01085	Prbj.g_01116
OG0000242	Syai.g_00705	Prbj.g_02125
OG0000243	Syai.g_00726	Prbj.g_02668
OG0000244	Syai.g_00731	Prbj.g_01859
OG0000245	Syai.g_00733	Prbj.g_01862
OG0000246	Syai.g_00737	Prbj.g_01866
OG0000247	Syai.g_00748	Prbj.g_01877
OG0000248	Syai.g_00751	Prbj.g_01880
OG0000249	Syai.g_00753	Prbj.g_01882
OG0000250	Syai.g_00762	Prbj.g_01805
OG0000251	Syai.g_00789	Prbj.g_01781
OG0000252	Syai.g_00797	Prbj.g_01778
OG0000253	Syai.g_00798	Prbj.g_01772
OG0000254	Syai.g_01045	Prbj.g_01753
OG0000255	Syai.g_01061	Prbj.g_02546
OG0000256	Syai.g_01077	Prbj.g_02560
OG0000257	Syai.g_01084	Prbj.g_02566
OG0000258	Syai.g_01113	Prbj.g_02589
OG0000259	Syai.g_01229	Prbj.g_00812
OG0000260	Syai.g_01232	Prbj.g_00816
OG0000261	Syai.g_01235	Prbj.g_00819
OG0000262	Syai.g_01240	Prbj.g_00824
OG0000263	Syai.g_01776	Prbj.g_00248
OG0000264	Syai.g_01962	Prbj.g_00933
OG0000265	Syai.g_02245	Prbj.g_02178
OG0000266	Syai.g_01401	Prbj.g_02189
OG0000267	Syai.g_01569	Prbj.g_02315
OG0000268	Syai.g_01568	Prbj.g_02314
OG0000269	Syai.g_01316	Prbj.g_02407
OG0000270	Syai.g_01319	Prbj.g_02410
OG0000271	Syai.g_01327	Prbj.g_02418
OG0000272	Syai.g_01328	Prbj.g_02419
OG0000273	Syai.g_02037	Prbj.g_02470
OG0000274	Syai.g_02038	Prbj.g_02471
OG0000275	Syai.g_02043	Prbj.g_02474
OG0000276	Syai.g_02051	Prbj.g_02480
OG0000277	Syai.g_02052	Prbj.g_02481
OG0000278	Syai.g_02055	Prbj.g_02484
OG0000279	Syai.g_02063	Prbj.g_02492
OG0000280	Syai.g_02084	Prbj.g_02498
OG0000281	Syai.g_01719	Prbj.g_02512
OG0000282	Syai.g_01263	Prbj.g_02342
OG0000283	Syai.g_01554	Prbj.g_02303
OG0000284	Syai.g_01548	Prbj.g_02297
OG0000285	Syai.g_01522	Prbj.g_00694
OG0000286	Syai.g_01504	Prbj.g_02269
OG0000287	Syai.g_01469	Prbj.g_00722
OG0000288	Syai.g_01435	Prbj.g_02214
OG0000289	Syai.g_01421	Prbj.g_02201
OG0000290	Syai.g_02010	Prbj.g_01841
OG0000291	Syai.g_02008	Prbj.g_01839
OG0000292	Syai.g_02926	Prbj.g_02066
OG0000293	Syai.g_02155	Prbj.g_00958
OG0000294	Syai.g_02154	Prbj.g_00959
OG0000295	Syai.g_02117	Prbj.g_00304
OG0000296	Syai.g_02115	Prbj.g_00306, Prbj.g_00307
OG0000297	Syai.g_01754	Prbj.g_01913
OG0000298	Syai.g_01755	Prbj.g_01914
OG0000299	Syai.g_01783	Prbj.g_01903
OG0000300	Syai.g_01790	Prbj.g_02155
OG0000301	Syai.g_01791	Prbj.g_02156
OG0000302	Syai.g_01793	Prbj.g_02159
OG0000303	Syai.g_01802	Prbj.g_00314
OG0000304	Syai.g_01826	Prbj.g_00020
OG0000305	Syai.g_02005	Prbj.g_01837
OG0000306	Syai.g_02090	Prbj.g_02521
OG0000307	Syai.g_00619	Prbj.g_01647
OG0000308	Syai.g_00617	Prbj.g_01649
OG0000309	Syai.g_00612	Prbj.g_01653
OG0000310	Syai.g_00989	Prbj.g_01294
OG0000311	Syai.g_00985	Prbj.g_01040
OG0000312	Syai.g_00966	Prbj.g_01044
OG0000313	Syai.g_00949	Prbj.g_01068
OG0000314	Syai.g_00908	Prbj.g_00646
OG0000315	Syai.g_00897	Prbj.g_00656
OG0000316	Syai.g_02320, Syai.g_02322	Prbj.g_01699
OG0000317	Syai.g_02373	Prbj.g_00863
OG0000318	Syai.g_02379	Prbj.g_00856
OG0000319	Syai.g_02395	Prbj.g_00487
OG0000320	Syai.g_02397	Prbj.g_00485
OG0000321	Syai.g_02398	Prbj.g_00484
OG0000322	Syai.g_02399	Prbj.g_00483
OG0000323	Syai.g_02413	Prbj.g_00472
OG0000324	Syai.g_02272	Prbj.g_00443
OG0000325	Syai.g_00320	Prbj.g_02657
OG0000326	Syai.g_00327	Prbj.g_02649
OG0000327	Syai.g_00359	Prbj.g_01024
OG0000328	Syai.g_00360	Prbj.g_01023
OG0000329	Syai.g_00378	Prbj.g_01006
OG0000330	Syai.g_00379	Prbj.g_01005
OG0000331	Syai.g_00380	Prbj.g_01004
OG0000332	Syai.g_00395	Prbj.g_00989
OG0000333	Syai.g_00398	Prbj.g_00987
OG0000334	Syai.g_00407	Prbj.g_00410
OG0000335	Syai.g_00412	Prbj.g_00405
OG0000336	Syai.g_00416	Prbj.g_00401
OG0000337	Syai.g_00169	Prbj.g_01494
OG0000338	Syai.g_00166	Prbj.g_01498
OG0000339	Syai.g_00160	Prbj.g_01504
OG0000340	Syai.g_00133	Prbj.g_01516
OG0000341	Syai.g_00131	Prbj.g_01518
OG0000342	Syai.g_00130	Prbj.g_01519
OG0000343	Syai.g_00129	Prbj.g_01576
OG0000344	Syai.g_00125	Prbj.g_01579
OG0000345	Syai.g_00115	Prbj.g_01594
OG0000346	Syai.g_00110	Prbj.g_01599
OG0000347	Syai.g_00087	Prbj.g_01280
OG0000348	Syai.g_00076	Prbj.g_01243
OG0000349	Syai.g_00057	Prbj.g_01219
OG0000350	Syai.g_00334	Prbj.g_01999
OG0000351	Syai.g_02904	Prbj.g_02047
OG0000352	Syai.g_02905	Prbj.g_02048
