Orthogroup	Syai	Syak
OG0000001	Syai.g_01197, Syai.g_02594	Syak.g_02139
OG0000001	Syai.g_02595	Syak.g_02138
OG0000001	Syai.g_01729	Syak.g_00275, Syak.g_00579
OG0000004	Syai.g_01994	Syak.g_01219, Syak.g_00720
OG0000004	Syai.g_01062	Syak.g_00003
OG0000004	Syai.g_00530	Syak.g_02297
OG0000005	Syai.g_02393	Syak.g_02401
OG0000005	Syai.g_02356	Syak.g_02436
OG0000006	Syai.g_01126	Syak.g_00057
OG0000006	Syai.g_00317, Syai.g_00547	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syai.g_00657	Syak.g_02595
OG0000007	Syai.g_02378	Syak.g_02416
OG0000008	Syai.g_01956	Syak.g_00267
OG0000008	Syai.g_01955	Syak.g_00692
OG0000009	Syai.g_02541	Syak.g_02194
OG0000010	Syai.g_00864	Syak.g_01119
OG0000011	Syai.g_01952	Syak.g_00960
OG0000012	Syai.g_01068	Syak.g_00010
OG0000013	Syai.g_00442	Syak.g_01270
OG0000013	Syai.g_00436	Syak.g_01275
OG0000014	Syai.g_00220	Syak.g_01505
OG0000015	Syai.g_01246, Syai.g_01245	Syak.g_00358
OG0000016	Syai.g_00014	Syak.g_01780
OG0000016	Syai.g_01785	Syak.g_00818
OG0000017	Syai.g_00801	Syak.g_02730
OG0000017	Syai.g_00808	Syak.g_02738
OG0000018	Syai.g_00915	Syak.g_01072
OG0000019	Syai.g_00304	Syak.g_01413
OG0000021	Syai.g_00556	Syak.g_00566
OG0000022	Syai.g_01159	Syak.g_00088
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022	Syak.g_00316
OG0000023	Syai.g_02318	Syak.g_00223
OG0000025	Syai.g_02044	Syak.g_00610
OG0000026	Syai.g_00038	Syak.g_01757
OG0000027	Syai.g_01654	Syak.g_00127
OG0000028	Syai.g_00205	Syak.g_01522
OG0000029	Syai.g_01584	Syak.g_00169, Syak.g_00178
OG0000030	Syai.g_00096	Syak.g_01684
OG0000030	Syai.g_00095	Syak.g_01685
OG0000031	Syai.g_00197	Syak.g_01630
OG0000032	Syai.g_00895	Syak.g_01092
OG0000033	Syai.g_02634	Syak.g_02101
OG0000034	Syai.g_02192, Syai.g_02604	Syak.g_00950, Syak.g_02133
OG0000035	Syai.g_00955	Syak.g_01041, Syak.g_01040
OG0000036	Syai.g_01848	Syak.g_02275
OG0000037	Syai.g_02544, Syai.g_02815	Syak.g_02188
OG0000038	Syai.g_02780	Syak.g_01938
OG0000039	Syai.g_02034	Syak.g_00772
OG0000040	Syai.g_02876	Syak.g_01852
OG0000041	Syai.g_02265	Syak.g_02354
OG0000042	Syai.g_00099	Syak.g_00843, Syak.g_01681
OG0000043	Syai.g_01599	Syak.g_00335
OG0000044	Syai.g_00833	Syak.g_00153
OG0000045	Syai.g_02432	Syak.g_00228
OG0000046	Syai.g_00443	Syak.g_01269
OG0000046	Syai.g_00435	Syak.g_01276
OG0000047	Syai.g_00462	Syak.g_01147
OG0000048	Syai.g_00272	Syak.g_01446
OG0000050	Syai.g_01893	Syak.g_00106
OG0000052	Syai.g_00176	Syak.g_01549
OG0000053	Syai.g_00930	Syak.g_01068
OG0000055	Syai.g_02029	Syak.g_00766
OG0000058	Syai.g_00195	Syak.g_01530
OG0000059	Syai.g_00351	Syak.g_01355
OG0000060	Syai.g_00635	Syak.g_02572
OG0000060	Syai.g_01758	Syak.g_00844
OG0000061	Syai.g_02144	Syak.g_00898
OG0000062	Syai.g_02358	Syak.g_02434
OG0000063	Syai.g_00042	Syak.g_01752
OG0000064	Syai.g_02350	Syak.g_00983
OG0000064	Syai.g_02844	Syak.g_00254
OG0000064	Syai.g_01162	Syak.g_00126
OG0000064	Syai.g_01668	Syak.g_00164
OG0000067	Syai.g_01321	Syak.g_00434
OG0000068	Syai.g_00628	Syak.g_02565
OG0000070	Syai.g_02196	Syak.g_01174
OG0000071	Syai.g_02179	Syak.g_00936
OG0000072	Syai.g_02636	Syak.g_02099
OG0000073	Syai.g_00659	Syak.g_02597
OG0000075	Syai.g_00161	Syak.g_01564
OG0000076	Syai.g_00111	Syak.g_01650
OG0000077	Syai.g_02486	Syak.g_02243
OG0000078	Syai.g_00543	Syak.g_02310
OG0000079	Syai.g_00300	Syak.g_01417
OG0000081	Syai.g_00553, Syai.g_02292	Syak.g_00115
OG0000082	Syai.g_00781	Syak.g_02711
OG0000084	Syai.g_01196, Syai.g_00958	Syak.g_01036
OG0000085	Syai.g_02365	Syak.g_02427
OG0000086	Syai.g_02507	Syak.g_02219
OG0000087	Syai.g_02592	Syak.g_02141
OG0000088	Syai.g_02630	Syak.g_02106
OG0000089	Syai.g_00517	Syak.g_01215
OG0000090	Syai.g_00707	Syak.g_02640
OG0000091	Syai.g_01112	Syak.g_00043
OG0000092	Syai.g_01358	Syak.g_01126
OG0000093	Syai.g_01306	Syak.g_00416
OG0000094	Syai.g_01424	Syak.g_00656
OG0000095	Syai.g_02007	Syak.g_00736
OG0000097	Syai.g_01787	Syak.g_00816
OG0000098	Syai.g_01718	Syak.g_00345, Syak.g_02651
OG0000099	Syai.g_00199	Syak.g_01527
OG0000100	Syai.g_01372	Syak.g_00622
OG0000101	Syai.g_00404	Syak.g_01305
OG0000102	Syai.g_00106	Syak.g_01661
OG0000103	Syai.g_02912	Syak.g_01812
OG0000104	Syai.g_02929	Syak.g_01799
OG0000105	Syai.g_00267	Syak.g_01451
OG0000106	Syai.g_01601	Syak.g_00096
OG0000107	Syai.g_00319	Syak.g_01392
OG0000108	Syai.g_00638	Syak.g_02574
OG0000109	Syai.g_00653	Syak.g_02590
OG0000110	Syai.g_00878, Syai.g_00766	Syak.g_02698
OG0000111	Syai.g_01998	Syak.g_00725
OG0000112	Syai.g_01512	Syak.g_00512
OG0000113	Syai.g_01367	Syak.g_00461
OG0000114	Syai.g_01261	Syak.g_00373, Syak.g_00065
OG0000115	Syai.g_00932	Syak.g_01066
OG0000116	Syai.g_02156	Syak.g_00911
OG0000117	Syai.g_01756	Syak.g_00846
OG0000118	Syai.g_00818	Syak.g_00954
OG0000119	Syai.g_02127	Syak.g_00917
OG0000120	Syai.g_00198	Syak.g_01526
OG0000121	Syai.g_00951	Syak.g_01044
OG0000122	Syai.g_01143	Syak.g_00081
OG0000123	Syai.g_00411	Syak.g_01299
OG0000124	Syai.g_00089	Syak.g_01692
OG0000125	Syai.g_02782	Syak.g_01934
OG0000126	Syai.g_02927	Syak.g_01801
OG0000127	Syai.g_02459	Syak.g_02269
OG0000128	Syai.g_00012	Syak.g_01782
OG0000129	Syai.g_02771	Syak.g_01947
OG0000130	Syai.g_02474	Syak.g_02255
OG0000131	Syai.g_02608	Syak.g_02128
OG0000132	Syai.g_02628	Syak.g_02108
OG0000133	Syai.g_01507	Syak.g_00507
OG0000134	Syai.g_00520	Syak.g_01212
OG0000135	Syai.g_02826	Syak.g_01897
OG0000136	Syai.g_02217	Syak.g_01186
OG0000137	Syai.g_00865	Syak.g_01118
OG0000138	Syai.g_00654	Syak.g_02591
OG0000139	Syai.g_00714	Syak.g_02646
OG0000140	Syai.g_00716	Syak.g_02650
OG0000141	Syai.g_01041	Syak.g_02746
OG0000142	Syai.g_01104	Syak.g_00035
OG0000143	Syai.g_01108	Syak.g_00039
OG0000144	Syai.g_01608	Syak.g_00260
OG0000145	Syai.g_00660	Syak.g_02598
OG0000146	Syai.g_01513	Syak.g_00514
OG0000147	Syai.g_01514	Syak.g_00515
OG0000148	Syai.g_01361	Syak.g_00455
OG0000149	Syai.g_02059	Syak.g_00596
OG0000150	Syai.g_00717	Syak.g_02747
OG0000151	Syai.g_01280	Syak.g_00387
OG0000152	Syai.g_01503	Syak.g_00503
OG0000153	Syai.g_01461	Syak.g_00470
OG0000154	Syai.g_01434	Syak.g_00645
OG0000155	Syai.g_02109	Syak.g_00855
OG0000156	Syai.g_02162	Syak.g_00919
OG0000157	Syai.g_02163	Syak.g_00920
OG0000158	Syai.g_00135	Syak.g_01624
OG0000160	Syai.g_00952	Syak.g_01043
OG0000161	Syai.g_00946	Syak.g_01050
OG0000162	Syai.g_00939	Syak.g_01058
OG0000163	Syai.g_02300	Syak.g_02478
OG0000164	Syai.g_02411	Syak.g_02384
OG0000165	Syai.g_02244	Syak.g_02374
OG0000166	Syai.g_00364	Syak.g_01345
OG0000167	Syai.g_00164	Syak.g_01561
OG0000168	Syai.g_00134	Syak.g_01625
OG0000169	Syai.g_00123	Syak.g_01637
OG0000170	Syai.g_00116	Syak.g_01644
OG0000171	Syai.g_00090	Syak.g_01691
OG0000172	Syai.g_00083	Syak.g_01713
OG0000173	Syai.g_00064	Syak.g_01733
OG0000174	Syai.g_02828	Syak.g_01895
OG0000175	Syai.g_02901	Syak.g_01827
OG0000176	Syai.g_00004	Syak.g_01790
OG0000177	Syai.g_00005	Syak.g_01789
OG0000178	Syai.g_00006	Syak.g_01788
OG0000179	Syai.g_00023	Syak.g_01773
OG0000180	Syai.g_00024	Syak.g_01772
OG0000181	Syai.g_00025	Syak.g_01771
OG0000182	Syai.g_00026	Syak.g_01770
OG0000183	Syai.g_00030	Syak.g_01766
OG0000184	Syai.g_02756	Syak.g_01955
OG0000185	Syai.g_02734	Syak.g_01971
OG0000186	Syai.g_02469	Syak.g_02258
OG0000187	Syai.g_02471	Syak.g_02257
OG0000188	Syai.g_02494	Syak.g_02235
OG0000189	Syai.g_02530	Syak.g_02203
OG0000190	Syai.g_02532	Syak.g_01575
OG0000191	Syai.g_02562	Syak.g_02171
OG0000192	Syai.g_02569	Syak.g_02165
OG0000193	Syai.g_02609	Syak.g_02127
OG0000194	Syai.g_02612	Syak.g_02124
OG0000195	Syai.g_02614	Syak.g_02122
OG0000196	Syai.g_02625	Syak.g_02111
OG0000197	Syai.g_02626	Syak.g_02110
OG0000198	Syai.g_02627	Syak.g_02109
OG0000199	Syai.g_02635	Syak.g_02100
OG0000200	Syai.g_02651	Syak.g_02083
OG0000201	Syai.g_02667	Syak.g_02068
OG0000202	Syai.g_02668	Syak.g_02067
OG0000203	Syai.g_02669	Syak.g_02066
OG0000204	Syai.g_02670	Syak.g_02065
OG0000205	Syai.g_02677	Syak.g_02058
OG0000206	Syai.g_02684	Syak.g_02038
OG0000207	Syai.g_02686	Syak.g_02025
OG0000208	Syai.g_02687	Syak.g_02024
OG0000209	Syai.g_02699	Syak.g_01995
OG0000210	Syai.g_02700	Syak.g_01994
OG0000211	Syai.g_00533	Syak.g_02300
OG0000212	Syai.g_00544	Syak.g_02311
OG0000213	Syai.g_00292	Syak.g_01425
OG0000214	Syai.g_00276	Syak.g_01442
OG0000215	Syai.g_00245	Syak.g_01474
OG0000216	Syai.g_00241	Syak.g_01478
OG0000217	Syai.g_00237	Syak.g_01482
OG0000218	Syai.g_00235	Syak.g_01484
OG0000219	Syai.g_00234	Syak.g_01485
OG0000220	Syai.g_00233	Syak.g_01486
OG0000221	Syai.g_00227	Syak.g_01498
OG0000222	Syai.g_00215	Syak.g_01512
OG0000223	Syai.g_00194	Syak.g_01531
OG0000224	Syai.g_00186	Syak.g_01532
OG0000225	Syai.g_00502	Syak.g_01230
OG0000226	Syai.g_00506	Syak.g_01226
OG0000227	Syai.g_00508	Syak.g_01224
OG0000228	Syai.g_00516	Syak.g_01216
OG0000229	Syai.g_02228	Syak.g_01191
OG0000230	Syai.g_02226	Syak.g_01189
OG0000231	Syai.g_02208	Syak.g_01176
OG0000232	Syai.g_00846	Syak.g_01156
OG0000233	Syai.g_00855	Syak.g_01145
OG0000234	Syai.g_00866	Syak.g_01116
OG0000235	Syai.g_00637	Syak.g_02573
OG0000236	Syai.g_00652	Syak.g_02589
OG0000237	Syai.g_00669	Syak.g_02607
OG0000238	Syai.g_00674	Syak.g_02612
OG0000239	Syai.g_00691	Syak.g_02628
OG0000240	Syai.g_00692	Syak.g_02629
OG0000241	Syai.g_01085, Syai.g_01089	Syak.g_00027
OG0000242	Syai.g_00705	Syak.g_02638
OG0000243	Syai.g_00726	Syak.g_02658
OG0000244	Syai.g_00731	Syak.g_02665
OG0000245	Syai.g_00733	Syak.g_02667
OG0000246	Syai.g_00737	Syak.g_02671
OG0000247	Syai.g_00748	Syak.g_02681
OG0000248	Syai.g_00751	Syak.g_02684
OG0000249	Syai.g_00753	Syak.g_02686
OG0000250	Syai.g_00762	Syak.g_02694
OG0000251	Syai.g_00789	Syak.g_02722
OG0000252	Syai.g_00797	Syak.g_02725
OG0000253	Syai.g_00798	Syak.g_02727
OG0000254	Syai.g_01045	Syak.g_02752
OG0000255	Syai.g_01061	Syak.g_02772
OG0000256	Syai.g_01077	Syak.g_00020
OG0000257	Syai.g_01084	Syak.g_00026
OG0000258	Syai.g_01113	Syak.g_00044
OG0000259	Syai.g_01229	Syak.g_00334
OG0000260	Syai.g_01232	Syak.g_00338
OG0000261	Syai.g_01235	Syak.g_00348
OG0000262	Syai.g_01240	Syak.g_00353
OG0000263	Syai.g_01776	Syak.g_00828
OG0000264	Syai.g_01962	Syak.g_00698
OG0000265	Syai.g_02245	Syak.g_00211
OG0000267	Syai.g_01569	Syak.g_00555
OG0000268	Syai.g_01568	Syak.g_00554
OG0000269	Syai.g_01316	Syak.g_00429
OG0000270	Syai.g_01319	Syak.g_00432
OG0000271	Syai.g_01327	Syak.g_00440
OG0000272	Syai.g_01328	Syak.g_00441
OG0000274	Syai.g_02038	Syak.g_00615
OG0000275	Syai.g_02043	Syak.g_00611
OG0000276	Syai.g_02051	Syak.g_00604
OG0000277	Syai.g_02052	Syak.g_00603
OG0000278	Syai.g_02055	Syak.g_00600
OG0000279	Syai.g_02063	Syak.g_00592
OG0000280	Syai.g_02084	Syak.g_00582
OG0000281	Syai.g_01719	Syak.g_00339
OG0000282	Syai.g_01263	Syak.g_00375
OG0000283	Syai.g_01554	Syak.g_00541
OG0000284	Syai.g_01548	Syak.g_00536
OG0000285	Syai.g_01522	Syak.g_00523
OG0000286	Syai.g_01504	Syak.g_00504
OG0000287	Syai.g_01469	Syak.g_00477
OG0000288	Syai.g_01435	Syak.g_00644
OG0000289	Syai.g_01421	Syak.g_00659
OG0000290	Syai.g_02010	Syak.g_00738
OG0000291	Syai.g_02008	Syak.g_00734, Syak.g_00737
OG0000292	Syai.g_02926	Syak.g_01802
OG0000293	Syai.g_02155	Syak.g_00910
OG0000294	Syai.g_02154	Syak.g_00909
