Orthogroup	Syai	Prbg
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbg.g_00502
OG0000002	Syai.g_01728	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Syai.g_01994	Prbg.g_01140
OG0000004	Syai.g_01062, Syai.g_00530	Prbg.g_01014
OG0000005	Syai.g_02356	Prbg.g_00674
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prbg.g_01024
OG0000007	Syai.g_00657	Prbg.g_00216
OG0000007	Syai.g_02378	Prbg.g_01650
OG0000008	Syai.g_01956	Prbg.g_00744
OG0000008	Syai.g_01955	Prbg.g_00745
OG0000009	Syai.g_01626	Prbg.g_00686
OG0000010	Syai.g_00864	Prbg.g_01053, Prbg.g_01348
OG0000012	Syai.g_01068	Prbg.g_00342
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prbg.g_00104
OG0000014	Syai.g_00220	Prbg.g_00086
OG0000015	Syai.g_01246, Syai.g_01245	Prbg.g_01589, Prbg.g_01635
OG0000016	Syai.g_01785, Syai.g_01632	Prbg.g_01544
OG0000017	Syai.g_00801	Prbg.g_00317
OG0000017	Syai.g_00808	Prbg.g_00324
OG0000018	Syai.g_00915	Prbg.g_01508
OG0000019	Syai.g_00304	Prbg.g_01032, Prbg.g_01510
OG0000020	Syai.g_00476	Prbg.g_00698, Prbg.g_00727
OG0000021	Syai.g_00556	Prbg.g_00699, Prbg.g_01145
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbg.g_00013
OG0000024	Syai.g_01951	Prbg.g_01352, Prbg.g_01116
OG0000025	Syai.g_02044	Prbg.g_01195
OG0000026	Syai.g_00038	Prbg.g_00842
OG0000027	Syai.g_01128, Syai.g_01654	Prbg.g_00721, Prbg.g_01569
OG0000028	Syai.g_00205	Prbg.g_00743
OG0000029	Syai.g_01035, Syai.g_01584	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740
OG0000030	Syai.g_00096, Syai.g_00095	Prbg.g_01858
OG0000031	Syai.g_00197	Prbg.g_00550
OG0000032	Syai.g_00895	Prbg.g_00630
OG0000033	Syai.g_02634	Prbg.g_00557
OG0000034	Syai.g_02192, Syai.g_02604	Prbg.g_00488
OG0000035	Syai.g_00955	Prbg.g_00591
OG0000037	Syai.g_02544, Syai.g_02815	Prbg.g_00881
OG0000038	Syai.g_02780	Prbg.g_01898
OG0000039	Syai.g_02034	Prbg.g_01128
OG0000041	Syai.g_02265, Syai.g_02016	Prbg.g_01697
OG0000042	Syai.g_00099	Prbg.g_01855
OG0000043	Syai.g_01599	Prbg.g_01507
OG0000046	Syai.g_00443, Syai.g_00449, Syai.g_00435	Prbg.g_00105
OG0000047	Syai.g_00462	Prbg.g_00143
OG0000048	Syai.g_00272	Prbg.g_00464
OG0000052	Syai.g_00176	Prbg.g_00816
OG0000053	Syai.g_00930	Prbg.g_00612, Prbg.g_01595
OG0000054	Syai.g_01040	Prbg.g_00326
OG0000057	Syai.g_01997	Prbg.g_01143
OG0000058	Syai.g_00195	Prbg.g_00551
OG0000059	Syai.g_00351	Prbg.g_01737
OG0000061	Syai.g_02144	Prbg.g_01486
OG0000062	Syai.g_02358	Prbg.g_00676
OG0000063	Syai.g_00042	Prbg.g_00730
OG0000064	Syai.g_02350, Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668	Prbg.g_00802
OG0000066	Syai.g_01709, Syai.g_00719	Prbg.g_00256
OG0000067	Syai.g_01321	Prbg.g_01159
OG0000068	Syai.g_00628	Prbg.g_00529
OG0000070	Syai.g_02196	Prbg.g_00170
OG0000071	Syai.g_02179	Prbg.g_00477
OG0000072	Syai.g_02636	Prbg.g_00949
OG0000073	Syai.g_00659	Prbg.g_00219
OG0000075	Syai.g_00161	Prbg.g_01821
OG0000076	Syai.g_00111	Prbg.g_01847
OG0000077	Syai.g_02486	Prbg.g_00791
OG0000078	Syai.g_00543	Prbg.g_01022
OG0000079	Syai.g_00300	Prbg.g_01035
OG0000081	Syai.g_00553, Syai.g_02292	Prbg.g_00248
OG0000082	Syai.g_00781	Prbg.g_00304, Prbg.g_01639
OG0000084	Syai.g_01196, Syai.g_00958	Prbg.g_00588
OG0000085	Syai.g_02365	Prbg.g_00716, Prbg.g_01642
OG0000086	Syai.g_02507	Prbg.g_00782
OG0000087	Syai.g_02592	Prbg.g_00913
OG0000088	Syai.g_02630	Prbg.g_00944
OG0000089	Syai.g_00517	Prbg.g_00137
OG0000090	Syai.g_00707	Prbg.g_00250
OG0000091	Syai.g_01112	Prbg.g_01414
OG0000092	Syai.g_01358	Prbg.g_01089
OG0000093	Syai.g_01306	Prbg.g_01385
OG0000094	Syai.g_01424	Prbg.g_01336
OG0000095	Syai.g_02007	Prbg.g_01234
OG0000097	Syai.g_01787	Prbg.g_01440
OG0000098	Syai.g_01718	Prbg.g_00505
OG0000099	Syai.g_00199	Prbg.g_00552
OG0000100	Syai.g_01372	Prbg.g_00670
OG0000101	Syai.g_00404	Prbg.g_01785
OG0000102	Syai.g_00106	Prbg.g_01852
OG0000103	Syai.g_02912	Prbg.g_01937
OG0000104	Syai.g_02929	Prbg.g_00763
OG0000105	Syai.g_00267	Prbg.g_00053
OG0000106	Syai.g_01601	Prbg.g_00388
OG0000107	Syai.g_00319	Prbg.g_01714
OG0000108	Syai.g_00638	Prbg.g_00199
OG0000109	Syai.g_00653	Prbg.g_00213
OG0000110	Syai.g_00878, Syai.g_00766	Prbg.g_00293
OG0000111	Syai.g_00884, Syai.g_01998	Prbg.g_01144
OG0000112	Syai.g_01512	Prbg.g_00366
