Orthogroup	Syai	Prac
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prac.g_00202
OG0000002	Syai.g_01728	Prac.g_00210, Prac.g_00693
OG0000004	Syai.g_01994	Prac.g_00676
OG0000004	Syai.g_01062, Syai.g_00530	Prac.g_01698
OG0000005	Syai.g_02393	Prac.g_00612
OG0000005	Syai.g_02356	Prac.g_00335
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prac.g_01689
OG0000007	Syai.g_00657	Prac.g_00874
OG0000007	Syai.g_02378	Prac.g_00625
OG0000008	Syai.g_01956	Prac.g_00904
OG0000009	Syai.g_01626	Prac.g_00301
OG0000009	Syai.g_02541	Prac.g_01826
OG0000010	Syai.g_00864	Prac.g_01592, Prac.g_01248
OG0000011	Syai.g_01894, Syai.g_00582	Prac.g_00152
OG0000011	Syai.g_01952	Prac.g_00142
OG0000012	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650	Prac.g_00748
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prac.g_01604
OG0000014	Syai.g_00220	Prac.g_01625
OG0000015	Syai.g_01246, Syai.g_01245	Prac.g_00898
OG0000016	Syai.g_00014	Prac.g_01934
OG0000017	Syai.g_00801, Syai.g_00808	Prac.g_00773
OG0000018	Syai.g_00915	Prac.g_01004
OG0000019	Syai.g_00304	Prac.g_01681, Prac.g_01496
OG0000020	Syai.g_00476	Prac.g_01037, Prac.g_00906, Prac.g_00875, Prac.g_01598
OG0000021	Syai.g_00556	Prac.g_01169
OG0000022	Syai.g_01159	Prac.g_01022
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prac.g_01174
OG0000024	Syai.g_01951	Prac.g_01525, Prac.g_00696
OG0000025	Syai.g_02044	Prac.g_01600, Prac.g_01441
OG0000026	Syai.g_00038	Prac.g_01916, Prac.g_01241
OG0000027	Syai.g_01128, Syai.g_01654	Prac.g_01074
OG0000028	Syai.g_00205	Prac.g_00145, Prac.g_01611
OG0000029	Syai.g_01035, Syai.g_01584	Prac.g_01158
OG0000030	Syai.g_00096, Syai.g_00095	Prac.g_00050
OG0000031	Syai.g_00197	Prac.g_00249
OG0000034	Syai.g_02192, Syai.g_02604	Prac.g_00185
OG0000035	Syai.g_00955	Prac.g_00411
OG0000037	Syai.g_02544, Syai.g_02815	Prac.g_01822
OG0000038	Syai.g_02780	Prac.g_00090
OG0000039	Syai.g_02034	Prac.g_00685
OG0000040	Syai.g_02876	Prac.g_01005
OG0000041	Syai.g_02265, Syai.g_02016	Prac.g_00579
OG0000042	Syai.g_00099	Prac.g_00048
OG0000044	Syai.g_00833	Prac.g_00892
OG0000045	Syai.g_02432	Prac.g_01162
OG0000047	Syai.g_00462	Prac.g_01601, Prac.g_01127
OG0000048	Syai.g_00272	Prac.g_01159
OG0000050	Syai.g_01332	Prac.g_01220
OG0000053	Syai.g_00930	Prac.g_01901, Prac.g_00391
OG0000054	Syai.g_01040	Prac.g_00765
OG0000055	Syai.g_02029	Prac.g_01495
OG0000057	Syai.g_01997	Prac.g_00673
OG0000059	Syai.g_00351	Prac.g_00500
OG0000061	Syai.g_02144	Prac.g_00985
OG0000062	Syai.g_02358	Prac.g_00333
OG0000063	Syai.g_00042	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000066	Syai.g_01709, Syai.g_00719	Prac.g_00833
OG0000067	Syai.g_01321	Prac.g_01475
OG0000068	Syai.g_00628	Prac.g_00217
OG0000070	Syai.g_02196	Prac.g_01097
OG0000071	Syai.g_02179	Prac.g_00175
OG0000072	Syai.g_02636	Prac.g_01759
OG0000073	Syai.g_00659	Prac.g_00872
OG0000075	Syai.g_00161	Prac.g_00017
OG0000076	Syai.g_00111	Prac.g_01904, Prac.g_00041
OG0000077	Syai.g_02486	Prac.g_01853
OG0000078	Syai.g_00543	Prac.g_01691
OG0000081	Syai.g_00553, Syai.g_02292	Prac.g_00841
OG0000082	Syai.g_00781	Prac.g_00788
OG0000084	Syai.g_01196, Syai.g_00958	Prac.g_00415
OG0000085	Syai.g_02365	Prac.g_00632
OG0000086	Syai.g_02507	Prac.g_01843
OG0000087	Syai.g_02592	Prac.g_01792
OG0000088	Syai.g_02630	Prac.g_01764
OG0000089	Syai.g_00517	Prac.g_01178
OG0000090	Syai.g_00707	Prac.g_00839
OG0000091	Syai.g_01112	Prac.g_00729
OG0000092	Syai.g_01358	Prac.g_01379, Prac.g_00003
OG0000093	Syai.g_01306	Prac.g_01359
OG0000094	Syai.g_01424	Prac.g_01275
OG0000095	Syai.g_02007	Prac.g_01256
OG0000097	Syai.g_01787	Prac.g_00944
OG0000098	Syai.g_01718	Prac.g_00199
OG0000099	Syai.g_00199	Prac.g_00256
OG0000100	Syai.g_01372	Prac.g_00337
OG0000101	Syai.g_00404	Prac.g_00548
OG0000102	Syai.g_00106	Prac.g_00046
OG0000103	Syai.g_02912	Prac.g_00123
OG0000104	Syai.g_02929	Prac.g_00131
