Orthogroup	Syai	Syan
OG0000001	Syai.g_00891, Syai.g_02595	Syan.g_02266
OG0000001	Syai.g_01729	Syan.g_01149
OG0000004	Syai.g_01994	Syan.g_00183
OG0000004	Syai.g_01062	Syan.g_00989
OG0000005	Syai.g_02393	Syan.g_01423
OG0000005	Syai.g_02356	Syan.g_01378
OG0000005	Syai.g_02068, Syai.g_01611	Syan.g_00449
OG0000006	Syai.g_01126	Syan.g_00791
OG0000006	Syai.g_00317, Syai.g_00547	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syai.g_00657	Syan.g_02743
OG0000007	Syai.g_02378	Syan.g_01400
OG0000008	Syai.g_01956	Syan.g_00640, Syan.g_02532
OG0000008	Syai.g_01955	Syan.g_00641, Syan.g_02531
OG0000009	Syai.g_01626, Syai.g_02541	Syan.g_02972
OG0000010	Syai.g_00864	Syan.g_02847
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000014	Syai.g_00220	Syan.g_01987
OG0000016	Syai.g_00014	Syan.g_01766
OG0000016	Syai.g_01785	Syan.g_02598
OG0000017	Syai.g_00808	Syan.g_01013
OG0000018	Syai.g_00915	Syan.g_02816
OG0000019	Syai.g_00304	Syan.g_02088
OG0000021	Syai.g_00556	Syan.g_01001
OG0000022	Syai.g_01159	Syan.g_00089
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Syan.g_00404
OG0000025	Syai.g_02044	Syan.g_00374
OG0000026	Syai.g_00038	Syan.g_01743
OG0000028	Syai.g_00205	Syan.g_01971
OG0000030	Syai.g_00096	Syan.g_01884
OG0000030	Syai.g_00095	Syan.g_01883
OG0000031	Syai.g_00197	Syan.g_01967
OG0000032	Syai.g_00895	Syan.g_02835
OG0000033	Syai.g_02634	Syan.g_03036
OG0000034	Syai.g_02192, Syai.g_02604	Syan.g_01227, Syan.g_03003
OG0000035	Syai.g_00955	Syan.g_01279, Syan.g_01276
OG0000037	Syai.g_02544	Syan.g_00136
OG0000037	Syai.g_02815	Syan.g_02978, Syan.g_00917
OG0000038	Syai.g_02780	Syan.g_01569
OG0000039	Syai.g_02034	Syan.g_00535
OG0000040	Syai.g_02876	Syan.g_01651
OG0000042	Syai.g_00099	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Syai.g_02432	Syan.g_00151
OG0000046	Syai.g_00435	Syan.g_02157, Syan.g_02160
OG0000048	Syai.g_00272	Syan.g_02036
OG0000052	Syai.g_00176	Syan.g_01954, Syan.g_01953
OG0000053	Syai.g_00930	Syan.g_02812
OG0000058	Syai.g_00195	Syan.g_01964
OG0000059	Syai.g_00351	Syan.g_02255
OG0000060	Syai.g_00635	Syan.g_02856
OG0000060	Syai.g_01758	Syan.g_00277
OG0000061	Syai.g_02144	Syan.g_02696
OG0000062	Syai.g_02358	Syan.g_01380
OG0000063	Syai.g_00042	Syan.g_01739
OG0000064	Syai.g_02844	Syan.g_02518
OG0000066	Syai.g_01709, Syai.g_00719	Syan.g_01156
OG0000067	Syai.g_01321	Syan.g_00690
OG0000068	Syai.g_00628	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Syai.g_02196	Syan.g_00289
OG0000071	Syai.g_02179	Syan.g_01213
OG0000072	Syai.g_02636	Syan.g_03038
OG0000073	Syai.g_00659	Syan.g_02741
OG0000075	Syai.g_00161	Syan.g_00981, Syan.g_01937
OG0000076	Syai.g_00111	Syan.g_01896
OG0000077	Syai.g_02486	Syan.g_02919, Syan.g_02579
OG0000078	Syai.g_00543	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Syai.g_00300	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Syai.g_00781	Syan.g_00952
OG0000084	Syai.g_01196, Syai.g_00958	Syan.g_01283
OG0000085	Syai.g_02365	Syan.g_01387
OG0000086	Syai.g_02507	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syai.g_02592	Syan.g_02268
OG0000088	Syai.g_02630	Syan.g_03031
OG0000089	Syai.g_00517	Syan.g_02316
OG0000090	Syai.g_00707	Syan.g_01166
OG0000091	Syai.g_01112	Syan.g_00235, Syan.g_00808
