Orthogroup	Syai	Prbc
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbc.g_00588
OG0000002	Syai.g_01728	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Syai.g_01994	Prbc.g_01381
OG0000004	Syai.g_01062, Syai.g_00530	Prbc.g_00339
OG0000005	Syai.g_02393	Prbc.g_00098
OG0000005	Syai.g_02356	Prbc.g_00788
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prbc.g_02202
OG0000007	Syai.g_00657	Prbc.g_01556
OG0000007	Syai.g_02378	Prbc.g_00832
OG0000008	Syai.g_01956	Prbc.g_00893
OG0000008	Syai.g_01955	Prbc.g_00894
OG0000009	Syai.g_01626	Prbc.g_01344
OG0000010	Syai.g_00864	Prbc.g_02115
OG0000011	Syai.g_01894, Syai.g_00582	Prbc.g_00164
OG0000011	Syai.g_01952	Prbc.g_00136, Prbc.g_00616
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prbc.g_01219
OG0000014	Syai.g_00220	Prbc.g_01198
OG0000015	Syai.g_01246, Syai.g_01245	Prbc.g_00599
OG0000016	Syai.g_00014	Prbc.g_01083
OG0000016	Syai.g_01785, Syai.g_01632	Prbc.g_00929
OG0000018	Syai.g_00915	Prbc.g_01468
OG0000019	Syai.g_00304	Prbc.g_01836
OG0000020	Syai.g_00476	Prbc.g_00054, Prbc.g_00116
OG0000021	Syai.g_00556	Prbc.g_00924, Prbc.g_02189
OG0000022	Syai.g_01159	Prbc.g_01288
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syai.g_01951	Prbc.g_00598, Prbc.g_01755
OG0000025	Syai.g_02044	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syai.g_00038	Prbc.g_01101
OG0000027	Syai.g_01128, Syai.g_01654	Prbc.g_00072
OG0000028	Syai.g_00205	Prbc.g_00653
OG0000030	Syai.g_00096, Syai.g_00095	Prbc.g_00199
OG0000031	Syai.g_00197	Prbc.g_01228
OG0000032	Syai.g_00895	Prbc.g_00746
OG0000033	Syai.g_02634	Prbc.g_00402
OG0000034	Syai.g_02192, Syai.g_02604	Prbc.g_00575
OG0000035	Syai.g_00955	Prbc.g_00709
OG0000037	Syai.g_02544, Syai.g_02815	Prbc.g_00464
OG0000038	Syai.g_02780	Prbc.g_00995
OG0000039	Syai.g_02034	Prbc.g_01768
OG0000041	Syai.g_02265, Syai.g_02016	Prbc.g_00877
OG0000042	Syai.g_00099	Prbc.g_00203
OG0000043	Syai.g_01599	Prbc.g_01953
OG0000044	Syai.g_00833	Prbc.g_00533
OG0000046	Syai.g_00443, Syai.g_00449, Syai.g_00435	Prbc.g_01220
OG0000047	Syai.g_00462	Prbc.g_01227, Prbc.g_01273
OG0000048	Syai.g_00272	Prbc.g_01165
OG0000050	Syai.g_01893	Prbc.g_01383
OG0000050	Syai.g_01332	Prbc.g_00513
OG0000052	Syai.g_00176	Prbc.g_00518, Prbc.g_00517
OG0000053	Syai.g_00930	Prbc.g_00728
OG0000054	Syai.g_01040	Prbc.g_01683
OG0000057	Syai.g_01997	Prbc.g_00055, Prbc.g_01780
OG0000058	Syai.g_00195	Prbc.g_01928
OG0000059	Syai.g_00351	Prbc.g_00958
OG0000061	Syai.g_02144	Prbc.g_01446
OG0000062	Syai.g_02358	Prbc.g_00790
OG0000063	Syai.g_00042	Prbc.g_00932
OG0000066	Syai.g_01709, Syai.g_00719	Prbc.g_01618
OG0000067	Syai.g_01321	Prbc.g_01858
OG0000068	Syai.g_00628	Prbc.g_00657
OG0000070	Syai.g_02196	Prbc.g_01511
OG0000071	Syai.g_02179	Prbc.g_00566
OG0000072	Syai.g_02636	Prbc.g_00400
OG0000073	Syai.g_00659	Prbc.g_01579
OG0000075	Syai.g_00161	Prbc.g_00236
OG0000076	Syai.g_00111	Prbc.g_00211
OG0000077	Syai.g_02486	Prbc.g_00495
OG0000078	Syai.g_00543	Prbc.g_00330
OG0000079	Syai.g_00300	Prbc.g_01148
OG0000081	Syai.g_00553, Syai.g_02292	Prbc.g_01610
OG0000082	Syai.g_00781	Prbc.g_00891
OG0000084	Syai.g_01196, Syai.g_00958	Prbc.g_00705
OG0000085	Syai.g_02365	Prbc.g_00826
OG0000086	Syai.g_02507	Prbc.g_00485
OG0000087	Syai.g_02592	Prbc.g_00432
OG0000088	Syai.g_02630	Prbc.g_00405
OG0000089	Syai.g_00517	Prbc.g_01268
OG0000090	Syai.g_00707	Prbc.g_01612
OG0000091	Syai.g_01112	Prbc.g_01719
OG0000092	Syai.g_01358	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263
OG0000093	Syai.g_01306	Prbc.g_01843
OG0000094	Syai.g_01424	Prbc.g_01935
OG0000095	Syai.g_02007	Prbc.g_02113
OG0000097	Syai.g_01787	Prbc.g_01400
OG0000098	Syai.g_01718	Prbc.g_00585
OG0000099	Syai.g_00199	Prbc.g_01229
OG0000100	Syai.g_01372	Prbc.g_00785
OG0000101	Syai.g_00404	Prbc.g_00284
OG0000102	Syai.g_00106	Prbc.g_00206
