Orthogroup	Prak	Prbk
OG0000000	Prak.g_00908, Prak.g_00913	Prbk.g_02574
OG0000000	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494	Prbk.g_01649
OG0000002	Prak.g_01302	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Prak.g_01210	Prbk.g_00166
OG0000004	Prak.g_01251	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Prak.g_01645	Prbk.g_00907
OG0000007	Prak.g_01544	Prbk.g_01819
OG0000007	Prak.g_01545, Prak.g_01546	Prbk.g_01820
OG0000009	Prak.g_01196, Prak.g_00266	Prbk.g_01004
OG0000011	Prak.g_00385	Prbk.g_02565
OG0000012	Prak.g_00566	Prbk.g_01142
OG0000013	Prak.g_01584, Prak.g_01630	Prbk.g_02558
OG0000016	Prak.g_01226	Prbk.g_01746
OG0000016	Prak.g_01488	Prbk.g_01786
OG0000017	Prak.g_01412, Prak.g_01590	Prbk.g_01230
OG0000018	Prak.g_00258	Prbk.g_02695
OG0000019	Prak.g_00831	Prbk.g_01137
OG0000020	Prak.g_01264, Prak.g_00289	Prbk.g_00405
OG0000024	Prak.g_00325	Prbk.g_00454
OG0000026	Prak.g_01530	Prbk.g_01613
OG0000028	Prak.g_01391	Prbk.g_00259
OG0000031	Prak.g_00667	Prbk.g_01709
OG0000034	Prak.g_00058	Prbk.g_00499
OG0000036	Prak.g_00546	Prbk.g_01122
OG0000037	Prak.g_01506, Prak.g_00584	Prbk.g_02610
OG0000038	Prak.g_01482	Prbk.g_01667, Prbk.g_00212
OG0000039	Prak.g_00178	Prbk.g_01836, Prbk.g_00773
OG0000040	Prak.g_00721	Prbk.g_02448
OG0000042	Prak.g_00837	Prbk.g_01835, Prbk.g_00619
OG0000043	Prak.g_00937	Prbk.g_01644, Prbk.g_01642
OG0000044	Prak.g_01172	Prbk.g_01019
OG0000045	Prak.g_01351	Prbk.g_00479
