Orthogroup	Prak	Prab
OG0000000	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494	Prab.g_00683
OG0000002	Prak.g_00755	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000003	Prak.g_01210	Prab.g_01308
OG0000004	Prak.g_01251	Prab.g_00921, Prab.g_00747, Prab.g_01307
OG0000005	Prak.g_01562	Prab.g_00760
OG0000006	Prak.g_00458	Prab.g_00501
OG0000006	Prak.g_01645	Prab.g_01669
OG0000009	Prak.g_01196	Prab.g_00820
OG0000009	Prak.g_00266	Prab.g_00239
OG0000010	Prak.g_00702	Prab.g_01596, Prab.g_01165
OG0000012	Prak.g_00566	Prab.g_00602
OG0000013	Prak.g_01584, Prak.g_01630	Prab.g_00789
OG0000014	Prak.g_01521, Prak.g_01564	Prab.g_00914, Prab.g_01616
OG0000015	Prak.g_01573, Prak.g_01606	Prab.g_00370
OG0000016	Prak.g_01226, Prak.g_01488	Prab.g_01356
OG0000017	Prak.g_01412, Prak.g_01590	Prab.g_01486
OG0000018	Prak.g_00258	Prab.g_00231
OG0000019	Prak.g_00831	Prab.g_00354
OG0000020	Prak.g_01264, Prak.g_00289	Prab.g_00411, Prab.g_00363
OG0000021	Prak.g_01627	Prab.g_00822
OG0000023	Prak.g_01486	Prab.g_01584
OG0000024	Prak.g_00325	Prab.g_00294
OG0000025	Prak.g_00741	Prab.g_01635, Prab.g_00394
OG0000028	Prak.g_01391	Prab.g_01466
OG0000029	Prak.g_00416	Prab.g_01585
OG0000032	Prak.g_01350	Prab.g_01446
OG0000033	Prak.g_00013	Prab.g_00013
OG0000033	Prak.g_01230	Prab.g_01579
OG0000034	Prak.g_01369	Prab.g_01423
OG0000035	Prak.g_00709	Prab.g_01082
OG0000036	Prak.g_01634, Prak.g_00546	Prab.g_00589
OG0000037	Prak.g_01506, Prak.g_00584	Prab.g_00627
OG0000038	Prak.g_01482	Prab.g_00782
OG0000039	Prak.g_00178	Prab.g_00157
OG0000040	Prak.g_00721	Prab.g_00348
OG0000041	Prak.g_01609, Prak.g_01603	Prab.g_00405
OG0000042	Prak.g_00837	Prab.g_00723
OG0000043	Prak.g_00937	Prab.g_00825
OG0000044	Prak.g_01172	Prab.g_01219
OG0000045	Prak.g_01351	Prab.g_01393
OG0000046	Prak.g_01637, Prak.g_01516	Prab.g_01662
OG0000047	Prak.g_01842	Prab.g_01857
OG0000048	Prak.g_01850	Prab.g_01864
OG0000050	Prak.g_00032	Prab.g_01629
OG0000051	Prak.g_00169	Prab.g_00148
OG0000052	Prak.g_00687	Prab.g_00359
OG0000053	Prak.g_00498, Prak.g_01557	Prab.g_00543
OG0000054	Prak.g_00601	Prab.g_00775, Prab.g_00803
OG0000055	Prak.g_00868	Prab.g_00862
OG0000056	Prak.g_01228	Prab.g_01634
OG0000057	Prak.g_00253	Prab.g_00228
OG0000058	Prak.g_00436	Prab.g_00479
OG0000059	Prak.g_00829	Prab.g_00703
OG0000062	Prak.g_01550	Prab.g_01186
OG0000063	Prak.g_01145	Prab.g_00717
OG0000065	Prak.g_01277	Prab.g_01637, Prab.g_01326
OG0000066	Prak.g_01349	Prab.g_01447
OG0000068	Prak.g_01780	Prab.g_01802
OG0000071	Prak.g_00011	Prab.g_00011
OG0000072	Prak.g_00339	Prab.g_00310
OG0000073	Prak.g_01072	Prab.g_00674
OG0000074	Prak.g_00819	Prab.g_00696
OG0000075	Prak.g_00852	Prab.g_00847
OG0000076	Prak.g_00920	Prab.g_00929, Prab.g_01299
OG0000078	Prak.g_01352	Prab.g_01394
OG0000079	Prak.g_01476	Prab.g_01544
OG0000080	Prak.g_00661	Prab.g_00922, Prab.g_01290
OG0000081	Prak.g_01814	Prab.g_01832
OG0000083	Prak.g_00003	Prab.g_00003
OG0000084	Prak.g_00006	Prab.g_00006
OG0000085	Prak.g_00023	Prab.g_00023
OG0000087	Prak.g_00052	Prab.g_00048
OG0000088	Prak.g_00121	Prab.g_00104
OG0000089	Prak.g_00130	Prab.g_00112
OG0000090	Prak.g_00147	Prab.g_00129
OG0000091	Prak.g_00181	Prab.g_00160
OG0000092	Prak.g_00182	Prab.g_00161
OG0000093	Prak.g_00196	Prab.g_00175
OG0000094	Prak.g_00215	Prab.g_00193
OG0000095	Prak.g_00220	Prab.g_00198
OG0000096	Prak.g_00268	Prab.g_00241
OG0000097	Prak.g_00292	Prab.g_00262
OG0000099	Prak.g_00313	Prab.g_00282
OG0000100	Prak.g_00316	Prab.g_00285
OG0000101	Prak.g_00381	Prab.g_00344
OG0000102	Prak.g_01259	Prab.g_00371
OG0000103	Prak.g_00437	Prab.g_00480
OG0000104	Prak.g_00441	Prab.g_00484
OG0000105	Prak.g_00461	Prab.g_00503
OG0000107	Prak.g_00492	Prab.g_00537
OG0000108	Prak.g_00502	Prab.g_00547
OG0000109	Prak.g_00512	Prab.g_00556
OG0000110	Prak.g_00529	Prab.g_00573
OG0000111	Prak.g_01091	Prab.g_00656
OG0000112	Prak.g_01090	Prab.g_00657
OG0000113	Prak.g_01040	Prab.g_00745
OG0000114	Prak.g_00843	Prab.g_00838
OG0000115	Prak.g_00973	Prab.g_01010
OG0000116	Prak.g_00977	Prab.g_01006
OG0000117	Prak.g_00923	Prab.g_00932
OG0000118	Prak.g_01217	Prab.g_01144
OG0000119	Prak.g_01553	Prab.g_01189
OG0000120	Prak.g_01166	Prab.g_01225
OG0000121	Prak.g_01143	Prab.g_01244
OG0000122	Prak.g_01123	Prab.g_01263
OG0000123	Prak.g_00594	Prab.g_01276
OG0000124	Prak.g_01487	Prab.g_01284
OG0000125	Prak.g_01290	Prab.g_01338
OG0000126	Prak.g_01329	Prab.g_01360
OG0000127	Prak.g_01379	Prab.g_01453
OG0000128	Prak.g_01392	Prab.g_01467
OG0000129	Prak.g_01428	Prab.g_01503
OG0000130	Prak.g_01642	Prab.g_01667
OG0000131	Prak.g_01681	Prab.g_01705
OG0000132	Prak.g_01684	Prab.g_01708
OG0000133	Prak.g_01738	Prab.g_01761
OG0000134	Prak.g_01774	Prab.g_01797
OG0000135	Prak.g_01776	Prab.g_01799
OG0000136	Prak.g_01826	Prab.g_01842
OG0000137	Prak.g_01860	Prab.g_01874
OG0000138	Prak.g_01895	Prab.g_01910
OG0000139	Prak.g_01926	Prab.g_01937
OG0000140	Prak.g_00001	Prab.g_00001
OG0000141	Prak.g_00002	Prab.g_00002
OG0000142	Prak.g_00004	Prab.g_00004
OG0000143	Prak.g_00005	Prab.g_00005
OG0000144	Prak.g_00007	Prab.g_00007
OG0000145	Prak.g_00008	Prab.g_00008
OG0000146	Prak.g_00009	Prab.g_00009
OG0000147	Prak.g_00010	Prab.g_00010
OG0000148	Prak.g_00012	Prab.g_00012
OG0000149	Prak.g_00014	Prab.g_00014
OG0000150	Prak.g_00015	Prab.g_00015
OG0000151	Prak.g_00016	Prab.g_00016
OG0000152	Prak.g_00017	Prab.g_00017
OG0000153	Prak.g_00018	Prab.g_00018
OG0000154	Prak.g_00019	Prab.g_00019
OG0000155	Prak.g_00020	Prab.g_00020
OG0000156	Prak.g_00021	Prab.g_00021
OG0000157	Prak.g_00022	Prab.g_00022
OG0000158	Prak.g_00024	Prab.g_00024
OG0000159	Prak.g_00025	Prab.g_00025
OG0000160	Prak.g_00026	Prab.g_00026
OG0000161	Prak.g_00027	Prab.g_00027
OG0000162	Prak.g_00028	Prab.g_00028
OG0000163	Prak.g_00030	Prab.g_00029
OG0000164	Prak.g_00033	Prab.g_00032
OG0000165	Prak.g_00036	Prab.g_00035
OG0000166	Prak.g_00037	Prab.g_00036
OG0000167	Prak.g_00038	Prab.g_00037
OG0000168	Prak.g_00040	Prab.g_00039
OG0000169	Prak.g_00042	Prab.g_00041
OG0000170	Prak.g_00044	Prab.g_00042
OG0000171	Prak.g_00045	Prab.g_00043
OG0000172	Prak.g_00046	Prab.g_00044
OG0000173	Prak.g_00049	Prab.g_00045
OG0000174	Prak.g_00050	Prab.g_00046
OG0000175	Prak.g_00051	Prab.g_00047
