Orthogroup	Prak	Prbm
OG0000000	Prak.g_00908	Prbm.g_00874
OG0000000	Prak.g_00805	Prbm.g_00712
OG0000000	Prak.g_01202	Prbm.g_01578
OG0000000	Prak.g_01323, Prak.g_01200	Prbm.g_01577
OG0000000	Prak.g_01207	Prbm.g_01582, Prbm.g_01576
OG0000000	Prak.g_01494	Prbm.g_01581
OG0000001	Prak.g_01578	Prbm.g_01141
OG0000001	Prak.g_01209	Prbm.g_01119
OG0000001	Prak.g_01209	Prbm.g_01404
OG0000001	Prak.g_01209	Prbm.g_01810
OG0000001	Prak.g_01563	Prbm.g_01119
OG0000001	Prak.g_01563	Prbm.g_01404
OG0000001	Prak.g_01563	Prbm.g_01810
OG0000002	Prak.g_01302	Prbm.g_01633
OG0000002	Prak.g_00755	Prbm.g_00496, Prbm.g_01940
OG0000003	Prak.g_01210	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Prak.g_01251	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000005	Prak.g_01562	Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_01808, Prbm.g_01407, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_00436
OG0000006	Prak.g_00458	Prbm.g_00522
OG0000006	Prak.g_01645	Prbm.g_01841
OG0000007	Prak.g_01544	Prbm.g_01907
OG0000007	Prak.g_01545, Prak.g_01546	Prbm.g_01908
OG0000009	Prak.g_01196	Prbm.g_00792
OG0000010	Prak.g_00702	Prbm.g_01359
OG0000011	Prak.g_00385	Prbm.g_00428
OG0000012	Prak.g_00566	Prbm.g_00635
OG0000013	Prak.g_01584, Prak.g_01630	Prbm.g_01427, Prbm.g_01149
OG0000015	Prak.g_01573, Prak.g_01606	Prbm.g_01415
OG0000016	Prak.g_01226, Prak.g_01488	Prbm.g_01653
OG0000017	Prak.g_01412, Prak.g_01590	Prbm.g_01729
OG0000018	Prak.g_00258	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000020	Prak.g_01264, Prak.g_00289	Prbm.g_00329
OG0000021	Prak.g_01627	Prbm.g_01091
OG0000024	Prak.g_00325	Prbm.g_00362
OG0000025	Prak.g_00741	Prbm.g_00118, Prbm.g_01485
OG0000026	Prak.g_01530	Prbm.g_01947
OG0000028	Prak.g_01391	Prbm.g_01710
OG0000029	Prak.g_00416	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000031	Prak.g_00667	Prbm.g_01267
OG0000032	Prak.g_01350	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Prak.g_00013	Prbm.g_00013
OG0000033	Prak.g_01230	Prbm.g_01944
OG0000034	Prak.g_00058	Prbm.g_00114
OG0000035	Prak.g_00709	Prbm.g_01482
OG0000036	Prak.g_01634	Prbm.g_01900
OG0000037	Prak.g_01506	Prbm.g_01106
OG0000038	Prak.g_01482	Prbm.g_01204
OG0000039	Prak.g_00178	Prbm.g_00225
OG0000040	Prak.g_00721	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000041	Prak.g_01609, Prak.g_01603	Prbm.g_01351
OG0000042	Prak.g_00837	Prbm.g_00742
OG0000043	Prak.g_00937	Prbm.g_00950
OG0000044	Prak.g_01172	Prbm.g_01549
OG0000045	Prak.g_01351	Prbm.g_00881
OG0000046	Prak.g_01637, Prak.g_01516	Prbm.g_01834
OG0000047	Prak.g_01842	Prbm.g_02094
OG0000048	Prak.g_01850	Prbm.g_02102
OG0000050	Prak.g_00032	Prbm.g_00031
OG0000051	Prak.g_00169	Prbm.g_00216
OG0000052	Prak.g_00687	Prbm.g_01172, Prbm.g_01237
OG0000053	Prak.g_00498, Prak.g_01557	Prbm.g_00572
OG0000054	Prak.g_00601	Prbm.g_00047
OG0000055	Prak.g_00868	Prbm.g_00838, Prbm.g_01191
OG0000056	Prak.g_01228	Prbm.g_00048
OG0000057	Prak.g_00253	Prbm.g_00297
OG0000058	Prak.g_00436	Prbm.g_00500
OG0000059	Prak.g_00829	Prbm.g_00735
OG0000062	Prak.g_01550	Prbm.g_01910
OG0000063	Prak.g_01145	Prbm.g_01522
OG0000065	Prak.g_01277	Prbm.g_00468, Prbm.g_01611
OG0000066	Prak.g_01349	Prbm.g_00707
OG0000068	Prak.g_01780	Prbm.g_02033
OG0000069	Prak.g_01430	Prbm.g_01747
OG0000071	Prak.g_00011	Prbm.g_00011
OG0000072	Prak.g_00339	Prbm.g_00377
OG0000073	Prak.g_01072	Prbm.g_00702
OG0000074	Prak.g_00819	Prbm.g_00728
OG0000075	Prak.g_00852	Prbm.g_00821
OG0000076	Prak.g_00920	Prbm.g_01064
OG0000077	Prak.g_01561	Prbm.g_00434, Prbm.g_01118, Prbm.g_01230, Prbm.g_01383, Prbm.g_01809, Prbm.g_01405
OG0000078	Prak.g_01352	Prbm.g_00394
OG0000079	Prak.g_01476	Prbm.g_01792
OG0000080	Prak.g_00661	Prbm.g_01182
OG0000081	Prak.g_01814	Prbm.g_02067
OG0000082	Prak.g_00656	Prbm.g_02188
OG0000083	Prak.g_00003	Prbm.g_00003
OG0000084	Prak.g_00006	Prbm.g_00006
OG0000085	Prak.g_00023	Prbm.g_00023
OG0000087	Prak.g_00052	Prbm.g_00058
OG0000088	Prak.g_00121	Prbm.g_00172
OG0000089	Prak.g_00130	Prbm.g_00181
OG0000090	Prak.g_00147	Prbm.g_00198
OG0000091	Prak.g_00181	Prbm.g_00228
OG0000092	Prak.g_00182	Prbm.g_00229
OG0000093	Prak.g_00196	Prbm.g_00243
OG0000094	Prak.g_00215	Prbm.g_00262
OG0000095	Prak.g_00220	Prbm.g_00266
OG0000096	Prak.g_00268	Prbm.g_00310
OG0000097	Prak.g_00292	Prbm.g_00331
OG0000098	Prak.g_00303	Prbm.g_00341
OG0000099	Prak.g_00313	Prbm.g_00350
OG0000100	Prak.g_00316	Prbm.g_00353
OG0000101	Prak.g_00381	Prbm.g_00425
OG0000102	Prak.g_01259	Prbm.g_01389
OG0000103	Prak.g_00437	Prbm.g_00501
OG0000104	Prak.g_00441	Prbm.g_00506
OG0000105	Prak.g_00461	Prbm.g_00533
OG0000106	Prak.g_00491	Prbm.g_00565
OG0000107	Prak.g_00492	Prbm.g_00566
OG0000108	Prak.g_00502	Prbm.g_00576
OG0000109	Prak.g_00512	Prbm.g_00585
OG0000110	Prak.g_00529	Prbm.g_00601
OG0000111	Prak.g_01091	Prbm.g_00682
OG0000112	Prak.g_01090	Prbm.g_00683
OG0000113	Prak.g_01040	Prbm.g_00766
OG0000114	Prak.g_00843	Prbm.g_00812
OG0000115	Prak.g_00973	Prbm.g_00988
OG0000116	Prak.g_00977	Prbm.g_00992
OG0000117	Prak.g_00923	Prbm.g_01061
OG0000118	Prak.g_01217	Prbm.g_01210
OG0000119	Prak.g_01553	Prbm.g_01913
OG0000120	Prak.g_01166	Prbm.g_01542
OG0000121	Prak.g_01143	Prbm.g_01519
OG0000122	Prak.g_01123	Prbm.g_01499
OG0000123	Prak.g_00594	Prbm.g_01489
OG0000124	Prak.g_01487	Prbm.g_01054
OG0000125	Prak.g_01290	Prbm.g_01622
OG0000126	Prak.g_01329	Prbm.g_01660
OG0000127	Prak.g_01379	Prbm.g_01696
OG0000128	Prak.g_01392	Prbm.g_01711
OG0000129	Prak.g_01428	Prbm.g_01745
OG0000130	Prak.g_01642	Prbm.g_01839
OG0000131	Prak.g_01681	Prbm.g_01876
OG0000132	Prak.g_01684	Prbm.g_01878
OG0000133	Prak.g_01738	Prbm.g_01991
OG0000134	Prak.g_01774	Prbm.g_02027
OG0000135	Prak.g_01776	Prbm.g_02029
OG0000136	Prak.g_01826	Prbm.g_02079
OG0000137	Prak.g_01860	Prbm.g_02114
OG0000138	Prak.g_01895	Prbm.g_02176
OG0000139	Prak.g_01926	Prbm.g_02212
OG0000140	Prak.g_00001	Prbm.g_00001
OG0000141	Prak.g_00002	Prbm.g_00002
OG0000142	Prak.g_00004	Prbm.g_00004
OG0000143	Prak.g_00005	Prbm.g_00005
OG0000144	Prak.g_00007	Prbm.g_00007
OG0000145	Prak.g_00008	Prbm.g_00008
OG0000146	Prak.g_00009	Prbm.g_00009
OG0000147	Prak.g_00010	Prbm.g_00010
OG0000148	Prak.g_00012	Prbm.g_00012
OG0000149	Prak.g_00014	Prbm.g_00014
OG0000150	Prak.g_00015	Prbm.g_00015
OG0000151	Prak.g_00016	Prbm.g_00016
OG0000152	Prak.g_00017	Prbm.g_00017
OG0000153	Prak.g_00018	Prbm.g_00018
OG0000154	Prak.g_00019	Prbm.g_00019
OG0000155	Prak.g_00020	Prbm.g_00020
OG0000156	Prak.g_00021	Prbm.g_00021
OG0000157	Prak.g_00022	Prbm.g_00022
OG0000158	Prak.g_00024	Prbm.g_00024
OG0000159	Prak.g_00025	Prbm.g_00025
OG0000160	Prak.g_00026	Prbm.g_00026
OG0000161	Prak.g_00027	Prbm.g_00027
OG0000162	Prak.g_00028	Prbm.g_00028
OG0000163	Prak.g_00030	Prbm.g_00029
OG0000164	Prak.g_00033	Prbm.g_00032
OG0000165	Prak.g_00036	Prbm.g_00033
OG0000166	Prak.g_00037	Prbm.g_00034
OG0000167	Prak.g_00038	Prbm.g_00035
OG0000168	Prak.g_00040	Prbm.g_00049
OG0000169	Prak.g_00042	Prbm.g_00051
OG0000170	Prak.g_00044	Prbm.g_00052
OG0000171	Prak.g_00045	Prbm.g_00053
OG0000172	Prak.g_00046	Prbm.g_00054
OG0000173	Prak.g_00049	Prbm.g_00055
OG0000174	Prak.g_00050	Prbm.g_00056
OG0000175	Prak.g_00051	Prbm.g_00057
OG0000176	Prak.g_00053	Prbm.g_00059
OG0000177	Prak.g_00054	Prbm.g_00060
OG0000178	Prak.g_00056	Prbm.g_00061
OG0000179	Prak.g_00068	Prbm.g_00121
OG0000180	Prak.g_00069	Prbm.g_00122
OG0000181	Prak.g_00070	Prbm.g_00123
OG0000182	Prak.g_00074	Prbm.g_00126
OG0000183	Prak.g_00075	Prbm.g_00127
OG0000184	Prak.g_00078	Prbm.g_00130
OG0000185	Prak.g_00082	Prbm.g_00134
OG0000186	Prak.g_00083	Prbm.g_00135
OG0000187	Prak.g_00717	Prbm.g_00136
OG0000188	Prak.g_00084	Prbm.g_00137
OG0000189	Prak.g_00085	Prbm.g_00138
OG0000190	Prak.g_00086	Prbm.g_00139
OG0000191	Prak.g_00087	Prbm.g_00140
OG0000192	Prak.g_00088	Prbm.g_00141
OG0000193	Prak.g_00089	Prbm.g_00142
OG0000194	Prak.g_00090	Prbm.g_00143
OG0000195	Prak.g_00092	Prbm.g_00145
OG0000196	Prak.g_00093	Prbm.g_00146
OG0000197	Prak.g_00094	Prbm.g_00147
OG0000198	Prak.g_00095	Prbm.g_00148
OG0000199	Prak.g_00098	Prbm.g_00151
OG0000200	Prak.g_00099	Prbm.g_00152
OG0000201	Prak.g_00100	Prbm.g_00153
OG0000202	Prak.g_00102	Prbm.g_00154
OG0000203	Prak.g_00103	Prbm.g_00155
OG0000204	Prak.g_00104	Prbm.g_00156
OG0000205	Prak.g_00106	Prbm.g_00158
OG0000206	Prak.g_00107	Prbm.g_00159
OG0000207	Prak.g_00108	Prbm.g_00160
OG0000208	Prak.g_00109	Prbm.g_00161
OG0000209	Prak.g_00110	Prbm.g_00162
OG0000210	Prak.g_00111	Prbm.g_00163
OG0000211	Prak.g_00113	Prbm.g_00164
OG0000212	Prak.g_00114	Prbm.g_00165
OG0000213	Prak.g_00115	Prbm.g_00166
OG0000214	Prak.g_00119	Prbm.g_00170
OG0000215	Prak.g_00120	Prbm.g_00171
OG0000216	Prak.g_00122	Prbm.g_00173
OG0000217	Prak.g_00123	Prbm.g_00175
OG0000218	Prak.g_00124	Prbm.g_00176
OG0000219	Prak.g_00125	Prbm.g_00177
OG0000220	Prak.g_00128	Prbm.g_00179
OG0000221	Prak.g_00131	Prbm.g_00182
OG0000222	Prak.g_00132	Prbm.g_00183
OG0000223	Prak.g_00133	Prbm.g_00184
OG0000224	Prak.g_00135	Prbm.g_00187
OG0000225	Prak.g_00137	Prbm.g_00189
OG0000226	Prak.g_00139	Prbm.g_00191
OG0000227	Prak.g_00140	Prbm.g_00192
OG0000228	Prak.g_00141	Prbm.g_00193
OG0000229	Prak.g_00142	Prbm.g_00194
OG0000230	Prak.g_00143	Prbm.g_00195
OG0000231	Prak.g_01035	Prbm.g_01096
OG0000232	Prak.g_00145	Prbm.g_00196
OG0000233	Prak.g_00148	Prbm.g_00199
OG0000234	Prak.g_00150	Prbm.g_00202
OG0000235	Prak.g_00156	Prbm.g_00204
OG0000236	Prak.g_00157	Prbm.g_00205
OG0000237	Prak.g_00158	Prbm.g_00206
OG0000238	Prak.g_00159	Prbm.g_00207
OG0000239	Prak.g_00160	Prbm.g_00208
OG0000240	Prak.g_00162	Prbm.g_00210
OG0000241	Prak.g_00163	Prbm.g_00211
