Orthogroup	Prak	Praz
OG0000000	Prak.g_00908, Prak.g_00913	Praz.g_01146
OG0000000	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494	Praz.g_01652
OG0000002	Prak.g_01302	Praz.g_01154
OG0000002	Prak.g_00755	Praz.g_01939, Praz.g_01940
OG0000003	Prak.g_01210	Praz.g_01200
OG0000004	Prak.g_01251	Praz.g_01583, Praz.g_01576, Praz.g_01201
OG0000005	Prak.g_01562	Praz.g_00894
OG0000006	Prak.g_00458	Praz.g_01831
OG0000006	Prak.g_01645	Praz.g_00877
OG0000007	Prak.g_01544	Praz.g_01241
OG0000009	Prak.g_01196	Praz.g_01532
OG0000009	Prak.g_00266	Praz.g_00609
OG0000010	Prak.g_00702	Praz.g_00045, Praz.g_01215
OG0000011	Prak.g_00385	Praz.g_01921
OG0000012	Prak.g_00559, Prak.g_00566	Praz.g_01732
OG0000013	Prak.g_01584, Prak.g_01630	Praz.g_01551
OG0000014	Prak.g_01521, Prak.g_01564	Praz.g_01858, Praz.g_01197
OG0000015	Prak.g_01573, Prak.g_01606	Praz.g_00792
OG0000016	Prak.g_01226, Prak.g_01488	Praz.g_01143
OG0000018	Prak.g_00258	Praz.g_00601
OG0000019	Prak.g_00831	Praz.g_00896
OG0000020	Prak.g_01264, Prak.g_00289	Praz.g_00800
OG0000021	Prak.g_01627	Praz.g_01530
OG0000023	Prak.g_01486	Praz.g_01230
OG0000024	Prak.g_00325	Praz.g_00663
OG0000025	Prak.g_00741	Praz.g_00769
OG0000028	Prak.g_01391	Praz.g_01041
OG0000029	Prak.g_00416	Praz.g_00928
OG0000032	Prak.g_01350	Praz.g_01116
OG0000033	Prak.g_00013, Prak.g_01230	Praz.g_00378
OG0000034	Prak.g_01369	Praz.g_01103
OG0000035	Prak.g_00709	Praz.g_01422
OG0000036	Prak.g_01634, Prak.g_00546	Praz.g_01744
OG0000037	Prak.g_01506, Prak.g_00584	Praz.g_01707
OG0000038	Prak.g_01482	Praz.g_01556
OG0000039	Prak.g_00178	Praz.g_00526
OG0000040	Prak.g_00721	Praz.g_00814
OG0000042	Prak.g_00837	Praz.g_01607
OG0000043	Prak.g_00937	Praz.g_01527
OG0000045	Prak.g_01351	Praz.g_01096
OG0000046	Prak.g_01637, Prak.g_01516	Praz.g_00884
OG0000047	Prak.g_01842	Praz.g_00205
OG0000048	Prak.g_01850	Praz.g_00198
OG0000050	Prak.g_00032	Praz.g_00396
OG0000051	Prak.g_00169	Praz.g_00517
OG0000052	Prak.g_00687	Praz.g_00804
OG0000053	Prak.g_00498, Prak.g_01557	Praz.g_01789
OG0000054	Prak.g_00601	Praz.g_01561
OG0000055	Prak.g_00868	Praz.g_01490
OG0000056	Prak.g_01228	Praz.g_00038
OG0000057	Prak.g_00253	Praz.g_00597
OG0000058	Prak.g_00436	Praz.g_01853
OG0000059	Prak.g_00829	Praz.g_01632
OG0000062	Prak.g_01550	Praz.g_00025
OG0000063	Prak.g_01145	Praz.g_01237
OG0000065	Prak.g_01277	Praz.g_01180
OG0000066	Prak.g_01349	Praz.g_01118
OG0000067	Prak.g_00660	Praz.g_00768
OG0000068	Prak.g_01780	Praz.g_00263
OG0000069	Prak.g_01430	Praz.g_01092
OG0000071	Prak.g_00011	Praz.g_00376
OG0000072	Prak.g_00339	Praz.g_00679
OG0000073	Prak.g_01072	Praz.g_01661
OG0000074	Prak.g_00819	Praz.g_01639
OG0000075	Prak.g_00852	Praz.g_01505
OG0000076	Prak.g_00920	Praz.g_00066
OG0000077	Prak.g_01561	Praz.g_00893
OG0000078	Prak.g_01352	Praz.g_01098
OG0000079	Prak.g_01476	Praz.g_00963
OG0000080	Prak.g_00661	Praz.g_00913
OG0000081	Prak.g_01814	Praz.g_00232
OG0000082	Prak.g_00656	Praz.g_00142
OG0000083	Prak.g_00003	Praz.g_00368
OG0000084	Prak.g_00006	Praz.g_00371
OG0000085	Prak.g_00023	Praz.g_00388
OG0000087	Prak.g_00052	Praz.g_00415
OG0000088	Prak.g_00121	Praz.g_00473
OG0000089	Prak.g_00130	Praz.g_00481
OG0000090	Prak.g_00147	Praz.g_00499
OG0000091	Prak.g_00181	Praz.g_00529
OG0000092	Prak.g_00182	Praz.g_00530
OG0000093	Prak.g_00196	Praz.g_00544
OG0000094	Prak.g_00215	Praz.g_00562
OG0000095	Prak.g_00220	Praz.g_00567
OG0000096	Prak.g_00268	Praz.g_00611
OG0000097	Prak.g_00292	Praz.g_00632
OG0000099	Prak.g_00313	Praz.g_00651
OG0000100	Prak.g_00316	Praz.g_00654
OG0000101	Prak.g_00381	Praz.g_00817
OG0000102	Prak.g_01259	Praz.g_00791
OG0000103	Prak.g_00437	Praz.g_01852
OG0000104	Prak.g_00441	Praz.g_01848
OG0000105	Prak.g_00461	Praz.g_01829
OG0000106	Prak.g_00491	Praz.g_01796
OG0000107	Prak.g_00492	Praz.g_01795
OG0000108	Prak.g_00502	Praz.g_01785
OG0000109	Prak.g_00512	Praz.g_01776
OG0000110	Prak.g_00529	Praz.g_01760
OG0000111	Prak.g_01091	Praz.g_01679
OG0000112	Prak.g_01090	Praz.g_01678
OG0000113	Prak.g_01040	Praz.g_01585
OG0000114	Prak.g_00843	Praz.g_01514
OG0000115	Prak.g_00973	Praz.g_01350
OG0000116	Prak.g_00977	Praz.g_01346
OG0000117	Prak.g_00923	Praz.g_01279, Praz.g_00063
OG0000118	Prak.g_01217	Praz.g_00114
OG0000119	Prak.g_01553	Praz.g_00022
OG0000120	Prak.g_01166	Praz.g_00748
OG0000121	Prak.g_01143	Praz.g_00729
OG0000122	Prak.g_01123	Praz.g_00710
OG0000123	Prak.g_00594	Praz.g_00697
OG0000124	Prak.g_01487	Praz.g_01936
OG0000125	Prak.g_01290	Praz.g_01168
OG0000126	Prak.g_01329	Praz.g_01139
OG0000127	Prak.g_01379	Praz.g_01054
OG0000128	Prak.g_01392	Praz.g_01040
OG0000129	Prak.g_01428	Praz.g_01004
OG0000130	Prak.g_01642	Praz.g_00879
OG0000131	Prak.g_01681	Praz.g_00841
OG0000132	Prak.g_01684	Praz.g_00838
OG0000133	Prak.g_01738	Praz.g_00304
OG0000134	Prak.g_01774	Praz.g_00268
OG0000135	Prak.g_01776	Praz.g_00266
OG0000136	Prak.g_01826	Praz.g_00221
OG0000137	Prak.g_01860	Praz.g_00188
OG0000138	Prak.g_01895	Praz.g_00152
OG0000139	Prak.g_01926	Praz.g_00125
OG0000140	Prak.g_00001	Praz.g_00366
OG0000141	Prak.g_00002	Praz.g_00367
OG0000142	Prak.g_00004	Praz.g_00369
OG0000143	Prak.g_00005	Praz.g_00370
OG0000144	Prak.g_00007	Praz.g_00372
OG0000145	Prak.g_00008	Praz.g_00373
OG0000146	Prak.g_00009	Praz.g_00374
OG0000147	Prak.g_00010	Praz.g_00375
OG0000148	Prak.g_00012	Praz.g_00377
OG0000149	Prak.g_00014	Praz.g_00379
OG0000150	Prak.g_00015	Praz.g_00380
OG0000151	Prak.g_00016	Praz.g_00381
OG0000152	Prak.g_00017	Praz.g_00382
OG0000153	Prak.g_00018	Praz.g_00383
OG0000154	Prak.g_00019	Praz.g_00384
OG0000155	Prak.g_00020	Praz.g_00385
OG0000156	Prak.g_00021	Praz.g_00386
OG0000157	Prak.g_00022	Praz.g_00387
OG0000158	Prak.g_00024	Praz.g_00389
OG0000159	Prak.g_00025	Praz.g_00390
OG0000160	Prak.g_00026	Praz.g_00391
OG0000161	Prak.g_00027	Praz.g_00392
OG0000162	Prak.g_00028	Praz.g_00393
OG0000163	Prak.g_00030	Praz.g_00394
OG0000164	Prak.g_00033	Praz.g_00397
OG0000165	Prak.g_00036	Praz.g_00400
OG0000166	Prak.g_00037	Praz.g_00401
OG0000167	Prak.g_00038	Praz.g_00402
OG0000168	Prak.g_00040	Praz.g_00406
OG0000169	Prak.g_00042	Praz.g_00408
OG0000170	Prak.g_00044	Praz.g_00409
OG0000171	Prak.g_00045	Praz.g_00410
OG0000172	Prak.g_00046	Praz.g_00411
OG0000173	Prak.g_00049	Praz.g_00412
OG0000174	Prak.g_00050	Praz.g_00413
OG0000175	Prak.g_00051	Praz.g_00414
OG0000176	Prak.g_00053	Praz.g_00416
OG0000177	Prak.g_00054	Praz.g_00417
OG0000178	Prak.g_00056	Praz.g_00418
OG0000179	Prak.g_00068	Praz.g_00424
OG0000180	Prak.g_00069	Praz.g_00425
OG0000181	Prak.g_00070	Praz.g_00426
OG0000182	Prak.g_00074	Praz.g_00429
OG0000183	Prak.g_00075	Praz.g_00430
OG0000184	Prak.g_00078	Praz.g_00433
OG0000185	Prak.g_00082	Praz.g_00437
OG0000186	Prak.g_00083	Praz.g_00438
OG0000187	Prak.g_00717	Praz.g_00439
OG0000188	Prak.g_00084	Praz.g_00440
OG0000189	Prak.g_00085	Praz.g_00441
OG0000190	Prak.g_00086	Praz.g_00442
OG0000191	Prak.g_00087	Praz.g_00443
OG0000192	Prak.g_00088	Praz.g_00444
OG0000193	Prak.g_00089	Praz.g_00445
