Orthogroup	Prak	Prah
OG0000000	Prak.g_00908, Prak.g_00913	Prah.g_00562
OG0000000	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494	Prah.g_01226
OG0000002	Prak.g_01302	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896
OG0000003	Prak.g_01210	Prah.g_01347
OG0000004	Prak.g_01251	Prah.g_01175, Prah.g_00215
OG0000006	Prak.g_00458	Prah.g_01546
OG0000006	Prak.g_01645	Prah.g_01676
OG0000007	Prak.g_01544	Prah.g_00970
OG0000007	Prak.g_01545, Prak.g_01546	Prah.g_00969
OG0000009	Prak.g_01196, Prak.g_00266	Prah.g_02086
OG0000011	Prak.g_00385	Prah.g_00321, Prah.g_00322
OG0000013	Prak.g_01584, Prak.g_01630	Prah.g_01155, Prah.g_00576
OG0000016	Prak.g_01226	Prah.g_01007
OG0000016	Prak.g_01488	Prah.g_01048
OG0000017	Prak.g_01412, Prak.g_01590	Prah.g_00381
OG0000018	Prak.g_00258	Prah.g_00475, Prah.g_01767
OG0000019	Prak.g_00831	Prah.g_01410
OG0000020	Prak.g_01264, Prak.g_00289	Prah.g_02122
OG0000024	Prak.g_00325	Prah.g_02171
OG0000025	Prak.g_00741	Prah.g_01120
OG0000026	Prak.g_01530	Prah.g_00042
OG0000028	Prak.g_01391	Prah.g_00408
OG0000031	Prak.g_00667	Prah.g_01166
OG0000032	Prak.g_01350	Prah.g_00091
OG0000033	Prak.g_00013	Prah.g_00015
OG0000033	Prak.g_01230	Prah.g_01270
OG0000034	Prak.g_00058	Prah.g_02219
OG0000036	Prak.g_00546	Prah.g_01427
OG0000037	Prak.g_01506, Prak.g_00584	Prah.g_00524
OG0000038	Prak.g_01482	Prah.g_01209, Prah.g_00170
OG0000039	Prak.g_00178	Prah.g_00957, Prah.g_02304
OG0000040	Prak.g_00721	Prah.g_00688
OG0000042	Prak.g_00837	Prah.g_00958, Prah.g_00887
OG0000043	Prak.g_00937	Prah.g_01231, Prah.g_01233
OG0000044	Prak.g_01172	Prah.g_01322
OG0000045	Prak.g_01351	Prah.g_02195
OG0000046	Prak.g_01637, Prak.g_01516	Prah.g_01666
OG0000047	Prak.g_01842	Prah.g_00150
OG0000048	Prak.g_01850	Prah.g_01256, Prah.g_00135
OG0000050	Prak.g_00032	Prah.g_00038
OG0000051	Prak.g_00169	Prah.g_02295
OG0000052	Prak.g_00687	Prah.g_01660
OG0000053	Prak.g_00498, Prak.g_01557	Prah.g_01485
OG0000054	Prak.g_00601	Prah.g_01812
OG0000055	Prak.g_00868	Prah.g_00641
OG0000056	Prak.g_01228	Prah.g_02425
OG0000057	Prak.g_00253	Prah.g_01778
OG0000058	Prak.g_00436	Prah.g_00312
OG0000059	Prak.g_00829	Prah.g_01027
OG0000062	Prak.g_01550	Prah.g_02524
OG0000063	Prak.g_01145	Prah.g_01257
OG0000065	Prak.g_01277	Prah.g_01364
OG0000066	Prak.g_01349	Prah.g_02192
OG0000068	Prak.g_01780	Prah.g_01995
OG0000069	Prak.g_01430	Prah.g_00358
OG0000071	Prak.g_00011	Prah.g_00013
OG0000072	Prak.g_00339	Prah.g_02187
OG0000073	Prak.g_01072	Prah.g_00445
OG0000074	Prak.g_00819	Prah.g_00974
OG0000075	Prak.g_00852	Prah.g_00660
OG0000076	Prak.g_00920	Prah.g_00915
OG0000078	Prak.g_01352	Prah.g_02191
OG0000079	Prak.g_01476	Prah.g_01654
OG0000080	Prak.g_00661	Prah.g_01609
OG0000081	Prak.g_01814	Prah.g_02230
OG0000082	Prak.g_00656	Prah.g_02533
OG0000083	Prak.g_00003	Prah.g_00004
OG0000084	Prak.g_00006	Prah.g_00007
OG0000085	Prak.g_00023	Prah.g_00029
OG0000087	Prak.g_00052	Prah.g_02458
OG0000088	Prak.g_00121	Prah.g_00194
OG0000089	Prak.g_00130	Prah.g_00176, Prah.g_00180
OG0000090	Prak.g_00147	Prah.g_02268
OG0000091	Prak.g_00181	Prah.g_02307
OG0000092	Prak.g_00182	Prah.g_02308
OG0000093	Prak.g_00196	Prah.g_02324
OG0000094	Prak.g_00215	Prah.g_02362
OG0000095	Prak.g_00220	Prah.g_02371
OG0000096	Prak.g_00268	Prah.g_02089
OG0000097	Prak.g_00292	Prah.g_02126
OG0000098	Prak.g_00303	Prah.g_02139
OG0000099	Prak.g_00313	Prah.g_02151
OG0000100	Prak.g_00316	Prah.g_02155
OG0000101	Prak.g_00381	Prah.g_00208
OG0000102	Prak.g_01259	Prah.g_02538
OG0000103	Prak.g_00437	Prah.g_00313, Prah.g_00314
OG0000104	Prak.g_00441	Prah.g_01566
OG0000105	Prak.g_00461	Prah.g_01544
OG0000106	Prak.g_00491	Prah.g_01503
OG0000107	Prak.g_00492	Prah.g_01501
OG0000108	Prak.g_00502	Prah.g_01476
OG0000109	Prak.g_00512	Prah.g_01465
OG0000110	Prak.g_00529	Prah.g_01446
OG0000111	Prak.g_01091	Prah.g_00474
OG0000112	Prak.g_01090	Prah.g_00473
OG0000113	Prak.g_01040	Prah.g_00752
OG0000114	Prak.g_00843	Prah.g_00669, Prah.g_01823
OG0000115	Prak.g_00973	Prah.g_00796
OG0000116	Prak.g_00977	Prah.g_00805
OG0000117	Prak.g_00923	Prah.g_00912
OG0000118	Prak.g_01217	Prah.g_02597
OG0000119	Prak.g_01553	Prah.g_02526
OG0000120	Prak.g_01166	Prah.g_01315
OG0000121	Prak.g_01143	Prah.g_01254
OG0000122	Prak.g_01123	Prah.g_01276
OG0000123	Prak.g_00594	Prah.g_01237, Prah.g_01238
OG0000124	Prak.g_01487	Prah.g_00905
OG0000125	Prak.g_01290	Prah.g_01378
OG0000126	Prak.g_01329	Prah.g_01576
OG0000127	Prak.g_01379	Prah.g_00424
OG0000128	Prak.g_01392	Prah.g_00407
OG0000129	Prak.g_01428	Prah.g_00361
OG0000130	Prak.g_01642	Prah.g_01672
OG0000131	Prak.g_01681	Prah.g_01725
OG0000132	Prak.g_01684	Prah.g_01728
OG0000133	Prak.g_01738	Prah.g_02038
OG0000134	Prak.g_01774	Prah.g_02001
OG0000135	Prak.g_01776	Prah.g_01999
OG0000136	Prak.g_01826	Prah.g_02244
OG0000137	Prak.g_01860	Prah.g_00116, Prah.g_00089
OG0000138	Prak.g_01895	Prah.g_02498
OG0000139	Prak.g_01926	Prah.g_02578
OG0000140	Prak.g_00001	Prah.g_00002
OG0000141	Prak.g_00002	Prah.g_00003
OG0000142	Prak.g_00004	Prah.g_00005
OG0000143	Prak.g_00005	Prah.g_00006
OG0000144	Prak.g_00007	Prah.g_00008
OG0000145	Prak.g_00008	Prah.g_00010
OG0000146	Prak.g_00009	Prah.g_00011
OG0000147	Prak.g_00010	Prah.g_00012
OG0000148	Prak.g_00012	Prah.g_00014
OG0000149	Prak.g_00014	Prah.g_00016
OG0000150	Prak.g_00015	Prah.g_00017
OG0000151	Prak.g_00016	Prah.g_00022
OG0000152	Prak.g_00017	Prah.g_00023
OG0000153	Prak.g_00018	Prah.g_00024
OG0000154	Prak.g_00019	Prah.g_00025
OG0000155	Prak.g_00020	Prah.g_00026
OG0000156	Prak.g_00021	Prah.g_00027
OG0000157	Prak.g_00022	Prah.g_00028
OG0000158	Prak.g_00024	Prah.g_00030
OG0000159	Prak.g_00025	Prah.g_00031
OG0000160	Prak.g_00026	Prah.g_00032
OG0000161	Prak.g_00027	Prah.g_00033
OG0000162	Prak.g_00028	Prah.g_00034
OG0000163	Prak.g_00030	Prah.g_00036
OG0000164	Prak.g_00033	Prah.g_00041
OG0000165	Prak.g_00036	Prah.g_00046
OG0000166	Prak.g_00037	Prah.g_00047
OG0000167	Prak.g_00038	Prah.g_00048
OG0000168	Prak.g_00040	Prah.g_00049
OG0000169	Prak.g_00042	Prah.g_00051
OG0000170	Prak.g_00044	Prah.g_02488
OG0000171	Prak.g_00045	Prah.g_02486
OG0000172	Prak.g_00046	Prah.g_02485
OG0000173	Prak.g_00049	Prah.g_02478
OG0000174	Prak.g_00050	Prah.g_02471
OG0000175	Prak.g_00051	Prah.g_02466
OG0000176	Prak.g_00053	Prah.g_02457
OG0000177	Prak.g_00054	Prah.g_02454
OG0000178	Prak.g_00056	Prah.g_02453
OG0000179	Prak.g_00068	Prah.g_01830
OG0000180	Prak.g_00069	Prah.g_01833
OG0000181	Prak.g_00070	Prah.g_01834
OG0000182	Prak.g_00074	Prah.g_01838
OG0000183	Prak.g_00075	Prah.g_01839
OG0000184	Prak.g_00078	Prah.g_01843
OG0000185	Prak.g_00082	Prah.g_01849
OG0000186	Prak.g_00083	Prah.g_01850
OG0000187	Prak.g_00717	Prah.g_01211
OG0000188	Prak.g_00084	Prah.g_01851
OG0000189	Prak.g_00085	Prah.g_01859
OG0000190	Prak.g_00086	Prah.g_01860
OG0000191	Prak.g_00087	Prah.g_01861
OG0000192	Prak.g_00088	Prah.g_01862
OG0000193	Prak.g_00089	Prah.g_01863
OG0000194	Prak.g_00090	Prah.g_01864
OG0000195	Prak.g_00092	Prah.g_01866
OG0000196	Prak.g_00093	Prah.g_01867
OG0000197	Prak.g_00094	Prah.g_01873
OG0000198	Prak.g_00095	Prah.g_01877
OG0000199	Prak.g_00098	Prah.g_01882
OG0000200	Prak.g_00099	Prah.g_01883
OG0000201	Prak.g_00100	Prah.g_01884
OG0000202	Prak.g_00102	Prah.g_01886
OG0000203	Prak.g_00103	Prah.g_01887
OG0000204	Prak.g_00104	Prah.g_01888
