Orthogroup	Prak	Praf
OG0000000	Prak.g_00908, Prak.g_00913	Praf.g_01631
OG0000000	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494	Praf.g_00948
OG0000002	Prak.g_01302	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293
OG0000003	Prak.g_01210	Praf.g_00814
OG0000004	Prak.g_01251	Praf.g_01014, Praf.g_02005
OG0000006	Prak.g_00458	Praf.g_00614
OG0000006	Prak.g_01645	Praf.g_00480
OG0000007	Prak.g_01544	Praf.g_01223
OG0000007	Prak.g_01545, Prak.g_01546	Praf.g_01224
OG0000009	Prak.g_01196, Prak.g_00266	Praf.g_02214
OG0000011	Prak.g_00385	Praf.g_01898
OG0000012	Prak.g_00566	Praf.g_00752
OG0000013	Prak.g_01584, Prak.g_01630	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prak.g_01226	Praf.g_01108
OG0000016	Prak.g_01488	Praf.g_01143
OG0000017	Prak.g_01412, Prak.g_01590	Praf.g_01828
OG0000018	Prak.g_00258	Praf.g_00396, Praf.g_01719
OG0000019	Prak.g_00831	Praf.g_00746
OG0000020	Prak.g_01264, Prak.g_00289	Praf.g_02267
OG0000024	Prak.g_00325	Praf.g_02319
OG0000025	Prak.g_00741	Praf.g_01105
OG0000026	Prak.g_01530	Praf.g_00041
OG0000028	Prak.g_01391	Praf.g_01794
OG0000031	Prak.g_00667	Praf.g_01022
OG0000032	Prak.g_01350	Praf.g_00113, Praf.g_00101
OG0000033	Prak.g_00013	Praf.g_00014
OG0000033	Prak.g_01230	Praf.g_00906
OG0000034	Prak.g_00058	Praf.g_02366
OG0000036	Prak.g_01634, Prak.g_00546	Praf.g_00731
OG0000037	Prak.g_01506, Prak.g_00584	Praf.g_01668
OG0000038	Prak.g_01482	Praf.g_00965, Praf.g_00201
OG0000039	Prak.g_00178	Praf.g_01239, Praf.g_02454
OG0000042	Prak.g_00837	Praf.g_01238, Praf.g_01302
OG0000043	Prak.g_00937	Praf.g_00943, Praf.g_00941
OG0000044	Prak.g_01172	Praf.g_00854
OG0000045	Prak.g_01351	Praf.g_02345
OG0000046	Prak.g_01637, Prak.g_01516	Praf.g_00491
OG0000047	Prak.g_01842	Praf.g_00178
OG0000048	Prak.g_01850	Praf.g_00920, Praf.g_00164
OG0000050	Prak.g_00032	Praf.g_00037
OG0000051	Prak.g_00169	Praf.g_02445
OG0000052	Prak.g_00687	Praf.g_00496
OG0000053	Prak.g_00498, Prak.g_01557	Praf.g_00672
OG0000054	Prak.g_00601	Praf.g_00348
OG0000055	Prak.g_00868	Praf.g_01556
OG0000056	Prak.g_01228	Praf.g_02587
OG0000057	Prak.g_00253	Praf.g_00386
OG0000058	Prak.g_00436	Praf.g_01907
OG0000059	Prak.g_00829	Praf.g_01125
