Orthogroup	Prau	Prbn
OG0000000	Prau.g_01402	Prbn.g_01483, Prbn.g_01478
OG0000000	Prau.g_00718	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154
OG0000002	Prau.g_01394	Prbn.g_01213
OG0000002	Prau.g_01267, Prau.g_01269	Prbn.g_01923
OG0000003	Prau.g_01350, Prau.g_01650, Prau.g_01300	Prbn.g_01151
OG0000004	Prau.g_00792	Prbn.g_01110
OG0000005	Prau.g_01648, Prau.g_01665	Prbn.g_01662
OG0000006	Prau.g_00538	Prbn.g_00617
OG0000006	Prau.g_01732	Prbn.g_01745
OG0000007	Prau.g_00781	Prbn.g_01645
OG0000009	Prau.g_00834	Prbn.g_01165
OG0000009	Prau.g_00251	Prbn.g_00015
OG0000010	Prau.g_01156, Prau.g_01331	Prbn.g_01049
OG0000011	Prau.g_00414	Prbn.g_00690
OG0000012	Prau.g_00636	Prbn.g_00510, Prbn.g_00517
OG0000013	Prau.g_00817	Prbn.g_01684, Prbn.g_01730
OG0000014	Prau.g_01353	Prbn.g_01664, Prbn.g_00139
OG0000015	Prau.g_01284, Prau.g_00385	Prbn.g_01673, Prbn.g_01706
OG0000016	Prau.g_01405	Prbn.g_01135, Prbn.g_00885
OG0000017	Prau.g_00040	Prbn.g_01690, Prbn.g_00233
OG0000018	Prau.g_00243, Prau.g_01316	Prbn.g_00308
OG0000019	Prau.g_01680, Prau.g_00367	Prbn.g_01560
OG0000020	Prau.g_00377	Prbn.g_00038
OG0000021	Prau.g_00836	Prbn.g_01727
OG0000023	Prau.g_01324	Prbn.g_00887
OG0000024	Prau.g_00308	Prbn.g_00074
OG0000026	Prau.g_01295	Prbn.g_00130
OG0000028	Prau.g_01528, Prau.g_01531	Prbn.g_00212
OG0000029	Prau.g_01642, Prau.g_01285	Prbn.g_00659
OG0000031	Prau.g_01275	Prbn.g_00809
OG0000032	Prau.g_01431, Prau.g_01469	Prbn.g_00171
OG0000034	Prau.g_01489	Prbn.g_00190, Prbn.g_00724
OG0000036	Prau.g_00624	Prbn.g_00530, Prbn.g_01734
OG0000037	Prau.g_00663	Prbn.g_00492, Prbn.g_00867
OG0000038	Prau.g_00814	Prbn.g_00891
OG0000039	Prau.g_00167	Prbn.g_01247
OG0000040	Prau.g_00362	Prbn.g_01030
OG0000041	Prau.g_00458, Prau.g_00432	Prbn.g_01709, Prbn.g_01703
OG0000042	Prau.g_00755	Prbn.g_01554
OG0000043	Prau.g_00839	Prbn.g_01454
