Orthogroup	Prau	Prbc
OG0000000	Prau.g_01402	Prbc.g_01920
OG0000000	Prau.g_00718	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473
OG0000002	Prau.g_01394	Prbc.g_00588
OG0000002	Prau.g_01267, Prau.g_01269	Prbc.g_00925, Prbc.g_01530
OG0000003	Prau.g_01350, Prau.g_01650, Prau.g_01300	Prbc.g_00609, Prbc.g_00812
OG0000004	Prau.g_00792	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193
OG0000005	Prau.g_01648, Prau.g_01665	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165
OG0000006	Prau.g_00538	Prbc.g_01556
OG0000006	Prau.g_01732	Prbc.g_00832
OG0000007	Prau.g_00781	Prbc.g_00893
OG0000009	Prau.g_00834	Prbc.g_01836
OG0000010	Prau.g_01156, Prau.g_01331	Prbc.g_01323
OG0000011	Prau.g_00414	Prbc.g_01273
OG0000011	Prau.g_00332	Prbc.g_01227
OG0000012	Prau.g_00636	Prbc.g_01681, Prbc.g_01674
OG0000013	Prau.g_00817	Prbc.g_00599
OG0000014	Prau.g_01353	Prbc.g_00072
OG0000015	Prau.g_01284, Prau.g_00385	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013
OG0000016	Prau.g_01405	Prbc.g_00650
OG0000017	Prau.g_01551, Prau.g_00040	Prbc.g_00728
OG0000018	Prau.g_01316	Prbc.g_02202
OG0000019	Prau.g_01680, Prau.g_00367	Prbc.g_02189
OG0000021	Prau.g_00836	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059
OG0000022	Prau.g_01352	Prbc.g_02163, Prbc.g_00103
OG0000023	Prau.g_01324	Prbc.g_01344
OG0000024	Prau.g_00308	Prbc.g_01198, Prbc.g_00680
OG0000026	Prau.g_00032, Prau.g_01295	Prbc.g_00932
OG0000027	Prau.g_01618	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171
OG0000028	Prau.g_01528, Prau.g_01531	Prbc.g_00709
OG0000029	Prau.g_01642, Prau.g_01285	Prbc.g_02181, Prbc.g_00752
OG0000031	Prau.g_01681	Prbc.g_00095
OG0000031	Prau.g_01275	Prbc.g_00088
OG0000032	Prau.g_01469	Prbc.g_01228
OG0000033	Prau.g_00013	Prbc.g_01083
OG0000034	Prau.g_01489	Prbc.g_00518, Prbc.g_00517
OG0000036	Prau.g_00624	Prbc.g_00891
OG0000037	Prau.g_00663	Prbc.g_02155
OG0000038	Prau.g_00814	Prbc.g_00166
OG0000039	Prau.g_00167	Prbc.g_00405
OG0000040	Prau.g_00362	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006
OG0000041	Prau.g_00458, Prau.g_00432	Prbc.g_01315
OG0000042	Prau.g_00755	Prbc.g_01787
OG0000043	Prau.g_00839	Prbc.g_01999
OG0000044	Prau.g_01206	Prbc.g_01446
OG0000045	Prau.g_01432, Prau.g_01460	Prbc.g_01928
OG0000046	Prau.g_01725	Prbc.g_00826
OG0000047	Prau.g_00037, Prau.g_01925	Prbc.g_00211
OG0000048	Prau.g_01932	Prbc.g_00203
OG0000050	Prau.g_00030	Prbc.g_01101
OG0000051	Prau.g_00158	Prbc.g_00414
OG0000052	Prau.g_00373	Prbc.g_00134, Prbc.g_00641
OG0000053	Prau.g_00579	Prbc.g_01618
OG0000055	Prau.g_00876	Prbc.g_01882, Prbc.g_00153
OG0000056	Prau.g_01162, Prau.g_00749	Prbc.g_01117
OG0000057	Prau.g_00238, Prau.g_00784	Prbc.g_00333
OG0000058	Prau.g_00516	Prbc.g_01534
OG0000059	Prau.g_00738	Prbc.g_00055, Prbc.g_01780
OG0000060	Prau.g_01703	Prbc.g_00148
OG0000061	Prau.g_01172, Prau.g_01035	Prbc.g_00645
OG0000062	Prau.g_01174	Prbc.g_00896
OG0000063	Prau.g_01318	Prbc.g_00102
OG0000065	Prau.g_01371	Prbc.g_00566
OG0000066	Prau.g_01430	Prbc.g_01753
OG0000067	Prau.g_01335, Prau.g_01307	Prbc.g_00136
OG0000068	Prau.g_01869	Prbc.g_00284
OG0000071	Prau.g_00011	Prbc.g_01081
OG0000072	Prau.g_00324	Prbc.g_01214
OG0000073	Prau.g_00709	Prbc.g_01748
OG0000074	Prau.g_00731	Prbc.g_01773
OG0000075	Prau.g_00861	Prbc.g_01865
OG0000076	Prau.g_01089	Prbc.g_02113
