Orthogroup	Prau	Praw
OG0000000	Prau.g_01402	Praw.g_01009
OG0000000	Prau.g_00718	Praw.g_01844
OG0000001	Prau.g_01647, Prau.g_01266	Praw.g_00294
OG0000002	Prau.g_01394	Praw.g_01000
OG0000002	Prau.g_01267, Prau.g_01269	Praw.g_01951, Praw.g_01739
OG0000003	Prau.g_01350	Praw.g_00959
OG0000003	Prau.g_01650	Praw.g_00457
OG0000003	Prau.g_01300	Praw.g_00495
OG0000004	Prau.g_00785	Praw.g_01775
OG0000004	Prau.g_00792	Praw.g_01769
OG0000005	Prau.g_01648	Praw.g_00455
OG0000006	Prau.g_00538	Praw.g_00651
OG0000006	Prau.g_01732	Praw.g_00515
OG0000007	Prau.g_00781	Praw.g_00501
OG0000007	Prau.g_00712	Praw.g_01850
OG0000008	Prau.g_00387	Praw.g_00750
OG0000008	Prau.g_01319	Praw.g_00928
OG0000009	Prau.g_00834	Praw.g_01717
OG0000009	Prau.g_00251	Praw.g_00884
OG0000010	Prau.g_01156	Praw.g_00184
OG0000010	Prau.g_01331	Praw.g_00945
OG0000011	Prau.g_00332	Praw.g_00804
OG0000012	Prau.g_00636	Praw.g_01944
OG0000013	Prau.g_00817	Praw.g_01738
OG0000014	Prau.g_01353	Praw.g_00962
OG0000015	Prau.g_00385	Praw.g_00752
OG0000016	Prau.g_01405	Praw.g_01012
OG0000017	Prau.g_01551	Praw.g_00357
OG0000018	Prau.g_01316	Praw.g_01950
OG0000019	Prau.g_01680	Praw.g_00479
OG0000019	Prau.g_00367	Praw.g_00767
OG0000020	Prau.g_00377	Praw.g_00758
OG0000021	Prau.g_00836	Praw.g_01715
OG0000022	Prau.g_01352	Praw.g_00961, Praw.g_01782
OG0000023	Prau.g_01641	Praw.g_00447
OG0000024	Prau.g_00308	Praw.g_00828
OG0000025	Prau.g_01123	Praw.g_01432
OG0000026	Prau.g_00032	Praw.g_01395
OG0000027	Prau.g_00788	Praw.g_01773
OG0000028	Prau.g_01528	Praw.g_01083
OG0000028	Prau.g_01531	Praw.g_01081
OG0000029	Prau.g_01642	Praw.g_00448
OG0000030	Prau.g_01268	Praw.g_01390
OG0000031	Prau.g_01681	Praw.g_00491
OG0000031	Prau.g_01347	Praw.g_00955
