Orthogroup	Species	Pral	Orthologs
OG0000000	Praf	Pral.g_01331	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Pral.g_01331	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Pral.g_01331	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Pral.g_01331	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Pral.g_01331	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Pral.g_01331	Syab.g_01226
OG0000000	Syal	Pral.g_01331	Syal.g_01111, Syal.g_01832
OG0000000	Praj	Pral.g_01331	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Pral.g_01331	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Pral.g_01331	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Pral.g_01331	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Pral.g_01331	Pram.g_01561
OG0000000	Prbh	Pral.g_01331	Prbh.g_01853
OG0000000	Prai	Pral.g_01331	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Pral.g_01331	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Pral.g_01331	Pran.g_00582
OG0000000	Prac	Pral.g_01331	Prac.g_00159
OG0000000	Praq	Pral.g_01331	Praq.g_00117
OG0000000	Prar	Pral.g_01331	Prar.g_00971
OG0000000	Praa	Pral.g_01331	Praa.g_01300
OG0000000	Prao	Pral.g_01331	Prao.g_01294
OG0000000	Pras	Pral.g_01331	Pras.g_00184
OG0000000	Prau	Pral.g_01331	Prau.g_01352
OG0000000	Prax	Pral.g_01331	Prax.g_01917
OG0000000	Pray	Pral.g_01331	Pray.g_01888
OG0000000	Praz	Pral.g_01331	Praz.g_01198
OG0000000	Prba	Pral.g_01331	Prba.g_01174
OG0000000	Prbd	Pral.g_01331	Prbd.g_01833
OG0000000	Prbi	Pral.g_01331	Prbi.g_01373
OG0000000	Prae	Pral.g_01331	Prae.g_01310
OG0000000	Prag	Pral.g_01331	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Pral.g_01331	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Pral.g_01331	Prad.g_00352
OG0000000	Prav	Pral.g_01331	Prav.g_01736, Prav.g_01415
OG0000000	Prat	Pral.g_01331	Prat.g_00680, Prat.g_01191
OG0000000	Prbb	Pral.g_00040, Pral.g_01332	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Pral.g_00040, Pral.g_01332	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Pral.g_00040, Pral.g_01332	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Pral.g_00040, Pral.g_01332	Prbc.g_00609, Prbc.g_00812
OG0000000	Prak	Pral.g_00040	Prak.g_01210
OG0000000	Prap	Pral.g_00040	Prap.g_00494
OG0000000	Prbe	Pral.g_00040	Prbe.g_01587
OG0000000	Prbf	Pral.g_00040	Prbf.g_00880
OG0000000	Prbg	Pral.g_00040	Prbg.g_01524
OG0000000	Prbn	Pral.g_00040	Prbn.g_01151
OG0000000	Prat	Pral.g_00040	Prat.g_01190
OG0000000	Pram	Pral.g_00040	Pram.g_01513
OG0000000	Prbh	Pral.g_00040	Prbh.g_01901
OG0000000	Pram	Pral.g_01332	Pram.g_01176
OG0000000	Prbh	Pral.g_01332	Prbh.g_01319
OG0000000	Pras	Pral.g_00037	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Pral.g_00037	Prai.g_01612, Prai.g_01592
OG0000000	Prac	Pral.g_00037	Prac.g_00277, Prac.g_00292
OG0000000	Praq	Pral.g_00037	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Pral.g_00037	Prar.g_00713, Prar.g_00729
OG0000000	Prau	Pral.g_00037	Prau.g_01665, Prau.g_01648
OG0000000	Praa	Pral.g_00037	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbd	Pral.g_00037	Prbd.g_01914, Prbd.g_01568
OG0000000	Pray	Pral.g_00037	Pray.g_01576, Pray.g_01603
OG0000000	Praz	Pral.g_00037	Praz.g_00894, Praz.g_00921
OG0000000	Prba	Pral.g_00037	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Pral.g_00037	Prad.g_01982, Prad.g_00392
OG0000000	Prbc	Pral.g_00037	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbb	Pral.g_00037	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbm	Pral.g_00037	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Praj	Pral.g_00037	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prab	Pral.g_00037	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Pral.g_00037	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Pral.g_00037	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praw	Pral.g_00037	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prae	Pral.g_00037	Prae.g_01580
OG0000000	Prbi	Pral.g_00037	Prbi.g_01709
OG0000000	Prax	Pral.g_00037	Prax.g_01608, Prax.g_00496
OG0000000	Prao	Pral.g_00037	Prao.g_01515
OG0000000	Prav	Pral.g_00037	Prav.g_01695, Prav.g_00973
OG0000000	Prat	Pral.g_00037	Prat.g_01549
OG0000000	Praf	Pral.g_00037	Praf.g_00813
OG0000000	Prah	Pral.g_00037	Prah.g_01348
OG0000000	Prbj	Pral.g_00037	Prbj.g_00164
OG0000000	Prbk	Pral.g_00037	Prbk.g_00165
OG0000000	Prbl	Pral.g_00037	Prbl.g_00116
OG0000000	Prak	Pral.g_00037	Prak.g_01562
OG0000000	Prap	Pral.g_00037	Prap.g_01862
OG0000000	Prbe	Pral.g_00037	Prbe.g_01119
OG0000000	Prbf	Pral.g_00037	Prbf.g_00776
OG0000000	Prbg	Pral.g_00037	Prbg.g_01567
OG0000000	Prbn	Pral.g_00037	Prbn.g_01662
OG0000000	Pram	Pral.g_00037	Pram.g_01511
OG0000000	Prbh	Pral.g_00037	Prbh.g_01903
OG0000000	Praa	Pral.g_00038, Pral.g_01333	Praa.g_01597
OG0000000	Prad	Pral.g_00038, Pral.g_01333	Prad.g_01297
OG0000000	Praj	Pral.g_00038	Praj.g_01307
OG0000000	Praj	Pral.g_01333	Praj.g_01307
OG0000000	Praj	Pral.g_00038	Praj.g_01359
OG0000000	Praj	Pral.g_01333	Praj.g_01359
OG0000000	Praj	Pral.g_00038	Praj.g_01732
OG0000000	Praj	Pral.g_01333	Praj.g_01732
OG0000000	Prak	Pral.g_00038	Prak.g_01209
OG0000000	Prak	Pral.g_01333	Prak.g_01209
OG0000000	Prak	Pral.g_00038	Prak.g_01563
OG0000000	Prak	Pral.g_01333	Prak.g_01563
OG0000000	Pram	Pral.g_00038	Pram.g_01512
