Orthogroup	Species	Prax	Orthologs
OG0000000	Praf	Prax.g_01917	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prax.g_01917	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prax.g_01917	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prax.g_01917	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prax.g_01917	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Prax.g_01917	Syab.g_01226
OG0000000	Syal	Prax.g_01917	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prax.g_01917	Pral.g_01331
OG0000000	Prat	Prax.g_01917	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Prax.g_01917	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prax.g_01917	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prax.g_01917	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prax.g_01917	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prax.g_01917	Pram.g_01561
OG0000000	Prbh	Prax.g_01917	Prbh.g_01853
OG0000000	Prai	Prax.g_01917	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prax.g_01917	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prax.g_01917	Pran.g_00582
OG0000000	Prag	Prax.g_01917	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prax.g_01917	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prax.g_01917	Prad.g_00352
OG0000000	Prav	Prax.g_01917	Prav.g_01736, Prav.g_01415
OG0000000	Prac	Prax.g_01917	Prac.g_00159
OG0000000	Praq	Prax.g_01917	Praq.g_00117
OG0000000	Prar	Prax.g_01917	Prar.g_00971
OG0000000	Prae	Prax.g_01917	Prae.g_01310
OG0000000	Praa	Prax.g_01917	Praa.g_01300
OG0000000	Prao	Prax.g_01917	Prao.g_01294
OG0000000	Pras	Prax.g_01917	Pras.g_00184
OG0000000	Prau	Prax.g_01917	Prau.g_01352
OG0000000	Pray	Prax.g_01917	Pray.g_01888
OG0000000	Praz	Prax.g_01917	Praz.g_01198
OG0000000	Prba	Prax.g_01917	Prba.g_01174
OG0000000	Prbd	Prax.g_01917	Prbd.g_01833
OG0000000	Prbi	Prax.g_01917	Prbi.g_01373
OG0000000	Pral	Prax.g_01608, Prax.g_00496	Pral.g_00037
OG0000000	Prak	Prax.g_01608, Prax.g_00496	Prak.g_01562
OG0000000	Prap	Prax.g_01608, Prax.g_00496	Prap.g_01862
OG0000000	Prbe	Prax.g_01608, Prax.g_00496	Prbe.g_01119
OG0000000	Prbf	Prax.g_01608, Prax.g_00496	Prbf.g_00776
OG0000000	Prbg	Prax.g_01608, Prax.g_00496	Prbg.g_01567
OG0000000	Prbn	Prax.g_01608, Prax.g_00496	Prbn.g_01662
OG0000000	Pram	Prax.g_01608, Prax.g_00496	Pram.g_01511
OG0000000	Prbh	Prax.g_01608, Prax.g_00496	Prbh.g_01903
OG0000000	Praj	Prax.g_01608, Prax.g_00496	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prax.g_01608, Prax.g_00496	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prax.g_01608, Prax.g_00496	Prbc.g_02165
OG0000000	Prbm	Prax.g_01608, Prax.g_00496	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Prax.g_01608, Prax.g_00496	Prat.g_01549
OG0000000	Praf	Prax.g_01608, Prax.g_00496	Praf.g_00813
OG0000000	Prah	Prax.g_01608, Prax.g_00496	Prah.g_01348
OG0000000	Prbj	Prax.g_01608, Prax.g_00496	Prbj.g_00164
OG0000000	Prbk	Prax.g_01608, Prax.g_00496	Prbk.g_00165
OG0000000	Prbl	Prax.g_01608, Prax.g_00496	Prbl.g_00116
OG0000000	Prao	Prax.g_01608	Prao.g_01515
OG0000000	Prav	Prax.g_01608	Prav.g_01695
OG0000000	Prac	Prax.g_01608	Prac.g_00292
OG0000000	Praq	Prax.g_01608	Praq.g_00026
OG0000000	Prar	Prax.g_01608	Prar.g_00729
