Orthogroup	Species	Syam	Orthologs
OG0000001	Prax	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prax.g_01878
OG0000001	Prbi	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbi.g_01424
OG0000001	Prao	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prao.g_01254
OG0000001	Prav	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prav.g_01458
OG0000001	Prag	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prag.g_01374
OG0000001	Praw	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praw.g_01000
OG0000001	Prad	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prad.g_00609
OG0000001	Prac	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prac.g_00202
OG0000001	Praq	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praq.g_00160
OG0000001	Prar	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prar.g_00926
OG0000001	Prbd	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbd.g_01779
OG0000001	Prae	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prae.g_01353
OG0000001	Praa	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praa.g_01351
OG0000001	Pray	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Pray.g_01844
OG0000001	Praz	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praz.g_01154
OG0000001	Prba	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prba.g_00211
OG0000001	Prai	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prau.g_01394
OG0000001	Pras	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Pras.g_00235
OG0000001	Prbb	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbb.g_01611
OG0000001	Prbc	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbc.g_00588
OG0000001	Praj	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praj.g_01549
OG0000001	Prbm	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbm.g_01633
OG0000001	Pral	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Pral.g_01236
OG0000001	Prat	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prak.g_01302
OG0000001	Prbg	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbg.g_00502
OG0000001	Prap	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prap.g_01925
OG0000001	Prbe	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbe.g_00400
OG0000001	Prbf	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbf.g_00068
OG0000001	Prbn	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbn.g_01213
OG0000001	Prbh	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbh.g_00001
OG0000001	Pram	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Pram.g_01954, Pram.g_01953
OG0000001	Syad	Syam.g_00946	Syad.g_00628
OG0000001	Syaj	Syam.g_00946	Syaj.g_02674
OG0000001	Syae	Syam.g_00946	Syae.g_02061
OG0000001	Syac	Syam.g_00946	Syac.g_02154
OG0000001	Syah	Syam.g_00946	Syah.g_00726
OG0000001	Syaf	Syam.g_00946	Syaf.g_01640
OG0000001	Syai	Syam.g_00946	Syai.g_01716
OG0000001	Syar	Syam.g_02177	Syar.g_00069
OG0000001	Syao	Syam.g_02177	Syao.g_00314
OG0000001	Syat	Syam.g_02177	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syam.g_02177	Syak.g_02139
OG0000001	Syag	Syam.g_02177	Syag.g_01942
OG0000001	Syaq	Syam.g_02177	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syal	Syam.g_02177	Syal.g_02215
OG0000001	Praf	Syam.g_02177	Praf.g_01031
OG0000001	Prah	Syam.g_02177	Prah.g_01159
OG0000001	Syae	Syam.g_02177	Syae.g_01416
OG0000001	Syad	Syam.g_02177	Syad.g_02864
OG0000001	Syaa	Syam.g_02177	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syaf	Syam.g_02177	Syaf.g_00846
OG0000001	Syah	Syam.g_02177	Syah.g_01516
OG0000001	Syai	Syam.g_02177	Syai.g_01197, Syai.g_02594
OG0000001	Syaj	Syam.g_02177	Syaj.g_01949, Syaj.g_01952
OG0000001	Syap	Syam.g_02178	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syam.g_02178	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syam.g_02178	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syam.g_02178	Syan.g_02266
OG0000001	Syar	Syam.g_02178	Syar.g_00070
OG0000001	Syat	Syam.g_02178	Syat.g_02908, Syat.g_02909
OG0000001	Syai	Syam.g_02178	Syai.g_00891
OG0000001	Syaa	Syam.g_02178	Syaa.g_02439
OG0000001	Syab	Syam.g_00929	Syab.g_01509, Syab.g_01510
OG0000001	Syag	Syam.g_00929	Syag.g_00520
OG0000001	Syak	Syam.g_00929	Syak.g_00275, Syak.g_00579
OG0000001	Syaq	Syam.g_00929	Syaq.g_02178, Syaq.g_02413
OG0000001	Syan	Syam.g_00929	Syan.g_01149
OG0000001	Syat	Syam.g_00929	Syat.g_01540
OG0000001	Syac	Syam.g_00929	Syac.g_02169
OG0000001	Syah	Syam.g_00929	Syah.g_00710
OG0000001	Syaa	Syam.g_00929	Syaa.g_02329
OG0000001	Syae	Syam.g_00929	Syae.g_02055
OG0000001	Syaj	Syam.g_00929	Syaj.g_02660
OG0000001	Syad	Syam.g_00929	Syad.g_01238
OG0000001	Syaf	Syam.g_00929	Syaf.g_01634
OG0000001	Syai	Syam.g_00929	Syai.g_01729
OG0000002	Prbj	Syam.g_00931	Prbj.g_02517, Prbj.g_00030
OG0000002	Prbk	Syam.g_00931	Prbk.g_02574, Prbk.g_01649
OG0000002	Prbl	Syam.g_00931	Prbl.g_01582, Prbl.g_01092
OG0000002	Praf	Syam.g_00931	Praf.g_01631, Praf.g_00948
OG0000002	Prah	Syam.g_00931	Prah.g_00562, Prah.g_01226
OG0000002	Praj	Syam.g_00931	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000002	Prbc	Syam.g_00931	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000002	Prbb	Syam.g_00931	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000002	Prbm	Syam.g_00931	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000002	Prak	Syam.g_00931	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000002	Prap	Syam.g_00931	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000002	Prbe	Syam.g_00931	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000002	Prbf	Syam.g_00931	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000002	Prbg	Syam.g_00931	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000002	Prbn	Syam.g_00931	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000002	Pram	Syam.g_00931	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000002	Prbh	Syam.g_00931	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000002	Pral	Syam.g_00931	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000002	Prat	Syam.g_00931	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000002	Prav	Syam.g_00931	Prav.g_01466, Prav.g_01276
OG0000002	Prag	Syam.g_00931	Prag.g_01382, Prag.g_00656
OG0000002	Praw	Syam.g_00931	Praw.g_01009, Praw.g_01844
OG0000002	Prad	Syam.g_00931	Prad.g_00601, Prad.g_01252
OG0000002	Prai	Syam.g_00931	Prai.g_01363, Prai.g_00707
OG0000002	Pras	Syam.g_00931	Pras.g_00243, Pras.g_01554
OG0000002	Prau	Syam.g_00931	Prau.g_01402, Prau.g_00718
OG0000002	Prax	Syam.g_00931	Prax.g_01870, Prax.g_00964
OG0000002	Prbd	Syam.g_00931	Prbd.g_01771, Prbd.g_00566
OG0000002	Pray	Syam.g_00931	Pray.g_01836, Pray.g_01085
OG0000002	Praz	Syam.g_00931	Praz.g_01146, Praz.g_01652
OG0000002	Prba	Syam.g_00931	Prba.g_00203, Prba.g_01639
OG0000002	Prbi	Syam.g_00931	Prbi.g_01432, Prbi.g_00681
OG0000002	Prac	Syam.g_00931	Prac.g_00210, Prac.g_00693
OG0000002	Praq	Syam.g_00931	Praq.g_00168, Praq.g_00807
