Orthogroup	Species	Syai	Orthologs
OG0000001	Prax	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prax.g_01878
OG0000001	Prbi	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbi.g_01424
OG0000001	Prao	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prao.g_01254
OG0000001	Prav	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prav.g_01458
OG0000001	Prag	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prag.g_01374
OG0000001	Praw	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Praw.g_01000
OG0000001	Prad	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prad.g_00609
OG0000001	Prac	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prac.g_00202
OG0000001	Praq	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Praq.g_00160
OG0000001	Prar	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prar.g_00926
OG0000001	Prbd	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbd.g_01779
OG0000001	Prae	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prae.g_01353
OG0000001	Praa	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Praa.g_01351
OG0000001	Pray	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Pray.g_01844
OG0000001	Praz	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Praz.g_01154
OG0000001	Prba	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prba.g_00211
OG0000001	Prai	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prau.g_01394
OG0000001	Pras	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Pras.g_00235
OG0000001	Prbb	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbb.g_01611
OG0000001	Prbc	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbc.g_00588
OG0000001	Praj	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Praj.g_01549
OG0000001	Prbm	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbm.g_01633
OG0000001	Pral	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Pral.g_01236
OG0000001	Prat	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prak.g_01302
OG0000001	Prbg	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbg.g_00502
OG0000001	Prap	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prap.g_01925
OG0000001	Prbe	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbe.g_00400
OG0000001	Prbf	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbf.g_00068
OG0000001	Prbn	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbn.g_01213
OG0000001	Prbh	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbh.g_00001
OG0000001	Pram	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Pram.g_01954, Pram.g_01953
OG0000001	Syam	Syai.g_01716	Syam.g_00946
OG0000001	Syad	Syai.g_01716	Syad.g_00628
OG0000001	Syaj	Syai.g_01716	Syaj.g_02674
OG0000001	Syae	Syai.g_01716	Syae.g_02061
OG0000001	Syac	Syai.g_01716	Syac.g_02154
OG0000001	Syah	Syai.g_01716	Syah.g_00726
OG0000001	Syaf	Syai.g_01716	Syaf.g_01640
OG0000001	Syar	Syai.g_01197, Syai.g_02594	Syar.g_00069
OG0000001	Syao	Syai.g_01197, Syai.g_02594	Syao.g_00314
OG0000001	Syat	Syai.g_01197, Syai.g_02594	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syai.g_01197, Syai.g_02594	Syak.g_02139
OG0000001	Syag	Syai.g_01197, Syai.g_02594	Syag.g_01942
OG0000001	Syaq	Syai.g_01197, Syai.g_02594	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syal	Syai.g_01197, Syai.g_02594	Syal.g_02215
OG0000001	Praf	Syai.g_01197, Syai.g_02594	Praf.g_01031
OG0000001	Prah	Syai.g_01197, Syai.g_02594	Prah.g_01159
OG0000001	Syae	Syai.g_01197, Syai.g_02594	Syae.g_01416
OG0000001	Syam	Syai.g_01197, Syai.g_02594	Syam.g_02177
OG0000001	Syad	Syai.g_01197, Syai.g_02594	Syad.g_02864
OG0000001	Syaj	Syai.g_01197, Syai.g_02594	Syaj.g_01949
OG0000001	Syaf	Syai.g_01197, Syai.g_02594	Syaf.g_00846
OG0000001	Syaa	Syai.g_01197, Syai.g_02594	Syaa.g_02437
OG0000001	Syah	Syai.g_01197, Syai.g_02594	Syah.g_01516
OG0000001	Syap	Syai.g_00891, Syai.g_02595	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syai.g_00891, Syai.g_02595	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syai.g_00891, Syai.g_02595	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syai.g_00891, Syai.g_02595	Syan.g_02266
OG0000001	Syar	Syai.g_00891, Syai.g_02595	Syar.g_00070
OG0000001	Syat	Syai.g_00891, Syai.g_02595	Syat.g_02908, Syat.g_02909
OG0000001	Syaa	Syai.g_00891	Syaa.g_02439
OG0000001	Syam	Syai.g_00891	Syam.g_02178
OG0000001	Syag	Syai.g_02595	Syag.g_01943
OG0000001	Syaq	Syai.g_02595	Syaq.g_01434
OG0000001	Syak	Syai.g_02595	Syak.g_02138
OG0000001	Syab	Syai.g_02595	Syab.g_02553, Syab.g_02555
OG0000001	Syal	Syai.g_02595	Syal.g_00874, Syal.g_01184
OG0000001	Prah	Syai.g_02595	Prah.g_02270
OG0000001	Praf	Syai.g_02595	Praf.g_02422
OG0000001	Prbj	Syai.g_02595	Prbj.g_01549, Prbj.g_02662
OG0000001	Prbk	Syai.g_02595	Prbk.g_00561, Prbk.g_02701
OG0000001	Prbl	Syai.g_02595	Prbl.g_00808, Prbl.g_02598
OG0000001	Syad	Syai.g_02595	Syad.g_02865
OG0000001	Syaj	Syai.g_02595	Syaj.g_01950
OG0000001	Syae	Syai.g_02595	Syae.g_01417
OG0000001	Syah	Syai.g_02595	Syah.g_00040
OG0000001	Syaf	Syai.g_02595	Syaf.g_00845
OG0000001	Syac	Syai.g_02595	Syac.g_00341
OG0000001	Syab	Syai.g_01729	Syab.g_01509, Syab.g_01510
OG0000001	Syag	Syai.g_01729	Syag.g_00520
OG0000001	Syak	Syai.g_01729	Syak.g_00275, Syak.g_00579
