Orthogroup	Species	Praj	Orthologs
OG0000000	Praf	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Syab.g_01226
OG0000000	Syal	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Pral.g_01331
OG0000000	Prat	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prat.g_00680, Prat.g_01191
OG0000000	Pram	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Pram.g_01561
OG0000000	Prbh	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbh.g_01853
OG0000000	Prai	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Pran.g_00582
OG0000000	Prac	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prac.g_00159
OG0000000	Praq	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Praq.g_00117
OG0000000	Prar	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prar.g_00971
OG0000000	Praa	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Praa.g_01300
OG0000000	Prao	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prao.g_01294
OG0000000	Pras	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Pras.g_00184
OG0000000	Prau	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prau.g_01352
OG0000000	Prax	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prax.g_01917
OG0000000	Pray	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Pray.g_01888
OG0000000	Praz	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Praz.g_01198
OG0000000	Prba	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prba.g_01174
OG0000000	Prbd	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbd.g_01833
OG0000000	Prbi	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbi.g_01373
OG0000000	Prae	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prae.g_01310
OG0000000	Prag	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prad.g_00352
OG0000000	Prav	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prav.g_01736, Prav.g_01415
OG0000000	Prbb	Praj.g_00419	Prbb.g_00433
OG0000000	Prbb	Praj.g_00419	Prbb.g_01318
OG0000000	Prbb	Praj.g_00419	Prbb.g_01353
OG0000000	Prbm	Praj.g_00419	Prbm.g_01408
OG0000000	Prbb	Praj.g_01356	Prbb.g_00433
OG0000000	Prbb	Praj.g_01356	Prbb.g_01318
OG0000000	Prbb	Praj.g_01356	Prbb.g_01353
OG0000000	Prbm	Praj.g_01356	Prbm.g_01408
OG0000000	Prbb	Praj.g_01076	Prbb.g_01119
OG0000000	Prbm	Praj.g_01076	Prbm.g_01115
OG0000000	Prbc	Praj.g_01076	Prbc.g_02163
OG0000000	Prbb	Praj.g_01201	Prbb.g_01243
OG0000000	Prbb	Praj.g_01201	Prbb.g_01400
OG0000000	Prbc	Praj.g_01201	Prbc.g_00103
OG0000000	Prbm	Praj.g_01201	Prbm.g_00437
OG0000000	Prbm	Praj.g_01201	Prbm.g_01228
OG0000000	Prbm	Praj.g_01201	Prbm.g_01312
OG0000000	Prbm	Praj.g_01201	Prbm.g_01381
OG0000000	Prbb	Praj.g_01271	Prbb.g_01243
OG0000000	Prbb	Praj.g_01271	Prbb.g_01400
OG0000000	Prbc	Praj.g_01271	Prbc.g_00103
OG0000000	Prbm	Praj.g_01271	Prbm.g_00437
OG0000000	Prbm	Praj.g_01271	Prbm.g_01228
OG0000000	Prbm	Praj.g_01271	Prbm.g_01312
OG0000000	Prbm	Praj.g_01271	Prbm.g_01381
OG0000000	Prbb	Praj.g_01308	Prbb.g_01243
OG0000000	Prbb	Praj.g_01308	Prbb.g_01400
OG0000000	Prbc	Praj.g_01308	Prbc.g_00103
OG0000000	Prbm	Praj.g_01308	Prbm.g_00437
OG0000000	Prbm	Praj.g_01308	Prbm.g_01228
OG0000000	Prbm	Praj.g_01308	Prbm.g_01312
OG0000000	Prbm	Praj.g_01308	Prbm.g_01381
OG0000000	Pral	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Pral.g_00040, Pral.g_01332
OG0000000	Pram	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Pram.g_01513, Pram.g_01176
OG0000000	Prbh	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbh.g_01901, Prbh.g_01319
OG0000000	Prak	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prak.g_01210
OG0000000	Prap	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prap.g_00494
OG0000000	Prbe	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbe.g_01587
OG0000000	Prbf	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbf.g_00880
OG0000000	Prbg	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbg.g_01524
OG0000000	Prbn	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbn.g_01151
OG0000000	Prat	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prat.g_01190
OG0000000	Prbb	Praj.g_01099	Prbb.g_01144
OG0000000	Prbm	Praj.g_01099	Prbm.g_01140
OG0000000	Prbc	Praj.g_01099	Prbc.g_00609
OG0000000	Prbc	Praj.g_01737	Prbc.g_00812
