Orthogroup	Species	Pram	Orthologs
OG0000000	Praf	Pram.g_01561	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Pram.g_01561	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Pram.g_01561	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Pram.g_01561	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Pram.g_01561	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Pram.g_01561	Syab.g_01226
OG0000000	Syal	Pram.g_01561	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Pram.g_01561	Pral.g_01331
OG0000000	Prat	Pram.g_01561	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Pram.g_01561	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Pram.g_01561	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Pram.g_01561	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Pram.g_01561	Prbc.g_02163, Prbc.g_00103
OG0000000	Prai	Pram.g_01561	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Pram.g_01561	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Pram.g_01561	Pran.g_00582
OG0000000	Prac	Pram.g_01561	Prac.g_00159
OG0000000	Praq	Pram.g_01561	Praq.g_00117
OG0000000	Prar	Pram.g_01561	Prar.g_00971
OG0000000	Praa	Pram.g_01561	Praa.g_01300
OG0000000	Prao	Pram.g_01561	Prao.g_01294
OG0000000	Pras	Pram.g_01561	Pras.g_00184
OG0000000	Prau	Pram.g_01561	Prau.g_01352
OG0000000	Prax	Pram.g_01561	Prax.g_01917
OG0000000	Pray	Pram.g_01561	Pray.g_01888
OG0000000	Praz	Pram.g_01561	Praz.g_01198
OG0000000	Prba	Pram.g_01561	Prba.g_01174
OG0000000	Prbd	Pram.g_01561	Prbd.g_01833
OG0000000	Prbi	Pram.g_01561	Prbi.g_01373
OG0000000	Prae	Pram.g_01561	Prae.g_01310
OG0000000	Prag	Pram.g_01561	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Pram.g_01561	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Pram.g_01561	Prad.g_00352
OG0000000	Prav	Pram.g_01561	Prav.g_01736, Prav.g_01415
OG0000000	Prbh	Pram.g_01561	Prbh.g_01853
OG0000000	Prbb	Pram.g_01513, Pram.g_01176	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Pram.g_01513, Pram.g_01176	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Pram.g_01513, Pram.g_01176	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Pram.g_01513, Pram.g_01176	Prbc.g_00609, Prbc.g_00812
OG0000000	Prak	Pram.g_01513	Prak.g_01210
OG0000000	Prap	Pram.g_01513	Prap.g_00494
OG0000000	Prbe	Pram.g_01513	Prbe.g_01587
OG0000000	Prbf	Pram.g_01513	Prbf.g_00880
OG0000000	Prbg	Pram.g_01513	Prbg.g_01524
OG0000000	Prbn	Pram.g_01513	Prbn.g_01151
OG0000000	Prat	Pram.g_01513	Prat.g_01190
OG0000000	Pral	Pram.g_01513	Pral.g_00040
OG0000000	Prbh	Pram.g_01513	Prbh.g_01901
OG0000000	Pral	Pram.g_01176	Pral.g_01332
OG0000000	Prbh	Pram.g_01176	Prbh.g_01319
OG0000000	Pras	Pram.g_01511	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Pram.g_01511	Prai.g_01612, Prai.g_01592
OG0000000	Prac	Pram.g_01511	Prac.g_00277, Prac.g_00292
OG0000000	Praq	Pram.g_01511	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Pram.g_01511	Prar.g_00713, Prar.g_00729
OG0000000	Prau	Pram.g_01511	Prau.g_01665, Prau.g_01648
OG0000000	Praa	Pram.g_01511	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbd	Pram.g_01511	Prbd.g_01914, Prbd.g_01568
OG0000000	Pray	Pram.g_01511	Pray.g_01576, Pray.g_01603
OG0000000	Praz	Pram.g_01511	Praz.g_00894, Praz.g_00921
OG0000000	Prba	Pram.g_01511	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Pram.g_01511	Prad.g_01982, Prad.g_00392
OG0000000	Prbc	Pram.g_01511	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbb	Pram.g_01511	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbm	Pram.g_01511	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Praj	Pram.g_01511	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prab	Pram.g_01511	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Pram.g_01511	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Pram.g_01511	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praw	Pram.g_01511	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prae	Pram.g_01511	Prae.g_01580
OG0000000	Prbi	Pram.g_01511	Prbi.g_01709
OG0000000	Prax	Pram.g_01511	Prax.g_01608, Prax.g_00496
OG0000000	Prao	Pram.g_01511	Prao.g_01515
OG0000000	Prav	Pram.g_01511	Prav.g_01695, Prav.g_00973
OG0000000	Prat	Pram.g_01511	Prat.g_01549
OG0000000	Praf	Pram.g_01511	Praf.g_00813
OG0000000	Prah	Pram.g_01511	Prah.g_01348
OG0000000	Prbj	Pram.g_01511	Prbj.g_00164
OG0000000	Prbk	Pram.g_01511	Prbk.g_00165
OG0000000	Prbl	Pram.g_01511	Prbl.g_00116
OG0000000	Pral	Pram.g_01511	Pral.g_00037
OG0000000	Prak	Pram.g_01511	Prak.g_01562
OG0000000	Prap	Pram.g_01511	Prap.g_01862
OG0000000	Prbe	Pram.g_01511	Prbe.g_01119
OG0000000	Prbf	Pram.g_01511	Prbf.g_00776
OG0000000	Prbg	Pram.g_01511	Prbg.g_01567
OG0000000	Prbn	Pram.g_01511	Prbn.g_01662
OG0000000	Prbh	Pram.g_01511	Prbh.g_01903
OG0000000	Praa	Pram.g_01512, Pram.g_01556	Praa.g_01597
OG0000000	Prad	Pram.g_01512, Pram.g_01556	Prad.g_01297
OG0000000	Praj	Pram.g_01512	Praj.g_01307
OG0000000	Praj	Pram.g_01512	Praj.g_01359
OG0000000	Praj	Pram.g_01512	Praj.g_01732
OG0000000	Prak	Pram.g_01512	Prak.g_01209
OG0000000	Prak	Pram.g_01512	Prak.g_01563
OG0000000	Pral	Pram.g_01512	Pral.g_00038
OG0000000	Pral	Pram.g_01512	Pral.g_01333
OG0000000	Prap	Pram.g_01512	Prap.g_00493
OG0000000	Prap	Pram.g_01512	Prap.g_01861
OG0000000	Prbb	Pram.g_01512	Prbb.g_01123
OG0000000	Prbb	Pram.g_01512	Prbb.g_01352
OG0000000	Prbb	Pram.g_01512	Prbb.g_01403
OG0000000	Prbb	Pram.g_01512	Prbb.g_01787
OG0000000	Prbc	Pram.g_01512	Prbc.g_00618
OG0000000	Prbc	Pram.g_01512	Prbc.g_02167
OG0000000	Prbe	Pram.g_01512	Prbe.g_01120
OG0000000	Prbf	Pram.g_01512	Prbf.g_00775
OG0000000	Prbf	Pram.g_01512	Prbf.g_00881
OG0000000	Prbg	Pram.g_01512	Prbg.g_01523
OG0000000	Prbg	Pram.g_01512	Prbg.g_01568
OG0000000	Prbh	Pram.g_01512	Prbh.g_01902
OG0000000	Prbm	Pram.g_01512	Prbm.g_01119
OG0000000	Prbm	Pram.g_01512	Prbm.g_01404
OG0000000	Prbm	Pram.g_01512	Prbm.g_01810
OG0000000	Prbn	Pram.g_01512	Prbn.g_01152
OG0000000	Prbn	Pram.g_01512	Prbn.g_01663
OG0000000	Prat	Pram.g_01556	Prat.g_01189
OG0000000	Praj	Pram.g_01556	Praj.g_01100
OG0000000	Prbc	Pram.g_01556	Prbc.g_00608
OG0000000	Prbb	Pram.g_01556	Prbb.g_01145
OG0000000	Prbm	Pram.g_01556	Prbm.g_01141
OG0000000	Prak	Pram.g_01556	Prak.g_01578
OG0000000	Prap	Pram.g_01556	Prap.g_01846
OG0000000	Prbe	Pram.g_01556	Prbe.g_01052
OG0000000	Prbf	Pram.g_01556	Prbf.g_00760
OG0000000	Prbg	Pram.g_01556	Prbg.g_01583
OG0000000	Prbn	Pram.g_01556	Prbn.g_01678
OG0000000	Prbh	Pram.g_01556	Prbh.g_01858
OG0000001	Prax	Pram.g_01954, Pram.g_01953	Prax.g_01878
OG0000001	Prbi	Pram.g_01954, Pram.g_01953	Prbi.g_01424
OG0000001	Prao	Pram.g_01954, Pram.g_01953	Prao.g_01254
OG0000001	Prav	Pram.g_01954, Pram.g_01953	Prav.g_01458
OG0000001	Prag	Pram.g_01954, Pram.g_01953	Prag.g_01374
OG0000001	Praw	Pram.g_01954, Pram.g_01953	Praw.g_01000
OG0000001	Prad	Pram.g_01954, Pram.g_01953	Prad.g_00609
