Orthogroup	Species	Syag	Orthologs
OG0000001	Prax	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prax.g_01878
OG0000001	Prbi	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbi.g_01424
OG0000001	Prao	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prao.g_01254
OG0000001	Prav	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prav.g_01458
OG0000001	Prag	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prag.g_01374
OG0000001	Praw	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Praw.g_01000
OG0000001	Prad	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prad.g_00609
OG0000001	Prac	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prac.g_00202
OG0000001	Praq	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Praq.g_00160
OG0000001	Prar	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prar.g_00926
OG0000001	Prbd	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbd.g_01779
OG0000001	Prae	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prae.g_01353
OG0000001	Praa	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Praa.g_01351
OG0000001	Pray	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Pray.g_01844
OG0000001	Praz	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Praz.g_01154
OG0000001	Prba	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prba.g_00211
OG0000001	Prai	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prau.g_01394
OG0000001	Pras	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Pras.g_00235
OG0000001	Prbb	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbb.g_01611
OG0000001	Prbc	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbc.g_00588
OG0000001	Praj	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Praj.g_01549
OG0000001	Prbm	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbm.g_01633
OG0000001	Pral	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Pral.g_01236
OG0000001	Prat	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prak.g_01302
OG0000001	Prbg	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbg.g_00502
OG0000001	Prap	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prap.g_01925
OG0000001	Prbe	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbe.g_00400
OG0000001	Prbf	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbf.g_00068
OG0000001	Prbn	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbn.g_01213
OG0000001	Prbh	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbh.g_00001
OG0000001	Pram	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Pram.g_01954, Pram.g_01953
OG0000001	Syab	Syag.g_00575	Syab.g_01549
OG0000001	Syal	Syag.g_00575	Syal.g_02193
OG0000001	Syar	Syag.g_01942	Syar.g_00069
OG0000001	Syao	Syag.g_01942	Syao.g_00314
OG0000001	Syat	Syag.g_01942	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syag.g_01942	Syak.g_02139
OG0000001	Praf	Syag.g_01942	Praf.g_01031
OG0000001	Prah	Syag.g_01942	Prah.g_01159
OG0000001	Syam	Syag.g_01942	Syam.g_02177
OG0000001	Syad	Syag.g_01942	Syad.g_02864
OG0000001	Syaa	Syag.g_01942	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syaf	Syag.g_01942	Syaf.g_00846
OG0000001	Syah	Syag.g_01942	Syah.g_01516
OG0000001	Syai	Syag.g_01942	Syai.g_01197, Syai.g_02594
OG0000001	Syaj	Syag.g_01942	Syaj.g_01949, Syaj.g_01952
OG0000001	Syae	Syag.g_01942	Syae.g_01416
OG0000001	Syal	Syag.g_01942	Syal.g_02215
OG0000001	Syaq	Syag.g_01942	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syap	Syag.g_01943	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
