Orthogroup	Species	Prbj	Orthologs
OG0000000	Syab	Prbj.g_00166, Prbj.g_00165	Syab.g_01226
OG0000000	Syal	Prbj.g_00166, Prbj.g_00165	Syal.g_01111, Syal.g_01832
OG0000000	Praj	Prbj.g_00166, Prbj.g_00165	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prbj.g_00166, Prbj.g_00165	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prbj.g_00166, Prbj.g_00165	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prbj.g_00166, Prbj.g_00165	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prbj.g_00166, Prbj.g_00165	Pram.g_01561
OG0000000	Prbh	Prbj.g_00166, Prbj.g_00165	Prbh.g_01853
OG0000000	Prai	Prbj.g_00166, Prbj.g_00165	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prbj.g_00166, Prbj.g_00165	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prbj.g_00166, Prbj.g_00165	Pran.g_00582
OG0000000	Prac	Prbj.g_00166, Prbj.g_00165	Prac.g_00159
OG0000000	Praq	Prbj.g_00166, Prbj.g_00165	Praq.g_00117
OG0000000	Prar	Prbj.g_00166, Prbj.g_00165	Prar.g_00971
OG0000000	Praa	Prbj.g_00166, Prbj.g_00165	Praa.g_01300
OG0000000	Prao	Prbj.g_00166, Prbj.g_00165	Prao.g_01294
OG0000000	Pras	Prbj.g_00166, Prbj.g_00165	Pras.g_00184
OG0000000	Prau	Prbj.g_00166, Prbj.g_00165	Prau.g_01352
OG0000000	Prax	Prbj.g_00166, Prbj.g_00165	Prax.g_01917
OG0000000	Pray	Prbj.g_00166, Prbj.g_00165	Pray.g_01888
OG0000000	Praz	Prbj.g_00166, Prbj.g_00165	Praz.g_01198
OG0000000	Prba	Prbj.g_00166, Prbj.g_00165	Prba.g_01174
OG0000000	Prbd	Prbj.g_00166, Prbj.g_00165	Prbd.g_01833
OG0000000	Prbi	Prbj.g_00166, Prbj.g_00165	Prbi.g_01373
OG0000000	Prae	Prbj.g_00166, Prbj.g_00165	Prae.g_01310
OG0000000	Prag	Prbj.g_00166, Prbj.g_00165	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prbj.g_00166, Prbj.g_00165	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prbj.g_00166, Prbj.g_00165	Prad.g_00352
OG0000000	Prav	Prbj.g_00166, Prbj.g_00165	Prav.g_01736, Prav.g_01415
OG0000000	Prat	Prbj.g_00166, Prbj.g_00165	Prat.g_00680, Prat.g_01191
OG0000000	Pral	Prbj.g_00166, Prbj.g_00165	Pral.g_01331
OG0000000	Praf	Prbj.g_00166	Praf.g_00815
OG0000000	Prah	Prbj.g_00166	Prah.g_01346
OG0000000	Prbk	Prbj.g_00166	Prbk.g_00167
OG0000000	Prbl	Prbj.g_00166	Prbl.g_00118
OG0000000	Prah	Prbj.g_00165	Prah.g_01347
OG0000000	Praf	Prbj.g_00165	Praf.g_00814
