Orthogroup	Species	Syat	Orthologs
OG0000001	Prax	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prax.g_01878
OG0000001	Prbi	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbi.g_01424
OG0000001	Prao	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prao.g_01254
OG0000001	Prav	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prav.g_01458
OG0000001	Prag	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prag.g_01374
OG0000001	Praw	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Praw.g_01000
OG0000001	Prad	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prad.g_00609
OG0000001	Prac	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prac.g_00202
OG0000001	Praq	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Praq.g_00160
OG0000001	Prar	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prar.g_00926
OG0000001	Prbd	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbd.g_01779
OG0000001	Prae	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prae.g_01353
OG0000001	Praa	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Praa.g_01351
OG0000001	Pray	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Pray.g_01844
OG0000001	Praz	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Praz.g_01154
OG0000001	Prba	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prba.g_00211
OG0000001	Prai	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prau.g_01394
OG0000001	Pras	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Pras.g_00235
OG0000001	Prbb	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbb.g_01611
OG0000001	Prbc	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbc.g_00588
OG0000001	Praj	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Praj.g_01549
OG0000001	Prbm	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbm.g_01633
OG0000001	Pral	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Pral.g_01236
OG0000001	Prat	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prak.g_01302
OG0000001	Prbg	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbg.g_00502
OG0000001	Prap	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prap.g_01925
OG0000001	Prbe	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbe.g_00400
OG0000001	Prbf	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbf.g_00068
OG0000001	Prbn	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbn.g_01213
OG0000001	Prbh	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbh.g_00001
OG0000001	Pram	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Pram.g_01954, Pram.g_01953
OG0000001	Syak	Syat.g_02910, Syat.g_02911	Syak.g_02139
OG0000001	Syaq	Syat.g_02910, Syat.g_02911	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syaa	Syat.g_02910, Syat.g_02911	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syad	Syat.g_02910, Syat.g_02911	Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syaj	Syat.g_02910, Syat.g_02911	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Praf	Syat.g_02910, Syat.g_02911	Praf.g_01031
OG0000001	Prah	Syat.g_02910, Syat.g_02911	Prah.g_01159
OG0000001	Syam	Syat.g_02910, Syat.g_02911	Syam.g_02177
OG0000001	Syaf	Syat.g_02910, Syat.g_02911	Syaf.g_00846
OG0000001	Syah	Syat.g_02910, Syat.g_02911	Syah.g_01516
