Orthogroup	Species	Syak	Orthologs
OG0000001	Prax	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prax.g_01878
OG0000001	Prbi	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbi.g_01424
OG0000001	Prao	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prao.g_01254
OG0000001	Prav	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prav.g_01458
OG0000001	Prag	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prag.g_01374
OG0000001	Praw	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Praw.g_01000
OG0000001	Prad	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prad.g_00609
OG0000001	Prac	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prac.g_00202
OG0000001	Praq	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Praq.g_00160
OG0000001	Prar	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prar.g_00926
OG0000001	Prbd	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbd.g_01779
OG0000001	Prae	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prae.g_01353
OG0000001	Praa	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Praa.g_01351
OG0000001	Pray	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Pray.g_01844
OG0000001	Praz	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Praz.g_01154
OG0000001	Prba	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prba.g_00211
OG0000001	Prai	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prau.g_01394
OG0000001	Pras	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Pras.g_00235
OG0000001	Prbb	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbb.g_01611
OG0000001	Prbc	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbc.g_00588
OG0000001	Praj	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Praj.g_01549
OG0000001	Prbm	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbm.g_01633
OG0000001	Pral	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Pral.g_01236
OG0000001	Prat	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prak.g_01302
OG0000001	Prbg	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbg.g_00502
OG0000001	Prap	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prap.g_01925
OG0000001	Prbe	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbe.g_00400
OG0000001	Prbf	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbf.g_00068
OG0000001	Prbn	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbn.g_01213
OG0000001	Prbh	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prbh.g_00001
OG0000001	Pram	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Pram.g_01954, Pram.g_01953
OG0000001	Syar	Syak.g_02139	Syar.g_00069
OG0000001	Syao	Syak.g_02139	Syao.g_00314
OG0000001	Syat	Syak.g_02139	Syat.g_02910, Syat.g_02911
OG0000001	Syaq	Syak.g_02139	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syaa	Syak.g_02139	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syad	Syak.g_02139	Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syaj	Syak.g_02139	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Praf	Syak.g_02139	Praf.g_01031
OG0000001	Prah	Syak.g_02139	Prah.g_01159
OG0000001	Syam	Syak.g_02139	Syam.g_02177
OG0000001	Syaf	Syak.g_02139	Syaf.g_00846
OG0000001	Syah	Syak.g_02139	Syah.g_01516
OG0000001	Syai	Syak.g_02139	Syai.g_01197, Syai.g_02594
OG0000001	Syae	Syak.g_02139	Syae.g_01416
OG0000001	Syag	Syak.g_02139	Syag.g_01942
OG0000001	Syal	Syak.g_02139	Syal.g_02215
OG0000001	Syap	Syak.g_02138	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syak.g_02138	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syak.g_02138	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syak.g_02138	Syan.g_02266
OG0000001	Syar	Syak.g_02138	Syar.g_00070
OG0000001	Syat	Syak.g_02138	Syat.g_02908, Syat.g_02909
OG0000001	Syag	Syak.g_02138	Syag.g_01943
OG0000001	Syaq	Syak.g_02138	Syaq.g_01434
OG0000001	Syab	Syak.g_02138	Syab.g_02553, Syab.g_02555
OG0000001	Syal	Syak.g_02138	Syal.g_00874, Syal.g_01184
OG0000001	Prah	Syak.g_02138	Prah.g_02270
OG0000001	Praf	Syak.g_02138	Praf.g_02422
OG0000001	Prbj	Syak.g_02138	Prbj.g_01549, Prbj.g_02662
OG0000001	Prbk	Syak.g_02138	Prbk.g_00561, Prbk.g_02701
OG0000001	Prbl	Syak.g_02138	Prbl.g_00808, Prbl.g_02598
OG0000001	Syah	Syak.g_02138	Syah.g_00040, Syah.g_00041
OG0000001	Syaf	Syak.g_02138	Syaf.g_00845
OG0000001	Syac	Syak.g_02138	Syac.g_00341, Syac.g_00340
OG0000001	Syai	Syak.g_02138	Syai.g_02595
OG0000001	Syae	Syak.g_02138	Syae.g_01417
OG0000001	Syad	Syak.g_02138	Syad.g_02865
OG0000001	Syaj	Syak.g_02138	Syaj.g_01950
OG0000001	Syab	Syak.g_00275, Syak.g_00579	Syab.g_01509, Syab.g_01510
OG0000001	Syaj	Syak.g_00275, Syak.g_00579	Syaj.g_02660
OG0000001	Syad	Syak.g_00275, Syak.g_00579	Syad.g_01238, Syad.g_00611
OG0000001	Syaf	Syak.g_00275, Syak.g_00579	Syaf.g_01634
OG0000001	Syai	Syak.g_00275, Syak.g_00579	Syai.g_01729
OG0000001	Syam	Syak.g_00275, Syak.g_00579	Syam.g_00929
OG0000001	Syac	Syak.g_00275, Syak.g_00579	Syac.g_02169
OG0000001	Syah	Syak.g_00275, Syak.g_00579	Syah.g_00710
OG0000001	Syaa	Syak.g_00275, Syak.g_00579	Syaa.g_02329
OG0000001	Syae	Syak.g_00275, Syak.g_00579	Syae.g_02055
OG0000001	Syag	Syak.g_00275, Syak.g_00579	Syag.g_00520
OG0000001	Syaq	Syak.g_00275	Syaq.g_02178
OG0000001	Syan	Syak.g_00579	Syan.g_01149
OG0000001	Syat	Syak.g_00579	Syat.g_01540
OG0000001	Syaq	Syak.g_00579	Syaq.g_02413
OG0000004	Syaq	Syak.g_01219, Syak.g_00720	Syaq.g_02603
OG0000004	Praj	Syak.g_01219, Syak.g_00720	Praj.g_01396
OG0000004	Prbc	Syak.g_01219, Syak.g_00720	Prbc.g_01381
OG0000004	Prbm	Syak.g_01219, Syak.g_00720	Prbm.g_01483
