Orthogroup	Species	Prac	Orthologs
OG0000000	Praf	Prac.g_00159	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prac.g_00159	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prac.g_00159	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prac.g_00159	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prac.g_00159	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Prac.g_00159	Syab.g_01226
OG0000000	Syal	Prac.g_00159	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prac.g_00159	Pral.g_01331
OG0000000	Prat	Prac.g_00159	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Prac.g_00159	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prac.g_00159	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prac.g_00159	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prac.g_00159	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prac.g_00159	Pram.g_01561
OG0000000	Prbh	Prac.g_00159	Prbh.g_01853
OG0000000	Prai	Prac.g_00159	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prac.g_00159	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prac.g_00159	Pran.g_00582
OG0000000	Prag	Prac.g_00159	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prac.g_00159	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prac.g_00159	Prad.g_00352
OG0000000	Prav	Prac.g_00159	Prav.g_01736, Prav.g_01415
OG0000000	Praa	Prac.g_00159	Praa.g_01300
OG0000000	Prao	Prac.g_00159	Prao.g_01294
OG0000000	Pras	Prac.g_00159	Pras.g_00184
OG0000000	Prau	Prac.g_00159	Prau.g_01352
OG0000000	Prax	Prac.g_00159	Prax.g_01917
OG0000000	Pray	Prac.g_00159	Pray.g_01888
OG0000000	Praz	Prac.g_00159	Praz.g_01198
OG0000000	Prba	Prac.g_00159	Prba.g_01174
OG0000000	Prbd	Prac.g_00159	Prbd.g_01833
OG0000000	Prbi	Prac.g_00159	Prbi.g_01373
OG0000000	Prae	Prac.g_00159	Prae.g_01310
OG0000000	Praq	Prac.g_00159	Praq.g_00117
OG0000000	Prar	Prac.g_00159	Prar.g_00971
OG0000000	Pral	Prac.g_00277, Prac.g_00292	Pral.g_00037
OG0000000	Prak	Prac.g_00277, Prac.g_00292	Prak.g_01562
OG0000000	Prap	Prac.g_00277, Prac.g_00292	Prap.g_01862
