Orthogroup	Species	Prau	Orthologs
OG0000000	Praf	Prau.g_01352	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prau.g_01352	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prau.g_01352	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prau.g_01352	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prau.g_01352	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Prau.g_01352	Syab.g_01226
OG0000000	Syal	Prau.g_01352	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prau.g_01352	Pral.g_01331
OG0000000	Prat	Prau.g_01352	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Prau.g_01352	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prau.g_01352	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prau.g_01352	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prau.g_01352	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prau.g_01352	Pram.g_01561
OG0000000	Prbh	Prau.g_01352	Prbh.g_01853
OG0000000	Prai	Prau.g_01352	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prau.g_01352	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prau.g_01352	Pran.g_00582
OG0000000	Prag	Prau.g_01352	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prau.g_01352	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prau.g_01352	Prad.g_00352
OG0000000	Prav	Prau.g_01352	Prav.g_01736, Prav.g_01415
OG0000000	Prac	Prau.g_01352	Prac.g_00159
OG0000000	Praq	Prau.g_01352	Praq.g_00117
OG0000000	Prar	Prau.g_01352	Prar.g_00971
OG0000000	Prae	Prau.g_01352	Prae.g_01310
OG0000000	Praa	Prau.g_01352	Praa.g_01300
OG0000000	Prao	Prau.g_01352	Prao.g_01294
OG0000000	Pras	Prau.g_01352	Pras.g_00184
OG0000000	Prax	Prau.g_01352	Prax.g_01917
OG0000000	Pray	Prau.g_01352	Pray.g_01888
OG0000000	Praz	Prau.g_01352	Praz.g_01198
OG0000000	Prba	Prau.g_01352	Prba.g_01174
OG0000000	Prbd	Prau.g_01352	Prbd.g_01833
OG0000000	Prbi	Prau.g_01352	Prbi.g_01373
OG0000000	Pras	Prau.g_01300	Pras.g_00136
OG0000000	Pral	Prau.g_01665, Prau.g_01648	Pral.g_00037
OG0000000	Prak	Prau.g_01665, Prau.g_01648	Prak.g_01562
OG0000000	Prap	Prau.g_01665, Prau.g_01648	Prap.g_01862
OG0000000	Prbe	Prau.g_01665, Prau.g_01648	Prbe.g_01119
OG0000000	Prbf	Prau.g_01665, Prau.g_01648	Prbf.g_00776
OG0000000	Prbg	Prau.g_01665, Prau.g_01648	Prbg.g_01567
OG0000000	Prbn	Prau.g_01665, Prau.g_01648	Prbn.g_01662
OG0000000	Pram	Prau.g_01665, Prau.g_01648	Pram.g_01511
OG0000000	Prbh	Prau.g_01665, Prau.g_01648	Prbh.g_01903
OG0000000	Prbc	Prau.g_01665	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prbb	Prau.g_01665	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785
OG0000000	Prbm	Prau.g_01665	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808
OG0000000	Praj	Prau.g_01665	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730
OG0000000	Praa	Prau.g_01665	Praa.g_01235
OG0000000	Prbd	Prau.g_01665	Prbd.g_01914
OG0000000	Pray	Prau.g_01665	Pray.g_01576
OG0000000	Praz	Prau.g_01665	Praz.g_00894
OG0000000	Prba	Prau.g_01665	Prba.g_00243
OG0000000	Prad	Prau.g_01665	Prad.g_01982
OG0000000	Pras	Prau.g_01665	Pras.g_00493
OG0000000	Prai	Prau.g_01665	Prai.g_01612
OG0000000	Prac	Prau.g_01665	Prac.g_00277
OG0000000	Praq	Prau.g_01665	Praq.g_01956
OG0000000	Prar	Prau.g_01665	Prar.g_00713
OG0000000	Praj	Prau.g_01648	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prau.g_01648	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prau.g_01648	Prbc.g_02165
OG0000000	Prbm	Prau.g_01648	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Prau.g_01648	Prat.g_01549
OG0000000	Praf	Prau.g_01648	Praf.g_00813
OG0000000	Prah	Prau.g_01648	Prah.g_01348
OG0000000	Prbj	Prau.g_01648	Prbj.g_00164
OG0000000	Prbk	Prau.g_01648	Prbk.g_00165
OG0000000	Prbl	Prau.g_01648	Prbl.g_00116
OG0000000	Prao	Prau.g_01648	Prao.g_01515
OG0000000	Prav	Prau.g_01648	Prav.g_01695
OG0000000	Prac	Prau.g_01648	Prac.g_00292
OG0000000	Praq	Prau.g_01648	Praq.g_00026
OG0000000	Prar	Prau.g_01648	Prar.g_00729
OG0000000	Praa	Prau.g_01648	Praa.g_01598
OG0000000	Prai	Prau.g_01648	Prai.g_01592
OG0000000	Prag	Prau.g_01648	Prag.g_01608
OG0000000	Praw	Prau.g_01648	Praw.g_00455
OG0000000	Prax	Prau.g_01648	Prax.g_01608
OG0000000	Prbi	Prau.g_01648	Prbi.g_01709
OG0000000	Pray	Prau.g_01648	Pray.g_01603
OG0000000	Praz	Prau.g_01648	Praz.g_00921
OG0000000	Prba	Prau.g_01648	Prba.g_00269
OG0000000	Prad	Prau.g_01648	Prad.g_00392
OG0000000	Prbd	Prau.g_01648	Prbd.g_01568
OG0000000	Prae	Prau.g_01648	Prae.g_01580
OG0000000	Prab	Prau.g_01648	Prab.g_01598
OG0000000	Pran	Prau.g_01648	Pran.g_00601
OG0000000	Pras	Prau.g_01648	Pras.g_00470
OG0000000	Praa	Prau.g_01266, Prau.g_01647	Praa.g_01597
OG0000000	Prbb	Prau.g_01266, Prau.g_01647	Prbb.g_00103
OG0000000	Praj	Prau.g_01266, Prau.g_01647	Praj.g_00087
OG0000000	Prbc	Prau.g_01266, Prau.g_01647	Prbc.g_00525
OG0000000	Prab	Prau.g_01266	Prab.g_01278
OG0000000	Prab	Prau.g_01647	Prab.g_01278
OG0000000	Prab	Prau.g_01266	Prab.g_01597
OG0000000	Prab	Prau.g_01647	Prab.g_01597
OG0000000	Prac	Prau.g_01266	Prac.g_00926
OG0000000	Prac	Prau.g_01647	Prac.g_00926
OG0000000	Prad	Prau.g_01266	Prad.g_00393
OG0000000	Prad	Prau.g_01647	Prad.g_00393
OG0000000	Prad	Prau.g_01266	Prad.g_01435
OG0000000	Prad	Prau.g_01647	Prad.g_01435
OG0000000	Prae	Prau.g_01266	Prae.g_01222
OG0000000	Prae	Prau.g_01647	Prae.g_01222
OG0000000	Prae	Prau.g_01266	Prae.g_01579
OG0000000	Prae	Prau.g_01647	Prae.g_01579
OG0000000	Prag	Prau.g_01266	Prag.g_01213
OG0000000	Prag	Prau.g_01647	Prag.g_01213
OG0000000	Prag	Prau.g_01266	Prag.g_01607
OG0000000	Prag	Prau.g_01647	Prag.g_01607
OG0000000	Prag	Prau.g_01266	Prag.g_01650
OG0000000	Prag	Prau.g_01647	Prag.g_01650
OG0000000	Prai	Prau.g_01266	Prai.g_00908
OG0000000	Prai	Prau.g_01647	Prai.g_00908
OG0000000	Prai	Prau.g_01266	Prai.g_01234
OG0000000	Prai	Prau.g_01647	Prai.g_01234
OG0000000	Prai	Prau.g_01266	Prai.g_01591
OG0000000	Prai	Prau.g_01647	Prai.g_01591
OG0000000	Prai	Prau.g_01266	Prai.g_01775
OG0000000	Prai	Prau.g_01647	Prai.g_01775
OG0000000	Pran	Prau.g_01266	Pran.g_00001
OG0000000	Pran	Prau.g_01647	Pran.g_00001
OG0000000	Pran	Prau.g_01266	Pran.g_00602
OG0000000	Pran	Prau.g_01647	Pran.g_00602
OG0000000	Prao	Prau.g_01266	Prao.g_01029
OG0000000	Prao	Prau.g_01647	Prao.g_01029
OG0000000	Praq	Prau.g_01266	Praq.g_00025
OG0000000	Praq	Prau.g_01647	Praq.g_00025
OG0000000	Praq	Prau.g_01266	Praq.g_01392
OG0000000	Praq	Prau.g_01647	Praq.g_01392
OG0000000	Prar	Prau.g_01266	Prar.g_01204
OG0000000	Prar	Prau.g_01647	Prar.g_01204
OG0000000	Pras	Prau.g_01266	Pras.g_00117
OG0000000	Pras	Prau.g_01647	Pras.g_00117
OG0000000	Pras	Prau.g_01266	Pras.g_00469
OG0000000	Pras	Prau.g_01647	Pras.g_00469
OG0000000	Prav	Prau.g_01266	Prav.g_01694
OG0000000	Prav	Prau.g_01266	Prav.g_01821
OG0000000	Praw	Prau.g_01266	Praw.g_00294
OG0000000	Praw	Prau.g_01266	Praw.g_00454
OG0000000	Praw	Prau.g_01266	Praw.g_00496
OG0000000	Prax	Prau.g_01266	Prax.g_00259
OG0000000	Prax	Prau.g_01266	Prax.g_01609
OG0000000	Pray	Prau.g_01266	Pray.g_00003
OG0000000	Pray	Prau.g_01266	Pray.g_01604
OG0000000	Praz	Prau.g_01266	Praz.g_00694
OG0000000	Praz	Prau.g_01266	Praz.g_00922
OG0000000	Prba	Prau.g_01266	Prba.g_00003
OG0000000	Prba	Prau.g_01266	Prba.g_00270
