Orthogroup	Species	Prae	Orthologs
OG0000000	Praf	Prae.g_01310	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prae.g_01310	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prae.g_01310	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prae.g_01310	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prae.g_01310	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Prae.g_01310	Syab.g_01226
OG0000000	Syal	Prae.g_01310	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prae.g_01310	Pral.g_01331
OG0000000	Prat	Prae.g_01310	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Prae.g_01310	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prae.g_01310	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prae.g_01310	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prae.g_01310	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prae.g_01310	Pram.g_01561
OG0000000	Prbh	Prae.g_01310	Prbh.g_01853
OG0000000	Prai	Prae.g_01310	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prae.g_01310	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prae.g_01310	Pran.g_00582
OG0000000	Prag	Prae.g_01310	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prae.g_01310	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prae.g_01310	Prad.g_00352
OG0000000	Prav	Prae.g_01310	Prav.g_01736, Prav.g_01415
OG0000000	Prac	Prae.g_01310	Prac.g_00159
OG0000000	Praq	Prae.g_01310	Praq.g_00117
OG0000000	Prar	Prae.g_01310	Prar.g_00971
OG0000000	Praa	Prae.g_01310	Praa.g_01300
OG0000000	Prao	Prae.g_01310	Prao.g_01294
OG0000000	Pras	Prae.g_01310	Pras.g_00184
OG0000000	Prau	Prae.g_01310	Prau.g_01352
OG0000000	Prax	Prae.g_01310	Prax.g_01917
OG0000000	Pray	Prae.g_01310	Pray.g_01888
OG0000000	Praz	Prae.g_01310	Praz.g_01198
OG0000000	Prba	Prae.g_01310	Prba.g_01174
OG0000000	Prbd	Prae.g_01310	Prbd.g_01833
OG0000000	Prbi	Prae.g_01310	Prbi.g_01373
OG0000000	Pral	Prae.g_01580	Pral.g_00037
OG0000000	Prak	Prae.g_01580	Prak.g_01562
OG0000000	Prap	Prae.g_01580	Prap.g_01862
OG0000000	Prbe	Prae.g_01580	Prbe.g_01119
OG0000000	Prbf	Prae.g_01580	Prbf.g_00776
OG0000000	Prbg	Prae.g_01580	Prbg.g_01567
OG0000000	Prbn	Prae.g_01580	Prbn.g_01662
OG0000000	Pram	Prae.g_01580	Pram.g_01511
OG0000000	Prbh	Prae.g_01580	Prbh.g_01903
OG0000000	Praj	Prae.g_01580	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prae.g_01580	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prae.g_01580	Prbc.g_02165
OG0000000	Prbm	Prae.g_01580	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Prae.g_01580	Prat.g_01549
OG0000000	Praf	Prae.g_01580	Praf.g_00813
OG0000000	Prah	Prae.g_01580	Prah.g_01348
OG0000000	Prbj	Prae.g_01580	Prbj.g_00164
OG0000000	Prbk	Prae.g_01580	Prbk.g_00165
OG0000000	Prbl	Prae.g_01580	Prbl.g_00116
OG0000000	Prao	Prae.g_01580	Prao.g_01515
OG0000000	Prav	Prae.g_01580	Prav.g_01695
OG0000000	Prac	Prae.g_01580	Prac.g_00292
OG0000000	Praq	Prae.g_01580	Praq.g_00026
OG0000000	Prar	Prae.g_01580	Prar.g_00729
OG0000000	Praa	Prae.g_01580	Praa.g_01598
OG0000000	Prai	Prae.g_01580	Prai.g_01592
OG0000000	Prag	Prae.g_01580	Prag.g_01608
OG0000000	Praw	Prae.g_01580	Praw.g_00455
OG0000000	Prax	Prae.g_01580	Prax.g_01608
OG0000000	Prbi	Prae.g_01580	Prbi.g_01709
OG0000000	Pray	Prae.g_01580	Pray.g_01603
OG0000000	Praz	Prae.g_01580	Praz.g_00921
OG0000000	Prba	Prae.g_01580	Prba.g_00269
OG0000000	Pras	Prae.g_01580	Pras.g_00470
OG0000000	Prau	Prae.g_01580	Prau.g_01648
OG0000000	Prab	Prae.g_01580	Prab.g_01598
OG0000000	Pran	Prae.g_01580	Pran.g_00601
OG0000000	Prad	Prae.g_01580	Prad.g_00392
OG0000000	Prbd	Prae.g_01580	Prbd.g_01568
OG0000000	Praa	Prae.g_01222, Prae.g_01579	Praa.g_01597
OG0000000	Prbb	Prae.g_01222, Prae.g_01579	Prbb.g_00103
OG0000000	Praj	Prae.g_01222, Prae.g_01579	Praj.g_00087
OG0000000	Prbc	Prae.g_01222, Prae.g_01579	Prbc.g_00525
OG0000000	Prab	Prae.g_01222	Prab.g_01278
OG0000000	Prab	Prae.g_01579	Prab.g_01278
OG0000000	Prab	Prae.g_01222	Prab.g_01597
OG0000000	Prab	Prae.g_01579	Prab.g_01597
OG0000000	Prac	Prae.g_01222	Prac.g_00926
OG0000000	Prac	Prae.g_01579	Prac.g_00926
OG0000000	Prad	Prae.g_01222	Prad.g_00393
OG0000000	Prad	Prae.g_01579	Prad.g_00393
OG0000000	Prad	Prae.g_01222	Prad.g_01435
OG0000000	Prad	Prae.g_01579	Prad.g_01435
OG0000000	Prag	Prae.g_01222	Prag.g_01213
OG0000000	Prag	Prae.g_01222	Prag.g_01607
OG0000000	Prag	Prae.g_01222	Prag.g_01650
OG0000000	Prai	Prae.g_01222	Prai.g_00908
OG0000000	Prai	Prae.g_01222	Prai.g_01234
OG0000000	Prai	Prae.g_01222	Prai.g_01591
OG0000000	Prai	Prae.g_01222	Prai.g_01775
OG0000000	Pran	Prae.g_01222	Pran.g_00001
