Orthogroup	Prac	Syah
OG0000001	Prac.g_00202	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Prac.g_00210, Prac.g_00693	Syah.g_01829
OG0000004	Prac.g_00676	Syah.g_02017
OG0000004	Prac.g_01698	Syah.g_01967, Syah.g_00901
OG0000005	Prac.g_00612	Syah.g_02403
OG0000005	Prac.g_00335	Syah.g_02363
OG0000006	Prac.g_01689	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prac.g_00874	Syah.g_01016
OG0000007	Prac.g_00625	Syah.g_02384
OG0000008	Prac.g_00904	Syah.g_01994
OG0000009	Prac.g_00301	Syah.g_02457
OG0000009	Prac.g_01826	Syah.g_01910, Syah.g_02535
OG0000010	Prac.g_01592, Prac.g_01248	Syah.g_01220
OG0000011	Prac.g_00142	Syah.g_01991
OG0000012	Prac.g_00748	Syah.g_01960, Syah.g_02169, Syah.g_01340
OG0000013	Prac.g_01604	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Prac.g_01625	Syah.g_00127
OG0000015	Prac.g_00898	Syah.g_01511, Syah.g_01510
OG0000016	Prac.g_01934	Syah.g_00359
OG0000017	Prac.g_00773	Syah.g_01152, Syah.g_01159
OG0000018	Prac.g_01004	Syah.g_01264
OG0000019	Prac.g_01681, Prac.g_01496	Syah.g_00669
OG0000022	Prac.g_01022	Syah.g_01881
OG0000023	Prac.g_01174	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prac.g_01525, Prac.g_00696	Syah.g_01990
OG0000025	Prac.g_01600, Prac.g_01441	Syah.g_02082
OG0000026	Prac.g_01916, Prac.g_01241	Syah.g_00340
OG0000027	Prac.g_01074	Syah.g_01541
OG0000028	Prac.g_00145, Prac.g_01611	Syah.g_00141
OG0000029	Prac.g_01158	Syah.g_01292
OG0000030	Prac.g_00050	Syah.g_00264, Syah.g_00265
OG0000031	Prac.g_00249	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000034	Prac.g_00185	Syah.g_00048, Syah.g_02213
OG0000035	Prac.g_00411	Syah.g_01293
OG0000037	Prac.g_01822	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prac.g_00090	Syah.g_00508, Syah.g_00506
OG0000039	Prac.g_00685	Syah.g_02074
OG0000040	Prac.g_00279	Syah.g_01908
OG0000040	Prac.g_01005	Syah.g_00431
OG0000041	Prac.g_00579	Syah.g_02271, Syah.g_02039
OG0000042	Prac.g_00048	Syah.g_00261
OG0000044	Prac.g_00892	Syah.g_02454, Syah.g_02072, Syah.g_01194
OG0000045	Prac.g_01162	Syah.g_01872
