Orthogroup	Prac	Syaj
OG0000001	Prac.g_00202	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Prac.g_00210, Prac.g_00693	Syaj.g_02667
OG0000004	Prac.g_00676	Syaj.g_00441
OG0000004	Prac.g_01698	Syaj.g_01314, Syaj.g_02853
OG0000005	Prac.g_00612	Syaj.g_01736
OG0000005	Prac.g_00335	Syaj.g_01698
OG0000006	Prac.g_01689	Syaj.g_02635
OG0000007	Prac.g_00874	Syaj.g_00091
OG0000007	Prac.g_00625	Syaj.g_01721
OG0000008	Prac.g_00904	Syaj.g_00496
OG0000009	Prac.g_00301	Syaj.g_01069
OG0000009	Prac.g_01826	Syaj.g_01885
OG0000010	Prac.g_01592, Prac.g_01248	Syaj.g_01445
OG0000011	Prac.g_00152	Syaj.g_01133
OG0000012	Prac.g_00748	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172
OG0000013	Prac.g_01604	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prac.g_01625	Syaj.g_02522
OG0000015	Prac.g_00898	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Prac.g_01934	Syaj.g_02276
OG0000017	Prac.g_00773	Syaj.g_00248, Syaj.g_00255
OG0000018	Prac.g_01004	Syaj.g_01413
OG0000019	Prac.g_01681, Prac.g_01496	Syaj.g_02613
OG0000021	Prac.g_01169	Syaj.g_00982, Syaj.g_00042
OG0000022	Prac.g_01022	Syaj.g_01220
OG0000023	Prac.g_01174	Syaj.g_00829, Syaj.g_01791
OG0000024	Prac.g_01525, Prac.g_00696	Syaj.g_00500
OG0000025	Prac.g_01600, Prac.g_01441	Syaj.g_00383
OG0000026	Prac.g_01916, Prac.g_01241	Syaj.g_02298
OG0000027	Prac.g_01074	Syaj.g_00396
OG0000028	Prac.g_00145, Prac.g_01611	Syaj.g_02506
OG0000029	Prac.g_01158	Syaj.g_01229
OG0000030	Prac.g_00050	Syaj.g_02396, Syaj.g_02395
OG0000031	Prac.g_00249	Syaj.g_02501
OG0000034	Prac.g_00185	Syaj.g_01959
OG0000035	Prac.g_00411	Syaj.g_01378
OG0000037	Prac.g_01822	Syaj.g_01891, Syaj.g_02902
OG0000038	Prac.g_00090	Syaj.g_02115
OG0000039	Prac.g_00685	Syaj.g_00392, Syaj.g_00275
OG0000040	Prac.g_01005	Syaj.g_02208
OG0000041	Prac.g_00579	Syaj.g_01602, Syaj.g_00418
OG0000042	Prac.g_00048	Syaj.g_02399
OG0000044	Prac.g_00892	Syaj.g_01344
OG0000045	Prac.g_01576	Syaj.g_00132
OG0000047	Prac.g_01601, Prac.g_01127	Syaj.g_02799
OG0000048	Prac.g_01159	Syaj.g_02578
OG0000050	Prac.g_01220	Syaj.g_01584
OG0000053	Prac.g_01901, Prac.g_00391	Syaj.g_01409
OG0000054	Prac.g_00765	Syaj.g_01341
OG0000055	Prac.g_01495	Syaj.g_00394
OG0000057	Prac.g_00673	Syaj.g_00438
OG0000059	Prac.g_00500	Syaj.g_02686
OG0000061	Prac.g_00985	Syaj.g_00302
OG0000062	Prac.g_00333	Syaj.g_01700
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syaj.g_02302
OG0000065	Prac.g_01824	Syaj.g_01887, Syaj.g_00007
OG0000066	Prac.g_00833	Syaj.g_00157
OG0000067	Prac.g_01475	Syaj.g_01023
OG0000068	Prac.g_00217	Syaj.g_00059
OG0000070	Prac.g_01097	Syaj.g_01529
OG0000071	Prac.g_00175	Syaj.g_01511
OG0000072	Prac.g_01759	Syaj.g_01992
OG0000073	Prac.g_00872	Syaj.g_00093
OG0000075	Prac.g_00017	Syaj.g_02457
OG0000076	Prac.g_01904, Prac.g_00041	Syaj.g_02417
OG0000077	Prac.g_01853	Syaj.g_01831
OG0000078	Prac.g_01691	Syaj.g_02880
OG0000081	Prac.g_00841	Syaj.g_02888
OG0000082	Prac.g_00788	Syaj.g_00229
OG0000084	Prac.g_00415	Syaj.g_01375
OG0000085	Prac.g_00632	Syaj.g_01707
OG0000086	Prac.g_01843	Syaj.g_01848
OG0000087	Prac.g_01792	Syaj.g_01945
OG0000088	Prac.g_01764	Syaj.g_01986
OG0000089	Prac.g_01178	Syaj.g_02829, Syaj.g_01915
OG0000090	Prac.g_00839	Syaj.g_00144
OG0000091	Prac.g_00729	Syaj.g_01275
OG0000092	Prac.g_00003	Syaj.g_00339
OG0000093	Prac.g_01359	Syaj.g_01042
OG0000094	Prac.g_01275	Syaj.g_00804
OG0000095	Prac.g_01256	Syaj.g_00427
OG0000097	Prac.g_00944	Syaj.g_00589
